LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CARL E SOUTHWELL,MONICA D COOPER,ANTHONY M MISETICH,MICHAEL MITOMA,HAROLD WILLIAMS,
CARSON,1030001A,366.0,373.0,N,826.0,POLLING PLACE,161.0,7.0,25.0,7.0,8.0,86.0,
CARSON,1030001A,366.0,373.0,N,,VBM PORTION,77.0,3.0,7.0,15.0,6.0,41.0,
CARSON,1030001A,366.0,373.0,N,826.0,TOTAL,238.0,10.0,32.0,22.0,14.0,127.0,
CARSON,1030004A,367.0,373.0,N,645.0,POLLING PLACE,170.0,11.0,20.0,6.0,5.0,107.0,
CARSON,1030004A,367.0,373.0,N,,VBM PORTION,47.0,,5.0,1.0,2.0,26.0,
CARSON,1030004A,367.0,373.0,N,645.0,TOTAL,217.0,11.0,25.0,7.0,7.0,133.0,
CARSON,1030006C,368.0,373.0,N,848.0,POLLING PLACE,146.0,11.0,34.0,13.0,21.0,52.0,
CARSON,1030006C,368.0,373.0,N,,VBM PORTION,59.0,9.0,5.0,1.0,9.0,25.0,
CARSON,1030006C,368.0,373.0,N,848.0,TOTAL,205.0,20.0,39.0,14.0,30.0,77.0,
CARSON,1030007A,369.0,373.0,N,887.0,POLLING PLACE,119.0,15.0,13.0,10.0,32.0,36.0,
CARSON,1030007A,369.0,373.0,N,,VBM PORTION,64.0,6.0,7.0,3.0,26.0,9.0,
CARSON,1030007A,369.0,373.0,N,887.0,TOTAL,183.0,21.0,20.0,13.0,58.0,45.0,
CARSON,1030008A,370.0,373.0,N,1102.0,POLLING PLACE,187.0,12.0,30.0,10.0,30.0,79.0,
CARSON,1030008A,370.0,373.0,N,,VBM PORTION,84.0,3.0,11.0,8.0,12.0,31.0,
CARSON,1030008A,370.0,373.0,N,1102.0,TOTAL,271.0,15.0,41.0,18.0,42.0,110.0,
CARSON,1030012B,371.0,373.0,N,1095.0,POLLING PLACE,135.0,20.0,14.0,8.0,24.0,45.0,
CARSON,1030012B,371.0,373.0,N,,VBM PORTION,114.0,6.0,7.0,15.0,24.0,33.0,
CARSON,1030012B,371.0,373.0,N,1095.0,TOTAL,249.0,26.0,21.0,23.0,48.0,78.0,
CARSON,1030013A,372.0,373.0,N,1110.0,POLLING PLACE,182.0,25.0,17.0,30.0,40.0,43.0,
CARSON,1030013A,372.0,373.0,N,,VBM PORTION,68.0,4.0,3.0,7.0,13.0,26.0,
CARSON,1030013A,372.0,373.0,N,1110.0,TOTAL,250.0,29.0,20.0,37.0,53.0,69.0,
CARSON,1030016A,375.0,373.0,N,1144.0,POLLING PLACE,154.0,16.0,25.0,21.0,40.0,39.0,
CARSON,1030016A,375.0,373.0,N,,VBM PORTION,72.0,13.0,1.0,8.0,18.0,26.0,
CARSON,1030016A,375.0,373.0,N,1144.0,TOTAL,226.0,29.0,26.0,29.0,58.0,65.0,
CARSON,1030020A,376.0,373.0,N,1187.0,POLLING PLACE,210.0,20.0,23.0,21.0,32.0,74.0,
CARSON,1030020A,376.0,373.0,N,,VBM PORTION,84.0,4.0,12.0,1.0,20.0,30.0,
CARSON,1030020A,376.0,373.0,N,1187.0,TOTAL,294.0,24.0,35.0,22.0,52.0,104.0,
CARSON,1030022B,377.0,373.0,N,698.0,POLLING PLACE,98.0,5.0,13.0,5.0,22.0,38.0,
CARSON,1030022B,377.0,373.0,N,,VBM PORTION,76.0,8.0,6.0,9.0,10.0,29.0,
CARSON,1030022B,377.0,373.0,N,698.0,TOTAL,174.0,13.0,19.0,14.0,32.0,67.0,
CARSON,1030024A,378.0,373.0,N,935.0,POLLING PLACE,139.0,16.0,24.0,14.0,28.0,43.0,
CARSON,1030024A,378.0,373.0,N,,VBM PORTION,82.0,11.0,7.0,9.0,17.0,27.0,
CARSON,1030024A,378.0,373.0,N,935.0,TOTAL,221.0,27.0,31.0,23.0,45.0,70.0,
