date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
03/02/15,HL,TERMINAL ISLAND,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,$63960,7,0,$560
09/14/14,HL,,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,$3010,0,0,$10
08/01/13,HL,MCKITTRICK,CA,KERN,CORROSION,EXTERNAL,0,0,$44100,10,0,$9600
06/14/13,HL,BAKERSFIELD,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$25700,15,0,$1200
04/04/13,HL,799 SOUTH SEASIDE AVENUE TERMINAL ISLAND,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$10450,1,0,$50
04/19/12,HL,MARCIOPA,CA,KERN,CORROSION,INTERNAL,0,0,$6030,2,0,$230
01/12/12,HL,FELLOWS,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$3085,0,0,$85
05/04/10,HL,SAN  PEDRO  CALIFORNIA,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$18375,2,0,$130
06/15/09,HL,CASTAIC,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$7490,2,0,$90
04/22/09,HL,MCKITTRICK,CA,KERN,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,$500,0,0,$150
03/20/09,HL,LEBEC,CA,KERN,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$82700,166,0,$700
11/16/08,HL,LEBEC,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$8500,0,0,$10
05/14/08,HL,TORRANCE,CA,LOS ANGELES,CORROSION,UNSPECIFIED CORROSION,0,0,$46700,0,0,$0
02/13/08,HL,CARSON,CA,LOS ANGELES,CORROSION,UNSPECIFIED CORROSION,0,0,$47000,3,0,$0
02/06/08,HL,CARSON,CA,LOS ANGELES,CORROSION,UNSPECIFIED CORROSION,0,0,$18000,0,0,$0
10/01/07,HL,TERMINAL ISLAND,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,$201,0,0,$1
09/16/07,HL,TERMINAL ISLAND,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,$2743,0,0,$30
08/11/07,HL,GRAPEVINE,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$25508,7,2,$130
02/04/07,HL,VERNON,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$15025,0,0,$25
05/09/06,HL,,CA,KERN,CORROSION,UNSPECIFIED CORROSION,0,0,$1570,0,0,$70
03/30/06,HL,GRAPEVINE,CA,KERN,CORROSION,UNSPECIFIED CORROSION,0,0,$2550,0,0,$50
03/07/06,HL,LEBEC,CA,KERN,MATERIAL/WELD/EQUIP FAILURE,THREADS STRIPPED BROKEN PIPE COUPLING,0,0,$46575,55,35,$1575
