date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
04/22/15,HL,CASPER,WY,NATRONA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$9365,0,0
08/07/14,HL,YODER,WY,GOSHEN,NATURAL FORCE DAMAGE,LIGHTNING,0,0,$672200,2,0
01/07/14,HL,GURLEY,NE,CHEYENNE,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$39130,1,0
03/05/13,HL,GURLEY,NE,CHEYENNE,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$8730,0,0
01/22/13,HL,FROMBERG,MT,CARBON,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$5438,0,0
11/23/10,HL,,MT,,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$187500,90,0
04/03/10,HL,GOWER,MO,BUCHANAN,CORROSION,INTERNAL,0,0,$189240,20,0
12/13/09,HL,CASPER,WY,NATRONA,NATURAL FORCE DAMAGE,UNSPECIFIED NATURAL FORCE DAMAGE,0,0,$9150,2,0
06/02/09,HL,,MO,MONTGOMERY,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,$3000,0,0
06/03/08,HL,CASPER,WY,NATRONA,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$183120,70,0
05/18/08,HL,BRIDGER,MT,CARBON,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$418841,119,0
02/26/08,HL,CASPER,WY,NATRONA,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,$300,1,0
10/25/07,HL,GUERNSEY,WY,PLATTE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$2080,1,0
09/06/07,HL,,MO,MONTGOMERY,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,0,0,$2879625,4169,0
09/21/06,HL,WORLAND,WY,WASHAKIE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,$520,0,0
07/26/06,HL,LINCOLN,MO,,ALL OTHER CAUSES,UNKNOWN,0,0,$0,0,0
02/01/06,HL,CASPER,WY,NATRONA,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,0,0,$231000,50,0
