date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
02/21/14,HL,DAISETTA,TX,LIBERTY,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$32500,0,0,$10000
11/03/13,HL,HULL,TX,HARDIN,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$88100,1,1,$100
01/29/13,HL,BEAUMONT,TX,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$252000,20,0,$2000
12/11/12,HL,BEAUMONT,TX,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$1900,0,0,$100
10/03/11,HL,TORRANCE,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,$29100,41,0,$4100
08/12/11,HL,NEIDERLAND,TX,JEFFERSON,CORROSION,INTERNAL,0,0,$45240,1,1,$240
07/13/11,HL,DAISETTA,TX,LIBERTY,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$20100,0,0,$100
09/09/10,HL,,TX,,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$47443,0,0,$43
06/11/10,HL,BEAUMONT,TX,JEFFERSON,CORROSION,INTERNAL,0,0,$26581,2,0,$160
01/09/10,HL,HULL,TX,LIBERTY,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$413,0,0,$13
07/29/07,HL,BEAUMONT,TX,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$13622,0,0,$45
07/04/07,HL,HULL,TX,LIBERTY,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$142838,58,58,$2838
05/02/06,HL,BEAUMONT,TX,JEFFERSON,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$250515,6,0,$515
