date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(b),gross_barrels_spilled_(hazliq)_(c),net_barrels_lost_(hazliq)_(c)(d)
05/02/11,HL,CASPER,WY,NATRONA,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,$2910,0,0
02/22/11,HL,SIDNEY,MT,RICHLAND,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$12300,3,0
08/02/10,HL,FOUNTAIN,CO,EL PASO,NATURAL FORCE DAMAGE,LIGHTNING,0,0,$567,0,0
05/26/10,HL,COMMERCE CITY,CO,ADAMS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$5066,4,4
08/10/09,HL,LYSITE,WY,FREMONT,CORROSION,UNSPECIFIED CORROSION,0,0,$3415,4,1
07/28/09,HL,LYSITE,WY,FREMONT,CORROSION,UNSPECIFIED CORROSION,0,0,$17079,4,4
02/13/09,HL,EVANSTON,WY,UINTA,INCORRECT OPERATION,INCORRECT OPERATION,0,0,$35200,20,5
01/05/09,HL,LUSK,WY,NIOBRARA,CORROSION,EXTERNAL,0,0,$565400,100,70
04/07/08,HL,EVANSTON,WY,UINTA,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$1350,0,0
11/09/07,HL,WHEATLAND,WY,PLATTE,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$247943,10,10
03/14/07,HL,EVANSTON,UT,RICH,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$46051,95,15
12/04/06,HL,JEFFREY CITY,WY,FREMONT,MATERIAL/WELD/EQUIP FAILURE,THREADS STRIPPED BROKEN PIPE COUPLING,0,0,$6536,5,5
10/30/06,HL,,CO,WELD,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$180888,1200,1200
08/24/06,HL,LYSITE,WY,FREMONT,CORROSION,EXTERNAL,0,0,$1770,5,5
05/27/06,HL,MILLS,WY,NATRONA,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$4660,8,8
03/05/06,HL,DUPONT,CO,ADAMS,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$254156,1197,847
