date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(b),gross_barrels_spilled_(hazliq)_(c),net_barrels_lost_(hazliq)_(c)(d)
08/27/10,HL,GILBOA,NY,SCHOHARIE,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,0,0,$1811756,3283,3283
04/30/10,HL,PORT ARTHUR,TX,JEFFERSON,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,$1800,1,0
04/16/10,HL,QULIN,MO,BUTLER,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$5000,0,0
04/13/10,HL,SEYMOUR,IN,JACKSON,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,1,$35229,0,0
01/24/10,HL,PRINCETON,IN,GIBSON,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$2100,1,1
01/18/10,HL,PRINCETON,IN,GIBSON,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$1100,2,2
09/09/09,HL,ORAN,MO,SCOTT,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,$1001,0,0
05/12/09,HL,SEARCY,AR,WHITE,INCORRECT OPERATION,INCORRECT OPERATION,3,0,$3789146,0,0
04/28/09,HL,BAYTOWN,TX,CHAMBERS,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$325100,25,1
12/19/08,HL,BALD KNOB,AR,LAWRENCE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$28000,2,0
11/12/08,HL,SEYMOUR,IN,JACKSON,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$1008,4,4
10/31/08,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$100800,12,2
09/05/08,HL,HARFORD,NY,CORTLAND,CORROSION,UNSPECIFIED CORROSION,0,0,$5575,0,0
08/18/08,HL,JOLIET,IL,WILL,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$2015,0,0
05/01/08,HL,OAKLAND CITY,IN,GIBSON,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$509,0,0
04/18/08,HL,CREAL SPRINGS,IL,WILLIAMSON,ALL OTHER CAUSES,UNKNOWN,0,0,$100012,0,0
04/07/08,HL,CAMPBELL,MO,DUNKLIN,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$800,0,0
03/11/08,HL,CHANNAHON,IL,COOK,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$19325,1,0
02/15/08,HL,INDIANAPOLIS,IN,HENDRICKS,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$3530,8,0
11/18/07,HL,WALNUT RIDGE,AR,LAWRENCE,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$245000,5800,5800
10/04/07,HL,CALION,AR,UNION,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,$390246,14,0
03/19/07,HL,HELENA,AR,PHILLIPS,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$1000,0,0
02/23/07,HL,MANHATTAN,IL,WILL,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$1569,10,10
02/20/07,HL,NEW TRENTON,IN,FRANKLIN,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$1924950,700,84
10/23/06,HL,OAKLAND CITY,IN,GIBSON,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$1015,3,0
09/16/06,HL,BAYTOWN,TX,HARRIS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$569528,1651,1651
08/30/06,HL,BAYTOWN,TX,HARRIS,EXCAVATION DAMAGE,UNSPECIFIED EXCAVATION DAMAGE,0,0,$10000,0,0
08/22/06,HL,INDIANAPOLIS,IN,HENDRICKS,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$1003,0,0
06/12/06,HL,EL DORADO,AR,UNION,CORROSION,UNSPECIFIED CORROSION,0,0,$5005,1,0
06/07/06,HL,PORT WILLIAM,OH,CLINTON,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$133218,5,5
06/05/06,HL,MONT BELVIEU,TX,CHAMBERS,MATERIAL/WELD/EQUIP FAILURE,THREADS STRIPPED BROKEN PIPE COUPLING,0,0,$1918,15,15
05/23/06,HL,BOSSIER,LA,BOSSIER,CORROSION,INTERNAL,0,0,$71030,1,0
03/30/06,HL,EL DORADO,AR,UNION,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$5005,1,0
03/21/06,HL,HORNBECK,LA,SABINE,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$12048,10,0
02/24/06,HL,EL DORADO,AR,UNION,CORROSION,UNSPECIFIED CORROSION,0,0,$5075,1,0
02/02/06,HL,EL DORADO,AR,UNION,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$4618,1,0
