date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
05/28/14,HL,FREEMAN,MO,CASS,CORROSION,EXTERNAL,0,0,$4580,0,0,$80
07/26/13,HL,COPAN,OK,OSAGE,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$1996000,535,0,$56000
09/29/11,HL,MOKENA,IL,WILL,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,$66000,10,0,$1000
08/12/10,HL,LAPORTE,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$295600,3,3,$25600
03/22/10,HL,TEXAS CITY,TX,GALVESTON,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$106030,0,0,$30
03/21/10,HL,MOKENA,IL,WILL,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,$158500,90,0,$6500
03/27/09,HL,MOKENA,IL,WILL,ALL OTHER CAUSES,UNKNOWN,0,0,$12055,0,0,$55
12/29/08,HL,ATHENS,AL,LIMESTONE,NATURAL FORCE DAMAGE,LIGHTNING,0,0,$1564508,221,176,$2210
12/02/08,HL,CUSHING,OK,PAYNE,CORROSION,INTERNAL,0,0,$15100,6,0,$100
09/14/08,HL,GALLIANO,LA,LAFOURCHE,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$50000,2,0,$0
09/05/08,HL,GALLIANO,LA,LAFOURCHE,NATURAL FORCE DAMAGE,UNSPECIFIED NATURAL FORCE DAMAGE,0,0,$50000,2,0,$0
08/26/08,HL,INDEPENDENCE,KS,MONTGOMERY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$176000,80,0,$10000
07/28/08,HL,CULLOM,IL,FORD,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$110000,0,0,$0
06/26/08,HL,DRUMRIGHT,OK,CREEK,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$17000,72,0,$9000
04/11/08,HL,DEER PARK,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$17438,3,3,$438
