date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
04/09/15,GT,Not Within a Municipality,LA,ST MARTIN PARISH,ALL OTHER CAUSES,UNKNOWN,0,0,$83986,$395
03/23/15,GT,AUGUSTA,GA,RICHMOND,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$311785,$11785
03/20/15,GT,ROLLING FORK,MS,SHARKEY,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$83370,$22520
01/16/15,GT,Not Within a Municipality,MS,WALTHALL COUNTY,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$26850,$25350
11/06/14,GT,RAY CITY,GA,BERRIEN,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$48510,$1203
11/05/14,GT,THOMASTON,GA,HUDSON,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$41120,$40620
07/23/14,GT,MILLEDGEVILLE,GA,BALDWIN,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,$11550,$50
06/30/14,GT,YORK,AL,SUMTER,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$209719,$209719
06/17/14,GT,CATAHOULA,LA,ST. MARTIN,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$1014861,$861
11/21/13,GT,ARTESIA,MS,LOWNDES,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$987135,$944135
02/24/13,GT,MACON,GA,BIBB,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$56300,$56100
01/23/12,GT,OFFSHORE,OCS,,CORROSION,EXTERNAL,0,0,$334375,$375
02/18/11,GT,HEFLIN,AL,CLEBURNE,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$173364,$11364
12/10/10,GT,OFFSHORE,OCS,,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$201056,$1056
10/28/10,GT,LIVINGSTON,AL,SUMTER,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$235187,$5187
09/21/10,GT,CAIRO,GA,GRADY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$50587,$28257
01/06/10,GT,LOUISVILLE,MS,WINSTON,CORROSION,EXTERNAL,0,0,$406699,$242699
12/31/09,GT,HEFLIN,AL,CLEBURNE,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,0,0,$265000,$40000
01/06/09,GT,YAZOO CITY,MS,YAZOO,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$247796,$17796
12/30/08,GT,ROLLING FORK,MS,ISSAQUENA,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$71954,$19722
05/01/08,GT,OFFSHORE,N/A,,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$528000,$13000
04/12/08,GT,PORT SULPHUR,LA,PLAQUEMINES,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$7450000,$450000
03/14/08,GT,,AL,SUMTER,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$138000,$53000
02/21/08,GT,NEW HEBRON,MS,SIMPSON,CORROSION,EXTERNAL,0,0,$52003,$4039
01/26/08,GT,HEFLIN,AL,CLEBURNE,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,0,0,$187500,$49000
12/21/07,GT,FULTONDALE,AL,JEFFERSON,CORROSION,EXTERNAL,0,0,$572660,$372660
11/27/07,GT,CEDARTOWN,GA,POLK,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$55566,$50566
09/14/07,GT,CULLODEN,GA,CRAWFORD,NATURAL FORCE DAMAGE,LIGHTNING,0,0,$403419,$11200
08/03/07,GT,,LA,PLAQUEMINES,CORROSION,EXTERNAL,0,0,$11237500,$337500
01/29/07,GT,OFFSHORE,N/A,,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$5598000,$4000
01/23/07,GT,WETUMPKA,AL,ELMORE,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$1356496,$773100
12/19/06,GT,OFFSHORE,N/A,,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$105000,$5000
01/30/06,GT,TALLAPOOSA,GA,HARALSON,CORROSION,EXTERNAL,0,0,$58325,$27325
01/26/06,GT,TALLAPOOSA,GA,HARALSON,CORROSION,EXTERNAL,0,0,$59990,$15990
