date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
08/11/14,HL,PATOKA,IL,MARION,CORROSION,INTERNAL,0,0,$69050,0,0,$50
05/26/14,HL,Not Within a Municipality,AR,SALINE,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$5050,0,0,$50
02/14/14,HL,PATOKA,IL,MARION,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$5025,0,0,$25
04/30/13,HL,DONIPHAN,MO,RIPLEY,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,0,0,$273100,1,0,$100
03/29/13,HL,MAYFLOWER,AR,FAULKNER,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$91300000,3190,1090,$300000
12/18/12,HL,BEAUMONT,TX,JEFFERSON,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$25020,4,0,$20
07/12/11,HL,PATOKA,IL,MARION,CORROSION,INTERNAL,0,0,$189060,0,0,$60
01/18/11,HL,MOKENA,IL,WILL,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$5520,0,0,$20
07/26/09,HL,PATOKA,IL,MARION,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$23620,2,0,$120
01/31/09,HL,,TX,FRANKLIN,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,$510,0,0,$10
10/12/08,HL,MOKENA,IL,WILL,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$7055,0,0,$55
09/08/08,HL,PATOKA,IL,MARION,CORROSION,INTERNAL,0,0,$29000,15,0,$1500
08/17/08,HL,PATOKA,IL,MARION,CORROSION,UNSPECIFIED CORROSION,0,0,$45868,3,0,$300
10/30/07,HL,PATOKA,IL,MARION,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$713,0,0,$13
08/24/07,HL,TOMBALL,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,$10050,0,0,$50
09/07/06,HL,LIBERTY,TX,LIBERTY,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$10400,0,0,$50
07/21/06,HL,MOKENA,IL,WILL,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,$8697,0,0,$70
