date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
05/11/15,HL,CORPUS CHRISTI,TX,NUECES,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$86165,0,0,$0
04/17/15,HL,Not Within a Municipality,LA,ACADIA PARISH,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,$130326,2535,2535,$55326
04/16/15,HL,Not Within a Municipality,TX,HARRIS,INCORRECT OPERATION,INCORRECT EQUIPMENT,0,0,$100,2,2,$100
04/11/15,HL,MONT BELVIEU,TX,CHAMBERS COUNTY,CORROSION,EXTERNAL,0,0,$80200,5,5,$200
03/29/15,HL,OFFSHORE,OCS,,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$95,1,0,$70
03/28/15,GT,GRANDBURY,TX,HOOD,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$64125,N/A,N/A,$18625
03/22/15,HL,LUFKIN,TX,ANGELINA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$150,3,3,$150
03/15/15,HL,LINCOLN,TX,LEE COUNTY,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$230050,0,0,$50
03/10/15,HL,PORT ARTHUR,TX,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$9982,0,0,$54
03/09/15,GT,LEAKY,TX,REAL,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$16705,N/A,N/A,$16480
03/04/15,GT,BASTROP,TX,BASTROP,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$18560,N/A,N/A,$18260
03/02/15,HL,JACKSONVILLE,AR,PULASKI,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$730002,0,0,$2
03/02/15,HL,GEISMAR,LA,ASCENSION,CORROSION,EXTERNAL,0,0,$10025,0,0,$25
02/13/15,GT,COYANOSA,TX,PECOS,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,0,0,$296285,N/A,N/A,$2285
