date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
03/05/15,GT,DYERSBURG,TN,DYER,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$71626,$71613
03/06/12,GT,PATTERSON,LA,ST. MARY,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$1989,$1989
06/10/11,GT,FRESHWATER CITY,LA,VERMILION,CORROSION,INTERNAL,0,0,$1870973,$50973
11/12/10,GT,ALTO,LA,RICHLAND,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$284912,$264704
10/28/09,GT,EUDORA,AR,CHICOT,CORROSION,EXTERNAL,0,0,$408287,$79522
09/25/08,GT,N/A,N/A,N/A,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$4890000,$9850
09/15/08,GT,N/A,N/A,N/A,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$24830900,$56800
09/15/08,GT,N/A,N/A,N/A,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$1370000,$2550
09/03/08,GT,RAYVILLE,LA,RICHLAND,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$168238,$167738
09/05/06,GT,OFFSHORE,N/A,,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$209900,$4900
04/21/06,GT,ABBEVILLE,LA,VERMILION,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$10584266,$84266
