date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
05/28/15,HL,KERMIT,TX,WINKLER,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$1500,0,0,$1500
11/01/14,GT,CLEBURNE,TX,JOHNSON,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$49062,N/A,N/A,$48312
10/06/14,GT,NEAR CHICO,TX,WISE,CORROSION,EXTERNAL,0,0,$179385,N/A,N/A,$143385
05/07/14,GT,NEDERLAND,TX,JEFFERSON,INCORRECT OPERATION,INCORRECT EQUIPMENT,0,0,$108846,N/A,N/A,$26346
03/21/14,HL,SNYDER,TX,SCURRY,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$204164,3992,3992,$167664
10/23/13,HL,ABILENE,TX,TAYLOR,CORROSION,EXTERNAL,0,0,$20336,8,8,$336
08/19/13,GT,BRYSON,TX,JACK,CORROSION,INTERNAL,0,0,$144010,N/A,N/A,$95010
07/31/13,HL,YORKTOWN,TX,DEWITT,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,$935525,12,12,$525
03/27/13,HL,KENEDY,TX,KARNES,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$2400,5,5,$300
02/05/13,HL,BAYTOWN,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$278559,9,9,$405
12/01/12,HL,RUNGE,TX,KARNES,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,$43897,1187,1187,$43897
08/01/12,HL,COYANOSA,TX,PECOS,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$8925,217,217,$8840
06/01/12,HL,MIDLAND,TX,MIDLAND,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$117395,2880,2880,$117250
07/28/10,GT,SEALY,TX,AUSTIN,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$1879186,N/A,N/A,$987151
07/07/10,GT,ZAVALLA,TX,ANGELINA COUNTY,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$118315,N/A,N/A,$64615
10/07/08,GT,CHESTER,TX,TYLER,MATERIAL/WELD/EQUIP FAILURE,FILLET WELD,0,0,$14000,N/A,N/A,$14000
08/28/08,GT,STAIRTOWN,TX,CALDWELL,CORROSION,EXTERNAL,0,0,$1233865,N/A,N/A,$842865
10/27/07,GT,1798 (NEAR CR 3148D),TX,MINDEN RUSK,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$153461,N/A,N/A,$153461
04/23/07,GT,FORT WORTH,TX,TARRANT,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$235889,N/A,N/A,$115889
04/21/07,GT,MAYPEARL,TX,ELLIS,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$850000,N/A,N/A,$0
01/05/06,GT,BARDWELL,TX,ELLIS,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$462642,N/A,N/A,$462642
