hashtag,local_date_time,user_name,image_link,image_caption,like_count,comment_count,post_link,post_type,post_tags,post_likes,utc_date_time
gapol,2016-01-07 10:13:52-08:00,sendavidperdue,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/12534577_1547191408938954_65624350_n.jpg,"#tbt: A year ago yesterday, I took the Oath of Office with my father's bible and my wife, Bonnie, by my side. It was a sobering and unforgettable moment. I look forward to continuing to fight for Georgia values as we get back to work in 2016. #gapol",37,0,https://www.instagram.com/p/BAP1rKutZ0Q/,image,"gapol, tbt","adam_penland, hamcheese2, real_henry_roberts, rossewarren",2016-01-07 18:13:52+00:00
gapol,2016-01-07 09:19:42-08:00,powertrash,https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s640x640/sh0.08/e35/1170269_156670371369162_744656232_n.jpg,"Today, I heard a powerful story told by a local activist about the ICE raids and how her children were stolen, crying in the middle of the night. ""I tried to reach them while they cried and the officers would not let me touch them,"" she said. 
These human rights abuses need to stop. #not1more #stopdeportations #glahr #keepfamiliestogether #gapol",6,0,https://www.instagram.com/p/BAPvecsyUCi/,image,"gapol, stopdeportations, not1more, glahr, keepfamiliestogether","timfranzen, arobbins1117, wandabrendlemoss, alex_rod64",2016-01-07 17:19:42+00:00
gapol,2016-01-07 08:57:37-08:00,georgiadeptofed,https://scontent.cdninstagram.com/hphotos-xft1/t51.2885-15/s640x640/sh0.08/e35/12479335_930288173693381_1851619817_n.jpg,"We're celebrating today with some of the Georgia schools that received National Blue Ribbon recognition -- a BIG national honor for academically excellent schools. On the docket today: Alexander II Magnet in @bibbschools, Rosemont Elementary in  Troup County, and Johns Creek Elementary in @forsythcoschoolsga.",12,1,https://www.instagram.com/p/BAPs8tEnvR2/,image,"teachersofig, georgia, forsythcounty, gapol, teachersfollowteachers, gaed, bibbcounty, gadoe, troupcounty, nationalblueribbon, gaeducation, georgiateachers, georgiaeducation, teachersofinstagram","llkarickhoff, flapjackeducation, lizziebetht89, browndanielc",2016-01-07 16:57:37+00:00
gapol,2016-01-07 06:04:56-08:00,darshunkendrick,https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s640x640/sh0.08/e35/12523594_525025270987011_2050374839_n.jpg,Rep. Doreen Carter and I look forward to MARTA CEO Keith Parker during the upcoming session. He is doing great things! #presessioning #gapol #publicservicerocks,11,0,https://www.instagram.com/p/BAPZL-FqgES/,image,"gapol, publicservicerocks, presessioning","ennisantoine, tharonljohnson, eva_corpus, ohsweat",2016-01-07 14:04:56+00:00
gapol,2016-01-06 15:23:59-08:00,raynardjohnson,https://scontent.cdninstagram.com/hphotos-xpt1/t51.2885-15/s640x640/sh0.08/e35/10009365_953835544665188_2008077357_n.jpg,"Park Cannon is a Georgia native, a lifelong Democrat, a reproductive justice advocate and a candidate for the special election in GA HD 58.

Park was born and raised in Albany, Georgia; moved to Atlanta with her family right after high school; graduated from UNC-Chapel Hill with a degree in linguistics; and has been lucky enough to work on black women’s wellness at the Feminist Women’s Health Center for the past few years. 
Her campaign has already been endorsed by Rep. Simone Bell, Georgia WIN List, the Victory Fund, Georgia Equality and many more.

As our next State Representative, Park will fight every day to create more good jobs with good benefits, improve our transportation systems so we can get to those jobs, protect our unique neighborhoods and be the strongest ally our kids’ schools have ever had. 
Park hopes to earn your support, your prayers and your vote for GA HD 58 on Tuesday, Jan. 19.

Please vote Park Cannon for Georgia House District 58 on Tuesday, January 19, and again in the runoff election on Tuesday, February 16. #ParkFor58 #gapol #gadem",1,0,https://www.instagram.com/p/BAN0Xpyq-WL/,image,"gapol, gadem, parkfor58",clint_smith3,2016-01-06 23:23:59+00:00
gapol,2016-01-06 12:27:52-08:00,georgiadeptofed,https://scontent.cdninstagram.com/hphotos-xft1/t51.2885-15/s640x640/sh0.08/e35/12446023_534609810047042_284842772_n.jpg,"Nearly half (44 percent) of Georgia's teachers leave the profession in their first five years of teaching. To better understand why that takes place, we surveyed more than 53,000 Georgia teachers -- and the results are now available. View survey findings + a response from Superintendent Woods at the link in our profile. #gadoeretentionsurvey",7,1,https://www.instagram.com/p/BANgNymnvWX/,image,"georgia, gadoeretentionsurvey, teachersfollowteachers, gaed, iteachtoo, gapol, gaeducation, georgiateachers, georgiaeducation","mcardoza1976, llkarickhoff, mpwest5, bebopbethany",2016-01-06 20:27:52+00:00
gapol,2016-01-06 06:48:06-08:00,gacareproject,https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s640x640/sh0.08/e35/10654954_988560711190912_1350010248_n.jpg,"Breaking, HB1 expanding:
🌱
""In the new legislation, Peake aims to add Alzheimer's, Epidermolysis Bullosa, Aids, Tourette's syndrome, and intractable pain. Intractable pain.""
🌱
Pic from last year. Legislative session 2016 starts next week!
🌱
#gapol #gadnc #gagop #gacareproject #marijuana #cannabis #cannabiscommunity #cannabisculture #healTHCare #stoptheseizures #cbd #cbdoil #thc #wholeplant",32,6,https://www.instagram.com/p/BAM5VRxNaQP/,image,"stoptheseizures, cbd, cbdoil, gapol, healthcare, marijuana, cannabisculture, gagop, cannabis, gadnc, cannabiscommunity, gacareproject, wholeplant, thc","liquidbottles, storm_tipton1018, kushumentary, 3rdgrain",2016-01-06 14:48:06+00:00
gapol,2016-01-05 17:30:09-08:00,darshunkendrick,https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/s640x640/sh0.08/e35/10475152_937102806375739_507622419_n.jpg,"Just finished my 2016 legislative update before the 2016 legislative session begins next Monday, January 11th at 10 am sharp! To view the recordings (there are 2), visit www.youtube.com/user/DarshunSpeaks and make sure you SUBSCRIBE for more interesting videos this session. Thank you for allowing me to serve my 6th year as your state rep. District 93!!! #gapol #publicservicerocks",20,0,https://www.instagram.com/p/BALeA2CqgNf/,image,"gapol, publicservicerocks","hemtoucher, landkshaw, jscarroll1, baseballo69",2016-01-06 01:30:09+00:00
gapol,2016-01-05 12:04:07-08:00,ydatl,https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/s320x320/e35/12501990_1102101619822354_1072552925_n.jpg,Join us at 7:30 tomorrow at Apres Diem for our January meeting. We will have state legislators briefing us on what they expect during the upcoming legislative session. #ydatl #gapol #gadem,5,0,https://www.instagram.com/p/BAK4s2lit0G/,image,"gapol, ydatl, gadem","thataka08, kennycottrell, jamisondreamchaser, youth_debates",2016-01-05 20:04:07+00:00
gapol,2016-01-05 10:43:08-08:00,georgiadeptofed,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s480x480/e35/916348_1018740701518741_1831730611_n.jpg,"A little motivation for your day | ""They may forget what you said, but they will never forget how you made them feel.""",11,1,https://www.instagram.com/p/BAKvbz9nvSG/,image,"motivation, gapol, gaed, iteachtoo, gadoe, georgiateachers, education, gaedu, georgiaeducation, teachersofinstagram","flapjackeducation, lincolnatl, georgia_acte, only_lizard",2016-01-05 18:43:08+00:00
