"","request_type","ct","yr","homeless_related"
"1","Emergency Shelter",61576,2012,TRUE
"2","Information Services",48092,2012,FALSE
"3","Income Maintenance (DPSS/SSI/WIC)",46555,2012,FALSE
"4","Food",40061,2012,FALSE
"5","Protective Services",35135,2012,FALSE
"6","Utility Assistance",28291,2012,FALSE
"7","Legal Assistance",20122,2012,FALSE
"8","Counseling",16215,2012,FALSE
"9","Housing Counseling/Search/Information",15286,2012,TRUE
"10","Hospitals/Clinics",13312,2012,FALSE
"11","Landlord/Tenant",12863,2012,FALSE
"12","Subsidized Housing",11471,2012,TRUE
"13","Law Enforcement",10598,2012,FALSE
"14","Crisis Intervention",10502,2012,FALSE
"15","Other Community Services",10375,2012,FALSE
"16","Health Screening",10244,2012,FALSE
"17","Housing Payment Assistance",9792,2012,TRUE
"18","Substance Abuse",9495,2012,FALSE
"19","Other Financial Assistance",8469,2012,FALSE
"20","Employment",8289,2012,FALSE
"21","Material Resources",7705,2012,FALSE
"22","Early Childhood Education",7669,2012,FALSE
"23","Transportation",6905,2012,FALSE
"24","Sanitation/Recycling",6648,2012,FALSE
"25","Tax Assistance",6568,2012,FALSE
"26","Dental Care",6469,2012,FALSE
"27","Parenting",6414,2012,FALSE
"28","Public Health/Inspection",6350,2012,FALSE
"29","Records/Licenses/Permits",6173,2012,FALSE
"30","Animal Services",5868,2012,FALSE
"31","Case Management",5458,2012,TRUE
"32","Day Care",5374,2012,FALSE
"33","Consumer Complaints",5073,2012,FALSE
"34","Holiday Assistance",4928,2012,FALSE
"35","Family Substitute Services",4643,2012,FALSE
"36","Information about 211 LA County",4280,2012,FALSE
"37","Psychiatric Support",4232,2012,FALSE
"38","Mutual Support Groups",4188,2012,FALSE
"39","Courts",3813,2012,FALSE
"40","Social Insurance",3691,2012,FALSE
"41","Building Code Enforcement",3610,2012,FALSE
"42","Advocacy/Court Watching",3414,2012,FALSE
"43","Health Supportive Services",3143,2012,FALSE
"44","Criminal Corrections",3072,2012,FALSE
"45","Immunizations",2941,2012,FALSE
"46","Maternal and Infant Care",2750,2012,FALSE
"47","Crime Prevention",2741,2012,FALSE
"48","Community Groups",2514,2012,FALSE
"49","Transportation Money",2445,2012,FALSE
"50","Political Organization/Participation",2402,2012,FALSE
"51","Leisure Activities",2268,2012,FALSE
"52","Health Education",1990,2012,FALSE
"53","Home Improvement",1933,2012,FALSE
"54","Public/Private Education",1873,2012,FALSE
"55","Street Maintenance",1659,2012,FALSE
"56","Specialized Treatment",1554,2012,FALSE
"57","Licensing/Certification/Accreditation",1518,2012,FALSE
"58","Travelers Assistance",1454,2012,FALSE
"59","Immigration/Naturalization",1431,2012,FALSE
"60","Public Safety",1346,2012,FALSE
"61","Emergency Medical Care",1332,2012,FALSE
"62","Environmental Maintenance/Improvement",1312,2012,FALSE
"63","Planning and Zoning",1310,2012,FALSE
"64","Money Management",1302,2012,FALSE
"65","Adult Education",1215,2012,FALSE
"66","Inpatient Mental Health",1168,2012,FALSE
"67","Facilities",1075,2012,FALSE
"68","Rehabilitation",1075,2012,FALSE
"69","Family Planning",976,2012,FALSE
"70","Volunteer Opportunities",954,2012,FALSE
"71","In-Home Assistance",938,2012,FALSE
"72","Medical Expense Assistance",915,2012,FALSE
"73","Judicial Services",910,2012,FALSE
"74","Disaster Services",902,2012,FALSE
"75","Eye Care",862,2012,FALSE
"76","Victim/Witness",807,2012,FALSE
"77","Weight Management",776,2012,FALSE
"78","Assistive Technology",734,2012,FALSE
"79","Statutes/Standards",719,2012,FALSE
"80","Death Certification/Burial",682,2012,FALSE
"81","Guardianship/Conservatorship",678,2012,FALSE
"82","Consumer Education",597,2012,FALSE
"83","Pediatrics",583,2012,FALSE
"84","Interpretation/Translation",564,2012,FALSE
"85","Other Education",528,2012,FALSE
"86","Tourism/Business/Industry",522,2012,FALSE
"87","Environmental Protection",516,2012,FALSE
"88","Vocational Education",441,2012,FALSE
"89","Social Development",437,2012,FALSE
"90","Charities/Funding",430,2012,FALSE
"91","Organizational Development",395,2012,FALSE
"92","Medical Equipment/Supplies",381,2012,FALSE
"93","Tutorial",344,2012,FALSE
"94","Physician Referrals",325,2012,FALSE
"95","Student Financial Aid",325,2012,FALSE
"96","Home Health Care",320,2012,FALSE
"97","Companionship",302,2012,FALSE
"98","Other Family Support",288,2012,FALSE
"99","Missing Persons",261,2012,FALSE
"100","Occupational/Professional Associations",257,2012,FALSE
"101","Communicable Disease Control",254,2012,FALSE
"102","Volunteer Development",206,2012,FALSE
"103","Nursing Facilities",174,2012,FALSE
"104","Traffic Control",156,2012,FALSE
"105","Personal Enrichment",155,2012,FALSE
"106","Ex-Offender Services",142,2012,FALSE
"107","STD Treatment",137,2012,FALSE
"108","Alternative Education",127,2012,FALSE
"109","Attendent Services",115,2012,FALSE
"110","Special Education",108,2012,FALSE
"111","APS Consultation - Resolved by 211 staff",104,2012,FALSE
"112","Follow Up",104,2012,FALSE
"113","Alternative Medicine",96,2012,FALSE
"114","Guidance and Counseling",89,2012,FALSE
"115","Anatomical Gifts",80,2012,FALSE
"116","Respite Care",79,2012,FALSE
"117","Hospice Care",52,2012,FALSE
"118","Occupational Health and Safety",50,2012,FALSE
"119","Emergency Alert",49,2012,FALSE
"120","Educational Testing",42,2012,FALSE
"121","Spiritual Enrichment",33,2012,FALSE
"122","Gang Programs",32,2012,FALSE
"123","Weed Abatement/Brush Control",30,2012,FALSE
"124","Date/Time Requests",28,2012,FALSE
"125","Dropout Programs",18,2012,FALSE
"126","Technology Services",17,2012,FALSE
"127","Employee Assistance",8,2012,FALSE
"128","",NA,2012,FALSE
"129","Emergency Shelter",43798,2013,TRUE
"130","Groceries",33968,2013,FALSE
"131","Adult Protective Services",33537,2013,FALSE
"132","Utility Assistance",32637,2013,FALSE
"133","Information Lines/Websites",27497,2013,FALSE
"134","Food Expense Assistance",21327,2013,FALSE
"135","Housing Counseling/Search Assistance",18218,2013,TRUE
"136","Transitional Shelter/Housing",17941,2013,TRUE
"137","Public Assistance",15918,2013,FALSE
"138","Health Insurance",13876,2013,FALSE
"139","Case Management",13580,2013,TRUE
"140","Landlord/Tenant",12491,2013,FALSE
"141","Housing Expense Assistance/Home Loans",12156,2013,TRUE
"142","General Counseling",11037,2013,FALSE
"143","Hospitals/Clinics",10643,2013,FALSE
"144","Early Childhood Education",10498,2013,FALSE
"145","General Legal Aid",10300,2013,FALSE
"146","Permanent Housing: Independent Settings",9684,2013,TRUE
"147","Crisis Intervention",8949,2013,FALSE
"148","Employment",8252,2013,FALSE
"149","Meals",8025,2013,FALSE
"150","Law Enforcement",7935,2013,FALSE
"151","Substance Abuse",7776,2013,FALSE
"152","APS Consultation - Resolved by 211 staff",6978,2013,FALSE
"153","Dental Care",6271,2013,FALSE
"154","Family Law",6227,2013,FALSE
"155","Pediatrics",6130,2013,FALSE
"156","Government/Administrative Offices and Community Groups",6113,2013,FALSE
"157","Waste Management",5933,2013,FALSE
"158","Housing Administrative Agencies",5669,2013,TRUE
"159","In-Home Assistance",5634,2013,FALSE
"160","Information about 211 LA County",5531,2013,FALSE
"161","Parenting",5468,2013,FALSE
"162","Hazard Inspection and Mitigation",5463,2013,FALSE
"163","Records/Licenses/Permits",5227,2013,FALSE
"164","Specialized Counseling/Supportive Therapies",5210,2013,FALSE
"165","Public Awareness/Outreach",4877,2013,FALSE
"166","Child Care",4677,2013,FALSE
"167","Holiday Programs",4673,2013,FALSE
"168","Consumer Complaints",4390,2013,FALSE
"169","Domestic Animal Services",4359,2013,FALSE
"170","Clothing",4307,2013,FALSE
"171","Utility Service Providers",3742,2013,FALSE
"172","Support Groups",3517,2013,FALSE
"173","Tax Organizations and Services",3515,2013,FALSE
"174","Short Term Financial Assistance",3220,2013,FALSE
"175","Immunizations",3033,2013,FALSE
"176","Building and Safety",2997,2013,FALSE
"177","Children's Protective Services",2978,2013,FALSE
"178","Technology Services",2938,2013,FALSE
"179","Courts",2936,2013,FALSE
"180","Homeless Support Services",2912,2013,TRUE
"181","Social Insurance",2912,2013,FALSE
"182","Health Screening/Diagnostic Services",2906,2013,FALSE
"183","Transportation Expense Assistance",2724,2013,FALSE
"184","Public Infrastructure Maintenance",2715,2013,FALSE
"185","Benefits Assistance",2710,2013,FALSE
"186","Paratransit",2629,2013,FALSE
"187","Household Goods",2417,2013,FALSE
"188","Maternal and Infant Care",2314,2013,FALSE
"189","Criminal Corrections",2258,2013,FALSE
"190","Crime Prevention",2220,2013,FALSE
"191","Volunteer/Donation Services",2196,2013,FALSE
"192","Food Outlets",2104,2013,FALSE
"193","Home Improvement/Accessibility",2088,2013,FALSE
"194","Traveler's Assistance",2057,2013,FALSE
"195","Local Transportation",2008,2013,FALSE
"196","Leisure Activities/Recreation",1815,2013,FALSE
"197","Community Action/Social Advocacy Groups",1628,2013,FALSE
"198","Psychiatric Services",1602,2013,FALSE
"199","Mental Health Evaluation",1568,2013,FALSE
"200","General Medical Care",1553,2013,FALSE
"201","Emergency Medical Care",1551,2013,FALSE
"202","Health Education",1515,2013,FALSE
"203","Planning and Zoning",1477,2013,FALSE
"204","Eye Care",1469,2013,FALSE
"205","Other Community Services",1468,2013,FALSE
