"School","Gender","Ethnicity","Type of Homelessness","Count of Students","year"
"Auburndale Int.","F","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"Auburndale Int.","F","Hispanic","Hotels/motels",6,"2009-2010"
"Auburndale Int.","F","Hispanic","Temporarily Doubled Up",15,"2009-2010"
"Auburndale Int.","F","Pac Islander-Guamanian","Temporarily Doubled Up",1,"2009-2010"
"Auburndale Int.","F","White","Temporarily Doubled Up",3,"2009-2010"
"Auburndale Int.","M","American Indian/Alaskan Native","Hotels/motels",1,"2009-2010"
"Auburndale Int.","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Auburndale Int.","M","Black or African American","Temporarily Doubled Up",4,"2009-2010"
"Auburndale Int.","M","Black or African American","Temporary Shelters",1,"2009-2010"
"Auburndale Int.","M","Declined to state","Hotels/motels",1,"2009-2010"
"Auburndale Int.","M","Hispanic","Hotels/motels",1,"2009-2010"
"Auburndale Int.","M","Hispanic","Temporarily Doubled Up",14,"2009-2010"
"Auburndale Int.","M","Pac Islander-Hawaiian","Hotels/motels",1,"2009-2010"
"Auburndale Int.","M","White","Temporarily Doubled Up",6,"2009-2010"
"Ben Franklin Elem","F","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Ben Franklin Elem","F","Hispanic","Hotels/motels",1,"2009-2010"
"Ben Franklin Elem","F","Hispanic","Temporarily Doubled Up",15,"2009-2010"
"Ben Franklin Elem","F","White","Temporarily Doubled Up",9,"2009-2010"
"Ben Franklin Elem","M","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Ben Franklin Elem","M","Black or African American","Temporarily Doubled Up",2,"2009-2010"
"Ben Franklin Elem","M","Hispanic","Hotels/motels",2,"2009-2010"
"Ben Franklin Elem","M","Hispanic","Temporarily Doubled Up",31,"2009-2010"
"Ben Franklin Elem","M","White","Temporarily Doubled Up",5,"2009-2010"
"Ben Franklin Elem","M","White","Temporarily Unsheltered",1,"2009-2010"
"Centennial High","F","Asian-Asian Indian","Temporarily Doubled Up",2,"2009-2010"
"Centennial High","F","Asian-Korean","Temporarily Doubled Up",1,"2009-2010"
"Centennial High","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2009-2010"
"Centennial High","F","Black or African American","Hotels/motels",2,"2009-2010"
"Centennial High","F","Black or African American","Temporarily Doubled Up",8,"2009-2010"
"Centennial High","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Centennial High","F","Hispanic","Hotels/motels",5,"2009-2010"
"Centennial High","F","Hispanic","Temporarily Doubled Up",43,"2009-2010"
"Centennial High","F","Hispanic","Temporary Shelters",1,"2009-2010"
"Centennial High","F","Pac Islander-Hawaiian","Temporarily Doubled Up",3,"2009-2010"
"Centennial High","F","White","Hotels/motels",1,"2009-2010"
"Centennial High","F","White","Temporarily Doubled Up",6,"2009-2010"
"Centennial High","F","White","Temporary Shelters",2,"2009-2010"
"Centennial High","M","American Indian/Alaskan Native","Hotels/motels",1,"2009-2010"
"Centennial High","M","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Centennial High","M","Black or African American","Temporarily Doubled Up",13,"2009-2010"
"Centennial High","M","Black or African American","Temporarily Unsheltered",2,"2009-2010"
"Centennial High","M","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Centennial High","M","Hispanic","Hotels/motels",1,"2009-2010"
"Centennial High","M","Hispanic","Temporarily Doubled Up",39,"2009-2010"
"Centennial High","M","Hispanic","Temporarily Unsheltered",1,"2009-2010"
"Centennial High","M","Hispanic","Temporary Shelters",1,"2009-2010"
"Centennial High","M","White","Hotels/motels",1,"2009-2010"
"Centennial High","M","White","Temporarily Doubled Up",9,"2009-2010"
"Centennial High","M","White","Temporary Shelters",1,"2009-2010"
"Centennial Vista","F","Hispanic","Temporarily Doubled Up",1,"2009-2010"
"Centennial Vista","M","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"Centennial Vista","M","White","Temporarily Doubled Up",1,"2009-2010"
"Cesar Chavez Academy","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Cesar Chavez Academy","F","Asian-Japanese","Temporarily Doubled Up",1,"2009-2010"
"Cesar Chavez Academy","F","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Cesar Chavez Academy","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
"Cesar Chavez Academy","F","Black or African American","Temporarily Doubled Up",3,"2009-2010"
"Cesar Chavez Academy","F","Filipino","Temporarily Doubled Up",2,"2009-2010"
"Cesar Chavez Academy","F","Hispanic","Hotels/motels",5,"2009-2010"
