LEAK_ID,RPT_TYPE,RPT_DATE,ADDRESS,MAIN_ST,CROSS_ST,PIPE_SIZE,PIPE_TYPE,YR_INST,TWENTIES,PLR_INST,LEAK_TYPE,LEAK_QUANT,ANOD_INST,COAT_TYPE,COAT_COND,SOIL_TYPE,FOREMAN,WSM_NBR,REPAIR_HRS,MAN_HRS,REMARKS,LAT,LON
63895,MAIN,12/24/12,1417 S SPENCE ST,55' NN UNION PACIFIC AVE,20' EW SPENCE ST,6,,1822,0,29988,ROUND CRACK,1,,,,,UNGSON,118-225,4,19,"WORKED ON 2ND LEAK IN SAME EXCAVATION AS 1ST LEAK; WAS A ROUND CRACK (2ND LEAK); BACKFILLED, TEMP OIL; CLEANED UP; LEFT SAFE!",34.01679345,-118.2028202
60732,MAIN,5/23/11,1824 TEMPLE ST,25' N/S TEMPLE ST,85' W/W BURLINGTON AV,6,C.I.,1887,0,,"RUST HOLE, SPLIT",1,,,,CLAY,CHESTERTON,136-207,11,36.5,"6"" CI BLOW OUT CUT IN 7' DI PIPE.  PLR: SKETCH BK.4-4(1887)",34.06919673,-118.2649065
60734,MAIN,5/27/11,1740 W. TEMPLE ST,25' N/S TEMPLE,185' W/W UNION AV,6,C.I.,1887,0,,RUPTURE,1,,,,ADOBE,MCCALL,136-207,11.5,22,"CALLED FROM HOME TO REPAIR BLOW OUT ON 6"" CAST IRON MAIN. UPON ARRIVAL SET UP TRAFFIC DELINEATION. INVESTIGATED AND FOUND LEAK, BROKE OUT & EXCAVATED, FOUND RUPTURE HOLE MAIN. PLR: SKETCH BK.4-4(1887)",34.06887885,-118.2639416
60894,MAIN,9/1/11,2303 WORKMAN ST,24' N/S MANITOU AVE,22' E/W WORKMAN ST,6,C.I.,1888,0,21000039,ROUND CRACK,1,,,,,MATCHIE,138-222,4.5,18,"WE REPAIRED THE LEAK WITH A 360 DEGREE REPAIR CLAMP. PLR: SK.BK: 21, PG.39",34.07184632,-118.2143421
41425,MAIN,7/14/10,BROADWAY PL.,,OLYMPIC BL.,12,C.I.,1893,0,49,,1,,,,SANDY,PRECIADO,126-207,,,"INSTALLED 14' OF 12"" D.I. PIPE AND 2-12"" DRESSER. BACKFILLED WITH SLURRY. THIS MAIN SHOULD BE REPLACED A.S.A.P.",34.04100447,-118.2574049
60733,MAIN,5/24/11,400 N. FIGUEROA,,90' N/N TEMPLE ST,12,C.I.,1893,0,,RUPTURE,1,,,POOR,RIVER BED,CHESTERTON,134-210,11.5,50.5,"CUT IN 14' OF 12"" DI TO REPAIR RUPTURE 11' OF ONE SIDE OF PIPE BLEW OFF, MAJOR STREET DAMAGE. PLR: SK-MAP 1-1",34.06015698,-118.2481872
62056,MAIN,3/15/12,1822 W 7TH ST,2' SN 7TH ST,121' EE BONNIE BRAE ST,24,C.I.,1895,0,580,,1,,,,,NUNEZ,132-204,27,126,"DCI LEAK ON 24"" MAIN. REPLACED CLAMP BAILS AND RENEWED SERVICE WITH 1"" COPPER.",34.05528067,-118.2740714
60718,MAIN,5/3/11,813 E. 12TH ST,7' S/N E. 12TH ST,24'  E/W STANFORD AV,8,C.I.,1896,0,1419,,1,,,FAIR,,CHESTERTON,124-210,8,16,"FOUND ROUND CRACK ON 8"" CI MAIN MADE REPAIRS",34.03215815,-118.2499098
61627,MAIN,12/6/11,801 W TEMPLE ST / FIGUEROA ST,20' W/W FIGUEROA ST,28' S/N TEMPLE ST,6,C.I.,1896,0,1333,ROUND CRACK,1,,,,,UNGSON / MCCALL,134-210,10,26,"HEAVY TRAFFIC SET-UP; BROKE OUT / EXCAVATED; FOUND ROUND CRACK ON 6"" C.I. MAIN (100"" COVER); SHORED; INSTALLED 6""X 20"" 360 CLAMP; PLATED IT PINNED, WEDGE, OILED IT; LEFT SITE SAFE.",34.06005492,-118.2486591
61706,MAIN,12/21/11,WALL ST & 9TH ST,20' E/W WALL ST,29' N/S 9TH ST,12,C.I.,1896,0,1354,ROUND CRACK,1,,,,ROCKY,NUNEZ,126-210,6.5,26,FOUND ROUND CRACK. REPAIRED WITH 360 DEGREE REPAIR CLAMP.,34.03871988,-118.2519625
63892,MAIN,12/21/12,WALL ST / 9TH ST,29' NS 9TH STREET,6' WW WALL ST,12,C.I.,1896,0,1354,ROUND CRACK,1,,,N/A,CORROSIVE,RUBIO,126-210,14,28,"MR. SCHAMBER EXCAVATED AND INSTALLED REPAIR CLAMP ON 12"" CI W.M. BACKFILLED AND MADE SAFE.",34.03880701,-118.2520592
62292,MAIN,5/30/12,2633 SICHEL ST,325' N/N AVE 26,20' E/W SICHEL,4,C.I.,1897,0,1769,CORP (ABANDON),,,,POOR,C,CHESTERTON,140-222,,,"WHILE EXCAVATING FOR RETAPS OLD ABANDON CORP BLEW OUT, SHUT MAIN, USED SERVICE SADDLE FOR REPAIRS",34.07749366,-118.21318
62383,MAIN,6/4/12,2610 SICHEL,131' N/N AVE 26,20' E/W SICHEL,4,C.I.,1897,0,1769,SPLIT,1,,,,,CHESTERTON,140-222,5,30,"WHILE EXCAVATING, LOOKING FOR CORP PIECE OF RUST FROM MAIN BROKE OFF AND  RUST HOLE WAS LEAKING, USED 360 FOR REPAIRS.",34.07697086,-118.21317
62384,MAIN,6/5/12,2603 SICHEL ST,25' N/N AVE 26,20' E/W SICHEL ST,4,C.I.,1897,0,1769,RUST HOLE,1,,,POOR,C,CHESTERTON,140-222,,,MAIN STARTED LEAKING WHILE EXCAVATING USED SERVICE SADDLE FOR REPAIRS,34.07671169,-118.2131644
66593,MAIN,4/22/14,901 S ALAMEDA ST,184' WW S ALAMEDA ST,34' NS E OLYMPIC BLVD,8,C.I.,1901,0,2727,ROUND CRACK,1,,,,,UNGSON,122-213,8.5,17,"FOUND A 1/2 ROUND CRACK IN 8"" C.I. MAIN NEAR POWER VAULT; INSTALLED 8""X 12"" 360 DEGREE REPAIR CLAMP; BACKFILLED; OILED; CLEANED UP; SAFE! SYS 386 CD 14 TG 634 G7",34.02803124,-118.2396229
42879,MAIN,2/3/11,423 E 52ND ST,,220' E/E TOWNE AVE,4,C.I.,1903,0,4870,JOINT,1,,,,ADOBE,R.MCCALL,110-207,6,12,"UPON ARRIVAL, STREET WAS UNDERGOING CONSTRUCTION (PAVING). INVESTIGATED, FOUND JOINT LEAKING ON 4"" CAST IRON MAIN, EXCAVATED, CAULKED JOINT, STOPPED LEAK.",33.99525946,-118.2665645
