LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RUDY MELENDEZ,P CONLEY ULICH,YUVAL D KREMER,SHEILA KUEHL,DOUG FAY,ERIC PREVEN,JOHN DURAN,BOBBY SHRIVER
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,33,79,62,536,46,14,212,337
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,28,103,54,477,33,12,208,284
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,61,182,116,1013,79,26,420,621
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,27,73,93,571,49,24,282,526
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,21,79,86,679,28,25,297,669
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,48,152,179,1250,77,49,579,1195
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,16,73,65,386,45,19,215,396
CITY OF CALABASAS,N,0,VBM PORTION,1873,21,112,74,507,35,19,247,467
CITY OF CALABASAS,N,14914,TOTAL,3327,37,185,139,893,80,38,462,863
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,0,8,4,53,1,4,17,32
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,0,13,13,34,0,2,14,28
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,0,21,17,87,1,6,31,60
CITY OF LOS ANGELES,N,843555,POLLING PLACE,72659,3183,3662,2235,22366,2237,1139,11037,17295
CITY OF LOS ANGELES,N,0,VBM PORTION,71220,1852,4412,1861,20593,2116,925,9265,17210
CITY OF LOS ANGELES,N,843555,TOTAL,143852,5035,8074,4096,42959,4353,2064,20302,34505
CITY OF MALIBU,N,9097,POLLING PLACE,1202,14,234,21,300,27,22,139,293
CITY OF MALIBU,N,0,VBM PORTION,1236,11,178,15,321,25,11,121,326
CITY OF MALIBU,N,9097,TOTAL,2437,25,412,36,621,52,33,260,619
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,101,43,21,129,23,4,102,139
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,54,31,8,114,19,2,65,114
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,155,74,29,243,42,6,167,253
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,177,302,150,3376,255,88,846,3033
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,101,256,114,2340,146,39,660,2451
CITY OF SANTA MONICA,N,62632,TOTAL,16552,278,558,264,5716,401,127,1506,5484
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,46,74,42,904,78,24,603,359
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,27,68,52,784,68,27,504,367
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,73,142,94,1688,146,51,1107,726
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,2,36,25,199,15,7,170,158
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,9,48,19,180,19,10,140,175
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,11,84,44,379,34,17,310,333
UNINCORPORATED,N,17305,POLLING PLACE,2352,43,151,66,846,84,21,276,554
UNINCORPORATED,N,0,VBM PORTION,2223,30,175,74,641,72,22,249,516
UNINCORPORATED,N,17305,TOTAL,4567,73,326,140,1487,156,43,525,1070
