LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JOHN WOOD JR,MAXINE WATERS
CITY OF GARDENA,N,30000,POLLING PLACE,2779,655,1783
CITY OF GARDENA,N,0,VBM PORTION,2597,723,1655
CITY OF GARDENA,N,30000,TOTAL,5358,1378,3438
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,555,1511
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,659,1223
CITY OF HAWTHORNE,N,36483,TOTAL,4464,1214,2734
CITY OF INGLEWOOD,N,54941,POLLING PLACE,4878,309,3892
CITY OF INGLEWOOD,N,0,VBM PORTION,3404,337,2796
CITY OF INGLEWOOD,N,54941,TOTAL,8268,646,6688
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,251,464
CITY OF LAWNDALE,N,0,VBM PORTION,697,243,383
CITY OF LAWNDALE,N,13398,TOTAL,1522,494,847
CITY OF LOMITA,N,11237,POLLING PLACE,1073,538,423
CITY OF LOMITA,N,0,VBM PORTION,1050,509,443
CITY OF LOMITA,N,11237,TOTAL,2122,1047,866
CITY OF LOS ANGELES,N,100576,POLLING PLACE,8709,2125,5646
CITY OF LOS ANGELES,N,0,VBM PORTION,6715,1839,4365
CITY OF LOS ANGELES,N,100576,TOTAL,15416,3964,10011
CITY OF TORRANCE,N,46102,POLLING PLACE,5881,3020,2275
CITY OF TORRANCE,N,0,VBM PORTION,5897,2945,2401
CITY OF TORRANCE,N,46102,TOTAL,11777,5965,4676
UNINCORPORATED,N,50666,POLLING PLACE,3986,866,2654
UNINCORPORATED,N,0,VBM PORTION,3138,890,2047
UNINCORPORATED,N,50666,TOTAL,7103,1756,4701
