LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TRACY OKIDA,JOHN Y WONG,JOHN MORRIS,B E MANYERE,KRISH KUMAR,NESTOR VALENCIA,JEFFREY PRANG,OMAR HAROON,FRANK DIAZ JR,YVONNE AUSTIN,SANDY SUN,JOHN LOEW
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,28,113,255,10,41,16,275,69,54,56,127,128
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,29,97,223,9,43,15,208,58,53,73,125,141
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,57,210,478,19,84,31,483,127,107,129,252,269
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,97,337,280,25,72,97,377,157,397,119,207,128
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,95,422,207,22,55,57,281,142,278,101,254,138
CITY OF ALHAMBRA,N,37025,TOTAL,5368,192,759,487,47,127,154,658,299,675,220,461,266
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,44,301,408,20,72,25,284,212,135,75,164,151
CITY OF ARCADIA,N,0,VBM PORTION,3054,56,497,366,17,70,26,322,225,148,89,259,165
CITY OF ARCADIA,N,29165,TOTAL,5433,100,798,774,37,142,51,606,437,283,164,423,316
CITY OF ARTESIA,N,7390,POLLING PLACE,555,11,52,43,4,40,70,56,35,47,21,26,28
CITY OF ARTESIA,N,0,VBM PORTION,596,15,73,44,3,37,40,53,41,37,22,51,45
CITY OF ARTESIA,N,7390,TOTAL,1149,26,125,87,7,77,110,109,76,84,43,77,73
CITY OF AVALON,N,1730,POLLING PLACE,190,5,11,22,4,5,5,12,15,9,11,8,26
CITY OF AVALON,N,0,VBM PORTION,184,3,10,17,0,7,2,13,15,6,12,14,29
CITY OF AVALON,N,1730,TOTAL,374,8,21,39,4,12,7,25,30,15,23,22,55
CITY OF AZUSA,N,18442,POLLING PLACE,1308,36,108,86,16,44,64,160,86,262,54,51,87
CITY OF AZUSA,N,0,VBM PORTION,1201,32,68,91,9,25,34,185,81,187,62,83,107
CITY OF AZUSA,N,18442,TOTAL,2508,68,176,177,25,69,98,345,167,449,116,134,194
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,34,105,89,20,31,143,217,118,468,71,73,95
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,35,101,73,19,46,50,142,106,291,64,107,91
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,69,206,162,39,77,193,359,224,759,135,180,186
CITY OF BELL,N,11175,POLLING PLACE,618,11,26,28,3,11,157,63,50,129,25,21,18
CITY OF BELL,N,0,VBM PORTION,349,10,16,19,2,7,58,47,10,61,17,24,26
CITY OF BELL,N,11175,TOTAL,966,21,42,47,5,18,215,110,60,190,42,45,44
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,6,30,24,7,24,82,78,49,92,16,22,23
CITY OF BELL GARDENS,N,0,VBM PORTION,316,10,9,20,4,11,43,38,16,59,18,18,22
CITY OF BELL GARDENS,N,12887,TOTAL,855,16,39,44,11,35,125,116,65,151,34,40,45
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,56,272,192,21,130,142,220,163,165,113,106,173
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,68,179,179,36,94,79,220,127,101,127,131,165
CITY OF BELLFLOWER,N,34364,TOTAL,4019,124,451,371,57,224,221,440,290,266,240,237,338
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,31,70,344,18,52,19,369,67,48,79,147,130
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,50,125,353,14,47,19,442,70,44,88,196,168
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,81,195,697,32,99,38,811,137,92,167,343,298
CITY OF BRADBURY,N,599,POLLING PLACE,66,1,1,15,0,0,2,15,10,8,0,1,3
CITY OF BRADBURY,N,0,VBM PORTION,67,0,6,8,0,2,1,10,4,6,0,5,5
CITY OF BRADBURY,N,599,TOTAL,133,1,7,23,0,2,3,25,14,14,0,6,8
CITY OF BURBANK,N,60155,POLLING PLACE,4654,115,340,713,81,270,98,700,329,244,174,241,341
CITY OF BURBANK,N,0,VBM PORTION,4858,116,379,520,67,294,81,664,335,244,221,283,371
CITY OF BURBANK,N,60155,TOTAL,9510,231,719,1233,148,564,179,1364,664,488,395,524,712
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,30,73,244,18,63,28,210,80,45,47,52,106
CITY OF CALABASAS,N,0,VBM PORTION,1873,60,123,302,8,51,26,246,105,67,71,88,148
CITY OF CALABASAS,N,14914,TOTAL,3327,90,196,546,26,114,54,456,185,112,118,140,254
CITY OF CARSON,N,52903,POLLING PLACE,5087,141,278,301,70,144,174,890,833,502,408,286,280
CITY OF CARSON,N,0,VBM PORTION,4089,137,207,272,47,129,136,491,483,399,348,366,307
CITY OF CARSON,N,52903,TOTAL,9175,278,485,573,117,273,310,1381,1316,901,756,652,587
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,104,365,365,34,169,76,269,231,170,108,156,175
CITY OF CERRITOS,N,0,VBM PORTION,3286,161,521,292,15,176,46,297,172,120,132,337,208
CITY OF CERRITOS,N,31594,TOTAL,6062,265,886,657,49,345,122,566,403,290,240,493,383
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,56,177,708,60,112,33,424,222,105,90,111,123
CITY OF CLAREMONT,N,0,VBM PORTION,2652,42,143,495,50,110,17,444,151,89,117,145,166
CITY OF CLAREMONT,N,22235,TOTAL,5533,98,320,1203,110,222,50,868,373,194,207,256,289
CITY OF COMMERCE,N,6256,POLLING PLACE,444,6,28,21,6,15,59,70,19,76,9,26,34
CITY OF COMMERCE,N,0,VBM PORTION,247,9,15,8,2,10,29,33,24,44,10,16,14
CITY OF COMMERCE,N,6256,TOTAL,686,15,43,29,8,25,88,103,43,120,19,42,48
CITY OF COMPTON,N,43063,POLLING PLACE,3022,36,132,116,53,74,97,555,757,268,256,121,142
CITY OF COMPTON,N,0,VBM PORTION,1873,29,54,104,26,43,58,231,351,158,212,136,129
CITY OF COMPTON,N,43063,TOTAL,4894,65,186,220,79,117,155,786,1108,426,468,257,271
CITY OF COVINA,N,26090,POLLING PLACE,2040,65,107,279,25,62,48,275,166,281,90,102,177
CITY OF COVINA,N,0,VBM PORTION,1877,46,118,184,16,52,44,279,153,205,87,85,168
CITY OF COVINA,N,26090,TOTAL,3913,111,225,463,41,114,92,554,319,486,177,187,345
CITY OF CUDAHY,N,6697,POLLING PLACE,376,9,28,23,0,11,51,41,22,89,12,18,7
CITY OF CUDAHY,N,0,VBM PORTION,164,6,20,3,1,3,20,24,16,34,6,6,8
CITY OF CUDAHY,N,6697,TOTAL,539,15,48,26,1,14,71,65,38,123,18,24,15
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,118,180,628,44,120,54,721,229,107,111,150,149
CITY OF CULVER CITY,N,0,VBM PORTION,3120,107,140,434,43,89,17,731,204,105,104,133,155
CITY OF CULVER CITY,N,26286,TOTAL,6708,225,320,1062,87,209,71,1452,433,212,215,283,304
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,77,368,341,74,152,52,247,149,206,110,134,184
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,85,479,324,61,136,46,295,123,147,135,271,230
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,162,847,665,135,288,98,542,272,353,245,405,414
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,132,599,583,71,322,398,690,295,621,210,294,423
CITY OF DOWNEY,N,0,VBM PORTION,3452,79,343,323,25,138,156,446,181,278,161,233,290
CITY OF DOWNEY,N,54713,TOTAL,9292,211,942,906,96,460,554,1136,476,899,371,527,713
CITY OF DUARTE,N,11742,POLLING PLACE,960,19,67,140,6,24,29,133,67,150,33,42,58
CITY OF DUARTE,N,0,VBM PORTION,1099,31,86,116,12,28,19,144,79,148,62,64,81
CITY OF DUARTE,N,11742,TOTAL,2059,50,153,256,18,52,48,277,146,298,95,106,139
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,72,195,181,27,63,163,236,135,516,114,132,124
CITY OF EL MONTE,N,0,VBM PORTION,1885,50,266,119,24,64,69,181,119,292,86,193,98
CITY OF EL MONTE,N,36036,TOTAL,4201,122,461,300,51,127,232,417,254,808,200,325,222
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,47,179,206,10,36,20,173,86,74,54,78,128
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,45,174,171,9,25,21,136,76,63,68,73,115
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,92,353,377,19,61,41,309,162,137,122,151,243
CITY OF GARDENA,N,30000,POLLING PLACE,2779,178,210,176,23,68,67,439,477,126,165,235,165
CITY OF GARDENA,N,0,VBM PORTION,2597,263,179,155,24,66,55,273,250,131,148,339,196
CITY OF GARDENA,N,30000,TOTAL,5358,441,389,331,47,134,122,712,727,257,313,574,361
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,184,456,1451,137,555,203,1238,528,498,324,404,546
CITY OF GLENDALE,N,0,VBM PORTION,12284,275,614,1272,162,680,188,1330,502,511,397,588,590
CITY OF GLENDALE,N,97282,TOTAL,21689,459,1070,2723,299,1235,391,2568,1030,1009,721,992,1136
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,64,175,435,18,68,62,389,328,282,112,94,229
CITY OF GLENDORA,N,0,VBM PORTION,2920,79,214,374,17,72,31,348,231,269,122,162,281
CITY OF GLENDORA,N,31341,TOTAL,5784,143,389,809,35,140,93,737,559,551,234,256,510
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,9,25,13,1,5,30,28,21,60,10,13,18
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,2,36,19,0,6,7,24,31,47,20,42,12
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,11,61,32,1,11,37,52,52,107,30,55,30
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,56,194,168,28,74,114,368,487,223,126,89,138
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,70,157,148,23,68,48,226,273,186,151,123,172
CITY OF HAWTHORNE,N,36483,TOTAL,4464,126,351,316,51,142,162,594,760,409,277,212,310
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,34,104,298,14,48,19,213,68,57,65,125,147
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,28,108,232,7,35,21,239,68,33,78,137,140
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,62,212,530,21,83,40,452,136,90,143,262,287
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,4,16,29,0,2,3,23,5,5,4,5,10
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,3,12,23,0,4,2,17,4,3,11,1,12
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,7,28,52,0,6,5,40,9,8,15,6,22
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,30,117,51,17,19,145,117,67,200,41,36,36
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,15,79,30,8,19,84,66,19,104,22,22,19
