LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,STEVE FOX,KERMIT F FRANKLIN,TOM LACKEY,SUZETTE M MARTINEZ,JD KENNEDY
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,1801,233,1839,466,847
CITY OF LANCASTER,N,0,VBM PORTION,6128,2006,337,2323,456,616
CITY OF LANCASTER,N,73718,TOTAL,11514,3807,570,4162,922,1463
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,1999,272,1665,415,505
CITY OF PALMDALE,N,0,VBM PORTION,5361,1949,314,1858,437,468
CITY OF PALMDALE,N,69762,TOTAL,10378,3948,586,3523,852,973
CITY OF SANTA CLARITA,N,6307,POLLING PLACE,516,126,14,216,65,52
CITY OF SANTA CLARITA,N,0,VBM PORTION,665,175,24,287,70,46
CITY OF SANTA CLARITA,N,6307,TOTAL,1176,301,38,503,135,98
UNINCORPORATED,N,45616,POLLING PLACE,4778,1204,167,1977,472,770
UNINCORPORATED,N,0,VBM PORTION,4998,1276,180,2169,453,549
UNINCORPORATED,N,45616,TOTAL,9768,2480,347,4146,925,1319
