LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LUIS J RODRIGUEZ,ALMA MARIE WINSTON,EDMUND G BROWN,JANEL H BUYCKS,ANDREW BLOUNT,RAKESH K CHRISTIAN,GLENN CHAMP,NEEL KASHKARI,TIM DONNELLY,"""BO"" B AMBROZEWICZ",AKINYEMI AGBEDE,RICHARD W AGUIRRE,ROBERT NEWMAN,CINDY L SHEEHAN,JOE LEICHT
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,16,6,803,4,32,11,17,468,169,6,9,1,10,9,0
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,10,7,752,6,39,2,26,422,171,9,10,3,8,11,2
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,26,13,1555,10,71,13,43,890,340,15,19,4,18,20,2
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,67,17,1710,15,40,4,36,370,299,7,31,15,20,31,2
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,29,29,1504,25,61,9,29,379,304,5,39,13,21,38,3
CITY OF ALHAMBRA,N,37025,TOTAL,5368,96,46,3214,40,101,13,65,749,603,12,70,28,41,69,5
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,11,19,966,12,40,11,41,699,460,3,13,4,8,22,6
CITY OF ARCADIA,N,0,VBM PORTION,3054,21,28,1283,14,82,7,54,847,540,6,9,8,11,20,4
CITY OF ARCADIA,N,29165,TOTAL,5433,32,47,2249,26,122,18,95,1546,1000,9,22,12,19,42,10
CITY OF ARTESIA,N,7390,POLLING PLACE,555,30,14,267,0,9,6,9,84,67,2,8,2,11,11,3
CITY OF ARTESIA,N,0,VBM PORTION,596,7,6,288,3,11,0,17,110,82,4,7,8,21,4,1
CITY OF ARTESIA,N,7390,TOTAL,1149,37,20,555,3,20,6,26,194,149,6,15,10,32,15,4
CITY OF AVALON,N,1730,POLLING PLACE,190,6,3,82,1,3,0,1,46,25,1,2,0,2,6,1
CITY OF AVALON,N,0,VBM PORTION,184,6,2,73,0,2,1,5,53,29,1,3,1,0,1,1
CITY OF AVALON,N,1730,TOTAL,374,12,5,155,1,5,1,6,99,54,2,5,1,2,7,2
CITY OF AZUSA,N,18442,POLLING PLACE,1308,26,4,731,12,29,7,16,211,181,6,19,8,7,9,0
CITY OF AZUSA,N,0,VBM PORTION,1201,14,6,620,6,36,0,22,240,164,4,22,3,9,11,0
CITY OF AZUSA,N,18442,TOTAL,2508,40,10,1351,18,65,7,38,451,345,10,41,11,16,20,0
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,50,9,1140,11,32,7,16,156,120,6,27,18,11,13,1
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,27,11,922,15,29,7,19,95,113,3,20,9,8,11,0
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,77,20,2062,26,61,14,35,251,233,9,47,27,19,24,1
CITY OF BELL,N,11175,POLLING PLACE,618,18,1,435,4,7,5,1,41,41,4,17,8,3,5,3
CITY OF BELL,N,0,VBM PORTION,349,9,4,214,2,5,1,5,49,33,0,2,2,2,4,0
CITY OF BELL,N,11175,TOTAL,966,27,5,649,6,12,6,6,90,74,4,19,10,5,9,3
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,50,12,341,1,7,3,3,26,18,2,13,7,13,10,5
CITY OF BELL GARDENS,N,0,VBM PORTION,316,8,8,200,4,6,1,3,18,23,0,11,0,9,7,0
CITY OF BELL GARDENS,N,12887,TOTAL,855,58,20,541,5,13,4,6,44,41,2,24,7,22,17,5
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,45,29,983,10,23,8,40,412,344,13,35,14,35,23,5
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,30,30,884,19,27,2,44,398,275,6,31,12,44,38,5
CITY OF BELLFLOWER,N,34364,TOTAL,4019,75,59,1867,29,50,10,84,810,619,19,66,26,79,61,10
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,14,10,1246,0,52,8,19,388,118,6,11,9,12,26,4
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,13,9,1473,6,69,1,41,485,164,7,6,8,6,14,4
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,27,19,2719,6,121,9,60,873,282,13,17,17,18,40,8
CITY OF BRADBURY,N,599,POLLING PLACE,66,0,0,23,0,4,0,0,23,14,2,0,0,0,0,0
CITY OF BRADBURY,N,0,VBM PORTION,67,0,1,22,0,5,0,0,17,18,0,0,0,4,0,0
CITY OF BRADBURY,N,599,TOTAL,133,0,1,45,0,9,0,0,40,32,2,0,0,4,0,0
CITY OF BURBANK,N,60155,POLLING PLACE,4654,78,36,2443,8,41,7,57,1012,681,14,22,17,52,73,8
CITY OF BURBANK,N,0,VBM PORTION,4858,56,59,2505,10,90,8,85,1018,656,19,23,13,46,67,12
CITY OF BURBANK,N,60155,TOTAL,9510,134,95,4948,18,131,15,142,2030,1337,33,45,30,98,140,20
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,12,20,773,3,20,4,14,345,137,3,7,6,6,31,3
CITY OF CALABASAS,N,0,VBM PORTION,1873,13,25,966,1,45,2,18,505,171,4,6,10,7,18,9
CITY OF CALABASAS,N,14914,TOTAL,3327,25,45,1739,4,65,6,32,850,308,7,13,16,13,49,12
CITY OF CARSON,N,52903,POLLING PLACE,5087,65,19,3618,62,58,21,41,392,347,10,136,19,33,43,4
CITY OF CARSON,N,0,VBM PORTION,4089,35,29,2772,51,55,6,42,368,337,8,96,12,28,39,6
CITY OF CARSON,N,52903,TOTAL,9175,100,48,6390,113,113,27,83,760,684,18,232,31,61,82,10
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,24,22,1374,13,27,13,44,638,448,4,12,9,25,26,11
CITY OF CERRITOS,N,0,VBM PORTION,3286,19,50,1718,11,64,20,70,571,480,7,33,13,34,30,5
CITY OF CERRITOS,N,31594,TOTAL,6062,43,72,3092,24,91,33,114,1209,928,11,45,22,59,56,16
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,28,6,1745,4,10,7,16,497,393,3,28,25,20,31,3
CITY OF CLAREMONT,N,0,VBM PORTION,2652,27,22,1525,2,23,5,25,498,364,1,16,17,11,24,8
CITY OF CLAREMONT,N,22235,TOTAL,5533,55,28,3270,6,33,12,41,995,757,4,44,42,31,55,11
CITY OF COMMERCE,N,6256,POLLING PLACE,444,23,6,285,3,2,1,2,26,31,3,13,6,12,4,2
CITY OF COMMERCE,N,0,VBM PORTION,247,7,3,167,2,0,0,4,11,19,0,6,1,4,2,1
CITY OF COMMERCE,N,6256,TOTAL,686,30,9,452,5,2,1,6,37,50,3,19,7,16,6,3
CITY OF COMPTON,N,43063,POLLING PLACE,3022,78,17,2361,52,21,9,12,60,84,5,125,15,14,18,5
CITY OF COMPTON,N,0,VBM PORTION,1873,15,18,1497,15,8,4,7,50,50,1,83,6,9,16,3
CITY OF COMPTON,N,43063,TOTAL,4894,93,35,3858,67,29,13,19,110,134,6,208,21,23,34,8
CITY OF COVINA,N,26090,POLLING PLACE,2040,12,4,919,11,54,13,25,553,349,8,12,7,11,19,8
CITY OF COVINA,N,0,VBM PORTION,1877,11,13,890,12,55,8,23,465,277,5,12,7,22,8,1
CITY OF COVINA,N,26090,TOTAL,3913,23,17,1809,23,109,21,48,1018,626,13,24,14,33,27,9
CITY OF CUDAHY,N,6697,POLLING PLACE,376,11,2,279,4,1,0,4,13,21,2,13,5,3,4,0
CITY OF CUDAHY,N,0,VBM PORTION,164,8,1,122,1,3,0,2,8,7,0,4,0,1,0,0
CITY OF CUDAHY,N,6697,TOTAL,539,19,3,401,5,4,0,6,21,28,2,17,5,4,4,0
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,63,13,2460,7,10,2,18,391,310,23,47,16,17,54,5
CITY OF CULVER CITY,N,0,VBM PORTION,3120,38,15,2103,14,21,2,20,367,246,8,18,6,12,50,4
CITY OF CULVER CITY,N,26286,TOTAL,6708,101,28,4563,21,31,4,38,758,556,31,65,22,29,104,9
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,15,27,1130,8,36,8,26,700,491,14,22,30,15,20,2
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,16,31,1314,11,72,9,50,694,538,16,32,27,26,24,4
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,31,58,2444,19,108,17,76,1394,1029,30,54,57,41,44,6
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,134,88,2772,17,96,17,102,1351,716,29,54,36,93,58,18
CITY OF DOWNEY,N,0,VBM PORTION,3452,51,52,1597,10,55,6,60,821,452,16,43,23,38,35,13
CITY OF DOWNEY,N,54713,TOTAL,9292,185,140,4369,27,151,23,162,2172,1168,45,97,59,131,93,31
CITY OF DUARTE,N,11742,POLLING PLACE,960,11,2,493,9,21,4,6,201,165,2,4,2,3,8,1
CITY OF DUARTE,N,0,VBM PORTION,1099,8,2,589,7,27,3,25,195,158,5,16,8,12,7,3
CITY OF DUARTE,N,11742,TOTAL,2059,19,4,1082,16,48,7,31,396,323,7,20,10,15,15,4
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,89,22,1435,24,53,11,24,242,192,9,45,26,13,19,9
CITY OF EL MONTE,N,0,VBM PORTION,1885,21,16,1157,26,64,12,28,206,165,6,41,10,18,20,4
CITY OF EL MONTE,N,36036,TOTAL,4201,110,38,2592,50,117,23,52,448,357,15,86,36,31,39,13
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,16,28,656,4,20,2,12,399,241,6,3,6,8,13,6
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,7,40,609,5,31,0,16,373,215,3,3,3,6,10,2
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,23,68,1265,9,51,2,28,772,456,9,6,9,14,23,8
CITY OF GARDENA,N,30000,POLLING PLACE,2779,34,31,1846,12,24,18,31,297,244,13,55,10,7,13,5
CITY OF GARDENA,N,0,VBM PORTION,2597,22,30,1646,13,43,13,30,277,247,4,44,9,24,32,5
CITY OF GARDENA,N,30000,TOTAL,5358,56,61,3492,25,67,31,61,574,491,17,99,19,31,45,10
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,123,107,4560,21,125,29,115,1737,1135,27,44,51,100,136,29
CITY OF GLENDALE,N,0,VBM PORTION,12284,113,139,5344,26,179,35,187,1695,1120,31,72,61,123,146,29
CITY OF GLENDALE,N,97282,TOTAL,21689,236,246,9904,47,304,64,302,3432,2255,58,116,112,223,282,58
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,17,5,914,12,66,8,27,1012,696,6,7,4,22,15,3
CITY OF GLENDORA,N,0,VBM PORTION,2920,12,10,1052,15,97,6,44,953,601,6,6,5,28,13,9
CITY OF GLENDORA,N,31341,TOTAL,5784,29,15,1966,27,163,14,71,1965,1297,12,13,9,50,28,12
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,10,2,167,1,7,2,8,36,26,1,7,0,8,2,0
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,7,0,167,1,22,1,1,26,47,2,3,1,5,8,1
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,17,2,334,2,29,3,9,62,73,3,10,1,13,10,1
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,45,60,1650,18,21,7,20,262,185,1,36,8,15,16,3
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,30,52,1236,18,35,13,32,273,177,2,33,5,18,18,3
CITY OF HAWTHORNE,N,36483,TOTAL,4464,75,112,2886,36,56,20,52,535,362,3,69,13,33,34,6
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,25,7,928,5,14,6,22,406,189,5,6,6,9,23,6
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,20,5,854,4,28,5,24,414,196,3,4,7,7,26,4
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,45,12,1782,9,42,11,46,820,385,8,10,13,16,49,10
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,1,1,57,0,1,0,1,51,27,1,2,0,0,0,2
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,1,3,49,0,5,0,2,45,13,0,1,1,1,0,1
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,2,4,106,0,6,0,3,96,40,1,3,1,1,0,3
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,78,19,616,2,2,3,5,50,75,8,44,16,11,23,6
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,27,8,373,3,6,5,6,53,32,1,17,4,9,3,0
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,105,27,989,5,8,8,11,103,107,9,61,20,20,26,6
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,1,0,3,0,0,0,0,6,19,0,0,1,1,0,0
