LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JAMES B PIERCE,CAROL NAJERA
CUDAHY,1550009A,585,164,N,0,VBM PORTION,29,11,15
CUDAHY,1550009A,585,164,N,990,TOTAL,84,23,46
CUDAHY,1550010A,586,164,N,1043,POLLING PLACE,59,12,38
CUDAHY,1550010A,586,164,N,0,VBM PORTION,24,12,9
CUDAHY,1550010A,586,164,N,1043,TOTAL,83,24,47
CUDAHY,1550020A,587,164,N,1300,POLLING PLACE,79,21,37
CUDAHY,1550020A,587,164,N,0,VBM PORTION,37,13,14
CUDAHY,1550020A,587,164,N,1300,TOTAL,116,34,51
CULVER CITY,1600001A,588,115,N,960,POLLING PLACE,85,37,28
CULVER CITY,1600001A,588,115,N,0,VBM PORTION,78,28,21
CULVER CITY,1600001A,588,115,N,960,TOTAL,163,65,49
CULVER CITY,1600001B,6037,116,Y,0,POLLING PLACE,0,0,0
CULVER CITY,1600001B,6037,116,Y,0,VBM PORTION,0,0,0
CULVER CITY,1600001B,6037,116,Y,0,TOTAL,0,0,0
CULVER CITY,1600002A,589,115,N,782,POLLING PLACE,79,32,25
CULVER CITY,1600002A,589,115,N,0,VBM PORTION,62,25,18
CULVER CITY,1600002A,589,115,N,782,TOTAL,141,57,43
CULVER CITY,1600003A,590,115,N,1057,POLLING PLACE,138,46,50
CULVER CITY,1600003A,590,115,N,0,VBM PORTION,105,35,28
CULVER CITY,1600003A,590,115,N,1057,TOTAL,243,81,78
CULVER CITY,1600004A,591,115,N,1147,POLLING PLACE,122,37,35
CULVER CITY,1600004A,591,115,N,0,VBM PORTION,112,46,31
CULVER CITY,1600004A,591,115,N,1147,TOTAL,234,83,66
CULVER CITY,1600004D,6038,116,Y,0,POLLING PLACE,0,0,0
CULVER CITY,1600004D,6038,116,Y,0,VBM PORTION,0,0,0
CULVER CITY,1600004D,6038,116,Y,0,TOTAL,0,0,0
CULVER CITY,1600005A,592,115,N,940,POLLING PLACE,105,37,42
CULVER CITY,1600005A,592,115,N,0,VBM PORTION,91,34,31
CULVER CITY,1600005A,592,115,N,940,TOTAL,196,71,73
CULVER CITY,1600007A,593,115,N,1313,POLLING PLACE,213,81,60
CULVER CITY,1600007A,593,115,N,0,VBM PORTION,179,65,46
CULVER CITY,1600007A,593,115,N,1313,TOTAL,392,146,106
CULVER CITY,1600008A,594,115,N,1204,POLLING PLACE,303,109,85
CULVER CITY,1600008A,594,115,N,0,VBM PORTION,160,63,36
CULVER CITY,1600008A,594,115,N,1204,TOTAL,463,172,121
CULVER CITY,1600011A,595,115,N,1263,POLLING PLACE,128,53,34
CULVER CITY,1600011A,595,115,N,0,VBM PORTION,170,64,52
CULVER CITY,1600011A,595,115,N,1263,TOTAL,298,117,86
CULVER CITY,1600013B,596,115,N,1183,POLLING PLACE,253,88,73
CULVER CITY,1600013B,596,115,N,0,VBM PORTION,146,53,29
CULVER CITY,1600013B,596,115,N,1183,TOTAL,399,141,102
CULVER CITY,1600014A,597,115,N,482,POLLING PLACE,67,32,13
CULVER CITY,1600014A,597,115,N,0,VBM PORTION,93,35,34
CULVER CITY,1600014A,597,115,N,482,TOTAL,160,67,47
CULVER CITY,1600014C,6039,116,Y,0,POLLING PLACE,0,0,0
CULVER CITY,1600014C,6039,116,Y,0,VBM PORTION,0,0,0
CULVER CITY,1600014C,6039,116,Y,0,TOTAL,0,0,0
CULVER CITY,1600017B,598,115,N,1176,POLLING PLACE,80,24,17
CULVER CITY,1600017B,598,115,N,0,VBM PORTION,124,55,32
CULVER CITY,1600017B,598,115,N,1176,TOTAL,204,79,49
CULVER CITY,1600018A,599,115,N,965,POLLING PLACE,68,28,27
CULVER CITY,1600018A,599,115,N,0,VBM PORTION,70,20,37
CULVER CITY,1600018A,599,115,N,965,TOTAL,138,48,64
CULVER CITY,1600022A,600,115,N,673,POLLING PLACE,125,37,33
CULVER CITY,1600022A,600,115,N,0,VBM PORTION,78,31,27
CULVER CITY,1600022A,600,115,N,673,TOTAL,203,68,60
CULVER CITY,1600024A,601,115,N,1275,POLLING PLACE,147,45,47
CULVER CITY,1600024A,601,115,N,0,VBM PORTION,138,54,48
CULVER CITY,1600024A,601,115,N,1275,TOTAL,285,99,95
CULVER CITY,1600025A,602,115,N,999,POLLING PLACE,216,84,48
CULVER CITY,1600025A,602,115,N,0,VBM PORTION,170,64,42
CULVER CITY,1600025A,602,115,N,999,TOTAL,386,148,90
CULVER CITY,1600027C,603,115,N,664,POLLING PLACE,102,33,29
CULVER CITY,1600027C,603,115,N,0,VBM PORTION,93,34,16
CULVER CITY,1600027C,603,115,N,664,TOTAL,195,67,45
CULVER CITY,1600028A,604,115,N,1291,POLLING PLACE,167,69,51
CULVER CITY,1600028A,604,115,N,0,VBM PORTION,198,66,71
CULVER CITY,1600028A,604,115,N,1291,TOTAL,365,135,122
CULVER CITY,1600031C,605,115,N,1064,POLLING PLACE,152,68,38
CULVER CITY,1600031C,605,115,N,0,VBM PORTION,148,69,47
CULVER CITY,1600031C,605,115,N,1064,TOTAL,300,137,85
CULVER CITY,1600034A,606,115,N,1195,POLLING PLACE,220,90,51
CULVER CITY,1600034A,606,115,N,0,VBM PORTION,198,96,31
CULVER CITY,1600034A,606,115,N,1195,TOTAL,418,186,82
CULVER CITY,1600042A,607,115,N,794,POLLING PLACE,173,69,45
CULVER CITY,1600042A,607,115,N,0,VBM PORTION,137,54,34
CULVER CITY,1600042A,607,115,N,794,TOTAL,310,123,79
CULVER CITY,1600045A,608,115,N,1024,POLLING PLACE,105,40,31
CULVER CITY,1600045A,608,115,N,0,VBM PORTION,110,33,29
CULVER CITY,1600045A,608,115,N,1024,TOTAL,215,73,60
CULVER CITY,1600055A,609,115,N,1182,POLLING PLACE,153,60,35
CULVER CITY,1600055A,609,115,N,0,VBM PORTION,86,30,18
CULVER CITY,1600055A,609,115,N,1182,TOTAL,239,90,53
CULVER CITY,1600071C,6040,114,Y,1,POLLING PLACE,0,0,0
CULVER CITY,1600071C,6040,114,Y,0,VBM PORTION,0,0,0
CULVER CITY,1600071C,6040,114,Y,1,TOTAL,0,0,0
CULVER CITY,1600073A,610,115,N,1290,POLLING PLACE,138,51,49
CULVER CITY,1600073A,610,115,N,0,VBM PORTION,88,35,26
CULVER CITY,1600073A,610,115,N,1290,TOTAL,226,86,75
CULVER CITY,1600074B,611,115,N,1163,POLLING PLACE,129,50,48
CULVER CITY,1600074B,611,115,N,0,VBM PORTION,127,41,43
CULVER CITY,1600074B,611,115,N,1163,TOTAL,256,91,91
CULVER CITY,1600076A,612,115,N,1199,POLLING PLACE,133,60,41
CULVER CITY,1600076A,612,115,N,0,VBM PORTION,133,51,39
CULVER CITY,1600076A,612,115,N,1199,TOTAL,266,111,80
DEL AIRE,1680001A,613,162,N,889,POLLING PLACE,81,28,29
DEL AIRE,1680001A,613,162,N,0,VBM PORTION,58,17,27
DEL AIRE,1680001A,613,162,N,889,TOTAL,139,45,56
DEL AIRE,1680002B,614,162,N,1004,POLLING PLACE,121,46,46
DEL AIRE,1680002B,614,162,N,0,VBM PORTION,90,21,45
DEL AIRE,1680002B,614,162,N,1004,TOTAL,211,67,91
DEL AIRE,1680003A,615,162,N,917,POLLING PLACE,69,15,37
DEL AIRE,1680003A,615,162,N,0,VBM PORTION,78,24,36
DEL AIRE,1680003A,615,162,N,917,TOTAL,147,39,73
DEL AIRE,1680004A,616,162,N,807,POLLING PLACE,81,27,39
DEL AIRE,1680004A,616,162,N,0,VBM PORTION,59,19,25
DEL AIRE,1680004A,616,162,N,807,TOTAL,140,46,64
DEL AIRE,1680005A,617,162,N,432,POLLING PLACE,34,10,16
DEL AIRE,1680005A,617,162,N,0,VBM PORTION,32,8,14
DEL AIRE,1680005A,617,162,N,432,TOTAL,66,18,30
DEL AIRE,1680006C,618,162,N,673,POLLING PLACE,55,23,23
DEL AIRE,1680006C,618,162,N,0,VBM PORTION,45,15,22
DEL AIRE,1680006C,618,162,N,673,TOTAL,100,38,45
DEL AIRE,1680007A,619,162,N,1032,POLLING PLACE,99,33,39
DEL AIRE,1680007A,619,162,N,0,VBM PORTION,52,15,15
DEL AIRE,1680007A,619,162,N,1032,TOTAL,151,48,54
DEL SUR,1750001A,620,3,N,1021,POLLING PLACE,128,42,47
DEL SUR,1750001A,620,3,N,0,VBM PORTION,104,29,43
DEL SUR,1750001A,620,3,N,1021,TOTAL,232,71,90
DEL SUR,1750052A,6041,2,Y,279,POLLING PLACE,0,0,0
DEL SUR,1750052A,6041,2,Y,0,VBM PORTION,132,40,64
DEL SUR,1750052A,6041,2,Y,279,TOTAL,132,40,64
DEL SUR,1750054A,621,3,N,705,POLLING PLACE,99,27,46
DEL SUR,1750054A,621,3,N,0,VBM PORTION,91,31,44
DEL SUR,1750054A,621,3,N,705,TOTAL,190,58,90
DEL SUR,1750055A,622,2,N,1325,POLLING PLACE,208,58,104
DEL SUR,1750055A,622,2,N,0,VBM PORTION,138,30,78
DEL SUR,1750055A,622,2,N,1325,TOTAL,346,88,182
DEL SUR,1750061D,6042,2,Y,90,POLLING PLACE,0,0,0
DEL SUR,1750061D,6042,2,Y,0,VBM PORTION,27,10,11
DEL SUR,1750061D,6042,2,Y,90,TOTAL,27,10,11
DESERT,1770001A,623,3,N,1173,POLLING PLACE,122,46,46
DESERT,1770001A,623,3,N,0,VBM PORTION,59,20,19
DESERT,1770001A,623,3,N,1173,TOTAL,181,66,65
DESERT,1770004A,624,3,N,1193,POLLING PLACE,144,52,53
DESERT,1770004A,624,3,N,0,VBM PORTION,173,74,69
DESERT,1770004A,624,3,N,1193,TOTAL,317,126,122
DESERT,1770015A,625,3,N,977,POLLING PLACE,87,29,34
DESERT,1770015A,625,3,N,0,VBM PORTION,150,45,79
DESERT,1770015A,625,3,N,977,TOTAL,237,74,113
DESERT,1770016A,626,3,N,419,POLLING PLACE,42,13,14
DESERT,1770016A,626,3,N,0,VBM PORTION,51,17,24
DESERT,1770016A,626,3,N,419,TOTAL,93,30,38
DESERT,1770063A,6043,3,Y,2,POLLING PLACE,0,0,0
DESERT,1770063A,6043,3,Y,0,VBM PORTION,0,0,0
DESERT,1770063A,6043,3,Y,2,TOTAL,0,0,0
DIAMOND BAR,1780001A,627,122,N,1214,POLLING PLACE,92,27,32
DIAMOND BAR,1780001A,627,122,N,0,VBM PORTION,113,33,36
DIAMOND BAR,1780001A,627,122,N,1214,TOTAL,205,60,68
DIAMOND BAR,1780002A,628,122,N,1233,POLLING PLACE,118,38,52
DIAMOND BAR,1780002A,628,122,N,0,VBM PORTION,108,35,51
DIAMOND BAR,1780002A,628,122,N,1233,TOTAL,226,73,103
DIAMOND BAR,1780004A,629,122,N,1243,POLLING PLACE,89,32,35
DIAMOND BAR,1780004A,629,122,N,0,VBM PORTION,124,37,46
DIAMOND BAR,1780004A,629,122,N,1243,TOTAL,213,69,81
DIAMOND BAR,1780006A,630,122,N,1139,POLLING PLACE,78,30,23
DIAMOND BAR,1780006A,630,122,N,0,VBM PORTION,112,34,46
DIAMOND BAR,1780006A,630,122,N,1139,TOTAL,190,64,69
DIAMOND BAR,1780007B,631,122,N,1132,POLLING PLACE,96,23,41
DIAMOND BAR,1780007B,631,122,N,0,VBM PORTION,99,43,27
DIAMOND BAR,1780007B,631,122,N,1132,TOTAL,195,66,68
DIAMOND BAR,1780008A,632,122,N,1256,POLLING PLACE,85,30,32
DIAMOND BAR,1780008A,632,122,N,0,VBM PORTION,159,48,58
DIAMOND BAR,1780008A,632,122,N,1256,TOTAL,244,78,90
DIAMOND BAR,1780014A,633,122,N,1277,POLLING PLACE,93,41,40
DIAMOND BAR,1780014A,633,122,N,0,VBM PORTION,119,41,46
DIAMOND BAR,1780014A,633,122,N,1277,TOTAL,212,82,86
DIAMOND BAR,1780020A,634,122,N,1147,POLLING PLACE,108,29,44
DIAMOND BAR,1780020A,634,122,N,0,VBM PORTION,139,61,43
DIAMOND BAR,1780020A,634,122,N,1147,TOTAL,247,90,87
DIAMOND BAR,1780021A,635,122,N,1087,POLLING PLACE,87,34,31
DIAMOND BAR,1780021A,635,122,N,0,VBM PORTION,108,29,40
DIAMOND BAR,1780021A,635,122,N,1087,TOTAL,195,63,71
DIAMOND BAR,1780041A,636,122,N,1222,POLLING PLACE,124,36,44
DIAMOND BAR,1780041A,636,122,N,0,VBM PORTION,112,37,34
DIAMOND BAR,1780041A,636,122,N,1222,TOTAL,236,73,78
DIAMOND BAR,1780043B,637,122,N,1231,POLLING PLACE,113,33,49
DIAMOND BAR,1780043B,637,122,N,0,VBM PORTION,119,41,32
DIAMOND BAR,1780043B,637,122,N,1231,TOTAL,232,74,81
DIAMOND BAR,1780063A,638,122,N,613,POLLING PLACE,58,15,35
DIAMOND BAR,1780063A,638,122,N,0,VBM PORTION,71,19,30
DIAMOND BAR,1780063A,638,122,N,613,TOTAL,129,34,65
DIAMOND BAR,1780063B,639,122,N,928,POLLING PLACE,108,33,51
DIAMOND BAR,1780063B,639,122,N,0,VBM PORTION,79,21,39
DIAMOND BAR,1780063B,639,122,N,928,TOTAL,187,54,90
DIAMOND BAR,1780065B,640,122,N,957,POLLING PLACE,114,42,49
DIAMOND BAR,1780065B,640,122,N,0,VBM PORTION,115,37,39
DIAMOND BAR,1780065B,640,122,N,957,TOTAL,229,79,88
DIAMOND BAR,1780066A,641,122,N,898,POLLING PLACE,71,23,32
DIAMOND BAR,1780066A,641,122,N,0,VBM PORTION,88,28,32
DIAMOND BAR,1780066A,641,122,N,898,TOTAL,159,51,64
DIAMOND BAR,1780067A,642,122,N,906,POLLING PLACE,112,40,35
DIAMOND BAR,1780067A,642,122,N,0,VBM PORTION,81,29,32
DIAMOND BAR,1780067A,642,122,N,906,TOTAL,193,69,67
DIAMOND BAR,1780068A,643,122,N,1129,POLLING PLACE,96,31,41
DIAMOND BAR,1780068A,643,122,N,0,VBM PORTION,88,27,24
DIAMOND BAR,1780068A,643,122,N,1129,TOTAL,184,58,65
DIAMOND BAR,1780069A,644,122,N,1066,POLLING PLACE,64,21,29
DIAMOND BAR,1780069A,644,122,N,0,VBM PORTION,102,43,38
DIAMOND BAR,1780069A,644,122,N,1066,TOTAL,166,64,67
DIAMOND BAR,1780070A,645,122,N,1129,POLLING PLACE,99,30,47
DIAMOND BAR,1780070A,645,122,N,0,VBM PORTION,135,56,49
DIAMOND BAR,1780070A,645,122,N,1129,TOTAL,234,86,96
DIAMOND BAR,1780071C,646,122,N,1082,POLLING PLACE,61,19,18
DIAMOND BAR,1780071C,646,122,N,0,VBM PORTION,108,36,41
DIAMOND BAR,1780071C,646,122,N,1082,TOTAL,169,55,59
DIAMOND BAR,1780072A,647,122,N,883,POLLING PLACE,95,24,47
DIAMOND BAR,1780072A,647,122,N,0,VBM PORTION,73,15,32
DIAMOND BAR,1780072A,647,122,N,883,TOTAL,168,39,79
DIAMOND BAR,1780073A,648,122,N,921,POLLING PLACE,96,36,36
DIAMOND BAR,1780073A,648,122,N,0,VBM PORTION,100,36,40
DIAMOND BAR,1780073A,648,122,N,921,TOTAL,196,72,76
DIAMOND BAR,1780075A,649,122,N,950,POLLING PLACE,58,21,29
DIAMOND BAR,1780075A,649,122,N,0,VBM PORTION,88,33,40
DIAMOND BAR,1780075A,649,122,N,950,TOTAL,146,54,69
DIAMOND BAR,1780077A,650,122,N,922,POLLING PLACE,63,28,21
DIAMOND BAR,1780077A,650,122,N,0,VBM PORTION,80,33,20
DIAMOND BAR,1780077A,650,122,N,922,TOTAL,143,61,41
DIAMOND BAR,1780078A,651,122,N,1014,POLLING PLACE,66,24,28
DIAMOND BAR,1780078A,651,122,N,0,VBM PORTION,96,29,31
DIAMOND BAR,1780078A,651,122,N,1014,TOTAL,162,53,59
DIAMOND BAR,1780081A,652,122,N,654,POLLING PLACE,48,11,21
DIAMOND BAR,1780081A,652,122,N,0,VBM PORTION,56,13,23
DIAMOND BAR,1780081A,652,122,N,654,TOTAL,104,24,44
DIAMOND BAR,1780085A,653,122,N,774,POLLING PLACE,63,21,23
DIAMOND BAR,1780085A,653,122,N,0,VBM PORTION,58,20,19
DIAMOND BAR,1780085A,653,122,N,774,TOTAL,121,41,42
DIAMOND BAR,1780087A,654,122,N,608,POLLING PLACE,52,17,23
DIAMOND BAR,1780087A,654,122,N,0,VBM PORTION,58,23,27
DIAMOND BAR,1780087A,654,122,N,608,TOTAL,110,40,50
DIAMOND BAR,1780091E,655,122,N,984,POLLING PLACE,92,44,28
DIAMOND BAR,1780091E,655,122,N,0,VBM PORTION,103,43,31
DIAMOND BAR,1780091E,655,122,N,984,TOTAL,195,87,59
DIAMOND BAR,1780092A,656,122,N,741,POLLING PLACE,52,15,21
DIAMOND BAR,1780092A,656,122,N,0,VBM PORTION,88,21,34
DIAMOND BAR,1780092A,656,122,N,741,TOTAL,140,36,55
DIAMOND BAR,1780094A,657,122,N,1136,POLLING PLACE,95,36,33
DIAMOND BAR,1780094A,657,122,N,0,VBM PORTION,84,36,23
DIAMOND BAR,1780094A,657,122,N,1136,TOTAL,179,72,56
DOMINGUEZ,1800020B,658,178,N,774,POLLING PLACE,101,42,39
DOMINGUEZ,1800020B,658,178,N,0,VBM PORTION,46,21,14
DOMINGUEZ,1800020B,658,178,N,774,TOTAL,147,63,53
DOMINGUEZ,1800021A,659,178,N,834,POLLING PLACE,122,32,60
DOMINGUEZ,1800021A,659,178,N,0,VBM PORTION,58,25,22
DOMINGUEZ,1800021A,659,178,N,834,TOTAL,180,57,82
DOWNEY,1850001A,660,138,N,1115,POLLING PLACE,80,29,35
DOWNEY,1850001A,660,138,N,0,VBM PORTION,74,26,35
DOWNEY,1850001A,660,138,N,1115,TOTAL,154,55,70
DOWNEY,1850002A,661,138,N,451,POLLING PLACE,26,8,12
DOWNEY,1850002A,661,138,N,0,VBM PORTION,14,4,7
DOWNEY,1850002A,661,138,N,451,TOTAL,40,12,19
DOWNEY,1850002C,662,138,N,596,POLLING PLACE,48,12,30
DOWNEY,1850002C,662,138,N,0,VBM PORTION,28,6,10
DOWNEY,1850002C,662,138,N,596,TOTAL,76,18,40
DOWNEY,1850006B,663,138,N,709,POLLING PLACE,23,8,10
DOWNEY,1850006B,663,138,N,0,VBM PORTION,19,5,11
DOWNEY,1850006B,663,138,N,709,TOTAL,42,13,21
DOWNEY,1850008A,664,138,N,994,POLLING PLACE,122,46,50
DOWNEY,1850008A,664,138,N,0,VBM PORTION,48,9,27
DOWNEY,1850008A,664,138,N,994,TOTAL,170,55,77
DOWNEY,1850009A,665,138,N,1056,POLLING PLACE,98,42,42
DOWNEY,1850009A,665,138,N,0,VBM PORTION,81,27,35
DOWNEY,1850009A,665,138,N,1056,TOTAL,179,69,77
DOWNEY,1850010A,666,138,N,626,POLLING PLACE,56,21,21
DOWNEY,1850010A,666,138,N,0,VBM PORTION,37,17,10
DOWNEY,1850010A,666,138,N,626,TOTAL,93,38,31
DOWNEY,1850011A,667,138,N,668,POLLING PLACE,46,11,26
DOWNEY,1850011A,667,138,N,0,VBM PORTION,22,6,9
DOWNEY,1850011A,667,138,N,668,TOTAL,68,17,35
DOWNEY,1850011B,668,138,N,670,POLLING PLACE,33,12,13
DOWNEY,1850011B,668,138,N,0,VBM PORTION,25,10,10
DOWNEY,1850011B,668,138,N,670,TOTAL,58,22,23
DOWNEY,1850012A,669,138,N,794,POLLING PLACE,92,29,45
DOWNEY,1850012A,669,138,N,0,VBM PORTION,37,9,20
DOWNEY,1850012A,669,138,N,794,TOTAL,129,38,65
DOWNEY,1850013A,670,138,N,1025,POLLING PLACE,105,31,57
DOWNEY,1850013A,670,138,N,0,VBM PORTION,46,12,24
DOWNEY,1850013A,670,138,N,1025,TOTAL,151,43,81
DOWNEY,1850015A,671,138,N,1094,POLLING PLACE,119,24,71
DOWNEY,1850015A,671,138,N,0,VBM PORTION,65,14,41
DOWNEY,1850015A,671,138,N,1094,TOTAL,184,38,112
DOWNEY,1850016A,672,138,N,1168,POLLING PLACE,182,59,78
DOWNEY,1850016A,672,138,N,0,VBM PORTION,62,16,27
DOWNEY,1850016A,672,138,N,1168,TOTAL,244,75,105
DOWNEY,1850017A,673,138,N,1263,POLLING PLACE,96,34,40
DOWNEY,1850017A,673,138,N,0,VBM PORTION,69,25,32
DOWNEY,1850017A,673,138,N,1263,TOTAL,165,59,72
DOWNEY,1850019A,674,138,N,1291,POLLING PLACE,106,19,63
DOWNEY,1850019A,674,138,N,0,VBM PORTION,77,16,35
DOWNEY,1850019A,674,138,N,1291,TOTAL,183,35,98
DOWNEY,1850023A,675,138,N,880,POLLING PLACE,63,19,30
DOWNEY,1850023A,675,138,N,0,VBM PORTION,45,15,22
DOWNEY,1850023A,675,138,N,880,TOTAL,108,34,52
DOWNEY,1850024A,676,138,N,975,POLLING PLACE,101,23,57
DOWNEY,1850024A,676,138,N,0,VBM PORTION,74,19,31
DOWNEY,1850024A,676,138,N,975,TOTAL,175,42,88
DOWNEY,1850025A,677,138,N,831,POLLING PLACE,95,30,46
DOWNEY,1850025A,677,138,N,0,VBM PORTION,62,20,29
DOWNEY,1850025A,677,138,N,831,TOTAL,157,50,75
DOWNEY,1850027A,678,138,N,1012,POLLING PLACE,78,28,32
DOWNEY,1850027A,678,138,N,0,VBM PORTION,49,11,26
DOWNEY,1850027A,678,138,N,1012,TOTAL,127,39,58
DOWNEY,1850028A,679,138,N,1213,POLLING PLACE,126,41,49
DOWNEY,1850028A,679,138,N,0,VBM PORTION,85,25,35
DOWNEY,1850028A,679,138,N,1213,TOTAL,211,66,84
DOWNEY,1850029B,680,138,N,767,POLLING PLACE,102,35,49
DOWNEY,1850029B,680,138,N,0,VBM PORTION,75,21,40
DOWNEY,1850029B,680,138,N,767,TOTAL,177,56,89
DOWNEY,1850030A,681,138,N,1253,POLLING PLACE,145,44,82
DOWNEY,1850030A,681,138,N,0,VBM PORTION,71,32,24
DOWNEY,1850030A,681,138,N,1253,TOTAL,216,76,106
DOWNEY,1850031A,682,138,N,797,POLLING PLACE,55,17,29
DOWNEY,1850031A,682,138,N,0,VBM PORTION,42,13,21
DOWNEY,1850031A,682,138,N,797,TOTAL,97,30,50
DOWNEY,1850032A,683,138,N,986,POLLING PLACE,85,25,45
DOWNEY,1850032A,683,138,N,0,VBM PORTION,66,16,31
DOWNEY,1850032A,683,138,N,986,TOTAL,151,41,76
DOWNEY,1850033A,684,138,N,987,POLLING PLACE,110,30,56
DOWNEY,1850033A,684,138,N,0,VBM PORTION,58,26,24
DOWNEY,1850033A,684,138,N,987,TOTAL,168,56,80
DOWNEY,1850034B,685,138,N,807,POLLING PLACE,66,25,29
DOWNEY,1850034B,685,138,N,0,VBM PORTION,26,8,9
DOWNEY,1850034B,685,138,N,807,TOTAL,92,33,38
DOWNEY,1850038A,686,138,N,1086,POLLING PLACE,123,38,65
DOWNEY,1850038A,686,138,N,0,VBM PORTION,79,15,47
DOWNEY,1850038A,686,138,N,1086,TOTAL,202,53,112
DOWNEY,1850040A,687,138,N,895,POLLING PLACE,101,32,53
DOWNEY,1850040A,687,138,N,0,VBM PORTION,47,10,26
DOWNEY,1850040A,687,138,N,895,TOTAL,148,42,79
DOWNEY,1850041A,688,138,N,1227,POLLING PLACE,91,23,48
DOWNEY,1850041A,688,138,N,0,VBM PORTION,64,22,28
DOWNEY,1850041A,688,138,N,1227,TOTAL,155,45,76
DOWNEY,1850043A,689,138,N,944,POLLING PLACE,124,50,44
DOWNEY,1850043A,689,138,N,0,VBM PORTION,84,23,31
DOWNEY,1850043A,689,138,N,944,TOTAL,208,73,75
DOWNEY,1850045A,690,138,N,584,POLLING PLACE,82,23,30
DOWNEY,1850045A,690,138,N,0,VBM PORTION,49,17,28
DOWNEY,1850045A,690,138,N,584,TOTAL,131,40,58
DOWNEY,1850046A,691,138,N,623,POLLING PLACE,63,19,31
DOWNEY,1850046A,691,138,N,0,VBM PORTION,43,9,27
DOWNEY,1850046A,691,138,N,623,TOTAL,106,28,58
DOWNEY,1850047A,692,138,N,927,POLLING PLACE,129,28,59
DOWNEY,1850047A,692,138,N,0,VBM PORTION,72,21,34
DOWNEY,1850047A,692,138,N,927,TOTAL,201,49,93
DOWNEY,1850050A,693,138,N,946,POLLING PLACE,109,32,46
DOWNEY,1850050A,693,138,N,0,VBM PORTION,59,14,27
DOWNEY,1850050A,693,138,N,946,TOTAL,168,46,73
DOWNEY,1850051B,694,138,N,861,POLLING PLACE,130,46,50
DOWNEY,1850051B,694,138,N,0,VBM PORTION,73,30,26
DOWNEY,1850051B,694,138,N,861,TOTAL,203,76,76
DOWNEY,1850055A,695,138,N,762,POLLING PLACE,95,31,41
DOWNEY,1850055A,695,138,N,0,VBM PORTION,66,21,30
DOWNEY,1850055A,695,138,N,762,TOTAL,161,52,71
DOWNEY,1850056C,696,138,N,1176,POLLING PLACE,86,27,38
DOWNEY,1850056C,696,138,N,0,VBM PORTION,46,15,20
DOWNEY,1850056C,696,138,N,1176,TOTAL,132,42,58
DOWNEY,1850057A,697,138,N,773,POLLING PLACE,36,11,20
DOWNEY,1850057A,697,138,N,0,VBM PORTION,22,9,11
DOWNEY,1850057A,697,138,N,773,TOTAL,58,20,31
DOWNEY,1850058A,698,138,N,844,POLLING PLACE,57,14,27
DOWNEY,1850058A,698,138,N,0,VBM PORTION,31,8,16
DOWNEY,1850058A,698,138,N,844,TOTAL,88,22,43
DOWNEY,1850059A,699,138,N,438,POLLING PLACE,68,17,23
DOWNEY,1850059A,699,138,N,0,VBM PORTION,22,7,7
DOWNEY,1850059A,699,138,N,438,TOTAL,90,24,30
DOWNEY,1850062A,700,138,N,1029,POLLING PLACE,129,46,48
DOWNEY,1850062A,700,138,N,0,VBM PORTION,84,21,44
DOWNEY,1850062A,700,138,N,1029,TOTAL,213,67,92
DOWNEY,1850063A,701,138,N,805,POLLING PLACE,69,23,32
DOWNEY,1850063A,701,138,N,0,VBM PORTION,40,13,20
DOWNEY,1850063A,701,138,N,805,TOTAL,109,36,52
DOWNEY,1850064A,702,138,N,816,POLLING PLACE,45,9,23
DOWNEY,1850064A,702,138,N,0,VBM PORTION,40,17,19
DOWNEY,1850064A,702,138,N,816,TOTAL,85,26,42
DOWNEY,1850065A,703,138,N,1051,POLLING PLACE,122,42,57
DOWNEY,1850065A,703,138,N,0,VBM PORTION,70,34,21
DOWNEY,1850065A,703,138,N,1051,TOTAL,192,76,78
DOWNEY,1850067A,704,138,N,791,POLLING PLACE,112,38,52
DOWNEY,1850067A,704,138,N,0,VBM PORTION,57,20,23
DOWNEY,1850067A,704,138,N,791,TOTAL,169,58,75
DOWNEY,1850071A,705,138,N,964,POLLING PLACE,141,48,56
DOWNEY,1850071A,705,138,N,0,VBM PORTION,90,37,32
DOWNEY,1850071A,705,138,N,964,TOTAL,231,85,88
DOWNEY,1850073A,706,138,N,858,POLLING PLACE,139,39,65
DOWNEY,1850073A,706,138,N,0,VBM PORTION,85,32,29
DOWNEY,1850073A,706,138,N,858,TOTAL,224,71,94
DOWNEY,1850074B,707,138,N,708,POLLING PLACE,91,34,43
DOWNEY,1850074B,707,138,N,0,VBM PORTION,45,12,23
DOWNEY,1850074B,707,138,N,708,TOTAL,136,46,66
DOWNEY,1850076A,708,138,N,1131,POLLING PLACE,157,37,71
DOWNEY,1850076A,708,138,N,0,VBM PORTION,79,30,24
DOWNEY,1850076A,708,138,N,1131,TOTAL,236,67,95
DOWNEY,1850079A,709,138,N,1085,POLLING PLACE,191,71,76
DOWNEY,1850079A,709,138,N,0,VBM PORTION,73,22,33
DOWNEY,1850079A,709,138,N,1085,TOTAL,264,93,109
DOWNEY,1850080A,710,138,N,914,POLLING PLACE,127,36,57
DOWNEY,1850080A,710,138,N,0,VBM PORTION,62,19,25
