LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MARIO A GUERRA,SALLY M HAVICE,TONY MENDOZA,CARLOS R ARVIZU,IRELLA PEREZ
HACIENDA HEIGHTS,2630195A,1034,133,N,1044,POLLING PLACE,107,36,10,39,2,13
HACIENDA HEIGHTS,2630195A,1034,133,N,0,VBM PORTION,85,37,3,21,2,7
HACIENDA HEIGHTS,2630195A,1034,133,N,1044,TOTAL,192,73,13,60,4,20
HACIENDA HEIGHTS,2630199A,1035,133,N,1204,POLLING PLACE,139,67,14,20,4,16
HACIENDA HEIGHTS,2630199A,1035,133,N,0,VBM PORTION,153,80,9,26,0,13
HACIENDA HEIGHTS,2630199A,1035,133,N,1204,TOTAL,292,147,23,46,4,29
HACIENDA HEIGHTS,2630202A,1036,133,N,1172,POLLING PLACE,99,48,10,22,1,9
HACIENDA HEIGHTS,2630202A,1036,133,N,0,VBM PORTION,98,43,7,19,1,12
HACIENDA HEIGHTS,2630202A,1036,133,N,1172,TOTAL,197,91,17,41,2,21
HACIENDA HEIGHTS,2630205A,1037,133,N,1272,POLLING PLACE,96,44,12,16,0,14
HACIENDA HEIGHTS,2630205A,1037,133,N,0,VBM PORTION,169,98,9,14,0,14
HACIENDA HEIGHTS,2630205A,1037,133,N,1272,TOTAL,265,142,21,30,0,28
HACIENDA HEIGHTS,2630206A,1038,133,N,1033,POLLING PLACE,52,11,9,15,3,10
HACIENDA HEIGHTS,2630206A,1038,133,N,0,VBM PORTION,68,19,6,23,4,8
HACIENDA HEIGHTS,2630206A,1038,133,N,1033,TOTAL,120,30,15,38,7,18
HAWAIIAN GARDENS,2650001A,1039,166,N,1190,POLLING PLACE,72,21,10,28,0,10
HAWAIIAN GARDENS,2650001A,1039,166,N,0,VBM PORTION,114,39,20,33,2,10
HAWAIIAN GARDENS,2650001A,1039,166,N,1190,TOTAL,186,60,30,61,2,20
HAWAIIAN GARDENS,2650002C,1040,166,N,899,POLLING PLACE,59,17,5,31,0,4
HAWAIIAN GARDENS,2650002C,1040,166,N,0,VBM PORTION,92,28,9,39,3,9
HAWAIIAN GARDENS,2650002C,1040,166,N,899,TOTAL,151,45,14,70,3,13
HAWAIIAN GARDENS,2650004A,1041,166,N,707,POLLING PLACE,31,7,3,18,0,3
HAWAIIAN GARDENS,2650004A,1041,166,N,0,VBM PORTION,19,10,2,4,0,2
HAWAIIAN GARDENS,2650004A,1041,166,N,707,TOTAL,50,17,5,22,0,5
HAWAIIAN GARDENS,2650005A,1042,166,N,1080,POLLING PLACE,70,17,4,38,1,4
HAWAIIAN GARDENS,2650005A,1042,166,N,0,VBM PORTION,52,11,12,20,1,1
HAWAIIAN GARDENS,2650005A,1042,166,N,1080,TOTAL,122,28,16,58,2,5
HAWAIIAN GARDENS,2650006A,1043,166,N,825,POLLING PLACE,60,9,5,33,0,10
HAWAIIAN GARDENS,2650006A,1043,166,N,0,VBM PORTION,34,7,1,18,2,5
HAWAIIAN GARDENS,2650006A,1043,166,N,825,TOTAL,94,16,6,51,2,15
HAWAIIAN GARDENS,2650006B,6059,166,Y,0,POLLING PLACE,0,0,0,0,0,0
HAWAIIAN GARDENS,2650006B,6059,166,Y,0,VBM PORTION,0,0,0,0,0,0
HAWAIIAN GARDENS,2650006B,6059,166,Y,0,TOTAL,0,0,0,0,0,0
LA HABRA HEIGHTS,3230001A,1189,133,N,535,POLLING PLACE,72,42,6,13,2,5
LA HABRA HEIGHTS,3230001A,1189,133,N,0,VBM PORTION,69,41,2,10,1,4
LA HABRA HEIGHTS,3230001A,1189,133,N,535,TOTAL,141,83,8,23,3,9
LA HABRA HEIGHTS,3230003A,1190,133,N,929,POLLING PLACE,114,68,10,14,0,9
LA HABRA HEIGHTS,3230003A,1190,133,N,0,VBM PORTION,134,94,10,16,1,5
LA HABRA HEIGHTS,3230003A,1190,133,N,929,TOTAL,248,162,20,30,1,14
LA HABRA HEIGHTS,3230004A,1191,133,N,1023,POLLING PLACE,97,51,7,22,0,11
LA HABRA HEIGHTS,3230004A,1191,133,N,0,VBM PORTION,169,113,9,23,1,8
LA HABRA HEIGHTS,3230004A,1191,133,N,1023,TOTAL,266,164,16,45,1,19
LA HABRA HEIGHTS,3230006A,1192,133,N,919,POLLING PLACE,89,61,4,15,1,3
LA HABRA HEIGHTS,3230006A,1192,133,N,0,VBM PORTION,129,88,3,20,0,7
LA HABRA HEIGHTS,3230006A,1192,133,N,919,TOTAL,218,149,7,35,1,10
LA HABRA HEIGHTS,3230009A,1193,133,N,373,POLLING PLACE,57,40,2,6,1,3
LA HABRA HEIGHTS,3230009A,1193,133,N,0,VBM PORTION,52,42,1,7,0,0
LA HABRA HEIGHTS,3230009A,1193,133,N,373,TOTAL,109,82,3,13,1,3
LA MIRADA,3300001A,1194,132,N,1053,POLLING PLACE,103,66,5,22,0,8
LA MIRADA,3300001A,1194,132,N,0,VBM PORTION,94,49,5,20,4,8
LA MIRADA,3300001A,1194,132,N,1053,TOTAL,197,115,10,42,4,16
LA MIRADA,3300003A,1195,132,N,1259,POLLING PLACE,139,78,9,41,2,2
LA MIRADA,3300003A,1195,132,N,0,VBM PORTION,95,45,10,19,1,16
LA MIRADA,3300003A,1195,132,N,1259,TOTAL,234,123,19,60,3,18
LA MIRADA,3300006A,1196,132,N,1010,POLLING PLACE,103,49,10,27,1,9
LA MIRADA,3300006A,1196,132,N,0,VBM PORTION,145,69,18,22,0,17
LA MIRADA,3300006A,1196,132,N,1010,TOTAL,248,118,28,49,1,26
LA MIRADA,3300007A,1197,132,N,1237,POLLING PLACE,127,61,12,35,1,7
LA MIRADA,3300007A,1197,132,N,0,VBM PORTION,106,59,18,12,0,9
LA MIRADA,3300007A,1197,132,N,1237,TOTAL,233,120,30,47,1,16
LA MIRADA,3300008C,1198,132,N,1048,POLLING PLACE,93,55,4,20,2,4
LA MIRADA,3300008C,1198,132,N,0,VBM PORTION,84,44,7,14,0,9
LA MIRADA,3300008C,1198,132,N,1048,TOTAL,177,99,11,34,2,13
LA MIRADA,3300009A,1199,132,N,706,POLLING PLACE,49,35,3,5,1,2
LA MIRADA,3300009A,1199,132,N,0,VBM PORTION,35,20,5,4,1,4
LA MIRADA,3300009A,1199,132,N,706,TOTAL,84,55,8,9,2,6
LA MIRADA,3300010A,1200,132,N,1363,POLLING PLACE,94,45,10,22,1,11
LA MIRADA,3300010A,1200,132,N,0,VBM PORTION,119,56,10,32,3,11
LA MIRADA,3300010A,1200,132,N,1363,TOTAL,213,101,20,54,4,22
LA MIRADA,3300014A,1201,132,N,1058,POLLING PLACE,60,19,13,18,1,3
LA MIRADA,3300014A,1201,132,N,0,VBM PORTION,96,53,4,18,3,10
LA MIRADA,3300014A,1201,132,N,1058,TOTAL,156,72,17,36,4,13
LA MIRADA,3300015A,1202,132,N,1178,POLLING PLACE,113,63,8,23,2,13
LA MIRADA,3300015A,1202,132,N,0,VBM PORTION,89,47,7,18,4,7
LA MIRADA,3300015A,1202,132,N,1178,TOTAL,202,110,15,41,6,20
LA MIRADA,3300017A,1203,132,N,1058,POLLING PLACE,102,48,11,29,0,11
LA MIRADA,3300017A,1203,132,N,0,VBM PORTION,143,73,9,28,3,11
LA MIRADA,3300017A,1203,132,N,1058,TOTAL,245,121,20,57,3,22
LA MIRADA,3300019A,1204,132,N,795,POLLING PLACE,89,62,3,15,0,8
LA MIRADA,3300019A,1204,132,N,0,VBM PORTION,92,61,8,11,1,3
LA MIRADA,3300019A,1204,132,N,795,TOTAL,181,123,11,26,1,11
LA MIRADA,3300020A,1205,132,N,906,POLLING PLACE,83,47,4,19,1,7
LA MIRADA,3300020A,1205,132,N,0,VBM PORTION,66,34,6,15,0,10
LA MIRADA,3300020A,1205,132,N,906,TOTAL,149,81,10,34,1,17
LA MIRADA,3300022A,1206,132,N,710,POLLING PLACE,47,24,1,17,0,3
LA MIRADA,3300022A,1206,132,N,0,VBM PORTION,61,35,7,10,1,1
LA MIRADA,3300022A,1206,132,N,710,TOTAL,108,59,8,27,1,4
LA MIRADA,3300023A,1207,132,N,925,POLLING PLACE,71,48,2,10,1,4
LA MIRADA,3300023A,1207,132,N,0,VBM PORTION,63,32,3,13,2,5
LA MIRADA,3300023A,1207,132,N,925,TOTAL,134,80,5,23,3,9
LA MIRADA,3300025A,1208,132,N,783,POLLING PLACE,79,41,8,22,0,4
LA MIRADA,3300025A,1208,132,N,0,VBM PORTION,44,24,2,8,1,5
LA MIRADA,3300025A,1208,132,N,783,TOTAL,123,65,10,30,1,9
LA MIRADA,3300026A,1209,132,N,857,POLLING PLACE,71,41,5,13,1,6
LA MIRADA,3300026A,1209,132,N,0,VBM PORTION,74,40,2,13,1,9
LA MIRADA,3300026A,1209,132,N,857,TOTAL,145,81,7,26,2,15
LA MIRADA,3300029A,1210,132,N,1057,POLLING PLACE,109,58,7,24,3,10
LA MIRADA,3300029A,1210,132,N,0,VBM PORTION,71,33,9,19,0,1
LA MIRADA,3300029A,1210,132,N,1057,TOTAL,180,91,16,43,3,11
LA MIRADA,3300034A,1211,132,N,1286,POLLING PLACE,95,47,9,21,0,10
LA MIRADA,3300034A,1211,132,N,0,VBM PORTION,109,50,16,19,3,11
LA MIRADA,3300034A,1211,132,N,1286,TOTAL,204,97,25,40,3,21
LA MIRADA,3300040A,1212,132,N,1024,POLLING PLACE,66,42,7,11,0,2
LA MIRADA,3300040A,1212,132,N,0,VBM PORTION,103,60,9,14,0,6
LA MIRADA,3300040A,1212,132,N,1024,TOTAL,169,102,16,25,0,8
LA MIRADA,3300042A,1213,132,N,1165,POLLING PLACE,64,40,3,16,1,2
LA MIRADA,3300042A,1213,132,N,0,VBM PORTION,114,56,8,23,5,14
LA MIRADA,3300042A,1213,132,N,1165,TOTAL,178,96,11,39,6,16
LA MIRADA,3300044A,1214,132,N,1222,POLLING PLACE,92,41,13,20,1,7
LA MIRADA,3300044A,1214,132,N,0,VBM PORTION,111,55,7,27,0,15
LA MIRADA,3300044A,1214,132,N,1222,TOTAL,203,96,20,47,1,22
LA MIRADA,3300045A,1215,132,N,1206,POLLING PLACE,177,106,8,31,3,16
LA MIRADA,3300045A,1215,132,N,0,VBM PORTION,128,63,20,23,0,7
LA MIRADA,3300045A,1215,132,N,1206,TOTAL,305,169,28,54,3,23
LA MIRADA,3300056A,1216,132,N,572,POLLING PLACE,130,62,9,30,2,15
LA MIRADA,3300056A,1216,132,N,0,VBM PORTION,143,68,15,25,1,20
LA MIRADA,3300056A,1216,132,N,572,TOTAL,273,130,24,55,3,35
LA MIRADA,3300070A,1217,132,N,1112,POLLING PLACE,85,35,10,16,3,12
LA MIRADA,3300070A,1217,132,N,0,VBM PORTION,71,43,6,11,0,6
LA MIRADA,3300070A,1217,132,N,1112,TOTAL,156,78,16,27,3,18
LA MIRADA,3300072A,1218,132,N,1320,POLLING PLACE,110,43,15,33,1,4
LA MIRADA,3300072A,1218,132,N,0,VBM PORTION,106,50,5,21,0,21
LA MIRADA,3300072A,1218,132,N,1320,TOTAL,216,93,20,54,1,25
LA MIRADA,3300073A,1219,132,N,1237,POLLING PLACE,68,41,5,14,0,4
LA MIRADA,3300073A,1219,132,N,0,VBM PORTION,58,28,7,10,1,7
LA MIRADA,3300073A,1219,132,N,1237,TOTAL,126,69,12,24,1,11
LAKEWOOD,3450002A,1266,166,N,1117,POLLING PLACE,95,44,21,20,0,4
LAKEWOOD,3450002A,1266,166,N,0,VBM PORTION,78,37,12,20,0,5
LAKEWOOD,3450002A,1266,166,N,1117,TOTAL,173,81,33,40,0,9
LAKEWOOD,3450003A,1267,166,N,823,POLLING PLACE,82,46,12,19,0,3
LAKEWOOD,3450003A,1267,166,N,0,VBM PORTION,58,33,5,11,0,4
LAKEWOOD,3450003A,1267,166,N,823,TOTAL,140,79,17,30,0,7
LAKEWOOD,3450004A,1268,166,N,951,POLLING PLACE,82,42,9,20,1,5
LAKEWOOD,3450004A,1268,166,N,0,VBM PORTION,78,47,9,10,1,4
LAKEWOOD,3450004A,1268,166,N,951,TOTAL,160,89,18,30,2,9
LAKEWOOD,3450008A,1270,166,N,876,POLLING PLACE,69,39,4,9,1,7
LAKEWOOD,3450008A,1270,166,N,0,VBM PORTION,58,27,6,16,1,5
LAKEWOOD,3450008A,1270,166,N,876,TOTAL,127,66,10,25,2,12
LAKEWOOD,3450009A,1271,166,N,874,POLLING PLACE,81,43,15,15,2,2
LAKEWOOD,3450009A,1271,166,N,0,VBM PORTION,61,25,8,11,0,8
LAKEWOOD,3450009A,1271,166,N,874,TOTAL,142,68,23,26,2,10
LAKEWOOD,3450010A,1272,166,N,1191,POLLING PLACE,137,79,12,25,0,7
LAKEWOOD,3450010A,1272,166,N,0,VBM PORTION,112,47,13,22,2,7
LAKEWOOD,3450010A,1272,166,N,1191,TOTAL,249,126,25,47,2,14
LAKEWOOD,3450016A,1275,166,N,1144,POLLING PLACE,102,44,12,27,1,6
LAKEWOOD,3450016A,1275,166,N,0,VBM PORTION,87,41,11,7,1,9
LAKEWOOD,3450016A,1275,166,N,1144,TOTAL,189,85,23,34,2,15
LAKEWOOD,3450019A,1276,166,N,1248,POLLING PLACE,116,45,15,40,1,8
LAKEWOOD,3450019A,1276,166,N,0,VBM PORTION,136,72,14,14,1,18
LAKEWOOD,3450019A,1276,166,N,1248,TOTAL,252,117,29,54,2,26
LAKEWOOD,3450021A,1278,166,N,1162,POLLING PLACE,112,63,17,16,0,5
LAKEWOOD,3450021A,1278,166,N,0,VBM PORTION,96,44,10,20,0,13
LAKEWOOD,3450021A,1278,166,N,1162,TOTAL,208,107,27,36,0,18
LAKEWOOD,3450023A,1279,166,N,1275,POLLING PLACE,131,75,13,30,4,4
LAKEWOOD,3450023A,1279,166,N,0,VBM PORTION,131,63,24,16,1,15
LAKEWOOD,3450023A,1279,166,N,1275,TOTAL,262,138,37,46,5,19
LAKEWOOD,3450028A,1281,166,N,969,POLLING PLACE,117,57,18,23,3,10
LAKEWOOD,3450028A,1281,166,N,0,VBM PORTION,110,59,17,17,0,6
LAKEWOOD,3450028A,1281,166,N,969,TOTAL,227,116,35,40,3,16
LAKEWOOD,3450054A,1295,167,N,1678,POLLING PLACE,185,92,15,51,5,9
LAKEWOOD,3450054A,1295,167,N,0,VBM PORTION,168,77,14,40,1,20
LAKEWOOD,3450054A,1295,167,N,1678,TOTAL,353,169,29,91,6,29
LAKEWOOD,3450055A,1296,167,N,1423,POLLING PLACE,132,70,17,22,1,10
LAKEWOOD,3450055A,1296,167,N,0,VBM PORTION,133,62,18,24,2,17
LAKEWOOD,3450055A,1296,167,N,1423,TOTAL,265,132,35,46,3,27
LAKEWOOD,3450059A,1297,166,N,1520,POLLING PLACE,134,73,10,32,1,8
LAKEWOOD,3450059A,1297,166,N,0,VBM PORTION,168,76,18,39,3,15
LAKEWOOD,3450059A,1297,166,N,1520,TOTAL,302,149,28,71,4,23
LAKEWOOD,3450060A,1298,166,N,916,POLLING PLACE,77,41,13,13,1,7
LAKEWOOD,3450060A,1298,166,N,0,VBM PORTION,97,53,13,10,0,4
LAKEWOOD,3450060A,1298,166,N,916,TOTAL,174,94,26,23,1,11
LAKEWOOD,3450062A,1299,167,N,1033,POLLING PLACE,135,50,20,34,5,9
LAKEWOOD,3450062A,1299,167,N,0,VBM PORTION,90,34,9,24,4,12
LAKEWOOD,3450062A,1299,167,N,1033,TOTAL,225,84,29,58,9,21
LAKEWOOD,3450064A,1300,167,N,1587,POLLING PLACE,170,92,22,32,3,7
LAKEWOOD,3450064A,1300,167,N,0,VBM PORTION,142,77,13,25,0,13
LAKEWOOD,3450064A,1300,167,N,1587,TOTAL,312,169,35,57,3,20
LAKEWOOD,3450067A,1301,166,N,1427,POLLING PLACE,165,85,22,33,2,12
LAKEWOOD,3450067A,1301,166,N,0,VBM PORTION,170,82,23,40,1,12
LAKEWOOD,3450067A,1301,166,N,1427,TOTAL,335,167,45,73,3,24
LAKEWOOD,3450070A,1302,166,N,689,POLLING PLACE,49,21,8,16,1,2
LAKEWOOD,3450070A,1302,166,N,0,VBM PORTION,64,27,11,19,0,4
LAKEWOOD,3450070A,1302,166,N,689,TOTAL,113,48,19,35,1,6
LAKEWOOD,3450072A,1303,166,N,1212,POLLING PLACE,85,28,8,41,0,5
LAKEWOOD,3450072A,1303,166,N,0,VBM PORTION,103,43,3,39,2,7
LAKEWOOD,3450072A,1303,166,N,1212,TOTAL,188,71,11,80,2,12
LAKEWOOD,3450073A,1304,166,N,1155,POLLING PLACE,63,23,5,24,0,7
LAKEWOOD,3450073A,1304,166,N,0,VBM PORTION,49,17,10,8,5,5
LAKEWOOD,3450073A,1304,166,N,1155,TOTAL,112,40,15,32,5,12
LAKEWOOD,3450076A,1305,166,N,1035,POLLING PLACE,73,28,6,30,0,4
LAKEWOOD,3450076A,1305,166,N,0,VBM PORTION,90,42,10,22,1,5
LAKEWOOD,3450076A,1305,166,N,1035,TOTAL,163,70,16,52,1,9
LAKEWOOD,3450080A,1306,166,N,1141,POLLING PLACE,93,21,11,47,1,6
LAKEWOOD,3450080A,1306,166,N,0,VBM PORTION,90,30,12,25,0,11
LAKEWOOD,3450080A,1306,166,N,1141,TOTAL,183,51,23,72,1,17
LAKEWOOD,3450090C,1307,166,N,687,POLLING PLACE,16,5,1,4,0,2
LAKEWOOD,3450090C,1307,166,N,0,VBM PORTION,32,9,2,10,0,3
LAKEWOOD,3450090C,1307,166,N,687,TOTAL,48,14,3,14,0,5
LAKEWOOD,3450091A,1308,166,N,1290,POLLING PLACE,74,20,14,30,0,8
LAKEWOOD,3450091A,1308,166,N,0,VBM PORTION,74,32,11,21,2,4
LAKEWOOD,3450091A,1308,166,N,1290,TOTAL,148,52,25,51,2,12
LAKEWOOD,3450092A,1309,166,N,1337,POLLING PLACE,113,34,18,37,2,14
LAKEWOOD,3450092A,1309,166,N,0,VBM PORTION,79,29,15,16,2,10
LAKEWOOD,3450092A,1309,166,N,1337,TOTAL,192,63,33,53,4,24
LOS NIETOS,3900005A,1662,132,N,642,POLLING PLACE,60,21,8,20,3,6
LOS NIETOS,3900005A,1662,132,N,0,VBM PORTION,26,10,0,12,0,1
LOS NIETOS,3900005A,1662,132,N,642,TOTAL,86,31,8,32,3,7
LOS NIETOS,3900006A,1663,132,N,1084,POLLING PLACE,88,28,4,40,0,13
LOS NIETOS,3900006A,1663,132,N,0,VBM PORTION,70,22,6,24,0,8
LOS NIETOS,3900006A,1663,132,N,1084,TOTAL,158,50,10,64,0,21
LOS NIETOS,3900007A,1664,132,N,1096,POLLING PLACE,64,19,5,28,1,7
LOS NIETOS,3900007A,1664,132,N,0,VBM PORTION,48,11,3,22,1,7
LOS NIETOS,3900007A,1664,132,N,1096,TOTAL,112,30,8,50,2,14
LOS NIETOS,3900008A,1665,132,N,619,POLLING PLACE,34,10,7,16,0,1
LOS NIETOS,3900008A,1665,132,N,0,VBM PORTION,33,10,4,15,0,2
LOS NIETOS,3900008A,1665,132,N,619,TOTAL,67,20,11,31,0,3
LOS NIETOS,3900009A,1666,132,N,1209,POLLING PLACE,106,16,13,56,5,13
LOS NIETOS,3900009A,1666,132,N,0,VBM PORTION,39,8,4,23,0,1
LOS NIETOS,3900009A,1666,132,N,1209,TOTAL,145,24,17,79,5,14
LOS NIETOS,3900061A,1667,132,N,383,POLLING PLACE,36,6,1,26,1,2
LOS NIETOS,3900061A,1667,132,N,0,VBM PORTION,16,2,4,5,1,4
LOS NIETOS,3900061A,1667,132,N,383,TOTAL,52,8,5,31,2,6
LOS NIETOS,3900062A,1668,132,N,1199,POLLING PLACE,82,13,3,45,4,12
LOS NIETOS,3900062A,1668,132,N,0,VBM PORTION,43,9,1,21,0,9
LOS NIETOS,3900062A,1668,132,N,1199,TOTAL,125,22,4,66,4,21
LOS NIETOS,3900063A,1669,132,N,643,POLLING PLACE,49,14,4,24,3,3
LOS NIETOS,3900063A,1669,132,N,0,VBM PORTION,11,5,1,2,0,2
LOS NIETOS,3900063A,1669,132,N,643,TOTAL,60,19,5,26,3,5
LOS NIETOS,3900066A,1670,132,N,1092,POLLING PLACE,91,25,4,40,1,15
LOS NIETOS,3900066A,1670,132,N,0,VBM PORTION,72,23,4,31,0,6
LOS NIETOS,3900066A,1670,132,N,1092,TOTAL,163,48,8,71,1,21
LOS NIETOS,3900067A,1671,132,N,1109,POLLING PLACE,101,28,6,44,0,19
LOS NIETOS,3900067A,1671,132,N,0,VBM PORTION,73,23,4,28,5,13
LOS NIETOS,3900067A,1671,132,N,1109,TOTAL,174,51,10,72,5,32
LOS NIETOS,3900070A,1672,132,N,949,POLLING PLACE,50,18,1,25,0,5
LOS NIETOS,3900070A,1672,132,N,0,VBM PORTION,45,10,5,23,2,2
LOS NIETOS,3900070A,1672,132,N,949,TOTAL,95,28,6,48,2,7
LOS NIETOS,3900071C,1673,132,N,376,POLLING PLACE,16,6,2,4,0,2
LOS NIETOS,3900071C,1673,132,N,0,VBM PORTION,23,11,0,8,0,1
LOS NIETOS,3900071C,1673,132,N,376,TOTAL,39,17,2,12,0,3
LOS NIETOS,3900073A,1674,132,N,908,POLLING PLACE,66,16,5,38,0,4
LOS NIETOS,3900073A,1674,132,N,0,VBM PORTION,67,21,5,26,1,7
LOS NIETOS,3900073A,1674,132,N,908,TOTAL,133,37,10,64,1,11
LOS NIETOS,3900080B,1675,132,N,782,POLLING PLACE,50,8,3,23,0,14
LOS NIETOS,3900080B,1675,132,N,0,VBM PORTION,30,11,0,13,0,2
LOS NIETOS,3900080B,1675,132,N,782,TOTAL,80,19,3,36,0,16
LOS NIETOS,3900082A,1676,132,N,1129,POLLING PLACE,74,12,2,39,5,11
LOS NIETOS,3900082A,1676,132,N,0,VBM PORTION,45,19,5,14,2,4
LOS NIETOS,3900082A,1676,132,N,1129,TOTAL,119,31,7,53,7,15
LOS NIETOS,3900088A,1677,132,N,562,POLLING PLACE,53,22,0,20,1,6
LOS NIETOS,3900088A,1677,132,N,0,VBM PORTION,50,18,2,18,0,8
LOS NIETOS,3900088A,1677,132,N,562,TOTAL,103,40,2,38,1,14
MONTEBELLO,4450001A,1774,134,N,864,POLLING PLACE,97,20,9,47,0,15
MONTEBELLO,4450001A,1774,134,N,0,VBM PORTION,57,9,8,17,5,7
MONTEBELLO,4450001A,1774,134,N,864,TOTAL,154,29,17,64,5,22
MONTEBELLO,4450002A,1775,134,N,1090,POLLING PLACE,87,12,12,36,5,14
MONTEBELLO,4450002A,1775,134,N,0,VBM PORTION,61,14,6,17,2,13
MONTEBELLO,4450002A,1775,134,N,1090,TOTAL,148,26,18,53,7,27
MONTEBELLO,4450003A,1776,134,N,939,POLLING PLACE,42,11,5,20,2,3
MONTEBELLO,4450003A,1776,134,N,0,VBM PORTION,48,7,3,26,0,6
MONTEBELLO,4450003A,1776,134,N,939,TOTAL,90,18,8,46,2,9
MONTEBELLO,4450004A,1777,134,N,954,POLLING PLACE,48,4,9,21,1,10
MONTEBELLO,4450004A,1777,134,N,0,VBM PORTION,56,6,4,27,1,9
MONTEBELLO,4450004A,1777,134,N,954,TOTAL,104,10,13,48,2,19
MONTEBELLO,4450005A,1778,134,N,1067,POLLING PLACE,71,22,8,17,0,11
MONTEBELLO,4450005A,1778,134,N,0,VBM PORTION,36,6,2,19,0,3
MONTEBELLO,4450005A,1778,134,N,1067,TOTAL,107,28,10,36,0,14
MONTEBELLO,4450008A,1779,134,N,994,POLLING PLACE,84,17,9,43,0,7
MONTEBELLO,4450008A,1779,134,N,0,VBM PORTION,84,21,5,33,2,18
MONTEBELLO,4450008A,1779,134,N,994,TOTAL,168,38,14,76,2,25
MONTEBELLO,4450010A,1780,75,N,870,POLLING PLACE,108,24,12,41,3,11
MONTEBELLO,4450010A,1780,75,N,0,VBM PORTION,105,29,6,30,5,11
MONTEBELLO,4450010A,1780,75,N,870,TOTAL,213,53,18,71,8,22
MONTEBELLO,4450011A,1781,134,N,1222,POLLING PLACE,78,13,10,43,2,4
MONTEBELLO,4450011A,1781,134,N,0,VBM PORTION,43,11,4,20,2,1
MONTEBELLO,4450011A,1781,134,N,1222,TOTAL,121,24,14,63,4,5
MONTEBELLO,4450012A,1782,134,N,1132,POLLING PLACE,63,14,9,22,0,9
MONTEBELLO,4450012A,1782,134,N,0,VBM PORTION,43,2,4,20,0,7
MONTEBELLO,4450012A,1782,134,N,1132,TOTAL,106,16,13,42,0,16
MONTEBELLO,4450013A,1783,75,N,785,POLLING PLACE,92,22,7,38,1,14
MONTEBELLO,4450013A,1783,75,N,0,VBM PORTION,86,37,4,21,4,5
MONTEBELLO,4450013A,1783,75,N,785,TOTAL,178,59,11,59,5,19
MONTEBELLO,4450014A,1784,134,N,910,POLLING PLACE,74,21,8,25,4,10
MONTEBELLO,4450014A,1784,134,N,0,VBM PORTION,54,17,5,15,1,11
MONTEBELLO,4450014A,1784,134,N,910,TOTAL,128,38,13,40,5,21
MONTEBELLO,4450015A,1785,134,N,949,POLLING PLACE,65,10,4,37,1,8
MONTEBELLO,4450015A,1785,134,N,0,VBM PORTION,35,12,5,9,0,6
MONTEBELLO,4450015A,1785,134,N,949,TOTAL,100,22,9,46,1,14
MONTEBELLO,4450016A,1786,134,N,677,POLLING PLACE,39,7,6,13,0,9
MONTEBELLO,4450016A,1786,134,N,0,VBM PORTION,45,12,6,16,0,6
MONTEBELLO,4450016A,1786,134,N,677,TOTAL,84,19,12,29,0,15
MONTEBELLO,4450017A,1787,134,N,810,POLLING PLACE,64,14,9,30,2,4
MONTEBELLO,4450017A,1787,134,N,0,VBM PORTION,59,10,5,29,0,5
MONTEBELLO,4450017A,1787,134,N,810,TOTAL,123,24,14,59,2,9
MONTEBELLO,4450018A,1788,134,N,1013,POLLING PLACE,119,43,12,41,3,8
MONTEBELLO,4450018A,1788,134,N,0,VBM PORTION,104,33,3,41,1,8
MONTEBELLO,4450018A,1788,134,N,1013,TOTAL,223,76,15,82,4,16
MONTEBELLO,4450020A,1789,134,N,1062,POLLING PLACE,83,15,9,30,6,17
MONTEBELLO,4450020A,1789,134,N,0,VBM PORTION,59,17,11,20,2,1
MONTEBELLO,4450020A,1789,134,N,1062,TOTAL,142,32,20,50,8,18
MONTEBELLO,4450024A,1790,134,N,925,POLLING PLACE,77,16,3,36,1,16
MONTEBELLO,4450024A,1790,134,N,0,VBM PORTION,33,8,2,15,2,1
MONTEBELLO,4450024A,1790,134,N,925,TOTAL,110,24,5,51,3,17
MONTEBELLO,4450025A,1791,134,N,1145,POLLING PLACE,101,35,7,34,4,13
MONTEBELLO,4450025A,1791,134,N,0,VBM PORTION,97,39,6,27,0,10
MONTEBELLO,4450025A,1791,134,N,1145,TOTAL,198,74,13,61,4,23
MONTEBELLO,4450026A,1792,134,N,1019,POLLING PLACE,123,21,11,61,5,17
MONTEBELLO,4450026A,1792,134,N,0,VBM PORTION,33,4,3,13,2,6
MONTEBELLO,4450026A,1792,134,N,1019,TOTAL,156,25,14,74,7,23
MONTEBELLO,4450028A,1793,134,N,530,POLLING PLACE,42,10,2,23,0,2
MONTEBELLO,4450028A,1793,134,N,0,VBM PORTION,72,16,4,26,2,8
MONTEBELLO,4450028A,1793,134,N,530,TOTAL,114,26,6,49,2,10
MONTEBELLO,4450031A,1794,134,N,1039,POLLING PLACE,57,11,4,31,2,7
MONTEBELLO,4450031A,1794,134,N,0,VBM PORTION,27,4,3,7,0,7
MONTEBELLO,4450031A,1794,134,N,1039,TOTAL,84,15,7,38,2,14
MONTEBELLO,4450032A,1795,134,N,828,POLLING PLACE,69,16,8,32,0,8
MONTEBELLO,4450032A,1795,134,N,0,VBM PORTION,34,5,4,14,1,2
MONTEBELLO,4450032A,1795,134,N,828,TOTAL,103,21,12,46,1,10
