LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ARNOLD W MEDNICK,ANDREW COOPER
HAWTHORNE,2700016A,1053,162,N,0,VBM PORTION,43,7,27
HAWTHORNE,2700016A,1053,162,N,939,TOTAL,93,18,59
HAWTHORNE,2700017A,1054,162,N,1142,POLLING PLACE,62,7,46
HAWTHORNE,2700017A,1054,162,N,0,VBM PORTION,41,5,33
HAWTHORNE,2700017A,1054,162,N,1142,TOTAL,103,12,79
HAWTHORNE,2700019A,1055,162,N,1161,POLLING PLACE,79,10,47
HAWTHORNE,2700019A,1055,162,N,0,VBM PORTION,49,8,31
HAWTHORNE,2700019A,1055,162,N,1161,TOTAL,128,18,78
HAWTHORNE,2700020A,1056,162,N,1200,POLLING PLACE,74,9,48
HAWTHORNE,2700020A,1056,162,N,0,VBM PORTION,45,7,27
HAWTHORNE,2700020A,1056,162,N,1200,TOTAL,119,16,75
HAWTHORNE,2700021A,1057,162,N,1215,POLLING PLACE,41,7,25
HAWTHORNE,2700021A,1057,162,N,0,VBM PORTION,38,6,26
HAWTHORNE,2700021A,1057,162,N,1215,TOTAL,79,13,51
HAWTHORNE,2700022A,1058,162,N,1067,POLLING PLACE,59,7,41
HAWTHORNE,2700022A,1058,162,N,0,VBM PORTION,56,12,32
HAWTHORNE,2700022A,1058,162,N,1067,TOTAL,115,19,73
HAWTHORNE,2700023A,1059,162,N,1133,POLLING PLACE,107,12,73
HAWTHORNE,2700023A,1059,162,N,0,VBM PORTION,73,11,51
HAWTHORNE,2700023A,1059,162,N,1133,TOTAL,180,23,124
HAWTHORNE,2700025C,1060,162,N,1230,POLLING PLACE,96,10,66
HAWTHORNE,2700025C,1060,162,N,0,VBM PORTION,109,15,68
HAWTHORNE,2700025C,1060,162,N,1230,TOTAL,205,25,134
HAWTHORNE,2700028A,1061,162,N,1225,POLLING PLACE,61,11,35
HAWTHORNE,2700028A,1061,162,N,0,VBM PORTION,51,3,39
HAWTHORNE,2700028A,1061,162,N,1225,TOTAL,112,14,74
HAWTHORNE,2700029A,1062,162,N,1126,POLLING PLACE,69,11,35
HAWTHORNE,2700029A,1062,162,N,0,VBM PORTION,44,5,35
HAWTHORNE,2700029A,1062,162,N,1126,TOTAL,113,16,70
HAWTHORNE,2700039B,1063,162,N,1190,POLLING PLACE,127,13,78
HAWTHORNE,2700039B,1063,162,N,0,VBM PORTION,140,8,101
HAWTHORNE,2700039B,1063,162,N,1190,TOTAL,267,21,179
HAWTHORNE,2700041A,1064,162,N,1271,POLLING PLACE,131,24,71
HAWTHORNE,2700041A,1064,162,N,0,VBM PORTION,142,12,95
HAWTHORNE,2700041A,1064,162,N,1271,TOTAL,273,36,166
HAWTHORNE,2700043A,1065,162,N,1201,POLLING PLACE,56,12,40
HAWTHORNE,2700043A,1065,162,N,0,VBM PORTION,48,6,34
HAWTHORNE,2700043A,1065,162,N,1201,TOTAL,104,18,74
HAWTHORNE,2700051A,1066,162,N,1215,POLLING PLACE,47,7,23
HAWTHORNE,2700051A,1066,162,N,0,VBM PORTION,35,5,28
HAWTHORNE,2700051A,1066,162,N,1215,TOTAL,82,12,51
HAWTHORNE,2700090A,1067,162,N,995,POLLING PLACE,52,13,25
HAWTHORNE,2700090A,1067,162,N,0,VBM PORTION,45,6,29
HAWTHORNE,2700090A,1067,162,N,995,TOTAL,97,19,54
HAWTHORNE,2700091A,1068,162,N,975,POLLING PLACE,48,6,31
HAWTHORNE,2700091A,1068,162,N,0,VBM PORTION,24,0,21
HAWTHORNE,2700091A,1068,162,N,975,TOTAL,72,6,52
HAWTHORNE,2700092A,1069,163,N,1149,POLLING PLACE,138,14,75
HAWTHORNE,2700092A,1069,163,N,0,VBM PORTION,99,18,60
HAWTHORNE,2700092A,1069,163,N,1149,TOTAL,237,32,135
HAWTHORNE,2700094A,1070,163,N,1012,POLLING PLACE,170,19,110
HAWTHORNE,2700094A,1070,163,N,0,VBM PORTION,98,15,62
HAWTHORNE,2700094A,1070,163,N,1012,TOTAL,268,34,172
HAWTHORNE,2700101A,1071,162,N,871,POLLING PLACE,79,12,43
HAWTHORNE,2700101A,1071,162,N,0,VBM PORTION,34,3,26
HAWTHORNE,2700101A,1071,162,N,871,TOTAL,113,15,69
HAWTHORNE,2700103B,1072,162,N,1214,POLLING PLACE,89,14,61
HAWTHORNE,2700103B,1072,162,N,0,VBM PORTION,58,6,39
HAWTHORNE,2700103B,1072,162,N,1214,TOTAL,147,20,100
HAWTHORNE,2700105A,1073,162,N,1103,POLLING PLACE,55,6,33
HAWTHORNE,2700105A,1073,162,N,0,VBM PORTION,39,3,25
HAWTHORNE,2700105A,1073,162,N,1103,TOTAL,94,9,58
HAWTHORNE,2700106A,1074,162,N,1168,POLLING PLACE,61,5,39
HAWTHORNE,2700106A,1074,162,N,0,VBM PORTION,44,4,29
HAWTHORNE,2700106A,1074,162,N,1168,TOTAL,105,9,68
HAWTHORNE,2700109A,1075,162,N,985,POLLING PLACE,80,10,55
HAWTHORNE,2700109A,1075,162,N,0,VBM PORTION,81,12,49
HAWTHORNE,2700109A,1075,162,N,985,TOTAL,161,22,104
HAWTHORNE,2700116A,1076,162,N,1090,POLLING PLACE,42,6,27
HAWTHORNE,2700116A,1076,162,N,0,VBM PORTION,29,2,22
HAWTHORNE,2700116A,1076,162,N,1090,TOTAL,71,8,49
HERMOSA BEACH,2750001A,1077,181,N,1151,POLLING PLACE,146,21,78
HERMOSA BEACH,2750001A,1077,181,N,0,VBM PORTION,160,8,104
HERMOSA BEACH,2750001A,1077,181,N,1151,TOTAL,306,29,182
HERMOSA BEACH,2750003A,1078,181,N,975,POLLING PLACE,178,24,95
HERMOSA BEACH,2750003A,1078,181,N,0,VBM PORTION,116,9,68
HERMOSA BEACH,2750003A,1078,181,N,975,TOTAL,294,33,163
HERMOSA BEACH,2750003B,1079,181,N,1081,POLLING PLACE,178,23,107
HERMOSA BEACH,2750003B,1079,181,N,0,VBM PORTION,139,16,78
HERMOSA BEACH,2750003B,1079,181,N,1081,TOTAL,317,39,185
HERMOSA BEACH,2750004A,1080,181,N,1038,POLLING PLACE,90,11,55
HERMOSA BEACH,2750004A,1080,181,N,0,VBM PORTION,82,5,42
HERMOSA BEACH,2750004A,1080,181,N,1038,TOTAL,172,16,97
HERMOSA BEACH,2750008A,1081,181,N,987,POLLING PLACE,129,17,74
HERMOSA BEACH,2750008A,1081,181,N,0,VBM PORTION,96,11,53
HERMOSA BEACH,2750008A,1081,181,N,987,TOTAL,225,28,127
HERMOSA BEACH,2750011A,1082,181,N,1147,POLLING PLACE,121,15,69
HERMOSA BEACH,2750011A,1082,181,N,0,VBM PORTION,110,14,55
HERMOSA BEACH,2750011A,1082,181,N,1147,TOTAL,231,29,124
HERMOSA BEACH,2750012A,1083,181,N,1391,POLLING PLACE,147,13,87
HERMOSA BEACH,2750012A,1083,181,N,0,VBM PORTION,225,21,131
HERMOSA BEACH,2750012A,1083,181,N,1391,TOTAL,372,34,218
HERMOSA BEACH,2750015A,1084,181,N,1044,POLLING PLACE,115,22,68
HERMOSA BEACH,2750015A,1084,181,N,0,VBM PORTION,155,11,74
HERMOSA BEACH,2750015A,1084,181,N,1044,TOTAL,270,33,142
HERMOSA BEACH,2750016A,1085,181,N,907,POLLING PLACE,137,20,77
HERMOSA BEACH,2750016A,1085,181,N,0,VBM PORTION,119,13,80
HERMOSA BEACH,2750016A,1085,181,N,907,TOTAL,256,33,157
HERMOSA BEACH,2750017A,1086,181,N,1350,POLLING PLACE,203,24,112
HERMOSA BEACH,2750017A,1086,181,N,0,VBM PORTION,185,24,101
HERMOSA BEACH,2750017A,1086,181,N,1350,TOTAL,388,48,213
HERMOSA BEACH,2750019A,1087,181,N,1330,POLLING PLACE,171,22,105
HERMOSA BEACH,2750019A,1087,181,N,0,VBM PORTION,165,25,94
HERMOSA BEACH,2750019A,1087,181,N,1330,TOTAL,336,47,199
HERMOSA BEACH,2750023A,1088,181,N,1049,POLLING PLACE,91,8,48
HERMOSA BEACH,2750023A,1088,181,N,0,VBM PORTION,100,9,49
HERMOSA BEACH,2750023A,1088,181,N,1049,TOTAL,191,17,97
HIDDEN HILLS,2780001A,1089,56,N,610,POLLING PLACE,60,10,36
HIDDEN HILLS,2780001A,1089,56,N,0,VBM PORTION,63,7,37
HIDDEN HILLS,2780001A,1089,56,N,610,TOTAL,123,17,73
HIDDEN HILLS,2780002A,1090,56,N,726,POLLING PLACE,86,6,51
HIDDEN HILLS,2780002A,1090,56,N,0,VBM PORTION,59,5,42
HIDDEN HILLS,2780002A,1090,56,N,726,TOTAL,145,11,93
HUNTINGTON PARK,2850001A,1091,98,N,1158,POLLING PLACE,63,14,36
HUNTINGTON PARK,2850001A,1091,98,N,0,VBM PORTION,22,2,16
HUNTINGTON PARK,2850001A,1091,98,N,1158,TOTAL,85,16,52
HUNTINGTON PARK,2850002A,6062,164,Y,0,POLLING PLACE,0,0,0
HUNTINGTON PARK,2850002A,6062,164,Y,0,VBM PORTION,0,0,0
HUNTINGTON PARK,2850002A,6062,164,Y,0,TOTAL,0,0,0
HUNTINGTON PARK,2850004A,1092,98,N,1048,POLLING PLACE,65,8,50
HUNTINGTON PARK,2850004A,1092,98,N,0,VBM PORTION,44,8,26
HUNTINGTON PARK,2850004A,1092,98,N,1048,TOTAL,109,16,76
HUNTINGTON PARK,2850005B,1093,144,N,764,POLLING PLACE,45,8,26
HUNTINGTON PARK,2850005B,1093,144,N,0,VBM PORTION,17,3,13
HUNTINGTON PARK,2850005B,1093,144,N,764,TOTAL,62,11,39
HUNTINGTON PARK,2850006A,1094,98,N,1107,POLLING PLACE,51,10,20
HUNTINGTON PARK,2850006A,1094,98,N,0,VBM PORTION,28,3,22
HUNTINGTON PARK,2850006A,1094,98,N,1107,TOTAL,79,13,42
HUNTINGTON PARK,2850008A,1095,144,N,904,POLLING PLACE,62,10,42
HUNTINGTON PARK,2850008A,1095,144,N,0,VBM PORTION,16,4,11
HUNTINGTON PARK,2850008A,1095,144,N,904,TOTAL,78,14,53
HUNTINGTON PARK,2850009A,1096,98,N,720,POLLING PLACE,54,7,37
HUNTINGTON PARK,2850009A,1096,98,N,0,VBM PORTION,17,2,12
HUNTINGTON PARK,2850009A,1096,98,N,720,TOTAL,71,9,49
HUNTINGTON PARK,2850010A,1097,98,N,1122,POLLING PLACE,56,10,32
HUNTINGTON PARK,2850010A,1097,98,N,0,VBM PORTION,66,16,33
HUNTINGTON PARK,2850010A,1097,98,N,1122,TOTAL,122,26,65
HUNTINGTON PARK,2850011A,1098,98,N,1207,POLLING PLACE,79,21,41
HUNTINGTON PARK,2850011A,1098,98,N,0,VBM PORTION,41,5,33
HUNTINGTON PARK,2850011A,1098,98,N,1207,TOTAL,120,26,74
HUNTINGTON PARK,2850012A,1099,98,N,1226,POLLING PLACE,67,16,35
HUNTINGTON PARK,2850012A,1099,98,N,0,VBM PORTION,43,5,28
HUNTINGTON PARK,2850012A,1099,98,N,1226,TOTAL,110,21,63
HUNTINGTON PARK,2850015A,1100,98,N,1001,POLLING PLACE,62,9,38
HUNTINGTON PARK,2850015A,1100,98,N,0,VBM PORTION,38,2,31
HUNTINGTON PARK,2850015A,1100,98,N,1001,TOTAL,100,11,69
HUNTINGTON PARK,2850017A,1101,98,N,1013,POLLING PLACE,110,17,65
HUNTINGTON PARK,2850017A,1101,98,N,0,VBM PORTION,41,9,22
HUNTINGTON PARK,2850017A,1101,98,N,1013,TOTAL,151,26,87
HUNTINGTON PARK,2850022A,1102,98,N,808,POLLING PLACE,42,7,28
HUNTINGTON PARK,2850022A,1102,98,N,0,VBM PORTION,44,4,36
HUNTINGTON PARK,2850022A,1102,98,N,808,TOTAL,86,11,64
HUNTINGTON PARK,2850025A,1103,98,N,1154,POLLING PLACE,61,13,31
HUNTINGTON PARK,2850025A,1103,98,N,0,VBM PORTION,34,4,24
HUNTINGTON PARK,2850025A,1103,98,N,1154,TOTAL,95,17,55
HUNTINGTON PARK,2850026A,1104,98,N,1196,POLLING PLACE,60,9,38
HUNTINGTON PARK,2850026A,1104,98,N,0,VBM PORTION,49,8,31
HUNTINGTON PARK,2850026A,1104,98,N,1196,TOTAL,109,17,69
HUNTINGTON PARK,2850029A,1105,98,N,1022,POLLING PLACE,67,14,39
HUNTINGTON PARK,2850029A,1105,98,N,0,VBM PORTION,23,2,16
HUNTINGTON PARK,2850029A,1105,98,N,1022,TOTAL,90,16,55
HUNTINGTON PARK,2850050A,1106,98,N,1152,POLLING PLACE,79,12,49
HUNTINGTON PARK,2850050A,1106,98,N,0,VBM PORTION,50,8,31
HUNTINGTON PARK,2850050A,1106,98,N,1152,TOTAL,129,20,80
INDUSTRY,2930003A,6063,129,Y,1,POLLING PLACE,0,0,0
INDUSTRY,2930003A,6063,129,Y,0,VBM PORTION,0,0,0
INDUSTRY,2930003A,6063,129,Y,1,TOTAL,0,0,0
INDUSTRY,2930006A,6064,123,Y,48,POLLING PLACE,0,0,0
INDUSTRY,2930006A,6064,123,Y,0,VBM PORTION,14,0,9
INDUSTRY,2930006A,6064,123,Y,48,TOTAL,14,0,9
INDUSTRY,2930010A,6065,123,Y,42,POLLING PLACE,0,0,0
INDUSTRY,2930010A,6065,123,Y,0,VBM PORTION,12,0,7
INDUSTRY,2930010A,6065,123,Y,42,TOTAL,12,0,7
INDUSTRY,2930011A,6066,125,Y,0,POLLING PLACE,0,0,0
INDUSTRY,2930011A,6066,125,Y,0,VBM PORTION,0,0,0
INDUSTRY,2930011A,6066,125,Y,0,TOTAL,0,0,0
INDUSTRY,2930012A,6067,125,Y,0,POLLING PLACE,0,0,0
INDUSTRY,2930012A,6067,125,Y,0,VBM PORTION,0,0,0
INDUSTRY,2930012A,6067,125,Y,0,TOTAL,0,0,0
INDUSTRY,2930015A,6068,66,Y,0,POLLING PLACE,0,0,0
INDUSTRY,2930015A,6068,66,Y,0,VBM PORTION,0,0,0
INDUSTRY,2930015A,6068,66,Y,0,TOTAL,0,0,0
INDUSTRY,2930016A,6069,120,Y,6,POLLING PLACE,0,0,0
INDUSTRY,2930016A,6069,120,Y,0,VBM PORTION,1,0,0
INDUSTRY,2930016A,6069,120,Y,6,TOTAL,1,0,0
INDUSTRY,2930062A,6070,123,Y,6,POLLING PLACE,0,0,0
INDUSTRY,2930062A,6070,123,Y,0,VBM PORTION,2,0,1
INDUSTRY,2930062A,6070,123,Y,6,TOTAL,2,0,1
INDUSTRY,2930067A,6071,123,Y,0,POLLING PLACE,0,0,0
INDUSTRY,2930067A,6071,123,Y,0,VBM PORTION,0,0,0
INDUSTRY,2930067A,6071,123,Y,0,TOTAL,0,0,0
INDUSTRY,2930068A,6072,123,Y,0,POLLING PLACE,0,0,0
INDUSTRY,2930068A,6072,123,Y,0,VBM PORTION,0,0,0
INDUSTRY,2930068A,6072,123,Y,0,TOTAL,0,0,0
INGLEWOOD,2950001A,1107,162,N,994,POLLING PLACE,169,16,98
INGLEWOOD,2950001A,1107,162,N,0,VBM PORTION,84,6,52
INGLEWOOD,2950001A,1107,162,N,994,TOTAL,253,22,150
INGLEWOOD,2950002A,1108,160,N,1133,POLLING PLACE,86,22,43
INGLEWOOD,2950002A,1108,160,N,0,VBM PORTION,54,7,33
INGLEWOOD,2950002A,1108,160,N,1133,TOTAL,140,29,76
INGLEWOOD,2950003A,1109,162,N,599,POLLING PLACE,68,8,42
INGLEWOOD,2950003A,1109,162,N,0,VBM PORTION,53,6,34
INGLEWOOD,2950003A,1109,162,N,599,TOTAL,121,14,76
INGLEWOOD,2950004A,1110,162,N,563,POLLING PLACE,76,7,43
INGLEWOOD,2950004A,1110,162,N,0,VBM PORTION,55,2,35
INGLEWOOD,2950004A,1110,162,N,563,TOTAL,131,9,78
INGLEWOOD,2950005A,1111,162,N,592,POLLING PLACE,25,3,21
INGLEWOOD,2950005A,1111,162,N,0,VBM PORTION,22,3,15
INGLEWOOD,2950005A,1111,162,N,592,TOTAL,47,6,36
INGLEWOOD,2950006B,1112,162,N,817,POLLING PLACE,80,10,45
INGLEWOOD,2950006B,1112,162,N,0,VBM PORTION,70,9,43
INGLEWOOD,2950006B,1112,162,N,817,TOTAL,150,19,88
INGLEWOOD,2950007A,1113,162,N,1140,POLLING PLACE,69,17,38
INGLEWOOD,2950007A,1113,162,N,0,VBM PORTION,53,12,29
INGLEWOOD,2950007A,1113,162,N,1140,TOTAL,122,29,67
INGLEWOOD,2950008A,1114,162,N,955,POLLING PLACE,160,21,88
INGLEWOOD,2950008A,1114,162,N,0,VBM PORTION,68,14,27
INGLEWOOD,2950008A,1114,162,N,955,TOTAL,228,35,115
INGLEWOOD,2950009B,1115,162,N,1096,POLLING PLACE,139,15,82
INGLEWOOD,2950009B,1115,162,N,0,VBM PORTION,109,10,74
INGLEWOOD,2950009B,1115,162,N,1096,TOTAL,248,25,156
INGLEWOOD,2950010A,1116,162,N,1114,POLLING PLACE,145,19,90
INGLEWOOD,2950010A,1116,162,N,0,VBM PORTION,99,8,65
INGLEWOOD,2950010A,1116,162,N,1114,TOTAL,244,27,155
INGLEWOOD,2950011A,1117,162,N,787,POLLING PLACE,186,15,121
INGLEWOOD,2950011A,1117,162,N,0,VBM PORTION,87,9,53
INGLEWOOD,2950011A,1117,162,N,787,TOTAL,273,24,174
INGLEWOOD,2950013B,1118,162,N,950,POLLING PLACE,91,11,57
INGLEWOOD,2950013B,1118,162,N,0,VBM PORTION,62,8,39
INGLEWOOD,2950013B,1118,162,N,950,TOTAL,153,19,96
INGLEWOOD,2950014B,1119,162,N,926,POLLING PLACE,126,12,77
INGLEWOOD,2950014B,1119,162,N,0,VBM PORTION,83,8,51
INGLEWOOD,2950014B,1119,162,N,926,TOTAL,209,20,128
INGLEWOOD,2950015B,1120,162,N,626,POLLING PLACE,68,14,30
INGLEWOOD,2950015B,1120,162,N,0,VBM PORTION,51,11,24
INGLEWOOD,2950015B,1120,162,N,626,TOTAL,119,25,54
INGLEWOOD,2950016B,1121,162,N,816,POLLING PLACE,91,9,53
INGLEWOOD,2950016B,1121,162,N,0,VBM PORTION,66,5,41
INGLEWOOD,2950016B,1121,162,N,816,TOTAL,157,14,94
INGLEWOOD,2950017A,1122,162,N,952,POLLING PLACE,58,8,35
INGLEWOOD,2950017A,1122,162,N,0,VBM PORTION,56,8,30
INGLEWOOD,2950017A,1122,162,N,952,TOTAL,114,16,65
INGLEWOOD,2950018A,1123,162,N,1197,POLLING PLACE,187,23,103
INGLEWOOD,2950018A,1123,162,N,0,VBM PORTION,130,18,75
INGLEWOOD,2950018A,1123,162,N,1197,TOTAL,317,41,178
INGLEWOOD,2950019A,1124,162,N,1243,POLLING PLACE,27,1,22
INGLEWOOD,2950019A,1124,162,N,0,VBM PORTION,30,3,23
INGLEWOOD,2950019A,1124,162,N,1243,TOTAL,57,4,45
INGLEWOOD,2950020A,1125,162,N,1078,POLLING PLACE,136,15,75
INGLEWOOD,2950020A,1125,162,N,0,VBM PORTION,95,8,61
INGLEWOOD,2950020A,1125,162,N,1078,TOTAL,231,23,136
INGLEWOOD,2950022A,1126,162,N,970,POLLING PLACE,144,18,82
INGLEWOOD,2950022A,1126,162,N,0,VBM PORTION,82,4,51
INGLEWOOD,2950022A,1126,162,N,970,TOTAL,226,22,133
INGLEWOOD,2950022B,1127,163,N,256,POLLING PLACE,30,4,15
INGLEWOOD,2950022B,1127,163,N,0,VBM PORTION,27,3,14
INGLEWOOD,2950022B,1127,163,N,256,TOTAL,57,7,29
INGLEWOOD,2950023A,1128,162,N,723,POLLING PLACE,83,10,52
INGLEWOOD,2950023A,1128,162,N,0,VBM PORTION,77,8,42
INGLEWOOD,2950023A,1128,162,N,723,TOTAL,160,18,94
INGLEWOOD,2950024A,1129,162,N,840,POLLING PLACE,81,9,39
INGLEWOOD,2950024A,1129,162,N,0,VBM PORTION,59,9,28
INGLEWOOD,2950024A,1129,162,N,840,TOTAL,140,18,67
INGLEWOOD,2950025A,1130,160,N,1014,POLLING PLACE,83,12,38
INGLEWOOD,2950025A,1130,160,N,0,VBM PORTION,44,9,24
INGLEWOOD,2950025A,1130,160,N,1014,TOTAL,127,21,62
INGLEWOOD,2950026A,1131,162,N,925,POLLING PLACE,107,10,68
INGLEWOOD,2950026A,1131,162,N,0,VBM PORTION,53,3,34
INGLEWOOD,2950026A,1131,162,N,925,TOTAL,160,13,102
INGLEWOOD,2950026B,6073,163,Y,79,POLLING PLACE,0,0,0
INGLEWOOD,2950026B,6073,163,Y,0,VBM PORTION,6,0,3
INGLEWOOD,2950026B,6073,163,Y,79,TOTAL,6,0,3
INGLEWOOD,2950028A,1132,162,N,557,POLLING PLACE,46,3,28
INGLEWOOD,2950028A,1132,162,N,0,VBM PORTION,27,3,19
INGLEWOOD,2950028A,1132,162,N,557,TOTAL,73,6,47
INGLEWOOD,2950029A,1133,162,N,932,POLLING PLACE,65,16,38
INGLEWOOD,2950029A,1133,162,N,0,VBM PORTION,71,5,53
INGLEWOOD,2950029A,1133,162,N,932,TOTAL,136,21,91
INGLEWOOD,2950030A,1134,162,N,1061,POLLING PLACE,49,8,26
INGLEWOOD,2950030A,1134,162,N,0,VBM PORTION,59,10,33
INGLEWOOD,2950030A,1134,162,N,1061,TOTAL,108,18,59
INGLEWOOD,2950031A,1135,162,N,803,POLLING PLACE,46,6,24
INGLEWOOD,2950031A,1135,162,N,0,VBM PORTION,26,4,17
INGLEWOOD,2950031A,1135,162,N,803,TOTAL,72,10,41
INGLEWOOD,2950033A,1136,162,N,1008,POLLING PLACE,32,6,17
INGLEWOOD,2950033A,1136,162,N,0,VBM PORTION,28,5,17
INGLEWOOD,2950033A,1136,162,N,1008,TOTAL,60,11,34
INGLEWOOD,2950037C,1137,162,N,676,POLLING PLACE,36,3,23
INGLEWOOD,2950037C,1137,162,N,0,VBM PORTION,22,3,13
INGLEWOOD,2950037C,1137,162,N,676,TOTAL,58,6,36
INGLEWOOD,2950039A,1138,162,N,1260,POLLING PLACE,77,10,42
INGLEWOOD,2950039A,1138,162,N,0,VBM PORTION,53,4,40
INGLEWOOD,2950039A,1138,162,N,1260,TOTAL,130,14,82
INGLEWOOD,2950040A,1139,162,N,1138,POLLING PLACE,62,12,40
INGLEWOOD,2950040A,1139,162,N,0,VBM PORTION,32,9,19
INGLEWOOD,2950040A,1139,162,N,1138,TOTAL,94,21,59
INGLEWOOD,2950041A,1140,162,N,1142,POLLING PLACE,74,14,43
INGLEWOOD,2950041A,1140,162,N,0,VBM PORTION,57,6,41
INGLEWOOD,2950041A,1140,162,N,1142,TOTAL,131,20,84
INGLEWOOD,2950042A,1141,162,N,1091,POLLING PLACE,80,12,46
INGLEWOOD,2950042A,1141,162,N,0,VBM PORTION,53,5,32
INGLEWOOD,2950042A,1141,162,N,1091,TOTAL,133,17,78
INGLEWOOD,2950044A,1142,162,N,915,POLLING PLACE,44,8,32
INGLEWOOD,2950044A,1142,162,N,0,VBM PORTION,32,6,21
INGLEWOOD,2950044A,1142,162,N,915,TOTAL,76,14,53
INGLEWOOD,2950047B,1143,162,N,1034,POLLING PLACE,42,10,27
INGLEWOOD,2950047B,1143,162,N,0,VBM PORTION,38,5,25
INGLEWOOD,2950047B,1143,162,N,1034,TOTAL,80,15,52
INGLEWOOD,2950048A,1144,162,N,1014,POLLING PLACE,52,7,39
INGLEWOOD,2950048A,1144,162,N,0,VBM PORTION,32,3,19
INGLEWOOD,2950048A,1144,162,N,1014,TOTAL,84,10,58
INGLEWOOD,2950050A,1145,162,N,1059,POLLING PLACE,54,9,34
INGLEWOOD,2950050A,1145,162,N,0,VBM PORTION,45,3,34
INGLEWOOD,2950050A,1145,162,N,1059,TOTAL,99,12,68
INGLEWOOD,2950052A,1146,162,N,1082,POLLING PLACE,76,12,42
INGLEWOOD,2950052A,1146,162,N,0,VBM PORTION,33,4,20
INGLEWOOD,2950052A,1146,162,N,1082,TOTAL,109,16,62
INGLEWOOD,2950057A,1147,162,N,1021,POLLING PLACE,100,16,56
INGLEWOOD,2950057A,1147,162,N,0,VBM PORTION,44,3,30
INGLEWOOD,2950057A,1147,162,N,1021,TOTAL,144,19,86
INGLEWOOD,2950063A,1148,162,N,984,POLLING PLACE,118,16,63
INGLEWOOD,2950063A,1148,162,N,0,VBM PORTION,89,9,53
INGLEWOOD,2950063A,1148,162,N,984,TOTAL,207,25,116
INGLEWOOD,2950067A,1149,162,N,1130,POLLING PLACE,102,20,64
INGLEWOOD,2950067A,1149,162,N,0,VBM PORTION,78,13,50
INGLEWOOD,2950067A,1149,162,N,1130,TOTAL,180,33,114
INGLEWOOD,2950072A,1150,162,N,966,POLLING PLACE,61,6,36
INGLEWOOD,2950072A,1150,162,N,0,VBM PORTION,48,3,32
INGLEWOOD,2950072A,1150,162,N,966,TOTAL,109,9,68
INGLEWOOD,2950073A,1151,160,N,888,POLLING PLACE,65,16,34
INGLEWOOD,2950073A,1151,160,N,0,VBM PORTION,68,14,36
INGLEWOOD,2950073A,1151,160,N,888,TOTAL,133,30,70
INGLEWOOD,2950075A,1152,162,N,1310,POLLING PLACE,85,9,49
INGLEWOOD,2950075A,1152,162,N,0,VBM PORTION,54,5,28
INGLEWOOD,2950075A,1152,162,N,1310,TOTAL,139,14,77
INGLEWOOD,2950076A,1153,162,N,1104,POLLING PLACE,77,17,34
INGLEWOOD,2950076A,1153,162,N,0,VBM PORTION,58,13,22
INGLEWOOD,2950076A,1153,162,N,1104,TOTAL,135,30,56
INGLEWOOD,2950080A,1154,160,N,957,POLLING PLACE,87,11,57
INGLEWOOD,2950080A,1154,160,N,0,VBM PORTION,43,2,33
INGLEWOOD,2950080A,1154,160,N,957,TOTAL,130,13,90
INGLEWOOD,2950084A,1155,160,N,808,POLLING PLACE,46,5,33
INGLEWOOD,2950084A,1155,160,N,0,VBM PORTION,44,4,29
INGLEWOOD,2950084A,1155,160,N,808,TOTAL,90,9,62
INGLEWOOD,2950087A,1156,160,N,968,POLLING PLACE,77,12,43
INGLEWOOD,2950087A,1156,160,N,0,VBM PORTION,85,7,51
INGLEWOOD,2950087A,1156,160,N,968,TOTAL,162,19,94
INGLEWOOD,2950088A,1157,160,N,1312,POLLING PLACE,172,14,105
INGLEWOOD,2950088A,1157,160,N,0,VBM PORTION,157,19,90
INGLEWOOD,2950088A,1157,160,N,1312,TOTAL,329,33,195
INGLEWOOD,2950090A,1158,114,N,229,POLLING PLACE,38,4,24
INGLEWOOD,2950090A,1158,114,N,0,VBM PORTION,35,5,19
INGLEWOOD,2950090A,1158,114,N,229,TOTAL,73,9,43
INGLEWOOD,2950092A,1159,162,N,995,POLLING PLACE,59,8,37
INGLEWOOD,2950092A,1159,162,N,0,VBM PORTION,48,3,33
INGLEWOOD,2950092A,1159,162,N,995,TOTAL,107,11,70
INGLEWOOD,2950095A,1160,162,N,935,POLLING PLACE,106,12,63
INGLEWOOD,2950095A,1160,162,N,0,VBM PORTION,78,13,39
INGLEWOOD,2950095A,1160,162,N,935,TOTAL,184,25,102
INGLEWOOD,2950141A,1161,162,N,641,POLLING PLACE,36,6,25
INGLEWOOD,2950141A,1161,162,N,0,VBM PORTION,20,4,11
INGLEWOOD,2950141A,1161,162,N,641,TOTAL,56,10,36
INGLEWOOD,2950146A,1162,162,N,921,POLLING PLACE,36,5,23
INGLEWOOD,2950146A,1162,162,N,0,VBM PORTION,31,5,16
INGLEWOOD,2950146A,1162,162,N,921,TOTAL,67,10,39
INGLEWOOD,2950146G,6074,163,Y,4,POLLING PLACE,0,0,0
INGLEWOOD,2950146G,6074,163,Y,0,VBM PORTION,1,0,1
INGLEWOOD,2950146G,6074,163,Y,4,TOTAL,1,0,1
INGLEWOOD,2950147A,1163,162,N,834,POLLING PLACE,61,10,37
