LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
GLENDALE,2550002A,893,46,N,1341,POLLING PLACE,216,124,47
GLENDALE,2550002A,893,46,N,0,VBM PORTION,177,92,40
GLENDALE,2550002A,893,46,N,1341,TOTAL,393,216,87
GLENDALE,2550004A,894,46,N,892,POLLING PLACE,84,41,15
GLENDALE,2550004A,894,46,N,0,VBM PORTION,77,49,18
GLENDALE,2550004A,894,46,N,892,TOTAL,161,90,33
GLENDALE,2550006A,895,46,N,1405,POLLING PLACE,178,85,62
GLENDALE,2550006A,895,46,N,0,VBM PORTION,234,128,63
GLENDALE,2550006A,895,46,N,1405,TOTAL,412,213,125
GLENDALE,2550008A,896,46,N,1188,POLLING PLACE,165,97,41
GLENDALE,2550008A,896,46,N,0,VBM PORTION,138,68,42
GLENDALE,2550008A,896,46,N,1188,TOTAL,303,165,83
GLENDALE,2550009A,897,46,N,962,POLLING PLACE,118,65,35
GLENDALE,2550009A,897,46,N,0,VBM PORTION,98,58,19
GLENDALE,2550009A,897,46,N,962,TOTAL,216,123,54
GLENDALE,2550010A,898,46,N,822,POLLING PLACE,139,69,45
GLENDALE,2550010A,898,46,N,0,VBM PORTION,125,73,25
GLENDALE,2550010A,898,46,N,822,TOTAL,264,142,70
GLENDALE,2550011A,899,46,N,1283,POLLING PLACE,123,64,43
GLENDALE,2550011A,899,46,N,0,VBM PORTION,129,53,24
GLENDALE,2550011A,899,46,N,1283,TOTAL,252,117,67
GLENDALE,2550015A,900,46,N,1295,POLLING PLACE,161,89,44
GLENDALE,2550015A,900,46,N,0,VBM PORTION,138,83,28
GLENDALE,2550015A,900,46,N,1295,TOTAL,299,172,72
GLENDALE,2550017A,901,46,N,1356,POLLING PLACE,108,63,15
GLENDALE,2550017A,901,46,N,0,VBM PORTION,104,59,5
GLENDALE,2550017A,901,46,N,1356,TOTAL,212,122,20
GLENDALE,2550018A,902,46,N,1000,POLLING PLACE,106,47,30
GLENDALE,2550018A,902,46,N,0,VBM PORTION,91,48,18
GLENDALE,2550018A,902,46,N,1000,TOTAL,197,95,48
GLENDALE,2550020A,903,46,N,1399,POLLING PLACE,188,112,32
GLENDALE,2550020A,903,46,N,0,VBM PORTION,189,99,47
GLENDALE,2550020A,903,46,N,1399,TOTAL,377,211,79
GLENDALE,2550023A,904,46,N,1326,POLLING PLACE,156,87,42
GLENDALE,2550023A,904,46,N,0,VBM PORTION,176,96,38
GLENDALE,2550023A,904,46,N,1326,TOTAL,332,183,80
GLENDALE,2550024A,905,46,N,938,POLLING PLACE,154,81,44
GLENDALE,2550024A,905,46,N,0,VBM PORTION,155,84,45
GLENDALE,2550024A,905,46,N,938,TOTAL,309,165,89
GLENDALE,2550025A,906,46,N,1207,POLLING PLACE,182,99,59
GLENDALE,2550025A,906,46,N,0,VBM PORTION,185,84,46
GLENDALE,2550025A,906,46,N,1207,TOTAL,367,183,105
GLENDALE,2550027A,907,46,N,881,POLLING PLACE,93,45,26
GLENDALE,2550027A,907,46,N,0,VBM PORTION,94,42,27
GLENDALE,2550027A,907,46,N,881,TOTAL,187,87,53
GLENDALE,2550028A,908,46,N,914,POLLING PLACE,106,51,30
GLENDALE,2550028A,908,46,N,0,VBM PORTION,123,73,11
GLENDALE,2550028A,908,46,N,914,TOTAL,229,124,41
GLENDALE,2550029A,909,46,N,897,POLLING PLACE,146,78,33
GLENDALE,2550029A,909,46,N,0,VBM PORTION,81,46,21
GLENDALE,2550029A,909,46,N,897,TOTAL,227,124,54
GLENDALE,2550032A,910,46,N,872,POLLING PLACE,90,53,12
GLENDALE,2550032A,910,46,N,0,VBM PORTION,103,49,25
GLENDALE,2550032A,910,46,N,872,TOTAL,193,102,37
GLENDALE,2550035A,911,46,N,840,POLLING PLACE,158,95,31
GLENDALE,2550035A,911,46,N,0,VBM PORTION,121,53,35
GLENDALE,2550035A,911,46,N,840,TOTAL,279,148,66
GLENDALE,2550036A,912,46,N,890,POLLING PLACE,152,77,34
GLENDALE,2550036A,912,46,N,0,VBM PORTION,100,53,14
GLENDALE,2550036A,912,46,N,890,TOTAL,252,130,48
GLENDALE,2550037A,913,46,N,868,POLLING PLACE,84,45,17
GLENDALE,2550037A,913,46,N,0,VBM PORTION,85,47,18
GLENDALE,2550037A,913,46,N,868,TOTAL,169,92,35
GLENDALE,2550039A,914,46,N,907,POLLING PLACE,113,57,24
GLENDALE,2550039A,914,46,N,0,VBM PORTION,139,77,21
GLENDALE,2550039A,914,46,N,907,TOTAL,252,134,45
GLENDALE,2550040A,915,46,N,1263,POLLING PLACE,195,90,67
GLENDALE,2550040A,915,46,N,0,VBM PORTION,209,119,34
GLENDALE,2550040A,915,46,N,1263,TOTAL,404,209,101
GLENDALE,2550041A,916,46,N,913,POLLING PLACE,101,47,30
GLENDALE,2550041A,916,46,N,0,VBM PORTION,124,50,28
GLENDALE,2550041A,916,46,N,913,TOTAL,225,97,58
GLENDALE,2550044A,917,46,N,906,POLLING PLACE,113,63,24
GLENDALE,2550044A,917,46,N,0,VBM PORTION,140,70,22
GLENDALE,2550044A,917,46,N,906,TOTAL,253,133,46
GLENDALE,2550047A,918,46,N,1351,POLLING PLACE,152,87,33
GLENDALE,2550047A,918,46,N,0,VBM PORTION,150,72,28
GLENDALE,2550047A,918,46,N,1351,TOTAL,302,159,61
GLENDALE,2550048A,919,46,N,1429,POLLING PLACE,92,32,21
GLENDALE,2550048A,919,46,N,0,VBM PORTION,186,72,41
GLENDALE,2550048A,919,46,N,1429,TOTAL,278,104,62
GLENDALE,2550050A,920,46,N,911,POLLING PLACE,121,57,37
GLENDALE,2550050A,920,46,N,0,VBM PORTION,173,100,32
GLENDALE,2550050A,920,46,N,911,TOTAL,294,157,69
GLENDALE,2550051A,921,46,N,1485,POLLING PLACE,71,40,12
GLENDALE,2550051A,921,46,N,0,VBM PORTION,210,72,58
GLENDALE,2550051A,921,46,N,1485,TOTAL,281,112,70
GLENDALE,2550052A,922,46,N,1031,POLLING PLACE,196,103,61
GLENDALE,2550052A,922,46,N,0,VBM PORTION,141,84,30
GLENDALE,2550052A,922,46,N,1031,TOTAL,337,187,91
GLENDALE,2550053A,923,46,N,975,POLLING PLACE,136,71,32
GLENDALE,2550053A,923,46,N,0,VBM PORTION,152,85,32
GLENDALE,2550053A,923,46,N,975,TOTAL,288,156,64
GLENDALE,2550054A,924,46,N,1071,POLLING PLACE,171,101,38
GLENDALE,2550054A,924,46,N,0,VBM PORTION,164,83,45
GLENDALE,2550054A,924,46,N,1071,TOTAL,335,184,83
GLENDALE,2550058A,925,46,N,1223,POLLING PLACE,114,46,25
GLENDALE,2550058A,925,46,N,0,VBM PORTION,159,71,40
GLENDALE,2550058A,925,46,N,1223,TOTAL,273,117,65
GLENDALE,2550060A,926,46,N,1409,POLLING PLACE,167,94,36
GLENDALE,2550060A,926,46,N,0,VBM PORTION,210,88,56
GLENDALE,2550060A,926,46,N,1409,TOTAL,377,182,92
GLENDALE,2550061A,927,46,N,1193,POLLING PLACE,101,36,17
GLENDALE,2550061A,927,46,N,0,VBM PORTION,187,72,43
GLENDALE,2550061A,927,46,N,1193,TOTAL,288,108,60
