LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JANICE HAHN
ATHENS,0450001A,122,178,N,1221,POLLING PLACE,64,35
ATHENS,0450001A,122,178,N,0,VBM PORTION,60,50
ATHENS,0450001A,122,178,N,1221,TOTAL,124,85
ATHENS,0450002B,123,178,N,1263,POLLING PLACE,107,56
ATHENS,0450002B,123,178,N,0,VBM PORTION,53,41
ATHENS,0450002B,123,178,N,1263,TOTAL,160,97
ATHENS,0450004A,124,178,N,1271,POLLING PLACE,85,50
ATHENS,0450004A,124,178,N,0,VBM PORTION,65,46
ATHENS,0450004A,124,178,N,1271,TOTAL,150,96
ATHENS,0450007A,125,178,N,1111,POLLING PLACE,104,64
ATHENS,0450007A,125,178,N,0,VBM PORTION,58,44
ATHENS,0450007A,125,178,N,1111,TOTAL,162,108
ATHENS,0450008A,126,178,N,600,POLLING PLACE,69,45
ATHENS,0450008A,126,178,N,0,VBM PORTION,25,20
ATHENS,0450008A,126,178,N,600,TOTAL,94,65
CARSON,1030001A,363,178,N,856,POLLING PLACE,90,50
CARSON,1030001A,363,178,N,0,VBM PORTION,85,65
CARSON,1030001A,363,178,N,856,TOTAL,175,115
CARSON,1030004A,364,178,N,657,POLLING PLACE,100,61
CARSON,1030004A,364,178,N,0,VBM PORTION,58,42
CARSON,1030004A,364,178,N,657,TOTAL,158,103
CARSON,1030006C,365,178,N,909,POLLING PLACE,61,36
CARSON,1030006C,365,178,N,0,VBM PORTION,65,49
CARSON,1030006C,365,178,N,909,TOTAL,126,85
CARSON,1030007A,366,178,N,933,POLLING PLACE,48,23
CARSON,1030007A,366,178,N,0,VBM PORTION,68,39
CARSON,1030007A,366,178,N,933,TOTAL,116,62
CARSON,1030008A,367,178,N,1144,POLLING PLACE,77,48
CARSON,1030008A,367,178,N,0,VBM PORTION,83,62
CARSON,1030008A,367,178,N,1144,TOTAL,160,110
CARSON,1030012B,368,178,N,1145,POLLING PLACE,62,35
CARSON,1030012B,368,178,N,0,VBM PORTION,115,78
CARSON,1030012B,368,178,N,1145,TOTAL,177,113
CARSON,1030013A,369,178,N,1145,POLLING PLACE,110,57
CARSON,1030013A,369,178,N,0,VBM PORTION,72,54
CARSON,1030013A,369,178,N,1145,TOTAL,182,111
CARSON,1030014A,370,178,N,973,POLLING PLACE,116,75
CARSON,1030014A,370,178,N,0,VBM PORTION,60,44
CARSON,1030014A,370,178,N,973,TOTAL,176,119
CARSON,1030015A,371,178,N,982,POLLING PLACE,128,84
CARSON,1030015A,371,178,N,0,VBM PORTION,99,76
CARSON,1030015A,371,178,N,982,TOTAL,227,160
CARSON,1030016A,372,178,N,1196,POLLING PLACE,66,37
CARSON,1030016A,372,178,N,0,VBM PORTION,78,46
CARSON,1030016A,372,178,N,1196,TOTAL,144,83
CARSON,1030020A,373,178,N,1251,POLLING PLACE,93,54
CARSON,1030020A,373,178,N,0,VBM PORTION,86,68
CARSON,1030020A,373,178,N,1251,TOTAL,179,122
CARSON,1030022B,374,178,N,721,POLLING PLACE,71,37
CARSON,1030022B,374,178,N,0,VBM PORTION,74,50
CARSON,1030022B,374,178,N,721,TOTAL,145,87
CARSON,1030024A,375,178,N,971,POLLING PLACE,89,55
CARSON,1030024A,375,178,N,0,VBM PORTION,86,56
CARSON,1030024A,375,178,N,971,TOTAL,175,111
CARSON,1030025B,376,178,N,1290,POLLING PLACE,116,63
CARSON,1030025B,376,178,N,0,VBM PORTION,113,73
CARSON,1030025B,376,178,N,1290,TOTAL,229,136
CARSON,1030027A,377,178,N,899,POLLING PLACE,62,37
CARSON,1030027A,377,178,N,0,VBM PORTION,45,32
CARSON,1030027A,377,178,N,899,TOTAL,107,69
CARSON,1030028A,378,178,N,1190,POLLING PLACE,103,56
CARSON,1030028A,378,178,N,0,VBM PORTION,102,68
CARSON,1030028A,378,178,N,1190,TOTAL,205,124
CARSON,1030029A,379,178,N,1275,POLLING PLACE,120,56
CARSON,1030029A,379,178,N,0,VBM PORTION,107,69
CARSON,1030029A,379,178,N,1275,TOTAL,227,125
CARSON,1030031A,380,178,N,1154,POLLING PLACE,77,42
CARSON,1030031A,380,178,N,0,VBM PORTION,98,64
CARSON,1030031A,380,178,N,1154,TOTAL,175,106
CARSON,1030032A,381,178,N,978,POLLING PLACE,89,52
CARSON,1030032A,381,178,N,0,VBM PORTION,67,51
CARSON,1030032A,381,178,N,978,TOTAL,156,103
CARSON,1030036A,382,178,N,1144,POLLING PLACE,64,36
CARSON,1030036A,382,178,N,0,VBM PORTION,87,58
CARSON,1030036A,382,178,N,1144,TOTAL,151,94
CARSON,1030036C,383,178,N,904,POLLING PLACE,71,40
CARSON,1030036C,383,178,N,0,VBM PORTION,32,21
CARSON,1030036C,383,178,N,904,TOTAL,103,61
