LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,STEVE FOX,KERMIT F FRANKLIN,TOM LACKEY,SUZETTE M MARTINEZ,JD KENNEDY
PALMDALE,5000008A,1891,3,N,1063,TOTAL,140,56,13,39,12,14
PALMDALE,5000009A,1892,3,N,1275,POLLING PLACE,51,32,3,8,3,2
PALMDALE,5000009A,1892,3,N,0,VBM PORTION,87,47,4,24,5,4
PALMDALE,5000009A,1892,3,N,1275,TOTAL,138,79,7,32,8,6
PALMDALE,5000010A,1893,3,N,774,POLLING PLACE,59,22,6,17,4,6
PALMDALE,5000010A,1893,3,N,0,VBM PORTION,54,27,7,11,3,5
PALMDALE,5000010A,1893,3,N,774,TOTAL,113,49,13,28,7,11
PALMDALE,5000011A,1894,3,N,1321,POLLING PLACE,140,37,2,59,10,25
PALMDALE,5000011A,1894,3,N,0,VBM PORTION,178,56,4,72,15,21
PALMDALE,5000011A,1894,3,N,1321,TOTAL,318,93,6,131,25,46
PALMDALE,5000012A,1895,3,N,1265,POLLING PLACE,115,49,5,48,6,4
PALMDALE,5000012A,1895,3,N,0,VBM PORTION,83,31,5,28,9,5
PALMDALE,5000012A,1895,3,N,1265,TOTAL,198,80,10,76,15,9
PALMDALE,5000013A,1896,3,N,429,POLLING PLACE,10,0,0,3,3,1
PALMDALE,5000013A,1896,3,N,0,VBM PORTION,20,2,1,10,4,1
PALMDALE,5000013A,1896,3,N,429,TOTAL,30,2,1,13,7,2
PALMDALE,5000015A,1897,3,N,392,POLLING PLACE,23,9,0,7,3,3
PALMDALE,5000015A,1897,3,N,0,VBM PORTION,15,4,1,4,3,1
PALMDALE,5000015A,1897,3,N,392,TOTAL,38,13,1,11,6,4
PALMDALE,5000016A,1898,3,N,1244,POLLING PLACE,97,49,9,22,4,11
PALMDALE,5000016A,1898,3,N,0,VBM PORTION,55,24,3,18,6,2
PALMDALE,5000016A,1898,3,N,1244,TOTAL,152,73,12,40,10,13
PALMDALE,5000017A,1899,3,N,832,POLLING PLACE,95,21,3,56,7,6
PALMDALE,5000017A,1899,3,N,0,VBM PORTION,78,14,4,51,3,0
PALMDALE,5000017A,1899,3,N,832,TOTAL,173,35,7,107,10,6
PALMDALE,5000018A,1900,3,N,990,POLLING PLACE,117,30,3,52,12,19
PALMDALE,5000018A,1900,3,N,0,VBM PORTION,117,33,3,56,7,11
PALMDALE,5000018A,1900,3,N,990,TOTAL,234,63,6,108,19,30
PALMDALE,5000019A,1901,3,N,1047,POLLING PLACE,75,30,3,24,5,12
PALMDALE,5000019A,1901,3,N,0,VBM PORTION,103,42,6,33,10,6
PALMDALE,5000019A,1901,3,N,1047,TOTAL,178,72,9,57,15,18
PALMDALE,5000020A,1902,3,N,1034,POLLING PLACE,84,22,1,41,7,11
PALMDALE,5000020A,1902,3,N,0,VBM PORTION,87,32,6,31,5,5
PALMDALE,5000020A,1902,3,N,1034,TOTAL,171,54,7,72,12,16
PALMDALE,5000021A,1903,3,N,853,POLLING PLACE,48,24,5,12,2,4
PALMDALE,5000021A,1903,3,N,0,VBM PORTION,51,33,6,6,2,3
PALMDALE,5000021A,1903,3,N,853,TOTAL,99,57,11,18,4,7
PALMDALE,5000022B,1904,3,N,944,POLLING PLACE,63,34,4,15,3,4
PALMDALE,5000022B,1904,3,N,0,VBM PORTION,49,30,4,9,4,1
PALMDALE,5000022B,1904,3,N,944,TOTAL,112,64,8,24,7,5
PALMDALE,5000024A,1905,3,N,1006,POLLING PLACE,93,37,1,39,5,10
PALMDALE,5000024A,1905,3,N,0,VBM PORTION,107,24,1,52,11,12
PALMDALE,5000024A,1905,3,N,1006,TOTAL,200,61,2,91,16,22
PALMDALE,5000025A,1906,3,N,864,POLLING PLACE,72,19,3,26,6,15
PALMDALE,5000025A,1906,3,N,0,VBM PORTION,96,25,5,35,13,8
PALMDALE,5000025A,1906,3,N,864,TOTAL,168,44,8,61,19,23
PALMDALE,5000026A,1907,3,N,958,POLLING PLACE,127,26,3,59,15,22
PALMDALE,5000026A,1907,3,N,0,VBM PORTION,140,28,5,74,7,15
PALMDALE,5000026A,1907,3,N,958,TOTAL,267,54,8,133,22,37
PALMDALE,5000027A,1908,3,N,1221,POLLING PLACE,115,29,0,63,12,10
PALMDALE,5000027A,1908,3,N,0,VBM PORTION,97,18,5,44,10,14
PALMDALE,5000027A,1908,3,N,1221,TOTAL,212,47,5,107,22,24
PALMDALE,5000028A,1909,3,N,970,POLLING PLACE,67,27,3,25,9,2
PALMDALE,5000028A,1909,3,N,0,VBM PORTION,87,33,3,36,9,3
PALMDALE,5000028A,1909,3,N,970,TOTAL,154,60,6,61,18,5
PALMDALE,5000030A,1910,3,N,984,POLLING PLACE,88,33,3,34,9,8
PALMDALE,5000030A,1910,3,N,0,VBM PORTION,108,41,3,36,7,15
PALMDALE,5000030A,1910,3,N,984,TOTAL,196,74,6,70,16,23
PALMDALE,5000031A,1911,3,N,899,POLLING PLACE,71,16,0,41,9,5
PALMDALE,5000031A,1911,3,N,0,VBM PORTION,83,17,2,40,10,4
PALMDALE,5000031A,1911,3,N,899,TOTAL,154,33,2,81,19,9
PALMDALE,5000032A,1912,3,N,1085,POLLING PLACE,87,34,7,30,8,5
PALMDALE,5000032A,1912,3,N,0,VBM PORTION,91,45,6,23,6,2
PALMDALE,5000032A,1912,3,N,1085,TOTAL,178,79,13,53,14,7
PALMDALE,5000033A,1913,3,N,987,POLLING PLACE,34,14,2,14,2,2
PALMDALE,5000033A,1913,3,N,0,VBM PORTION,42,20,5,9,2,1
PALMDALE,5000033A,1913,3,N,987,TOTAL,76,34,7,23,4,3
PALMDALE,5000034A,1914,3,N,1003,POLLING PLACE,63,37,3,10,7,3
PALMDALE,5000034A,1914,3,N,0,VBM PORTION,61,31,1,18,4,3
PALMDALE,5000034A,1914,3,N,1003,TOTAL,124,68,4,28,11,6
PALMDALE,5000036A,1915,3,N,770,POLLING PLACE,40,27,4,6,1,2
PALMDALE,5000036A,1915,3,N,0,VBM PORTION,46,24,1,9,3,5
PALMDALE,5000036A,1915,3,N,770,TOTAL,86,51,5,15,4,7
PALMDALE,5000037A,1916,3,N,888,POLLING PLACE,66,32,2,22,3,3
PALMDALE,5000037A,1916,3,N,0,VBM PORTION,41,12,5,10,4,4
PALMDALE,5000037A,1916,3,N,888,TOTAL,107,44,7,32,7,7
PALMDALE,5000039A,1917,3,N,711,POLLING PLACE,47,29,5,12,0,0
PALMDALE,5000039A,1917,3,N,0,VBM PORTION,44,22,3,13,2,2
PALMDALE,5000039A,1917,3,N,711,TOTAL,91,51,8,25,2,2
PALMDALE,5000039C,1918,3,N,516,POLLING PLACE,19,12,0,3,1,2
PALMDALE,5000039C,1918,3,N,0,VBM PORTION,22,13,0,4,1,2
PALMDALE,5000039C,1918,3,N,516,TOTAL,41,25,0,7,2,4
PALMDALE,5000040A,1919,3,N,1135,POLLING PLACE,107,39,7,38,10,11
PALMDALE,5000040A,1919,3,N,0,VBM PORTION,112,43,6,38,9,6
PALMDALE,5000040A,1919,3,N,1135,TOTAL,219,82,13,76,19,17
PALMDALE,5000041A,1920,3,N,1045,POLLING PLACE,51,34,2,13,2,0
PALMDALE,5000041A,1920,3,N,0,VBM PORTION,60,23,4,16,8,4
PALMDALE,5000041A,1920,3,N,1045,TOTAL,111,57,6,29,10,4
PALMDALE,5000042A,1921,3,N,1048,POLLING PLACE,48,27,1,6,9,3
PALMDALE,5000042A,1921,3,N,0,VBM PORTION,54,23,2,20,2,6
PALMDALE,5000042A,1921,3,N,1048,TOTAL,102,50,3,26,11,9
PALMDALE,5000044A,1922,3,N,1222,POLLING PLACE,58,30,8,11,4,4
PALMDALE,5000044A,1922,3,N,0,VBM PORTION,79,37,5,16,8,11
PALMDALE,5000044A,1922,3,N,1222,TOTAL,137,67,13,27,12,15
PALMDALE,5000045A,1923,3,N,764,POLLING PLACE,41,18,0,13,3,6
PALMDALE,5000045A,1923,3,N,0,VBM PORTION,57,20,1,23,3,6
PALMDALE,5000045A,1923,3,N,764,TOTAL,98,38,1,36,6,12
PALMDALE,5000047A,1924,3,N,1082,POLLING PLACE,56,28,6,14,2,2
PALMDALE,5000047A,1924,3,N,0,VBM PORTION,68,26,4,19,9,5
PALMDALE,5000047A,1924,3,N,1082,TOTAL,124,54,10,33,11,7
PALMDALE,5000048A,1925,3,N,1022,POLLING PLACE,51,28,3,13,3,3
PALMDALE,5000048A,1925,3,N,0,VBM PORTION,60,25,6,22,2,4
PALMDALE,5000048A,1925,3,N,1022,TOTAL,111,53,9,35,5,7
PALMDALE,5000049A,1926,3,N,918,POLLING PLACE,69,41,8,13,0,4
PALMDALE,5000049A,1926,3,N,0,VBM PORTION,56,25,6,14,2,7
PALMDALE,5000049A,1926,3,N,918,TOTAL,125,66,14,27,2,11
PALMDALE,5000050A,1927,3,N,737,POLLING PLACE,43,17,0,16,5,3
PALMDALE,5000050A,1927,3,N,0,VBM PORTION,50,19,4,15,5,2
PALMDALE,5000050A,1927,3,N,737,TOTAL,93,36,4,31,10,5
PALMDALE,5000051B,1928,3,N,1194,POLLING PLACE,67,26,3,22,8,3
PALMDALE,5000051B,1928,3,N,0,VBM PORTION,79,30,3,24,10,7
PALMDALE,5000051B,1928,3,N,1194,TOTAL,146,56,6,46,18,10
PALMDALE,5000053A,1929,3,N,1141,POLLING PLACE,95,51,7,24,5,8
PALMDALE,5000053A,1929,3,N,0,VBM PORTION,71,25,6,18,13,3
PALMDALE,5000053A,1929,3,N,1141,TOTAL,166,76,13,42,18,11
PALMDALE,5000054A,1930,3,N,1068,POLLING PLACE,73,43,5,10,5,5
PALMDALE,5000054A,1930,3,N,0,VBM PORTION,41,22,4,9,1,3
PALMDALE,5000054A,1930,3,N,1068,TOTAL,114,65,9,19,6,8
PALMDALE,5000055A,1931,3,N,1498,POLLING PLACE,171,50,7,60,6,38
PALMDALE,5000055A,1931,3,N,0,VBM PORTION,235,49,10,102,18,28
PALMDALE,5000055A,1931,3,N,1498,TOTAL,406,99,17,162,24,66
PALMDALE,5000058A,1932,3,N,1024,POLLING PLACE,56,32,2,9,7,2
PALMDALE,5000058A,1932,3,N,0,VBM PORTION,70,38,6,15,2,5
PALMDALE,5000058A,1932,3,N,1024,TOTAL,126,70,8,24,9,7
PALMDALE,5000063A,1933,3,N,1041,POLLING PLACE,99,30,1,35,14,15
PALMDALE,5000063A,1933,3,N,0,VBM PORTION,80,32,2,30,5,7
PALMDALE,5000063A,1933,3,N,1041,TOTAL,179,62,3,65,19,22
PALMDALE,5000064A,1934,3,N,1190,POLLING PLACE,97,41,8,21,15,8
PALMDALE,5000064A,1934,3,N,0,VBM PORTION,54,16,2,23,5,5
PALMDALE,5000064A,1934,3,N,1190,TOTAL,151,57,10,44,20,13
PALMDALE,5000066A,1935,3,N,1350,POLLING PLACE,125,44,6,48,13,11
PALMDALE,5000066A,1935,3,N,0,VBM PORTION,131,52,5,43,17,11
PALMDALE,5000066A,1935,3,N,1350,TOTAL,256,96,11,91,30,22
PALMDALE,5000067A,1936,3,N,1160,POLLING PLACE,64,30,3,11,11,7
PALMDALE,5000067A,1936,3,N,0,VBM PORTION,86,33,5,28,11,7
PALMDALE,5000067A,1936,3,N,1160,TOTAL,150,63,8,39,22,14
PALMDALE,5000070A,1937,3,N,1288,POLLING PLACE,123,38,7,50,6,17
PALMDALE,5000070A,1937,3,N,0,VBM PORTION,125,35,4,48,9,21
PALMDALE,5000070A,1937,3,N,1288,TOTAL,248,73,11,98,15,38
PALMDALE,5000071A,1938,3,N,1143,POLLING PLACE,78,41,7,15,7,7
PALMDALE,5000071A,1938,3,N,0,VBM PORTION,67,31,5,21,4,4
PALMDALE,5000071A,1938,3,N,1143,TOTAL,145,72,12,36,11,11
PALMDALE,5000072A,1939,3,N,1101,POLLING PLACE,50,22,4,12,6,6
PALMDALE,5000072A,1939,3,N,0,VBM PORTION,60,38,3,7,3,8
PALMDALE,5000072A,1939,3,N,1101,TOTAL,110,60,7,19,9,14
PALMDALE,5000075A,1940,3,N,707,POLLING PLACE,56,20,0,22,7,5
PALMDALE,5000075A,1940,3,N,0,VBM PORTION,57,18,4,23,3,7
PALMDALE,5000075A,1940,3,N,707,TOTAL,113,38,4,45,10,12
PALMDALE,5000078A,1941,3,N,1054,POLLING PLACE,67,25,6,16,5,11
PALMDALE,5000078A,1941,3,N,0,VBM PORTION,76,34,7,24,1,8
PALMDALE,5000078A,1941,3,N,1054,TOTAL,143,59,13,40,6,19
PALMDALE,5000079A,1942,3,N,843,POLLING PLACE,47,20,4,20,2,1
PALMDALE,5000079A,1942,3,N,0,VBM PORTION,53,19,0,23,6,3
PALMDALE,5000079A,1942,3,N,843,TOTAL,100,39,4,43,8,4
PALMDALE,5000080A,1943,3,N,1369,POLLING PLACE,95,31,5,33,15,6
PALMDALE,5000080A,1943,3,N,0,VBM PORTION,128,33,12,46,15,9
PALMDALE,5000080A,1943,3,N,1369,TOTAL,223,64,17,79,30,15
PALMDALE,5000081A,1944,3,N,911,POLLING PLACE,39,11,0,16,4,7
PALMDALE,5000081A,1944,3,N,0,VBM PORTION,72,19,9,26,8,7
PALMDALE,5000081A,1944,3,N,911,TOTAL,111,30,9,42,12,14
PALMDALE,5000082A,1945,3,N,1261,POLLING PLACE,130,46,5,52,7,20
PALMDALE,5000082A,1945,3,N,0,VBM PORTION,169,42,2,72,8,32
PALMDALE,5000082A,1945,3,N,1261,TOTAL,299,88,7,124,15,52
PALMDALE,5000084A,1946,3,N,985,POLLING PLACE,84,45,4,21,9,5
PALMDALE,5000084A,1946,3,N,0,VBM PORTION,32,13,9,6,1,0
PALMDALE,5000084A,1946,3,N,985,TOTAL,116,58,13,27,10,5
PALMDALE,5000085B,1947,3,N,1424,POLLING PLACE,51,26,4,10,4,3
PALMDALE,5000085B,1947,3,N,0,VBM PORTION,102,55,16,16,5,7
PALMDALE,5000085B,1947,3,N,1424,TOTAL,153,81,20,26,9,10
PALMDALE,5000086A,1948,3,N,984,POLLING PLACE,57,28,1,13,3,8
PALMDALE,5000086A,1948,3,N,0,VBM PORTION,61,28,5,18,3,5
PALMDALE,5000086A,1948,3,N,984,TOTAL,118,56,6,31,6,13
PALMDALE,5000088A,1949,3,N,1234,POLLING PLACE,155,45,2,65,11,25
PALMDALE,5000088A,1949,3,N,0,VBM PORTION,173,47,2,90,21,11
PALMDALE,5000088A,1949,3,N,1234,TOTAL,328,92,4,155,32,36
PALMDALE,5000089A,1950,3,N,1021,POLLING PLACE,77,27,3,29,12,3
PALMDALE,5000089A,1950,3,N,0,VBM PORTION,70,38,8,13,6,1
PALMDALE,5000089A,1950,3,N,1021,TOTAL,147,65,11,42,18,4
PALMDALE,5000092A,1951,3,N,1186,POLLING PLACE,139,41,9,59,10,12
PALMDALE,5000092A,1951,3,N,0,VBM PORTION,119,36,2,43,9,17
PALMDALE,5000092A,1951,3,N,1186,TOTAL,258,77,11,102,19,29
PALMDALE,5000093A,1952,3,N,1206,POLLING PLACE,71,33,12,16,3,4
PALMDALE,5000093A,1952,3,N,0,VBM PORTION,73,32,12,14,5,6
PALMDALE,5000093A,1952,3,N,1206,TOTAL,144,65,24,30,8,10
PEARBLOSSOM,5200003A,6125,4,Y,65,POLLING PLACE,0,0,0,0,0,0
PEARBLOSSOM,5200003A,6125,4,Y,0,VBM PORTION,24,6,0,11,0,4
PEARBLOSSOM,5200003A,6125,4,Y,65,TOTAL,24,6,0,11,0,4
PEARBLOSSOM,5200008A,6126,3,Y,94,POLLING PLACE,0,0,0,0,0,0
PEARBLOSSOM,5200008A,6126,3,Y,0,VBM PORTION,40,7,1,20,3,7
PEARBLOSSOM,5200008A,6126,3,Y,94,TOTAL,40,7,1,20,3,7
PEARBLOSSOM,5200013A,6127,4,Y,3,POLLING PLACE,0,0,0,0,0,0
PEARBLOSSOM,5200013A,6127,4,Y,0,VBM PORTION,2,2,0,0,0,0
PEARBLOSSOM,5200013A,6127,4,Y,3,TOTAL,2,2,0,0,0,0
PEARBLOSSOM,5200014A,6128,3,Y,3,POLLING PLACE,0,0,0,0,0,0
PEARBLOSSOM,5200014A,6128,3,Y,0,VBM PORTION,2,0,0,2,0,0
PEARBLOSSOM,5200014A,6128,3,Y,3,TOTAL,2,0,0,2,0,0
PEARBLOSSOM,5200040D,2055,3,N,252,POLLING PLACE,62,18,2,25,7,8
PEARBLOSSOM,5200040D,2055,3,N,0,VBM PORTION,39,8,3,23,1,3
PEARBLOSSOM,5200040D,2055,3,N,252,TOTAL,101,26,5,48,8,11
PEARBLOSSOM,5200042A,2056,3,N,668,POLLING PLACE,101,32,3,44,7,14
PEARBLOSSOM,5200042A,2056,3,N,0,VBM PORTION,68,14,2,25,7,13
PEARBLOSSOM,5200042A,2056,3,N,668,TOTAL,169,46,5,69,14,27
PEARBLOSSOM,5200043A,6129,3,Y,321,POLLING PLACE,0,0,0,0,0,0
PEARBLOSSOM,5200043A,6129,3,Y,0,VBM PORTION,121,35,7,45,14,14
PEARBLOSSOM,5200043A,6129,3,Y,321,TOTAL,121,35,7,45,14,14
QUARTZ HILL,5400003A,6134,3,Y,4,POLLING PLACE,0,0,0,0,0,0
QUARTZ HILL,5400003A,6134,3,Y,0,VBM PORTION,0,0,0,0,0,0
QUARTZ HILL,5400003A,6134,3,Y,4,TOTAL,0,0,0,0,0,0
QUARTZ HILL,5400004A,2146,2,N,1204,POLLING PLACE,121,26,7,46,13,26
QUARTZ HILL,5400004A,2146,2,N,0,VBM PORTION,93,26,3,41,4,16
QUARTZ HILL,5400004A,2146,2,N,1204,TOTAL,214,52,10,87,17,42
QUARTZ HILL,5400005A,2147,3,N,958,POLLING PLACE,144,28,2,65,13,32
QUARTZ HILL,5400005A,2147,3,N,0,VBM PORTION,128,27,1,74,6,14
QUARTZ HILL,5400005A,2147,3,N,958,TOTAL,272,55,3,139,19,46
QUARTZ HILL,5400009A,2148,2,N,1137,POLLING PLACE,119,23,5,55,11,24
QUARTZ HILL,5400009A,2148,2,N,0,VBM PORTION,80,21,2,39,6,11
QUARTZ HILL,5400009A,2148,2,N,1137,TOTAL,199,44,7,94,17,35
QUARTZ HILL,5400019A,2149,2,N,878,POLLING PLACE,105,29,3,33,19,17
QUARTZ HILL,5400019A,2149,2,N,0,VBM PORTION,65,24,1,25,6,6
QUARTZ HILL,5400019A,2149,2,N,878,TOTAL,170,53,4,58,25,23
QUARTZ HILL,5400046A,2150,2,N,739,POLLING PLACE,94,29,4,31,11,12
QUARTZ HILL,5400046A,2150,2,N,0,VBM PORTION,163,46,8,57,15,18
QUARTZ HILL,5400046A,2150,2,N,739,TOTAL,257,75,12,88,26,30
QUARTZ HILL,5400047A,2151,2,N,844,POLLING PLACE,99,24,0,48,8,16
QUARTZ HILL,5400047A,2151,2,N,0,VBM PORTION,123,32,5,54,8,13
QUARTZ HILL,5400047A,2151,2,N,844,TOTAL,222,56,5,102,16,29
QUARTZ HILL,5400048A,2152,2,N,1100,POLLING PLACE,120,29,4,37,11,38
QUARTZ HILL,5400048A,2152,2,N,0,VBM PORTION,112,29,4,51,6,15
QUARTZ HILL,5400048A,2152,2,N,1100,TOTAL,232,58,8,88,17,53
QUARTZ HILL,5400055A,2153,2,N,454,POLLING PLACE,66,14,1,31,7,11
QUARTZ HILL,5400055A,2153,2,N,0,VBM PORTION,58,18,1,23,3,8
QUARTZ HILL,5400055A,2153,2,N,454,TOTAL,124,32,2,54,10,19
QUARTZ HILL,5400057A,2154,2,N,992,POLLING PLACE,146,28,10,67,2,32
QUARTZ HILL,5400057A,2154,2,N,0,VBM PORTION,120,23,3,59,6,17
QUARTZ HILL,5400057A,2154,2,N,992,TOTAL,266,51,13,126,8,49
SANTA CLARITA,6220166A,2429,3,N,673,POLLING PLACE,69,11,2,26,10,9
SANTA CLARITA,6220166A,2429,3,N,0,VBM PORTION,52,12,3,22,2,6
SANTA CLARITA,6220166A,2429,3,N,673,TOTAL,121,23,5,48,12,15
SANTA CLARITA,6220167C,2430,3,N,833,POLLING PLACE,88,19,3,40,8,12
SANTA CLARITA,6220167C,2430,3,N,0,VBM PORTION,82,15,5,40,10,8
SANTA CLARITA,6220167C,2430,3,N,833,TOTAL,170,34,8,80,18,20
SANTA CLARITA,6220170A,2431,3,N,1256,POLLING PLACE,99,31,4,31,15,14
SANTA CLARITA,6220170A,2431,3,N,0,VBM PORTION,122,37,3,49,6,9
SANTA CLARITA,6220170A,2431,3,N,1256,TOTAL,221,68,7,80,21,23
SANTA CLARITA,6220176A,2432,3,N,1290,POLLING PLACE,87,22,1,47,6,5
SANTA CLARITA,6220176A,2432,3,N,0,VBM PORTION,166,50,1,70,24,8
SANTA CLARITA,6220176A,2432,3,N,1290,TOTAL,253,72,2,117,30,13
SANTA CLARITA,6220179A,2433,3,N,914,POLLING PLACE,71,16,3,35,10,3
SANTA CLARITA,6220179A,2433,3,N,0,VBM PORTION,110,28,5,43,21,5
SANTA CLARITA,6220179A,2433,3,N,914,TOTAL,181,44,8,78,31,8
SANTA CLARITA,6220180A,2434,3,N,1045,POLLING PLACE,86,21,1,35,13,7
SANTA CLARITA,6220180A,2434,3,N,0,VBM PORTION,96,26,5,50,3,5
SANTA CLARITA,6220180A,2434,3,N,1045,TOTAL,182,47,6,85,16,12
SAUGUS,6300002A,6155,3,Y,218,POLLING PLACE,0,0,0,0,0,0
SAUGUS,6300002A,6155,3,Y,0,VBM PORTION,55,8,1,33,9,2
SAUGUS,6300002A,6155,3,Y,218,TOTAL,55,8,1,33,9,2
SAUGUS,6300003A,6156,3,Y,57,POLLING PLACE,0,0,0,0,0,0
SAUGUS,6300003A,6156,3,Y,0,VBM PORTION,17,0,0,10,6,0
SAUGUS,6300003A,6156,3,Y,57,TOTAL,17,0,0,10,6,0
SAUGUS,6300004A,6157,3,Y,191,POLLING PLACE,0,0,0,0,0,0
SAUGUS,6300004A,6157,3,Y,0,VBM PORTION,25,8,1,10,3,1
SAUGUS,6300004A,6157,3,Y,191,TOTAL,25,8,1,10,3,1
SAUGUS,6300005A,2504,3,N,1346,POLLING PLACE,81,25,4,28,8,9
SAUGUS,6300005A,2504,3,N,0,VBM PORTION,96,29,7,30,12,7
SAUGUS,6300005A,2504,3,N,1346,TOTAL,177,54,11,58,20,16
SAUGUS,6300006A,2505,3,N,296,POLLING PLACE,16,6,0,2,3,2
SAUGUS,6300006A,2505,3,N,0,VBM PORTION,27,6,2,13,2,4
SAUGUS,6300006A,2505,3,N,296,TOTAL,43,12,2,15,5,6
SAUGUS,6300014A,2506,3,N,1089,POLLING PLACE,47,7,7,16,4,5
SAUGUS,6300014A,2506,3,N,0,VBM PORTION,112,34,6,37,21,7
SAUGUS,6300014A,2506,3,N,1089,TOTAL,159,41,13,53,25,12
SAUGUS,6300099A,6160,3,Y,75,POLLING PLACE,0,0,0,0,0,0
SAUGUS,6300099A,6160,3,Y,0,VBM PORTION,12,1,0,7,1,1
SAUGUS,6300099A,6160,3,Y,75,TOTAL,12,1,0,7,1,1
WILSONA,7900005A,2967,3,N,1029,POLLING PLACE,70,31,6,21,3,6
WILSONA,7900005A,2967,3,N,0,VBM PORTION,75,34,7,18,6,4
WILSONA,7900005A,2967,3,N,1029,TOTAL,145,65,13,39,9,10
WILSONA,7900006A,2968,3,N,861,POLLING PLACE,73,21,4,28,8,10
WILSONA,7900006A,2968,3,N,0,VBM PORTION,63,24,2,16,5,8
WILSONA,7900006A,2968,3,N,861,TOTAL,136,45,6,44,13,18
WILSONA,7900008A,2969,3,N,1154,POLLING PLACE,67,33,3,25,2,3
WILSONA,7900008A,2969,3,N,0,VBM PORTION,109,39,8,38,10,8
WILSONA,7900008A,2969,3,N,1154,TOTAL,176,72,11,63,12,11
WILSONA,7900009A,2970,3,N,720,POLLING PLACE,52,18,4,11,2,14
WILSONA,7900009A,2970,3,N,0,VBM PORTION,40,16,0,14,6,1
WILSONA,7900009A,2970,3,N,720,TOTAL,92,34,4,25,8,15
WILSONA,7900010A,2971,3,N,900,POLLING PLACE,63,19,4,14,6,16
WILSONA,7900010A,2971,3,N,0,VBM PORTION,77,31,1,22,9,7
WILSONA,7900010A,2971,3,N,900,TOTAL,140,50,5,36,15,23
WILSONA,7900011A,2972,3,N,896,POLLING PLACE,112,45,4,34,9,18
WILSONA,7900011A,2972,3,N,0,VBM PORTION,56,26,1,19,1,5
WILSONA,7900011A,2972,3,N,896,TOTAL,168,71,5,53,10,23
BALLOT GROUP 1,9990001A,8001,1,N,0,POLLING PLACE,0,0,0,0,0,0
BALLOT GROUP 1,9990001A,8001,1,N,0,VBM PORTION,2,0,0,0,1,0
BALLOT GROUP 1,9990001A,8001,1,N,0,TOTAL,1,0,0,0,1,0
BALLOT GROUP 2,9990002A,8002,2,N,0,POLLING PLACE,0,0,0,0,0,0
BALLOT GROUP 2,9990002A,8002,2,N,0,VBM PORTION,4,1,0,0,0,0
BALLOT GROUP 2,9990002A,8002,2,N,0,TOTAL,2,1,0,0,0,0
BALLOT GROUP 3,9990003A,8003,3,N,0,POLLING PLACE,0,0,0,0,0,0
BALLOT GROUP 3,9990003A,8003,3,N,0,VBM PORTION,10,1,0,0,2,1
BALLOT GROUP 3,9990003A,8003,3,N,0,TOTAL,5,1,0,0,2,1
BALLOT GROUP 4,9990004A,8004,4,N,0,POLLING PLACE,0,0,0,0,0,0
BALLOT GROUP 4,9990004A,8004,4,N,0,VBM PORTION,0,0,0,0,0,0
BALLOT GROUP 4,9990004A,8004,4,N,0,TOTAL,0,0,0,0,0,0
BALLOT GROUP 5,9990005A,8005,5,N,0,POLLING PLACE,0,0,0,0,0,0
BALLOT GROUP 5,9990005A,8005,5,N,0,VBM PORTION,0,0,0,0,0,0
BALLOT GROUP 5,9990005A,8005,5,N,0,TOTAL,0,0,0,0,0,0
