LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ED HERNANDEZ
ALHAMBRA,0150001A,26,76,N,959,POLLING PLACE,89,60
ALHAMBRA,0150001A,26,76,N,0,VBM PORTION,65,40
ALHAMBRA,0150001A,26,76,N,959,TOTAL,154,100
ALHAMBRA,0150003B,27,76,N,767,POLLING PLACE,51,36
ALHAMBRA,0150003B,27,76,N,0,VBM PORTION,56,41
ALHAMBRA,0150003B,27,76,N,767,TOTAL,107,77
ALHAMBRA,0150004A,28,76,N,1209,POLLING PLACE,135,77
ALHAMBRA,0150004A,28,76,N,0,VBM PORTION,123,63
ALHAMBRA,0150004A,28,76,N,1209,TOTAL,258,140
ALHAMBRA,0150007A,29,76,N,1297,POLLING PLACE,63,38
ALHAMBRA,0150007A,29,76,N,0,VBM PORTION,72,48
ALHAMBRA,0150007A,29,76,N,1297,TOTAL,135,86
ALHAMBRA,0150008A,30,76,N,1214,POLLING PLACE,79,54
ALHAMBRA,0150008A,30,76,N,0,VBM PORTION,55,37
ALHAMBRA,0150008A,30,76,N,1214,TOTAL,134,91
ALHAMBRA,0150011A,31,76,N,1288,POLLING PLACE,126,74
ALHAMBRA,0150011A,31,76,N,0,VBM PORTION,111,77
ALHAMBRA,0150011A,31,76,N,1288,TOTAL,237,151
ALHAMBRA,0150012A,32,76,N,1108,POLLING PLACE,76,59
ALHAMBRA,0150012A,32,76,N,0,VBM PORTION,68,40
ALHAMBRA,0150012A,32,76,N,1108,TOTAL,144,99
ALHAMBRA,0150014A,33,76,N,1129,POLLING PLACE,86,45
ALHAMBRA,0150014A,33,76,N,0,VBM PORTION,64,32
ALHAMBRA,0150014A,33,76,N,1129,TOTAL,150,77
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,79
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,45
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,124
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,58
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,28
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,86
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,59
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,45
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,104
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,46
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,75
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,121
