LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TODD S ROGERS,BOB OLMSTED,JIM MCDONNELL,LOU VINCE,PAUL TANAKA,JAMES HELLMOLD,PATRICK L GOMEZ
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,7,23,61,10,24,13,2
ACTON,0050003A,1,3,N,0,VBM PORTION,133,5,9,50,8,25,10,4
ACTON,0050003A,1,3,N,1086,TOTAL,288,12,32,111,18,49,23,6
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,10,12,51,6,16,2,0
ACTON,0050004A,2,3,N,0,VBM PORTION,132,6,8,58,5,14,18,4
ACTON,0050004A,2,3,N,820,TOTAL,242,16,20,109,11,30,20,4
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,4,9,61,5,20,14,3
ACTON,0050005A,3,3,N,0,VBM PORTION,83,7,12,32,3,11,6,1
ACTON,0050005A,3,3,N,748,TOTAL,205,11,21,93,8,31,20,4
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,1,7,22,2,10,8,4
ACTON,0050014A,4,3,N,0,VBM PORTION,57,2,6,25,5,4,4,1
ACTON,0050014A,4,3,N,488,TOTAL,114,3,13,47,7,14,12,5
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0,0,0,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,2,3,12,0,3,0,1
ACTON,0050022A,6001,4,Y,61,TOTAL,22,2,3,12,0,3,0,1
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0,0,0,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,1,0,0,0,0,0,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,1,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0,0,0,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,0,0,0,0,0,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,0,0,0,0,0,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,9,21,66,8,25,4,4
ACTON,0050059A,5,3,N,0,VBM PORTION,122,5,17,55,5,16,9,1
ACTON,0050059A,5,3,N,1211,TOTAL,272,14,38,121,13,41,13,5
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,15,22,52,15,19,13,6
ACTON,0050061A,6,3,N,0,VBM PORTION,155,12,18,56,5,13,22,1
ACTON,0050061A,6,3,N,1159,TOTAL,308,27,40,108,20,32,35,7
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0,0,0,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,0,0,3,0,0,0,0
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,0,0,3,0,0,0,0
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0,0,0,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,0,2,10,0,0,1,1
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,0,2,10,0,0,1,1
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,2,22,66,12,16,19,2
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,9,10,68,11,11,6,1
AGOURA,0070004A,7,88,N,1212,TOTAL,312,11,32,134,23,27,25,3
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,1,15,83,12,14,18,3
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,4,11,71,6,13,6,0
AGOURA,0070006A,8,88,N,1201,TOTAL,337,5,26,154,18,27,24,3
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,3,1,29,0,3,1,2
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,4,6,37,5,11,7,2
AGOURA,0070008B,9,56,N,846,TOTAL,143,7,7,66,5,14,8,4
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,2,14,52,11,16,10,2
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,4,2,27,5,8,1,0
AGOURA,0070041A,10,88,N,716,TOTAL,193,6,16,79,16,24,11,2
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,1,16,53,11,17,6,1
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,3,6,59,11,14,8,0
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,4,22,112,22,31,14,1
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,7,13,76,5,19,6,3
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,4,13,68,5,18,8,0
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,11,26,144,10,37,14,3
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,2,13,56,8,16,12,0
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,6,14,33,11,8,7,1
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,8,27,89,19,24,19,1
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,3,19,61,8,11,4,0
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,2,10,53,10,9,8,1
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,5,29,114,18,20,12,1
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,3,6,61,7,19,9,3
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,2,1,44,11,6,10,0
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,5,7,105,18,25,19,3
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,13,13,70,9,15,4,2
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,3,17,52,10,9,18,4
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,16,30,122,19,24,22,6
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,3,17,60,13,34,4,0
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,8,15,49,12,16,4,2
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,11,32,109,25,50,8,2
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,3,4,51,6,10,5,0
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,6,8,34,9,8,1,1
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,9,12,85,15,18,6,1
