LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM TORLAKSON,MARSHALL TUCK,LYDIA A GUTIERREZ
CHARTER OAK,1100083A,475,68,N,0,VBM PORTION,59,15,19,17
CHARTER OAK,1100083A,475,68,N,1136,TOTAL,109,34,27,29
CHARTER OAK,1100084A,476,68,N,795,POLLING PLACE,57,19,17,17
CHARTER OAK,1100084A,476,68,N,0,VBM PORTION,48,17,14,10
CHARTER OAK,1100084A,476,68,N,795,TOTAL,105,36,31,27
CHATSWORTH,1150001A,477,10,N,807,POLLING PLACE,34,9,18,7
CHATSWORTH,1150001A,477,10,N,0,VBM PORTION,58,16,18,14
CHATSWORTH,1150001A,477,10,N,807,TOTAL,92,25,36,21
CHATSWORTH,1150002A,478,57,N,472,POLLING PLACE,51,17,14,15
CHATSWORTH,1150002A,478,57,N,0,VBM PORTION,36,11,16,6
CHATSWORTH,1150002A,478,57,N,472,TOTAL,87,28,30,21
CHATSWORTH,1150004A,6028,55,Y,2,POLLING PLACE,0,0,0,0
CHATSWORTH,1150004A,6028,55,Y,0,VBM PORTION,2,0,2,0
CHATSWORTH,1150004A,6028,55,Y,2,TOTAL,2,0,2,0
CHATSWORTH,1150012A,479,57,N,606,POLLING PLACE,81,22,30,20
CHATSWORTH,1150012A,479,57,N,0,VBM PORTION,48,7,13,21
CHATSWORTH,1150012A,479,57,N,606,TOTAL,129,29,43,41
CITRUS,1250005A,6029,69,Y,285,POLLING PLACE,0,0,0,0
CITRUS,1250005A,6029,69,Y,0,VBM PORTION,95,25,31,25
CITRUS,1250005A,6029,69,Y,285,TOTAL,95,25,31,25
CITRUS,1250071A,6030,33,Y,4,POLLING PLACE,0,0,0,0
CITRUS,1250071A,6030,33,Y,0,VBM PORTION,0,0,0,0
CITRUS,1250071A,6030,33,Y,4,TOTAL,0,0,0,0
CITRUS,1250072A,6031,66,Y,0,POLLING PLACE,0,0,0,0
CITRUS,1250072A,6031,66,Y,0,VBM PORTION,0,0,0,0
CITRUS,1250072A,6031,66,Y,0,TOTAL,0,0,0,0
CITRUS,1250075A,6032,29,Y,13,POLLING PLACE,0,0,0,0
CITRUS,1250075A,6032,29,Y,0,VBM PORTION,5,0,3,1
CITRUS,1250075A,6032,29,Y,13,TOTAL,5,0,3,1
CITRUS,1250079A,6033,67,Y,0,POLLING PLACE,0,0,0,0
CITRUS,1250079A,6033,67,Y,0,VBM PORTION,0,0,0,0
CITRUS,1250079A,6033,67,Y,0,TOTAL,0,0,0,0
CITRUS,1250083A,6034,68,Y,177,POLLING PLACE,0,0,0,0
CITRUS,1250083A,6034,68,Y,0,VBM PORTION,37,11,10,8
CITRUS,1250083A,6034,68,Y,177,TOTAL,37,11,10,8
CLAREMONT,1300001A,480,31,N,894,POLLING PLACE,69,30,18,10
CLAREMONT,1300001A,480,31,N,0,VBM PORTION,90,33,25,18
CLAREMONT,1300001A,480,31,N,894,TOTAL,159,63,43,28
CLAREMONT,1300002A,481,31,N,737,POLLING PLACE,89,45,20,17
CLAREMONT,1300002A,481,31,N,0,VBM PORTION,67,23,18,13
CLAREMONT,1300002A,481,31,N,737,TOTAL,156,68,38,30
CLAREMONT,1300003A,482,31,N,1252,POLLING PLACE,152,64,42,26
CLAREMONT,1300003A,482,31,N,0,VBM PORTION,96,36,28,25
CLAREMONT,1300003A,482,31,N,1252,TOTAL,248,100,70,51
CLAREMONT,1300004A,483,31,N,730,POLLING PLACE,19,10,6,2
CLAREMONT,1300004A,483,31,N,0,VBM PORTION,13,3,3,7
CLAREMONT,1300004A,483,31,N,730,TOTAL,32,13,9,9
CLAREMONT,1300005A,484,31,N,957,POLLING PLACE,129,57,32,23
CLAREMONT,1300005A,484,31,N,0,VBM PORTION,84,25,28,14
CLAREMONT,1300005A,484,31,N,957,TOTAL,213,82,60,37
CLAREMONT,1300007A,485,31,N,928,POLLING PLACE,100,38,33,13
CLAREMONT,1300007A,485,31,N,0,VBM PORTION,141,51,35,25
CLAREMONT,1300007A,485,31,N,928,TOTAL,241,89,68,38
CLAREMONT,1300008A,486,31,N,947,POLLING PLACE,220,71,124,14
CLAREMONT,1300008A,486,31,N,0,VBM PORTION,277,91,129,27
CLAREMONT,1300008A,486,31,N,947,TOTAL,497,162,253,41
CLAREMONT,1300009A,487,31,N,889,POLLING PLACE,147,60,48,19
CLAREMONT,1300009A,487,31,N,0,VBM PORTION,169,72,48,20
CLAREMONT,1300009A,487,31,N,889,TOTAL,316,132,96,39
CLAREMONT,1300012A,488,31,N,814,POLLING PLACE,145,61,55,10
CLAREMONT,1300012A,488,31,N,0,VBM PORTION,90,48,20,10
CLAREMONT,1300012A,488,31,N,814,TOTAL,235,109,75,20
CLAREMONT,1300013A,489,31,N,709,POLLING PLACE,6,3,0,2
CLAREMONT,1300013A,489,31,N,0,VBM PORTION,11,3,4,1
CLAREMONT,1300013A,489,31,N,709,TOTAL,17,6,4,3
CLAREMONT,1300014A,490,31,N,930,POLLING PLACE,126,46,54,16
CLAREMONT,1300014A,490,31,N,0,VBM PORTION,103,46,27,17
CLAREMONT,1300014A,490,31,N,930,TOTAL,229,92,81,33
CLAREMONT,1300015A,491,31,N,839,POLLING PLACE,142,55,47,26
CLAREMONT,1300015A,491,31,N,0,VBM PORTION,86,36,26,12
CLAREMONT,1300015A,491,31,N,839,TOTAL,228,91,73,38
CLAREMONT,1300018A,492,31,N,928,POLLING PLACE,126,50,36,15
CLAREMONT,1300018A,492,31,N,0,VBM PORTION,113,32,39,10
CLAREMONT,1300018A,492,31,N,928,TOTAL,239,82,75,25
CLAREMONT,1300019A,493,31,N,932,POLLING PLACE,143,46,45,30
CLAREMONT,1300019A,493,31,N,0,VBM PORTION,129,39,41,24
CLAREMONT,1300019A,493,31,N,932,TOTAL,272,85,86,54
CLAREMONT,1300020A,494,31,N,882,POLLING PLACE,107,37,38,13
CLAREMONT,1300020A,494,31,N,0,VBM PORTION,106,52,28,11
CLAREMONT,1300020A,494,31,N,882,TOTAL,213,89,66,24
CLAREMONT,1300021A,495,31,N,886,POLLING PLACE,144,57,48,21
CLAREMONT,1300021A,495,31,N,0,VBM PORTION,99,43,27,17
CLAREMONT,1300021A,495,31,N,886,TOTAL,243,100,75,38
CLAREMONT,1300023B,496,31,N,612,POLLING PLACE,66,23,20,17
CLAREMONT,1300023B,496,31,N,0,VBM PORTION,37,6,13,15
CLAREMONT,1300023B,496,31,N,612,TOTAL,103,29,33,32
CLAREMONT,1300025A,497,31,N,866,POLLING PLACE,131,51,51,13
CLAREMONT,1300025A,497,31,N,0,VBM PORTION,125,47,34,18
CLAREMONT,1300025A,497,31,N,866,TOTAL,256,98,85,31
CLAREMONT,1300026A,498,31,N,809,POLLING PLACE,110,41,40,12
CLAREMONT,1300026A,498,31,N,0,VBM PORTION,105,41,28,12
CLAREMONT,1300026A,498,31,N,809,TOTAL,215,82,68,24
CLAREMONT,1300029A,499,31,N,536,POLLING PLACE,49,18,14,8
CLAREMONT,1300029A,499,31,N,0,VBM PORTION,92,32,27,15
CLAREMONT,1300029A,499,31,N,536,TOTAL,141,50,41,23
CLAREMONT,1300037A,500,31,N,1195,POLLING PLACE,132,46,41,21
CLAREMONT,1300037A,500,31,N,0,VBM PORTION,115,36,37,13
CLAREMONT,1300037A,500,31,N,1195,TOTAL,247,82,78,34
CLAREMONT,1300039A,501,31,N,1218,POLLING PLACE,154,63,48,27
CLAREMONT,1300039A,501,31,N,0,VBM PORTION,171,66,52,16
CLAREMONT,1300039A,501,31,N,1218,TOTAL,325,129,100,43
CLAREMONT,1300042A,502,31,N,962,POLLING PLACE,104,40,32,16
CLAREMONT,1300042A,502,31,N,0,VBM PORTION,112,37,40,21
CLAREMONT,1300042A,502,31,N,962,TOTAL,216,77,72,37
CLAREMONT,1300062A,503,31,N,705,POLLING PLACE,92,40,23,21
CLAREMONT,1300062A,503,31,N,0,VBM PORTION,91,44,20,11
CLAREMONT,1300062A,503,31,N,705,TOTAL,183,84,43,32
CLAREMONT,1300063A,504,31,N,1074,POLLING PLACE,180,84,59,23
CLAREMONT,1300063A,504,31,N,0,VBM PORTION,128,41,40,22
CLAREMONT,1300063A,504,31,N,1074,TOTAL,308,125,99,45
COMMERCE,1430002A,505,135,N,696,POLLING PLACE,57,15,7,25
COMMERCE,1430002A,505,135,N,0,VBM PORTION,12,2,1,7
COMMERCE,1430002A,505,135,N,696,TOTAL,69,17,8,32
COMMERCE,1430003A,6035,134,Y,0,POLLING PLACE,0,0,0,0
COMMERCE,1430003A,6035,134,Y,0,VBM PORTION,0,0,0,0
COMMERCE,1430003A,6035,134,Y,0,TOTAL,0,0,0,0
COMMERCE,1430009A,506,135,N,1086,POLLING PLACE,73,18,14,33
COMMERCE,1430009A,506,135,N,0,VBM PORTION,39,6,14,14
COMMERCE,1430009A,506,135,N,1086,TOTAL,112,24,28,47
COMMERCE,1430031A,507,135,N,798,POLLING PLACE,105,33,19,40
COMMERCE,1430031A,507,135,N,0,VBM PORTION,48,14,13,19
COMMERCE,1430031A,507,135,N,798,TOTAL,153,47,32,59
COMMERCE,1430033A,508,135,N,1053,POLLING PLACE,61,20,9,26
COMMERCE,1430033A,508,135,N,0,VBM PORTION,37,13,3,20
COMMERCE,1430033A,508,135,N,1053,TOTAL,98,33,12,46
COMMERCE,1430034A,509,135,N,644,POLLING PLACE,45,22,7,13
COMMERCE,1430034A,509,135,N,0,VBM PORTION,32,17,5,8
COMMERCE,1430034A,509,135,N,644,TOTAL,77,39,12,21
COMMERCE,1430035A,510,135,N,1029,POLLING PLACE,57,24,3,23
COMMERCE,1430035A,510,135,N,0,VBM PORTION,40,19,4,14
COMMERCE,1430035A,510,135,N,1029,TOTAL,97,43,7,37
COMMERCE,1430036A,511,135,N,950,POLLING PLACE,46,16,4,18
COMMERCE,1430036A,511,135,N,0,VBM PORTION,29,9,4,11
COMMERCE,1430036A,511,135,N,950,TOTAL,75,25,8,29
COMPTON,1450002A,512,178,N,1212,POLLING PLACE,66,27,15,18
COMPTON,1450002A,512,178,N,0,VBM PORTION,36,17,11,7
COMPTON,1450002A,512,178,N,1212,TOTAL,102,44,26,25
COMPTON,1450004A,513,178,N,958,POLLING PLACE,58,24,10,18
COMPTON,1450004A,513,178,N,0,VBM PORTION,40,19,12,4
COMPTON,1450004A,513,178,N,958,TOTAL,98,43,22,22
COMPTON,1450005A,514,178,N,738,POLLING PLACE,77,30,20,20
COMPTON,1450005A,514,178,N,0,VBM PORTION,25,11,8,5
COMPTON,1450005A,514,178,N,738,TOTAL,102,41,28,25
COMPTON,1450006A,515,178,N,851,POLLING PLACE,41,20,7,13
COMPTON,1450006A,515,178,N,0,VBM PORTION,23,6,4,6
COMPTON,1450006A,515,178,N,851,TOTAL,64,26,11,19
COMPTON,1450007B,516,178,N,1160,POLLING PLACE,81,41,15,10
COMPTON,1450007B,516,178,N,0,VBM PORTION,33,6,13,12
COMPTON,1450007B,516,178,N,1160,TOTAL,114,47,28,22
COMPTON,1450008A,517,178,N,1089,POLLING PLACE,61,22,15,16
COMPTON,1450008A,517,178,N,0,VBM PORTION,45,21,6,12
COMPTON,1450008A,517,178,N,1089,TOTAL,106,43,21,28
COMPTON,1450010C,518,178,N,721,POLLING PLACE,64,36,11,7
COMPTON,1450010C,518,178,N,0,VBM PORTION,42,25,3,7
COMPTON,1450010C,518,178,N,721,TOTAL,106,61,14,14
COMPTON,1450018A,519,178,N,769,POLLING PLACE,37,23,3,7
COMPTON,1450018A,519,178,N,0,VBM PORTION,26,7,4,14
COMPTON,1450018A,519,178,N,769,TOTAL,63,30,7,21
COMPTON,1450020A,520,178,N,1002,POLLING PLACE,70,43,14,9
COMPTON,1450020A,520,178,N,0,VBM PORTION,45,28,6,3
COMPTON,1450020A,520,178,N,1002,TOTAL,115,71,20,12
COMPTON,1450022B,521,178,N,1054,POLLING PLACE,80,48,13,9
COMPTON,1450022B,521,178,N,0,VBM PORTION,43,19,11,7
COMPTON,1450022B,521,178,N,1054,TOTAL,123,67,24,16
COMPTON,1450024A,522,178,N,1072,POLLING PLACE,136,75,29,14
COMPTON,1450024A,522,178,N,0,VBM PORTION,86,39,16,17
COMPTON,1450024A,522,178,N,1072,TOTAL,222,114,45,31
COMPTON,1450027A,523,178,N,1090,POLLING PLACE,80,45,10,17
COMPTON,1450027A,523,178,N,0,VBM PORTION,42,24,5,7
COMPTON,1450027A,523,178,N,1090,TOTAL,122,69,15,24
COMPTON,1450028C,524,178,N,1156,POLLING PLACE,66,27,14,14
COMPTON,1450028C,524,178,N,0,VBM PORTION,45,27,4,9
COMPTON,1450028C,524,178,N,1156,TOTAL,111,54,18,23
COMPTON,1450030A,525,178,N,734,POLLING PLACE,60,32,6,15
COMPTON,1450030A,525,178,N,0,VBM PORTION,32,9,6,11
COMPTON,1450030A,525,178,N,734,TOTAL,92,41,12,26
COMPTON,1450033A,526,178,N,1086,POLLING PLACE,85,39,13,25
COMPTON,1450033A,526,178,N,0,VBM PORTION,25,10,3,9
COMPTON,1450033A,526,178,N,1086,TOTAL,110,49,16,34
COMPTON,1450034A,527,178,N,771,POLLING PLACE,65,43,11,7
COMPTON,1450034A,527,178,N,0,VBM PORTION,35,18,8,7
COMPTON,1450034A,527,178,N,771,TOTAL,100,61,19,14
COMPTON,1450036A,528,178,N,1143,POLLING PLACE,69,38,12,14
COMPTON,1450036A,528,178,N,0,VBM PORTION,33,11,10,10
COMPTON,1450036A,528,178,N,1143,TOTAL,102,49,22,24
COMPTON,1450040C,529,178,N,1061,POLLING PLACE,69,37,13,12
COMPTON,1450040C,529,178,N,0,VBM PORTION,46,20,9,13
COMPTON,1450040C,529,178,N,1061,TOTAL,115,57,22,25
COMPTON,1450042C,530,178,N,1065,POLLING PLACE,85,37,10,28
COMPTON,1450042C,530,178,N,0,VBM PORTION,36,15,10,9
COMPTON,1450042C,530,178,N,1065,TOTAL,121,52,20,37
COMPTON,1450043B,531,178,N,763,POLLING PLACE,85,42,22,11
COMPTON,1450043B,531,178,N,0,VBM PORTION,54,31,7,7
COMPTON,1450043B,531,178,N,763,TOTAL,139,73,29,18
COMPTON,1450045A,532,178,N,1015,POLLING PLACE,88,48,20,10
COMPTON,1450045A,532,178,N,0,VBM PORTION,52,25,17,4
COMPTON,1450045A,532,178,N,1015,TOTAL,140,73,37,14
COMPTON,1450052A,533,178,N,938,POLLING PLACE,47,15,7,21
COMPTON,1450052A,533,178,N,0,VBM PORTION,38,12,11,13
COMPTON,1450052A,533,178,N,938,TOTAL,85,27,18,34
COMPTON,1450062B,534,178,N,952,POLLING PLACE,33,14,5,7
COMPTON,1450062B,534,178,N,0,VBM PORTION,40,17,8,12
COMPTON,1450062B,534,178,N,952,TOTAL,73,31,13,19
COMPTON,1450091A,535,178,N,1142,POLLING PLACE,90,49,17,19
COMPTON,1450091A,535,178,N,0,VBM PORTION,57,26,6,8
COMPTON,1450091A,535,178,N,1142,TOTAL,147,75,23,27
COMPTON,1450113A,536,178,N,1120,POLLING PLACE,86,39,25,15
COMPTON,1450113A,536,178,N,0,VBM PORTION,39,18,15,3
COMPTON,1450113A,536,178,N,1120,TOTAL,125,57,40,18
COMPTON,1450118B,537,178,N,1004,POLLING PLACE,64,38,10,8
COMPTON,1450118B,537,178,N,0,VBM PORTION,52,24,8,10
COMPTON,1450118B,537,178,N,1004,TOTAL,116,62,18,18
COMPTON,1450132A,538,178,N,789,POLLING PLACE,54,35,2,9
COMPTON,1450132A,538,178,N,0,VBM PORTION,25,8,6,8
COMPTON,1450132A,538,178,N,789,TOTAL,79,43,8,17
COMPTON,1450133A,539,178,N,839,POLLING PLACE,38,19,8,5
COMPTON,1450133A,539,178,N,0,VBM PORTION,30,13,5,11
COMPTON,1450133A,539,178,N,839,TOTAL,68,32,13,16
COMPTON,1450137B,540,178,N,1027,POLLING PLACE,56,23,11,17
COMPTON,1450137B,540,178,N,0,VBM PORTION,55,24,10,17
COMPTON,1450137B,540,178,N,1027,TOTAL,111,47,21,34
COMPTON,1450137L,541,178,N,587,POLLING PLACE,13,8,3,1
COMPTON,1450137L,541,178,N,0,VBM PORTION,16,3,5,5
COMPTON,1450137L,541,178,N,587,TOTAL,29,11,8,6
COMPTON,1450142B,542,178,N,1151,POLLING PLACE,70,40,10,17
COMPTON,1450142B,542,178,N,0,VBM PORTION,41,17,6,11
COMPTON,1450142B,542,178,N,1151,TOTAL,111,57,16,28
COMPTON,1450144G,6036,178,Y,0,POLLING PLACE,0,0,0,0
COMPTON,1450144G,6036,178,Y,0,VBM PORTION,0,0,0,0
COMPTON,1450144G,6036,178,Y,0,TOTAL,0,0,0,0
COMPTON,1450147A,543,178,N,789,POLLING PLACE,77,47,13,10
COMPTON,1450147A,543,178,N,0,VBM PORTION,78,37,27,4
COMPTON,1450147A,543,178,N,789,TOTAL,155,84,40,14
COMPTON,1450148A,544,178,N,811,POLLING PLACE,50,21,10,13
COMPTON,1450148A,544,178,N,0,VBM PORTION,59,26,8,15
COMPTON,1450148A,544,178,N,811,TOTAL,109,47,18,28
COMPTON,1450149A,545,178,N,1166,POLLING PLACE,81,50,11,11
COMPTON,1450149A,545,178,N,0,VBM PORTION,39,17,10,8
COMPTON,1450149A,545,178,N,1166,TOTAL,120,67,21,19
COMPTON,1450152A,546,178,N,682,POLLING PLACE,62,30,13,11
COMPTON,1450152A,546,178,N,0,VBM PORTION,46,14,15,9
COMPTON,1450152A,546,178,N,682,TOTAL,108,44,28,20
COMPTON,1450153A,547,178,N,961,POLLING PLACE,52,33,4,11
COMPTON,1450153A,547,178,N,0,VBM PORTION,35,19,2,10
COMPTON,1450153A,547,178,N,961,TOTAL,87,52,6,21
COMPTON,1450154A,548,178,N,1094,POLLING PLACE,88,42,19,17
COMPTON,1450154A,548,178,N,0,VBM PORTION,57,24,16,9
COMPTON,1450154A,548,178,N,1094,TOTAL,145,66,35,26
COMPTON,1450155A,549,178,N,1101,POLLING PLACE,80,47,15,10
COMPTON,1450155A,549,178,N,0,VBM PORTION,50,30,8,10
COMPTON,1450155A,549,178,N,1101,TOTAL,130,77,23,20
COMPTON,1450157A,550,178,N,874,POLLING PLACE,66,40,11,15
COMPTON,1450157A,550,178,N,0,VBM PORTION,46,26,8,8
COMPTON,1450157A,550,178,N,874,TOTAL,112,66,19,23
COMPTON,1450160A,551,178,N,888,POLLING PLACE,87,53,14,12
COMPTON,1450160A,551,178,N,0,VBM PORTION,40,16,3,14
COMPTON,1450160A,551,178,N,888,TOTAL,127,69,17,26
COMPTON,1450163A,552,178,N,863,POLLING PLACE,64,32,14,10
COMPTON,1450163A,552,178,N,0,VBM PORTION,28,14,6,5
COMPTON,1450163A,552,178,N,863,TOTAL,92,46,20,15
COMPTON,1450164C,553,178,N,1069,POLLING PLACE,82,37,20,16
COMPTON,1450164C,553,178,N,0,VBM PORTION,41,18,9,9
COMPTON,1450164C,553,178,N,1069,TOTAL,123,55,29,25
COMPTON,1450167A,554,178,N,1121,POLLING PLACE,107,70,21,11
COMPTON,1450167A,554,178,N,0,VBM PORTION,58,26,14,6
COMPTON,1450167A,554,178,N,1121,TOTAL,165,96,35,17
COMPTON,1450305A,555,178,N,1265,POLLING PLACE,44,11,7,24
COMPTON,1450305A,555,178,N,0,VBM PORTION,47,17,5,19
COMPTON,1450305A,555,178,N,1265,TOTAL,91,28,12,43
COMPTON,1450305B,556,178,N,320,POLLING PLACE,8,2,2,3
COMPTON,1450305B,556,178,N,0,VBM PORTION,10,6,1,3
COMPTON,1450305B,556,178,N,320,TOTAL,18,8,3,6
COVINA,1500001A,557,68,N,348,POLLING PLACE,23,9,7,6
COVINA,1500001A,557,68,N,0,VBM PORTION,9,3,2,2
COVINA,1500001A,557,68,N,348,TOTAL,32,12,9,8
COVINA,1500003A,558,68,N,736,POLLING PLACE,80,18,29,20
COVINA,1500003A,558,68,N,0,VBM PORTION,56,10,13,20
COVINA,1500003A,558,68,N,736,TOTAL,136,28,42,40
COVINA,1500008A,559,68,N,916,POLLING PLACE,100,38,34,19
COVINA,1500008A,559,68,N,0,VBM PORTION,68,21,21,9
COVINA,1500008A,559,68,N,916,TOTAL,168,59,55,28
COVINA,1500009A,560,68,N,926,POLLING PLACE,104,40,25,23
COVINA,1500009A,560,68,N,0,VBM PORTION,80,30,20,20
COVINA,1500009A,560,68,N,926,TOTAL,184,70,45,43
COVINA,1500012A,561,68,N,1136,POLLING PLACE,105,39,30,21
COVINA,1500012A,561,68,N,0,VBM PORTION,69,24,21,15
COVINA,1500012A,561,68,N,1136,TOTAL,174,63,51,36
COVINA,1500014A,562,68,N,1272,POLLING PLACE,69,19,26,19
COVINA,1500014A,562,68,N,0,VBM PORTION,64,23,15,14
COVINA,1500014A,562,68,N,1272,TOTAL,133,42,41,33
COVINA,1500016B,563,68,N,1043,POLLING PLACE,79,32,20,21
COVINA,1500016B,563,68,N,0,VBM PORTION,101,37,27,24
COVINA,1500016B,563,68,N,1043,TOTAL,180,69,47,45
COVINA,1500022A,564,68,N,1209,POLLING PLACE,81,30,17,26
COVINA,1500022A,564,68,N,0,VBM PORTION,58,11,23,13
COVINA,1500022A,564,68,N,1209,TOTAL,139,41,40,39
COVINA,1500024A,565,68,N,1036,POLLING PLACE,70,25,24,12
COVINA,1500024A,565,68,N,0,VBM PORTION,73,26,20,12
COVINA,1500024A,565,68,N,1036,TOTAL,143,51,44,24
COVINA,1500025A,566,68,N,1170,POLLING PLACE,45,16,15,12
COVINA,1500025A,566,68,N,0,VBM PORTION,49,18,15,12
COVINA,1500025A,566,68,N,1170,TOTAL,94,34,30,24
COVINA,1500027A,567,68,N,702,POLLING PLACE,41,17,16,6
COVINA,1500027A,567,68,N,0,VBM PORTION,45,18,14,9
COVINA,1500027A,567,68,N,702,TOTAL,86,35,30,15
COVINA,1500029A,568,68,N,1071,POLLING PLACE,70,27,20,14
COVINA,1500029A,568,68,N,0,VBM PORTION,98,30,31,22
COVINA,1500029A,568,68,N,1071,TOTAL,168,57,51,36
COVINA,1500031A,569,68,N,1293,POLLING PLACE,121,36,24,44
COVINA,1500031A,569,68,N,0,VBM PORTION,122,45,38,22
COVINA,1500031A,569,68,N,1293,TOTAL,243,81,62,66
COVINA,1500035A,570,68,N,1096,POLLING PLACE,81,34,16,22
COVINA,1500035A,570,68,N,0,VBM PORTION,69,30,12,20
COVINA,1500035A,570,68,N,1096,TOTAL,150,64,28,42
COVINA,1500036C,571,68,N,1075,POLLING PLACE,86,28,23,29
COVINA,1500036C,571,68,N,0,VBM PORTION,76,25,22,15
COVINA,1500036C,571,68,N,1075,TOTAL,162,53,45,44
COVINA,1500037A,572,68,N,1164,POLLING PLACE,126,45,39,28
COVINA,1500037A,572,68,N,0,VBM PORTION,87,16,33,25
COVINA,1500037A,572,68,N,1164,TOTAL,213,61,72,53
COVINA,1500056A,573,68,N,1288,POLLING PLACE,83,24,23,24
COVINA,1500056A,573,68,N,0,VBM PORTION,81,28,22,18
COVINA,1500056A,573,68,N,1288,TOTAL,164,52,45,42
COVINA,1500073A,574,68,N,1295,POLLING PLACE,157,57,46,31
COVINA,1500073A,574,68,N,0,VBM PORTION,138,39,45,26
COVINA,1500073A,574,68,N,1295,TOTAL,295,96,91,57
COVINA,1500078A,575,68,N,1103,POLLING PLACE,75,33,19,18
COVINA,1500078A,575,68,N,0,VBM PORTION,85,22,31,19
COVINA,1500078A,575,68,N,1103,TOTAL,160,55,50,37
COVINA,1500082A,576,68,N,1045,POLLING PLACE,90,27,27,22
COVINA,1500082A,576,68,N,0,VBM PORTION,107,43,24,26
COVINA,1500082A,576,68,N,1045,TOTAL,197,70,51,48
COVINA,1500084A,577,68,N,852,POLLING PLACE,96,22,41,20
COVINA,1500084A,577,68,N,0,VBM PORTION,72,25,27,14
COVINA,1500084A,577,68,N,852,TOTAL,168,47,68,34
COVINA,1500086B,578,68,N,1252,POLLING PLACE,82,33,23,21
COVINA,1500086B,578,68,N,0,VBM PORTION,77,28,15,18
COVINA,1500086B,578,68,N,1252,TOTAL,159,61,38,39
COVINA,1500089A,579,68,N,1180,POLLING PLACE,63,25,11,22
COVINA,1500089A,579,68,N,0,VBM PORTION,75,25,23,16
COVINA,1500089A,579,68,N,1180,TOTAL,138,50,34,38
COVINA,1500090A,580,68,N,593,POLLING PLACE,42,13,11,13
COVINA,1500090A,580,68,N,0,VBM PORTION,24,13,5,3
COVINA,1500090A,580,68,N,593,TOTAL,66,26,16,16
COVINA,1500093A,581,68,N,1289,POLLING PLACE,71,29,21,12
COVINA,1500093A,581,68,N,0,VBM PORTION,86,30,23,22
COVINA,1500093A,581,68,N,1289,TOTAL,157,59,44,34
CUDAHY,1550001A,582,164,N,1039,POLLING PLACE,61,11,14,33
CUDAHY,1550001A,582,164,N,0,VBM PORTION,33,16,5,10
CUDAHY,1550001A,582,164,N,1039,TOTAL,94,27,19,43
CUDAHY,1550005A,583,164,N,1162,POLLING PLACE,60,17,14,27
CUDAHY,1550005A,583,164,N,0,VBM PORTION,19,4,3,11
CUDAHY,1550005A,583,164,N,1162,TOTAL,79,21,17,38
CUDAHY,1550006A,584,164,N,1163,POLLING PLACE,62,12,11,30
CUDAHY,1550006A,584,164,N,0,VBM PORTION,20,3,6,9
CUDAHY,1550006A,584,164,N,1163,TOTAL,82,15,17,39
CUDAHY,1550009A,585,164,N,990,POLLING PLACE,55,8,9,34
CUDAHY,1550009A,585,164,N,0,VBM PORTION,29,12,7,8
CUDAHY,1550009A,585,164,N,990,TOTAL,84,20,16,42
CUDAHY,1550010A,586,164,N,1043,POLLING PLACE,59,12,8,37
CUDAHY,1550010A,586,164,N,0,VBM PORTION,24,5,3,14
CUDAHY,1550010A,586,164,N,1043,TOTAL,83,17,11,51
CUDAHY,1550020A,587,164,N,1300,POLLING PLACE,79,26,11,25
CUDAHY,1550020A,587,164,N,0,VBM PORTION,37,8,7,14
CUDAHY,1550020A,587,164,N,1300,TOTAL,116,34,18,39
CULVER CITY,1600001A,588,115,N,960,POLLING PLACE,85,30,25,18
CULVER CITY,1600001A,588,115,N,0,VBM PORTION,78,36,19,9
CULVER CITY,1600001A,588,115,N,960,TOTAL,163,66,44,27
CULVER CITY,1600001B,6037,116,Y,0,POLLING PLACE,0,0,0,0
CULVER CITY,1600001B,6037,116,Y,0,VBM PORTION,0,0,0,0
CULVER CITY,1600001B,6037,116,Y,0,TOTAL,0,0,0,0
CULVER CITY,1600002A,589,115,N,782,POLLING PLACE,79,17,30,15
CULVER CITY,1600002A,589,115,N,0,VBM PORTION,62,21,18,12
CULVER CITY,1600002A,589,115,N,782,TOTAL,141,38,48,27
CULVER CITY,1600003A,590,115,N,1057,POLLING PLACE,138,49,22,37
CULVER CITY,1600003A,590,115,N,0,VBM PORTION,105,42,22,12
CULVER CITY,1600003A,590,115,N,1057,TOTAL,243,91,44,49
CULVER CITY,1600004A,591,115,N,1147,POLLING PLACE,122,44,25,26
CULVER CITY,1600004A,591,115,N,0,VBM PORTION,112,43,22,32
CULVER CITY,1600004A,591,115,N,1147,TOTAL,234,87,47,58
CULVER CITY,1600004D,6038,116,Y,0,POLLING PLACE,0,0,0,0
CULVER CITY,1600004D,6038,116,Y,0,VBM PORTION,0,0,0,0
CULVER CITY,1600004D,6038,116,Y,0,TOTAL,0,0,0,0
CULVER CITY,1600005A,592,115,N,940,POLLING PLACE,105,38,23,32
CULVER CITY,1600005A,592,115,N,0,VBM PORTION,91,40,17,12
CULVER CITY,1600005A,592,115,N,940,TOTAL,196,78,40,44
CULVER CITY,1600007A,593,115,N,1313,POLLING PLACE,213,84,62,25
CULVER CITY,1600007A,593,115,N,0,VBM PORTION,179,82,36,27
CULVER CITY,1600007A,593,115,N,1313,TOTAL,392,166,98,52
