LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BENJAMIN CAMPOS,LINDA T SANCHEZ
CERRITOS,1070016D,443,137,N,1260,POLLING PLACE,93,33,47
CERRITOS,1070016D,443,137,N,0,VBM PORTION,127,40,71
CERRITOS,1070016D,443,137,N,1260,TOTAL,220,73,118
CERRITOS,1070017A,444,137,N,1313,POLLING PLACE,132,37,73
CERRITOS,1070017A,444,137,N,0,VBM PORTION,183,66,93
CERRITOS,1070017A,444,137,N,1313,TOTAL,315,103,166
CERRITOS,1070018A,445,137,N,1050,POLLING PLACE,70,20,36
CERRITOS,1070018A,445,137,N,0,VBM PORTION,106,38,56
CERRITOS,1070018A,445,137,N,1050,TOTAL,176,58,92
CERRITOS,1070020A,446,137,N,1059,POLLING PLACE,102,37,52
CERRITOS,1070020A,446,137,N,0,VBM PORTION,84,45,30
CERRITOS,1070020A,446,137,N,1059,TOTAL,186,82,82
CERRITOS,1070021A,447,137,N,853,POLLING PLACE,70,25,39
CERRITOS,1070021A,447,137,N,0,VBM PORTION,116,46,53
CERRITOS,1070021A,447,137,N,853,TOTAL,186,71,92
CERRITOS,1070022A,448,137,N,1131,POLLING PLACE,76,29,38
CERRITOS,1070022A,448,137,N,0,VBM PORTION,113,37,50
CERRITOS,1070022A,448,137,N,1131,TOTAL,189,66,88
CERRITOS,1070023A,449,137,N,941,POLLING PLACE,72,31,33
CERRITOS,1070023A,449,137,N,0,VBM PORTION,105,48,52
CERRITOS,1070023A,449,137,N,941,TOTAL,177,79,85
CERRITOS,1070024A,450,137,N,757,POLLING PLACE,81,39,25
CERRITOS,1070024A,450,137,N,0,VBM PORTION,64,23,35
CERRITOS,1070024A,450,137,N,757,TOTAL,145,62,60
CERRITOS,1070025A,451,137,N,896,POLLING PLACE,86,31,43
CERRITOS,1070025A,451,137,N,0,VBM PORTION,82,29,44
CERRITOS,1070025A,451,137,N,896,TOTAL,168,60,87
CERRITOS,1070026A,452,137,N,1278,POLLING PLACE,130,48,64
CERRITOS,1070026A,452,137,N,0,VBM PORTION,143,48,69
CERRITOS,1070026A,452,137,N,1278,TOTAL,273,96,133
CERRITOS,1070028A,453,137,N,1150,POLLING PLACE,110,44,54
CERRITOS,1070028A,453,137,N,0,VBM PORTION,100,24,62
CERRITOS,1070028A,453,137,N,1150,TOTAL,210,68,116
CERRITOS,1070029A,454,137,N,982,POLLING PLACE,78,37,29
CERRITOS,1070029A,454,137,N,0,VBM PORTION,98,29,57
CERRITOS,1070029A,454,137,N,982,TOTAL,176,66,86
CERRITOS,1070031A,455,137,N,963,POLLING PLACE,106,53,45
CERRITOS,1070031A,455,137,N,0,VBM PORTION,114,49,52
CERRITOS,1070031A,455,137,N,963,TOTAL,220,102,97
CERRITOS,1070032A,456,137,N,984,POLLING PLACE,71,32,33
CERRITOS,1070032A,456,137,N,0,VBM PORTION,101,41,41
CERRITOS,1070032A,456,137,N,984,TOTAL,172,73,74
CERRITOS,1070036A,457,137,N,877,POLLING PLACE,79,26,37
CERRITOS,1070036A,457,137,N,0,VBM PORTION,141,49,77
CERRITOS,1070036A,457,137,N,877,TOTAL,220,75,114
CERRITOS,1070037A,458,137,N,873,POLLING PLACE,83,30,41
CERRITOS,1070037A,458,137,N,0,VBM PORTION,102,46,49
CERRITOS,1070037A,458,137,N,873,TOTAL,185,76,90
CERRITOS,1070040A,459,137,N,1005,POLLING PLACE,84,31,40
CERRITOS,1070040A,459,137,N,0,VBM PORTION,118,40,58
CERRITOS,1070040A,459,137,N,1005,TOTAL,202,71,98
CERRITOS,1070041A,460,137,N,1437,POLLING PLACE,148,53,79
CERRITOS,1070041A,460,137,N,0,VBM PORTION,160,47,95
CERRITOS,1070041A,460,137,N,1437,TOTAL,308,100,174
CERRITOS,1070048A,461,137,N,1135,POLLING PLACE,69,24,33
CERRITOS,1070048A,461,137,N,0,VBM PORTION,101,34,52
CERRITOS,1070048A,461,137,N,1135,TOTAL,170,58,85
CERRITOS,1070070B,462,137,N,417,POLLING PLACE,34,12,17
CERRITOS,1070070B,462,137,N,0,VBM PORTION,37,15,21
CERRITOS,1070070B,462,137,N,417,TOTAL,71,27,38
COMMERCE,1430003A,6035,134,Y,0,POLLING PLACE,0,0,0
COMMERCE,1430003A,6035,134,Y,0,VBM PORTION,0,0,0
COMMERCE,1430003A,6035,134,Y,0,TOTAL,0,0,0
HAWAIIAN GARDENS,2650001A,1039,166,N,1190,POLLING PLACE,72,23,41
HAWAIIAN GARDENS,2650001A,1039,166,N,0,VBM PORTION,114,36,63
HAWAIIAN GARDENS,2650001A,1039,166,N,1190,TOTAL,186,59,104
HAWAIIAN GARDENS,2650002C,1040,166,N,899,POLLING PLACE,59,19,30
HAWAIIAN GARDENS,2650002C,1040,166,N,0,VBM PORTION,92,22,57
HAWAIIAN GARDENS,2650002C,1040,166,N,899,TOTAL,151,41,87
HAWAIIAN GARDENS,2650004A,1041,166,N,707,POLLING PLACE,31,5,13
HAWAIIAN GARDENS,2650004A,1041,166,N,0,VBM PORTION,19,11,5
HAWAIIAN GARDENS,2650004A,1041,166,N,707,TOTAL,50,16,18
HAWAIIAN GARDENS,2650005A,1042,166,N,1080,POLLING PLACE,70,13,39
HAWAIIAN GARDENS,2650005A,1042,166,N,0,VBM PORTION,52,13,29
HAWAIIAN GARDENS,2650005A,1042,166,N,1080,TOTAL,122,26,68
HAWAIIAN GARDENS,2650006A,1043,166,N,825,POLLING PLACE,60,9,34
HAWAIIAN GARDENS,2650006A,1043,166,N,0,VBM PORTION,34,4,29
HAWAIIAN GARDENS,2650006A,1043,166,N,825,TOTAL,94,13,63
HAWAIIAN GARDENS,2650006B,6059,166,Y,0,POLLING PLACE,0,0,0
HAWAIIAN GARDENS,2650006B,6059,166,Y,0,VBM PORTION,0,0,0
HAWAIIAN GARDENS,2650006B,6059,166,Y,0,TOTAL,0,0,0
LA MIRADA,3300001A,1194,132,N,1053,POLLING PLACE,103,61,33
LA MIRADA,3300001A,1194,132,N,0,VBM PORTION,94,37,40
LA MIRADA,3300001A,1194,132,N,1053,TOTAL,197,98,73
LA MIRADA,3300003A,1195,132,N,1259,POLLING PLACE,139,74,41
LA MIRADA,3300003A,1195,132,N,0,VBM PORTION,95,50,41
LA MIRADA,3300003A,1195,132,N,1259,TOTAL,234,124,82
LA MIRADA,3300006A,1196,132,N,1010,POLLING PLACE,103,41,46
LA MIRADA,3300006A,1196,132,N,0,VBM PORTION,145,61,71
LA MIRADA,3300006A,1196,132,N,1010,TOTAL,248,102,117
LA MIRADA,3300007A,1197,132,N,1237,POLLING PLACE,127,60,60
LA MIRADA,3300007A,1197,132,N,0,VBM PORTION,106,60,39
LA MIRADA,3300007A,1197,132,N,1237,TOTAL,233,120,99
LA MIRADA,3300008C,1198,132,N,1048,POLLING PLACE,93,54,34
LA MIRADA,3300008C,1198,132,N,0,VBM PORTION,84,49,31
LA MIRADA,3300008C,1198,132,N,1048,TOTAL,177,103,65
LA MIRADA,3300009A,1199,132,N,706,POLLING PLACE,49,32,12
LA MIRADA,3300009A,1199,132,N,0,VBM PORTION,35,19,14
LA MIRADA,3300009A,1199,132,N,706,TOTAL,84,51,26
LA MIRADA,3300010A,1200,132,N,1363,POLLING PLACE,94,44,40
LA MIRADA,3300010A,1200,132,N,0,VBM PORTION,119,53,63
LA MIRADA,3300010A,1200,132,N,1363,TOTAL,213,97,103
LA MIRADA,3300014A,1201,132,N,1058,POLLING PLACE,60,21,34
LA MIRADA,3300014A,1201,132,N,0,VBM PORTION,96,49,41
LA MIRADA,3300014A,1201,132,N,1058,TOTAL,156,70,75
LA MIRADA,3300015A,1202,132,N,1178,POLLING PLACE,113,57,49
LA MIRADA,3300015A,1202,132,N,0,VBM PORTION,89,42,39
LA MIRADA,3300015A,1202,132,N,1178,TOTAL,202,99,88
LA MIRADA,3300017A,1203,132,N,1058,POLLING PLACE,102,53,42
LA MIRADA,3300017A,1203,132,N,0,VBM PORTION,143,73,49
LA MIRADA,3300017A,1203,132,N,1058,TOTAL,245,126,91
LA MIRADA,3300019A,1204,132,N,795,POLLING PLACE,89,62,23
LA MIRADA,3300019A,1204,132,N,0,VBM PORTION,92,60,26
LA MIRADA,3300019A,1204,132,N,795,TOTAL,181,122,49
LA MIRADA,3300020A,1205,132,N,906,POLLING PLACE,83,40,39
LA MIRADA,3300020A,1205,132,N,0,VBM PORTION,66,35,28
LA MIRADA,3300020A,1205,132,N,906,TOTAL,149,75,67
LA MIRADA,3300022A,1206,132,N,710,POLLING PLACE,47,23,21
LA MIRADA,3300022A,1206,132,N,0,VBM PORTION,61,29,21
LA MIRADA,3300022A,1206,132,N,710,TOTAL,108,52,42
LA MIRADA,3300023A,1207,132,N,925,POLLING PLACE,71,52,16
LA MIRADA,3300023A,1207,132,N,0,VBM PORTION,63,36,19
LA MIRADA,3300023A,1207,132,N,925,TOTAL,134,88,35
LA MIRADA,3300025A,1208,132,N,783,POLLING PLACE,79,33,39
LA MIRADA,3300025A,1208,132,N,0,VBM PORTION,44,21,16
LA MIRADA,3300025A,1208,132,N,783,TOTAL,123,54,55
LA MIRADA,3300026A,1209,132,N,857,POLLING PLACE,71,39,29
LA MIRADA,3300026A,1209,132,N,0,VBM PORTION,74,38,31
LA MIRADA,3300026A,1209,132,N,857,TOTAL,145,77,60
LA MIRADA,3300029A,1210,132,N,1057,POLLING PLACE,109,54,38
LA MIRADA,3300029A,1210,132,N,0,VBM PORTION,71,35,26
LA MIRADA,3300029A,1210,132,N,1057,TOTAL,180,89,64
LA MIRADA,3300034A,1211,132,N,1286,POLLING PLACE,95,49,34
LA MIRADA,3300034A,1211,132,N,0,VBM PORTION,109,44,61
LA MIRADA,3300034A,1211,132,N,1286,TOTAL,204,93,95
LA MIRADA,3300040A,1212,132,N,1024,POLLING PLACE,66,38,21
LA MIRADA,3300040A,1212,132,N,0,VBM PORTION,103,52,36
LA MIRADA,3300040A,1212,132,N,1024,TOTAL,169,90,57
LA MIRADA,3300042A,1213,132,N,1165,POLLING PLACE,64,40,16
LA MIRADA,3300042A,1213,132,N,0,VBM PORTION,114,50,52
LA MIRADA,3300042A,1213,132,N,1165,TOTAL,178,90,68
LA MIRADA,3300044A,1214,132,N,1222,POLLING PLACE,92,42,40
LA MIRADA,3300044A,1214,132,N,0,VBM PORTION,111,57,43
LA MIRADA,3300044A,1214,132,N,1222,TOTAL,203,99,83
LA MIRADA,3300045A,1215,132,N,1206,POLLING PLACE,177,101,49
LA MIRADA,3300045A,1215,132,N,0,VBM PORTION,128,59,54
LA MIRADA,3300045A,1215,132,N,1206,TOTAL,305,160,103
LA MIRADA,3300056A,1216,132,N,572,POLLING PLACE,130,60,50
LA MIRADA,3300056A,1216,132,N,0,VBM PORTION,143,65,65
LA MIRADA,3300056A,1216,132,N,572,TOTAL,273,125,115
LA MIRADA,3300070A,1217,132,N,1112,POLLING PLACE,85,38,42
LA MIRADA,3300070A,1217,132,N,0,VBM PORTION,71,40,25
LA MIRADA,3300070A,1217,132,N,1112,TOTAL,156,78,67
LA MIRADA,3300072A,1218,132,N,1320,POLLING PLACE,110,47,38
LA MIRADA,3300072A,1218,132,N,0,VBM PORTION,106,44,46
LA MIRADA,3300072A,1218,132,N,1320,TOTAL,216,91,84
LA MIRADA,3300073A,1219,132,N,1237,POLLING PLACE,68,39,26
LA MIRADA,3300073A,1219,132,N,0,VBM PORTION,58,22,30
LA MIRADA,3300073A,1219,132,N,1237,TOTAL,126,61,56
LAKEWOOD,3450001A,1265,169,N,863,POLLING PLACE,88,30,47
LAKEWOOD,3450001A,1265,169,N,0,VBM PORTION,53,22,26
LAKEWOOD,3450001A,1265,169,N,863,TOTAL,141,52,73
LAKEWOOD,3450002A,1266,166,N,1117,POLLING PLACE,95,52,33
LAKEWOOD,3450002A,1266,166,N,0,VBM PORTION,78,33,44
LAKEWOOD,3450002A,1266,166,N,1117,TOTAL,173,85,77
LAKEWOOD,3450003A,1267,166,N,823,POLLING PLACE,82,42,30
LAKEWOOD,3450003A,1267,166,N,0,VBM PORTION,58,29,26
LAKEWOOD,3450003A,1267,166,N,823,TOTAL,140,71,56
LAKEWOOD,3450004A,1268,166,N,951,POLLING PLACE,82,46,27
LAKEWOOD,3450004A,1268,166,N,0,VBM PORTION,78,51,23
LAKEWOOD,3450004A,1268,166,N,951,TOTAL,160,97,50
LAKEWOOD,3450007A,1269,169,N,960,POLLING PLACE,103,62,34
LAKEWOOD,3450007A,1269,169,N,0,VBM PORTION,49,20,24
LAKEWOOD,3450007A,1269,169,N,960,TOTAL,152,82,58
LAKEWOOD,3450008A,1270,166,N,876,POLLING PLACE,69,35,25
LAKEWOOD,3450008A,1270,166,N,0,VBM PORTION,58,26,29
LAKEWOOD,3450008A,1270,166,N,876,TOTAL,127,61,54
LAKEWOOD,3450009A,1271,166,N,874,POLLING PLACE,81,43,29
LAKEWOOD,3450009A,1271,166,N,0,VBM PORTION,61,26,31
LAKEWOOD,3450009A,1271,166,N,874,TOTAL,142,69,60
LAKEWOOD,3450010A,1272,166,N,1191,POLLING PLACE,137,82,36
LAKEWOOD,3450010A,1272,166,N,0,VBM PORTION,112,45,56
LAKEWOOD,3450010A,1272,166,N,1191,TOTAL,249,127,92
LAKEWOOD,3450013A,1273,169,N,1064,POLLING PLACE,74,36,37
LAKEWOOD,3450013A,1273,169,N,0,VBM PORTION,106,53,51
LAKEWOOD,3450013A,1273,169,N,1064,TOTAL,180,89,88
LAKEWOOD,3450013B,1274,169,N,1258,POLLING PLACE,111,62,42
LAKEWOOD,3450013B,1274,169,N,0,VBM PORTION,108,43,56
LAKEWOOD,3450013B,1274,169,N,1258,TOTAL,219,105,98
LAKEWOOD,3450016A,1275,166,N,1144,POLLING PLACE,102,46,41
LAKEWOOD,3450016A,1275,166,N,0,VBM PORTION,87,44,30
LAKEWOOD,3450016A,1275,166,N,1144,TOTAL,189,90,71
LAKEWOOD,3450019A,1276,166,N,1248,POLLING PLACE,116,44,59
LAKEWOOD,3450019A,1276,166,N,0,VBM PORTION,136,74,55
LAKEWOOD,3450019A,1276,166,N,1248,TOTAL,252,118,114
LAKEWOOD,3450020A,1277,169,N,1123,POLLING PLACE,90,37,43
LAKEWOOD,3450020A,1277,169,N,0,VBM PORTION,87,45,36
LAKEWOOD,3450020A,1277,169,N,1123,TOTAL,177,82,79
LAKEWOOD,3450021A,1278,166,N,1162,POLLING PLACE,112,57,45
LAKEWOOD,3450021A,1278,166,N,0,VBM PORTION,96,47,46
LAKEWOOD,3450021A,1278,166,N,1162,TOTAL,208,104,91
LAKEWOOD,3450023A,1279,166,N,1275,POLLING PLACE,131,68,48
LAKEWOOD,3450023A,1279,166,N,0,VBM PORTION,131,59,65
LAKEWOOD,3450023A,1279,166,N,1275,TOTAL,262,127,113
LAKEWOOD,3450025B,1280,169,N,781,POLLING PLACE,43,13,28
LAKEWOOD,3450025B,1280,169,N,0,VBM PORTION,42,9,30
LAKEWOOD,3450025B,1280,169,N,781,TOTAL,85,22,58
LAKEWOOD,3450028A,1281,166,N,969,POLLING PLACE,117,53,50
LAKEWOOD,3450028A,1281,166,N,0,VBM PORTION,110,65,41
LAKEWOOD,3450028A,1281,166,N,969,TOTAL,227,118,91
LAKEWOOD,3450030A,1282,169,N,893,POLLING PLACE,107,42,56
LAKEWOOD,3450030A,1282,169,N,0,VBM PORTION,54,24,27
LAKEWOOD,3450030A,1282,169,N,893,TOTAL,161,66,83
LAKEWOOD,3450030B,6079,169,Y,16,POLLING PLACE,0,0,0
LAKEWOOD,3450030B,6079,169,Y,0,VBM PORTION,0,0,0
LAKEWOOD,3450030B,6079,169,Y,16,TOTAL,0,0,0
LAKEWOOD,3450031A,1283,169,N,1069,POLLING PLACE,106,38,59
LAKEWOOD,3450031A,1283,169,N,0,VBM PORTION,87,34,50
LAKEWOOD,3450031A,1283,169,N,1069,TOTAL,193,72,109
LAKEWOOD,3450032A,1284,169,N,578,POLLING PLACE,48,20,23
LAKEWOOD,3450032A,1284,169,N,0,VBM PORTION,44,22,19
LAKEWOOD,3450032A,1284,169,N,578,TOTAL,92,42,42
LAKEWOOD,3450034A,1285,169,N,907,POLLING PLACE,82,35,38
LAKEWOOD,3450034A,1285,169,N,0,VBM PORTION,75,29,44
LAKEWOOD,3450034A,1285,169,N,907,TOTAL,157,64,82
LAKEWOOD,3450035A,1286,169,N,923,POLLING PLACE,87,39,44
LAKEWOOD,3450035A,1286,169,N,0,VBM PORTION,74,29,41
LAKEWOOD,3450035A,1286,169,N,923,TOTAL,161,68,85
LAKEWOOD,3450037A,1287,169,N,1006,POLLING PLACE,106,34,61
LAKEWOOD,3450037A,1287,169,N,0,VBM PORTION,106,42,61
LAKEWOOD,3450037A,1287,169,N,1006,TOTAL,212,76,122
LAKEWOOD,3450038A,1288,169,N,971,POLLING PLACE,98,44,45
LAKEWOOD,3450038A,1288,169,N,0,VBM PORTION,78,37,37
LAKEWOOD,3450038A,1288,169,N,971,TOTAL,176,81,82
LAKEWOOD,3450059A,1297,166,N,1520,POLLING PLACE,134,74,45
LAKEWOOD,3450059A,1297,166,N,0,VBM PORTION,168,78,83
LAKEWOOD,3450059A,1297,166,N,1520,TOTAL,302,152,128
LAKEWOOD,3450060A,1298,166,N,916,POLLING PLACE,77,41,35
LAKEWOOD,3450060A,1298,166,N,0,VBM PORTION,97,62,29
LAKEWOOD,3450060A,1298,166,N,916,TOTAL,174,103,64
LAKEWOOD,3450067A,1301,166,N,1427,POLLING PLACE,165,85,70
LAKEWOOD,3450067A,1301,166,N,0,VBM PORTION,170,78,86
LAKEWOOD,3450067A,1301,166,N,1427,TOTAL,335,163,156
LAKEWOOD,3450070A,1302,166,N,689,POLLING PLACE,49,21,22
LAKEWOOD,3450070A,1302,166,N,0,VBM PORTION,64,29,32
LAKEWOOD,3450070A,1302,166,N,689,TOTAL,113,50,54
LAKEWOOD,3450072A,1303,166,N,1212,POLLING PLACE,85,30,42
LAKEWOOD,3450072A,1303,166,N,0,VBM PORTION,103,44,53
LAKEWOOD,3450072A,1303,166,N,1212,TOTAL,188,74,95
LAKEWOOD,3450073A,1304,166,N,1155,POLLING PLACE,63,17,37
LAKEWOOD,3450073A,1304,166,N,0,VBM PORTION,49,16,31
LAKEWOOD,3450073A,1304,166,N,1155,TOTAL,112,33,68
LAKEWOOD,3450076A,1305,166,N,1035,POLLING PLACE,73,28,41
LAKEWOOD,3450076A,1305,166,N,0,VBM PORTION,90,40,45
LAKEWOOD,3450076A,1305,166,N,1035,TOTAL,163,68,86
LAKEWOOD,3450080A,1306,166,N,1141,POLLING PLACE,93,26,54
LAKEWOOD,3450080A,1306,166,N,0,VBM PORTION,90,35,52
LAKEWOOD,3450080A,1306,166,N,1141,TOTAL,183,61,106
LAKEWOOD,3450090C,1307,166,N,687,POLLING PLACE,16,3,11
LAKEWOOD,3450090C,1307,166,N,0,VBM PORTION,32,6,18
LAKEWOOD,3450090C,1307,166,N,687,TOTAL,48,9,29
LAKEWOOD,3450091A,1308,166,N,1290,POLLING PLACE,74,26,41
LAKEWOOD,3450091A,1308,166,N,0,VBM PORTION,74,34,37
