LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RAUL BOCANEGRA,KEVIN J SUSCAVAGE,PATTY LOPEZ
AGUA DULCE,0090009A,6009,21,Y,0,POLLING PLACE,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,VBM PORTION,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,TOTAL,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,5,POLLING PLACE,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,0,VBM PORTION,4,0,0,0
AGUA DULCE,0090012A,6010,21,Y,5,TOTAL,4,0,0,0
CANYON COUNTRY,1020022A,6023,24,Y,0,POLLING PLACE,0,0,0,0
CANYON COUNTRY,1020022A,6023,24,Y,0,VBM PORTION,0,0,0,0
CANYON COUNTRY,1020022A,6023,24,Y,0,TOTAL,0,0,0,0
CANYON COUNTRY,1020192C,6024,22,Y,38,POLLING PLACE,0,0,0,0
CANYON COUNTRY,1020192C,6024,22,Y,0,VBM PORTION,11,2,1,1
CANYON COUNTRY,1020192C,6024,22,Y,38,TOTAL,11,2,1,1
NEWHALL,4700004A,6117,21,Y,0,POLLING PLACE,0,0,0,0
NEWHALL,4700004A,6117,21,Y,0,VBM PORTION,0,0,0,0
NEWHALL,4700004A,6117,21,Y,0,TOTAL,0,0,0,0
NEWHALL,4700009A,6119,24,Y,0,POLLING PLACE,0,0,0,0
NEWHALL,4700009A,6119,24,Y,0,VBM PORTION,0,0,0,0
NEWHALL,4700009A,6119,24,Y,0,TOTAL,0,0,0,0
NEWHALL,4700011B,6120,21,Y,0,POLLING PLACE,0,0,0,0
NEWHALL,4700011B,6120,21,Y,0,VBM PORTION,0,0,0,0
NEWHALL,4700011B,6120,21,Y,0,TOTAL,0,0,0,0
SAN FERNANDO,6050001A,2305,15,N,895,POLLING PLACE,66,44,4,13
SAN FERNANDO,6050001A,2305,15,N,0,VBM PORTION,49,31,3,10
SAN FERNANDO,6050001A,2305,15,N,895,TOTAL,115,75,7,23
SAN FERNANDO,6050002A,2306,15,N,787,POLLING PLACE,62,42,4,12
SAN FERNANDO,6050002A,2306,15,N,0,VBM PORTION,52,38,5,5
SAN FERNANDO,6050002A,2306,15,N,787,TOTAL,114,80,9,17
SAN FERNANDO,6050005A,2307,15,N,1265,POLLING PLACE,86,46,7,18
SAN FERNANDO,6050005A,2307,15,N,0,VBM PORTION,51,33,1,11
SAN FERNANDO,6050005A,2307,15,N,1265,TOTAL,137,79,8,29
SAN FERNANDO,6050007A,2308,15,N,1232,POLLING PLACE,90,51,11,13
SAN FERNANDO,6050007A,2308,15,N,0,VBM PORTION,85,45,11,20
SAN FERNANDO,6050007A,2308,15,N,1232,TOTAL,175,96,22,33
SAN FERNANDO,6050009A,2309,15,N,1178,POLLING PLACE,74,42,6,16
SAN FERNANDO,6050009A,2309,15,N,0,VBM PORTION,57,25,5,16
SAN FERNANDO,6050009A,2309,15,N,1178,TOTAL,131,67,11,32
SAN FERNANDO,6050010A,2310,15,N,747,POLLING PLACE,44,20,6,12
SAN FERNANDO,6050010A,2310,15,N,0,VBM PORTION,28,20,1,5
SAN FERNANDO,6050010A,2310,15,N,747,TOTAL,72,40,7,17
SAN FERNANDO,6050012A,2311,15,N,1013,POLLING PLACE,71,33,8,22
SAN FERNANDO,6050012A,2311,15,N,0,VBM PORTION,42,17,8,9
SAN FERNANDO,6050012A,2311,15,N,1013,TOTAL,113,50,16,31
SAN FERNANDO,6050013A,2312,15,N,1093,POLLING PLACE,62,28,8,11
SAN FERNANDO,6050013A,2312,15,N,0,VBM PORTION,55,28,8,9
SAN FERNANDO,6050013A,2312,15,N,1093,TOTAL,117,56,16,20
SAN FERNANDO,6050016A,2313,15,N,994,POLLING PLACE,83,47,7,21
SAN FERNANDO,6050016A,2313,15,N,0,VBM PORTION,51,29,3,14
SAN FERNANDO,6050016A,2313,15,N,994,TOTAL,134,76,10,35
SANTA CLARITA,6220151A,6148,24,Y,0,POLLING PLACE,0,0,0,0
SANTA CLARITA,6220151A,6148,24,Y,0,VBM PORTION,0,0,0,0
SANTA CLARITA,6220151A,6148,24,Y,0,TOTAL,0,0,0,0
SANTA CLARITA,6220153A,6149,21,Y,1,POLLING PLACE,0,0,0,0
SANTA CLARITA,6220153A,6149,21,Y,0,VBM PORTION,0,0,0,0
SANTA CLARITA,6220153A,6149,21,Y,1,TOTAL,0,0,0,0
SANTA CLARITA,6220191A,6152,24,Y,42,POLLING PLACE,0,0,0,0
SANTA CLARITA,6220191A,6152,24,Y,0,VBM PORTION,4,1,0,0
SANTA CLARITA,6220191A,6152,24,Y,42,TOTAL,4,1,0,0
SUNLAND,6850001A,6163,24,Y,0,POLLING PLACE,0,0,0,0
SUNLAND,6850001A,6163,24,Y,0,VBM PORTION,0,0,0,0
SUNLAND,6850001A,6163,24,Y,0,TOTAL,0,0,0,0
SUNLAND,6850002A,2630,22,N,522,POLLING PLACE,74,31,13,18
SUNLAND,6850002A,2630,22,N,0,VBM PORTION,47,18,9,9
SUNLAND,6850002A,2630,22,N,522,TOTAL,121,49,22,27
SUNLAND,6850017A,6165,24,Y,106,POLLING PLACE,0,0,0,0
SUNLAND,6850017A,6165,24,Y,0,VBM PORTION,11,4,2,1
SUNLAND,6850017A,6165,24,Y,106,TOTAL,11,4,2,1
SUNLAND,6850028A,6166,16,Y,0,POLLING PLACE,0,0,0,0
SUNLAND,6850028A,6166,16,Y,0,VBM PORTION,0,0,0,0
SUNLAND,6850028A,6166,16,Y,0,TOTAL,0,0,0,0
LOS ANGELES,9000008A,2977,26,N,1337,POLLING PLACE,85,37,15,18
LOS ANGELES,9000008A,2977,26,N,0,VBM PORTION,72,28,3,17
LOS ANGELES,9000008A,2977,26,N,1337,TOTAL,157,65,18,35
LOS ANGELES,9000009A,2978,15,N,810,POLLING PLACE,54,23,9,14
LOS ANGELES,9000009A,2978,15,N,0,VBM PORTION,41,17,4,5
LOS ANGELES,9000009A,2978,15,N,810,TOTAL,95,40,13,19
LOS ANGELES,9000019A,2981,15,N,852,POLLING PLACE,87,40,16,14
LOS ANGELES,9000019A,2981,15,N,0,VBM PORTION,77,38,6,13
LOS ANGELES,9000019A,2981,15,N,852,TOTAL,164,78,22,27
LOS ANGELES,9000021A,2982,26,N,1492,POLLING PLACE,111,46,12,7
LOS ANGELES,9000021A,2982,26,N,0,VBM PORTION,181,48,23,21
LOS ANGELES,9000021A,2982,26,N,1492,TOTAL,292,94,35,28
LOS ANGELES,9000027A,2986,15,N,1251,POLLING PLACE,66,39,4,18
LOS ANGELES,9000027A,2986,15,N,0,VBM PORTION,60,24,7,16
LOS ANGELES,9000027A,2986,15,N,1251,TOTAL,126,63,11,34
LOS ANGELES,9000036A,6178,16,Y,0,POLLING PLACE,0,0,0,0
LOS ANGELES,9000036A,6178,16,Y,0,VBM PORTION,0,0,0,0
LOS ANGELES,9000036A,6178,16,Y,0,TOTAL,0,0,0,0
LOS ANGELES,9000045C,2996,19,N,971,POLLING PLACE,93,48,9,21
LOS ANGELES,9000045C,2996,19,N,0,VBM PORTION,52,29,2,12
LOS ANGELES,9000045C,2996,19,N,971,TOTAL,145,77,11,33
LOS ANGELES,9000046A,6179,20,Y,56,POLLING PLACE,0,0,0,0
LOS ANGELES,9000046A,6179,20,Y,0,VBM PORTION,13,5,1,4
LOS ANGELES,9000046A,6179,20,Y,56,TOTAL,13,5,1,4
LOS ANGELES,9000060A,3004,15,N,1153,POLLING PLACE,90,51,12,17
