LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,L ROYBAL-ALLARD,DAVID SANCHEZ
HUNTINGTON PARK,2850008A,1095,144,N,904,POLLING PLACE,62,25,22
HUNTINGTON PARK,2850008A,1095,144,N,0,VBM PORTION,16,11,4
HUNTINGTON PARK,2850008A,1095,144,N,904,TOTAL,78,36,26
HUNTINGTON PARK,2850009A,1096,98,N,720,POLLING PLACE,54,32,12
HUNTINGTON PARK,2850009A,1096,98,N,0,VBM PORTION,17,7,8
HUNTINGTON PARK,2850009A,1096,98,N,720,TOTAL,71,39,20
HUNTINGTON PARK,2850010A,1097,98,N,1122,POLLING PLACE,56,28,11
HUNTINGTON PARK,2850010A,1097,98,N,0,VBM PORTION,66,36,20
HUNTINGTON PARK,2850010A,1097,98,N,1122,TOTAL,122,64,31
HUNTINGTON PARK,2850011A,1098,98,N,1207,POLLING PLACE,79,37,22
HUNTINGTON PARK,2850011A,1098,98,N,0,VBM PORTION,41,27,13
HUNTINGTON PARK,2850011A,1098,98,N,1207,TOTAL,120,64,35
HUNTINGTON PARK,2850012A,1099,98,N,1226,POLLING PLACE,67,30,15
HUNTINGTON PARK,2850012A,1099,98,N,0,VBM PORTION,43,28,7
HUNTINGTON PARK,2850012A,1099,98,N,1226,TOTAL,110,58,22
HUNTINGTON PARK,2850015A,1100,98,N,1001,POLLING PLACE,62,27,17
HUNTINGTON PARK,2850015A,1100,98,N,0,VBM PORTION,38,22,8
HUNTINGTON PARK,2850015A,1100,98,N,1001,TOTAL,100,49,25
HUNTINGTON PARK,2850017A,1101,98,N,1013,POLLING PLACE,110,43,35
HUNTINGTON PARK,2850017A,1101,98,N,0,VBM PORTION,41,18,16
HUNTINGTON PARK,2850017A,1101,98,N,1013,TOTAL,151,61,51
HUNTINGTON PARK,2850022A,1102,98,N,808,POLLING PLACE,42,25,9
HUNTINGTON PARK,2850022A,1102,98,N,0,VBM PORTION,44,34,7
HUNTINGTON PARK,2850022A,1102,98,N,808,TOTAL,86,59,16
HUNTINGTON PARK,2850025A,1103,98,N,1154,POLLING PLACE,61,34,6
HUNTINGTON PARK,2850025A,1103,98,N,0,VBM PORTION,34,20,9
HUNTINGTON PARK,2850025A,1103,98,N,1154,TOTAL,95,54,15
HUNTINGTON PARK,2850026A,1104,98,N,1196,POLLING PLACE,60,26,20
HUNTINGTON PARK,2850026A,1104,98,N,0,VBM PORTION,49,29,16
HUNTINGTON PARK,2850026A,1104,98,N,1196,TOTAL,109,55,36
HUNTINGTON PARK,2850029A,1105,98,N,1022,POLLING PLACE,67,35,17
HUNTINGTON PARK,2850029A,1105,98,N,0,VBM PORTION,23,13,6
HUNTINGTON PARK,2850029A,1105,98,N,1022,TOTAL,90,48,23
HUNTINGTON PARK,2850050A,1106,98,N,1152,POLLING PLACE,79,39,23
HUNTINGTON PARK,2850050A,1106,98,N,0,VBM PORTION,50,19,21
HUNTINGTON PARK,2850050A,1106,98,N,1152,TOTAL,129,58,44
MAYWOOD,4200001D,1743,164,N,1211,POLLING PLACE,69,44,15
MAYWOOD,4200001D,1743,164,N,0,VBM PORTION,31,18,9
MAYWOOD,4200001D,1743,164,N,1211,TOTAL,100,62,24
MAYWOOD,4200005A,1744,164,N,1188,POLLING PLACE,73,48,12
MAYWOOD,4200005A,1744,164,N,0,VBM PORTION,34,27,4
MAYWOOD,4200005A,1744,164,N,1188,TOTAL,107,75,16
MAYWOOD,4200006A,1745,164,N,1160,POLLING PLACE,74,52,12
MAYWOOD,4200006A,1745,164,N,0,VBM PORTION,45,31,14
MAYWOOD,4200006A,1745,164,N,1160,TOTAL,119,83,26
MAYWOOD,4200009A,1746,164,N,1157,POLLING PLACE,56,39,9
MAYWOOD,4200009A,1746,164,N,0,VBM PORTION,26,17,5
MAYWOOD,4200009A,1746,164,N,1157,TOTAL,82,56,14
MAYWOOD,4200010B,1747,164,N,678,POLLING PLACE,36,22,10
MAYWOOD,4200010B,1747,164,N,0,VBM PORTION,29,17,8
MAYWOOD,4200010B,1747,164,N,678,TOTAL,65,39,18
MAYWOOD,4200013A,1748,164,N,1031,POLLING PLACE,29,10,9
MAYWOOD,4200013A,1748,164,N,0,VBM PORTION,28,18,8
MAYWOOD,4200013A,1748,164,N,1031,TOTAL,57,28,17
MAYWOOD,4200014A,1749,164,N,625,POLLING PLACE,57,39,7
MAYWOOD,4200014A,1749,164,N,0,VBM PORTION,21,15,4
MAYWOOD,4200014A,1749,164,N,625,TOTAL,78,54,11
MAYWOOD,4200015B,1750,164,N,742,POLLING PLACE,46,28,8
MAYWOOD,4200015B,1750,164,N,0,VBM PORTION,23,10,10
MAYWOOD,4200015B,1750,164,N,742,TOTAL,69,38,18
MAYWOOD,4200030D,1751,164,N,532,POLLING PLACE,11,8,2
MAYWOOD,4200030D,1751,164,N,0,VBM PORTION,19,12,4
MAYWOOD,4200030D,1751,164,N,532,TOTAL,30,20,6
PARAMOUNT,5100001A,1962,170,N,549,POLLING PLACE,30,16,8
PARAMOUNT,5100001A,1962,170,N,0,VBM PORTION,24,10,6
PARAMOUNT,5100001A,1962,170,N,549,TOTAL,54,26,14
PARAMOUNT,5100002A,1963,170,N,1240,POLLING PLACE,43,27,13
PARAMOUNT,5100002A,1963,170,N,0,VBM PORTION,36,26,6
PARAMOUNT,5100002A,1963,170,N,1240,TOTAL,79,53,19
PARAMOUNT,5100005A,1964,170,N,1088,POLLING PLACE,49,18,18
PARAMOUNT,5100005A,1964,170,N,0,VBM PORTION,15,8,6
PARAMOUNT,5100005A,1964,170,N,1088,TOTAL,64,26,24
PARAMOUNT,5100006A,1965,170,N,1154,POLLING PLACE,76,35,34
PARAMOUNT,5100006A,1965,170,N,0,VBM PORTION,63,39,14
PARAMOUNT,5100006A,1965,170,N,1154,TOTAL,139,74,48
PARAMOUNT,5100007A,1966,170,N,1105,POLLING PLACE,40,21,14
PARAMOUNT,5100007A,1966,170,N,0,VBM PORTION,40,26,14
PARAMOUNT,5100007A,1966,170,N,1105,TOTAL,80,47,28
PARAMOUNT,5100008A,1967,170,N,711,POLLING PLACE,19,8,9
PARAMOUNT,5100008A,1967,170,N,0,VBM PORTION,27,12,10
PARAMOUNT,5100008A,1967,170,N,711,TOTAL,46,20,19
PARAMOUNT,5100009A,1968,170,N,804,POLLING PLACE,21,11,10
PARAMOUNT,5100009A,1968,170,N,0,VBM PORTION,21,13,5
PARAMOUNT,5100009A,1968,170,N,804,TOTAL,42,24,15
PARAMOUNT,5100010A,1969,170,N,1067,POLLING PLACE,59,26,26
PARAMOUNT,5100010A,1969,170,N,0,VBM PORTION,14,9,3
PARAMOUNT,5100010A,1969,170,N,1067,TOTAL,73,35,29
PARAMOUNT,5100011A,1970,170,N,1164,POLLING PLACE,49,25,20
PARAMOUNT,5100011A,1970,170,N,0,VBM PORTION,31,18,8
PARAMOUNT,5100011A,1970,170,N,1164,TOTAL,80,43,28
PARAMOUNT,5100013A,1971,170,N,1131,POLLING PLACE,45,27,13
PARAMOUNT,5100013A,1971,170,N,0,VBM PORTION,32,12,8
PARAMOUNT,5100013A,1971,170,N,1131,TOTAL,77,39,21
PARAMOUNT,5100014A,1972,170,N,1157,POLLING PLACE,76,39,30
PARAMOUNT,5100014A,1972,170,N,0,VBM PORTION,62,34,19
PARAMOUNT,5100014A,1972,170,N,1157,TOTAL,138,73,49
PARAMOUNT,5100016A,1973,170,N,956,POLLING PLACE,45,23,14
PARAMOUNT,5100016A,1973,170,N,0,VBM PORTION,20,11,6
PARAMOUNT,5100016A,1973,170,N,956,TOTAL,65,34,20
PARAMOUNT,5100017A,1974,170,N,1212,POLLING PLACE,63,38,15
PARAMOUNT,5100017A,1974,170,N,0,VBM PORTION,51,25,15
PARAMOUNT,5100017A,1974,170,N,1212,TOTAL,114,63,30
PARAMOUNT,5100020A,1975,170,N,1310,POLLING PLACE,82,35,26
PARAMOUNT,5100020A,1975,170,N,0,VBM PORTION,36,22,11
PARAMOUNT,5100020A,1975,170,N,1310,TOTAL,118,57,37
PARAMOUNT,5100021A,1976,170,N,1214,POLLING PLACE,35,19,10
PARAMOUNT,5100021A,1976,170,N,0,VBM PORTION,40,25,10
PARAMOUNT,5100021A,1976,170,N,1214,TOTAL,75,44,20
PARAMOUNT,5100024B,1977,170,N,1193,POLLING PLACE,63,21,22
PARAMOUNT,5100024B,1977,170,N,0,VBM PORTION,47,17,20
PARAMOUNT,5100024B,1977,170,N,1193,TOTAL,110,38,42
PARAMOUNT,5100027A,1978,170,N,618,POLLING PLACE,13,7,5
PARAMOUNT,5100027A,1978,170,N,0,VBM PORTION,10,5,2
PARAMOUNT,5100027A,1978,170,N,618,TOTAL,23,12,7
PARAMOUNT,5100036A,1979,170,N,1186,POLLING PLACE,70,35,24
PARAMOUNT,5100036A,1979,170,N,0,VBM PORTION,52,21,11
PARAMOUNT,5100036A,1979,170,N,1186,TOTAL,122,56,35
PARAMOUNT,5100054A,1980,170,N,1140,POLLING PLACE,51,38,6
PARAMOUNT,5100054A,1980,170,N,0,VBM PORTION,25,16,7
PARAMOUNT,5100054A,1980,170,N,1140,TOTAL,76,54,13
VERNON,7450002A,6170,164,Y,0,POLLING PLACE,0,0,0
VERNON,7450002A,6170,164,Y,0,VBM PORTION,0,0,0
VERNON,7450002A,6170,164,Y,0,TOTAL,0,0,0
VERNON,7450003A,6171,164,Y,0,POLLING PLACE,0,0,0
VERNON,7450003A,6171,164,Y,0,VBM PORTION,0,0,0
VERNON,7450003A,6171,164,Y,0,TOTAL,0,0,0
VERNON,7450011A,6172,98,Y,60,POLLING PLACE,0,0,0
VERNON,7450011A,6172,98,Y,0,VBM PORTION,14,9,4
VERNON,7450011A,6172,98,Y,60,TOTAL,14,9,4
LOS ANGELES,9000280A,3143,149,N,1005,POLLING PLACE,51,25,17
LOS ANGELES,9000280A,3143,149,N,0,VBM PORTION,43,25,13
LOS ANGELES,9000280A,3143,149,N,1005,TOTAL,94,50,30
LOS ANGELES,9000720C,3396,149,N,1127,POLLING PLACE,53,26,13
LOS ANGELES,9000720C,3396,149,N,0,VBM PORTION,37,21,14
LOS ANGELES,9000720C,3396,149,N,1127,TOTAL,90,47,27
LOS ANGELES,9000834A,3442,152,N,1190,POLLING PLACE,59,29,23
LOS ANGELES,9000834A,3442,152,N,0,VBM PORTION,32,22,6
LOS ANGELES,9000834A,3442,152,N,1190,TOTAL,91,51,29
LOS ANGELES,9000906A,3468,149,N,1055,POLLING PLACE,36,13,18
LOS ANGELES,9000906A,3468,149,N,0,VBM PORTION,23,15,8
LOS ANGELES,9000906A,3468,149,N,1055,TOTAL,59,28,26
LOS ANGELES,9000985A,3498,149,N,1115,POLLING PLACE,43,20,11
LOS ANGELES,9000985A,3498,149,N,0,VBM PORTION,49,28,15
LOS ANGELES,9000985A,3498,149,N,1115,TOTAL,92,48,26
LOS ANGELES,9000986A,3499,149,N,1137,POLLING PLACE,61,28,22
LOS ANGELES,9000986A,3499,149,N,0,VBM PORTION,29,17,8
LOS ANGELES,9000986A,3499,149,N,1137,TOTAL,90,45,30
LOS ANGELES,9001031A,3527,149,N,1179,POLLING PLACE,54,28,13
LOS ANGELES,9001031A,3527,149,N,0,VBM PORTION,42,22,13
LOS ANGELES,9001031A,3527,149,N,1179,TOTAL,96,50,26
LOS ANGELES,9001055A,3541,149,N,984,POLLING PLACE,50,23,18
LOS ANGELES,9001055A,3541,149,N,0,VBM PORTION,16,12,1
LOS ANGELES,9001055A,3541,149,N,984,TOTAL,66,35,19
LOS ANGELES,9001081A,3554,149,N,1104,POLLING PLACE,59,29,21
LOS ANGELES,9001081A,3554,149,N,0,VBM PORTION,21,11,9
LOS ANGELES,9001081A,3554,149,N,1104,TOTAL,80,40,30
LOS ANGELES,9001129B,3576,149,N,1252,POLLING PLACE,43,17,16
LOS ANGELES,9001129B,3576,149,N,0,VBM PORTION,25,10,13
LOS ANGELES,9001129B,3576,149,N,1252,TOTAL,68,27,29
LOS ANGELES,9001130B,3577,143,N,708,POLLING PLACE,37,14,15
LOS ANGELES,9001130B,3577,143,N,0,VBM PORTION,15,9,5
LOS ANGELES,9001130B,3577,143,N,708,TOTAL,52,23,20
LOS ANGELES,9001325A,3654,149,N,1106,POLLING PLACE,58,24,19
LOS ANGELES,9001325A,3654,149,N,0,VBM PORTION,41,29,6
LOS ANGELES,9001325A,3654,149,N,1106,TOTAL,99,53,25
LOS ANGELES,9001453A,3715,149,N,868,POLLING PLACE,70,32,27
LOS ANGELES,9001453A,3715,149,N,0,VBM PORTION,27,16,7
LOS ANGELES,9001453A,3715,149,N,868,TOTAL,97,48,34
LOS ANGELES,9001563A,3762,149,N,1041,POLLING PLACE,41,22,10
LOS ANGELES,9001563A,3762,149,N,0,VBM PORTION,29,17,8
LOS ANGELES,9001563A,3762,149,N,1041,TOTAL,70,39,18
LOS ANGELES,9001706A,3817,152,N,1102,POLLING PLACE,75,34,23
LOS ANGELES,9001706A,3817,152,N,0,VBM PORTION,56,38,13
LOS ANGELES,9001706A,3817,152,N,1102,TOTAL,131,72,36
LOS ANGELES,9001708A,3818,149,N,1007,POLLING PLACE,38,20,8
LOS ANGELES,9001708A,3818,149,N,0,VBM PORTION,34,19,12
LOS ANGELES,9001708A,3818,149,N,1007,TOTAL,72,39,20
LOS ANGELES,9001712A,3820,149,N,1140,POLLING PLACE,32,11,19
LOS ANGELES,9001712A,3820,149,N,0,VBM PORTION,36,21,8
LOS ANGELES,9001712A,3820,149,N,1140,TOTAL,68,32,27
LOS ANGELES,9001927A,3908,149,N,1160,POLLING PLACE,43,13,22
LOS ANGELES,9001927A,3908,149,N,0,VBM PORTION,43,27,14
LOS ANGELES,9001927A,3908,149,N,1160,TOTAL,86,40,36
LOS ANGELES,9001930A,3911,149,N,610,POLLING PLACE,33,9,15
LOS ANGELES,9001930A,3911,149,N,0,VBM PORTION,18,10,7
LOS ANGELES,9001930A,3911,149,N,610,TOTAL,51,19,22
LOS ANGELES,9001932B,3913,149,N,1149,POLLING PLACE,42,18,16
LOS ANGELES,9001932B,3913,149,N,0,VBM PORTION,30,21,8
LOS ANGELES,9001932B,3913,149,N,1149,TOTAL,72,39,24
LOS ANGELES,9001940D,3917,152,N,1143,POLLING PLACE,46,19,21
LOS ANGELES,9001940D,3917,152,N,0,VBM PORTION,27,16,8
LOS ANGELES,9001940D,3917,152,N,1143,TOTAL,73,35,29
LOS ANGELES,9001941A,3918,149,N,947,POLLING PLACE,31,13,11
LOS ANGELES,9001941A,3918,149,N,0,VBM PORTION,14,5,8
LOS ANGELES,9001941A,3918,149,N,947,TOTAL,45,18,19
LOS ANGELES,9001943A,3920,149,N,1075,POLLING PLACE,73,29,30
LOS ANGELES,9001943A,3920,149,N,0,VBM PORTION,48,23,15
LOS ANGELES,9001943A,3920,149,N,1075,TOTAL,121,52,45
LOS ANGELES,9001966A,3928,149,N,1254,POLLING PLACE,44,20,13
LOS ANGELES,9001966A,3928,149,N,0,VBM PORTION,33,20,11
LOS ANGELES,9001966A,3928,149,N,1254,TOTAL,77,40,24
LOS ANGELES,9001966B,3929,149,N,1066,POLLING PLACE,43,21,14
LOS ANGELES,9001966B,3929,149,N,0,VBM PORTION,33,19,10
LOS ANGELES,9001966B,3929,149,N,1066,TOTAL,76,40,24
LOS ANGELES,9001980A,3930,152,N,1163,POLLING PLACE,59,27,23
LOS ANGELES,9001980A,3930,152,N,0,VBM PORTION,27,19,4
LOS ANGELES,9001980A,3930,152,N,1163,TOTAL,86,46,27
LOS ANGELES,9001987A,3933,152,N,1234,POLLING PLACE,68,27,21
LOS ANGELES,9001987A,3933,152,N,0,VBM PORTION,22,19,2
LOS ANGELES,9001987A,3933,152,N,1234,TOTAL,90,46,23
LOS ANGELES,9001991A,3934,152,N,1250,POLLING PLACE,70,24,27
LOS ANGELES,9001991A,3934,152,N,0,VBM PORTION,40,24,7
LOS ANGELES,9001991A,3934,152,N,1250,TOTAL,110,48,34
LOS ANGELES,9001993B,3935,152,N,805,POLLING PLACE,57,22,19
LOS ANGELES,9001993B,3935,152,N,0,VBM PORTION,31,18,10
LOS ANGELES,9001993B,3935,152,N,805,TOTAL,88,40,29
LOS ANGELES,9001998A,3936,152,N,1202,POLLING PLACE,59,25,16
LOS ANGELES,9001998A,3936,152,N,0,VBM PORTION,42,21,14
LOS ANGELES,9001998A,3936,152,N,1202,TOTAL,101,46,30
LOS ANGELES,9002005B,3940,149,N,808,POLLING PLACE,30,11,10
LOS ANGELES,9002005B,3940,149,N,0,VBM PORTION,27,17,7
LOS ANGELES,9002005B,3940,149,N,808,TOTAL,57,28,17
LOS ANGELES,9002010A,3942,149,N,1112,POLLING PLACE,30,14,10
LOS ANGELES,9002010A,3942,149,N,0,VBM PORTION,30,19,8
LOS ANGELES,9002010A,3942,149,N,1112,TOTAL,60,33,18
LOS ANGELES,9002027A,3950,149,N,1255,POLLING PLACE,65,28,19
LOS ANGELES,9002027A,3950,149,N,0,VBM PORTION,40,25,7
LOS ANGELES,9002027A,3950,149,N,1255,TOTAL,105,53,26
LOS ANGELES,9002033B,3952,149,N,1008,POLLING PLACE,33,14,11
LOS ANGELES,9002033B,3952,149,N,0,VBM PORTION,23,16,5
LOS ANGELES,9002033B,3952,149,N,1008,TOTAL,56,30,16
LOS ANGELES,9002037A,3954,149,N,1086,POLLING PLACE,46,18,16
LOS ANGELES,9002037A,3954,149,N,0,VBM PORTION,47,23,18
LOS ANGELES,9002037A,3954,149,N,1086,TOTAL,93,41,34
LOS ANGELES,9002039A,3955,149,N,1150,POLLING PLACE,43,17,15
LOS ANGELES,9002039A,3955,149,N,0,VBM PORTION,28,15,11
LOS ANGELES,9002039A,3955,149,N,1150,TOTAL,71,32,26
LOS ANGELES,9002042A,3956,149,N,1101,POLLING PLACE,68,32,22
LOS ANGELES,9002042A,3956,149,N,0,VBM PORTION,34,25,6
LOS ANGELES,9002042A,3956,149,N,1101,TOTAL,102,57,28
LOS ANGELES,9002043A,3957,149,N,1202,POLLING PLACE,78,33,21
LOS ANGELES,9002043A,3957,149,N,0,VBM PORTION,36,22,7
LOS ANGELES,9002043A,3957,149,N,1202,TOTAL,114,55,28
LOS ANGELES,9002050A,3961,149,N,1279,POLLING PLACE,47,26,13
LOS ANGELES,9002050A,3961,149,N,0,VBM PORTION,39,23,11
LOS ANGELES,9002050A,3961,149,N,1279,TOTAL,86,49,24
LOS ANGELES,9002344A,4104,149,N,1101,POLLING PLACE,52,30,16
LOS ANGELES,9002344A,4104,149,N,0,VBM PORTION,21,13,3
LOS ANGELES,9002344A,4104,149,N,1101,TOTAL,73,43,19
LOS ANGELES,9002880A,6219,98,Y,0,POLLING PLACE,0,0,0
LOS ANGELES,9002880A,6219,98,Y,0,VBM PORTION,0,0,0
LOS ANGELES,9002880A,6219,98,Y,0,TOTAL,0,0,0
LOS ANGELES,9002929A,4274,152,N,766,POLLING PLACE,41,10,22
LOS ANGELES,9002929A,4274,152,N,0,VBM PORTION,5,2,3
LOS ANGELES,9002929A,4274,152,N,766,TOTAL,46,12,25
LOS ANGELES,9005217B,4401,149,N,1021,POLLING PLACE,42,16,17
LOS ANGELES,9005217B,4401,149,N,0,VBM PORTION,20,14,3
LOS ANGELES,9005217B,4401,149,N,1021,TOTAL,62,30,20
BALLOT GROUP 91,9990091A,8091,91,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 91,9990091A,8091,91,N,0,VBM PORTION,0,0,0
BALLOT GROUP 91,9990091A,8091,91,N,0,TOTAL,0,0,0
BALLOT GROUP 98,9990098A,8098,98,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 98,9990098A,8098,98,N,0,VBM PORTION,2,1,0
BALLOT GROUP 98,9990098A,8098,98,N,0,TOTAL,1,1,0
BALLOT GROUP 135,9990135A,8135,135,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 135,9990135A,8135,135,N,0,VBM PORTION,2,0,1
BALLOT GROUP 135,9990135A,8135,135,N,0,TOTAL,1,0,1
BALLOT GROUP 136,9990136A,8136,136,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 136,9990136A,8136,136,N,0,VBM PORTION,2,1,0
BALLOT GROUP 136,9990136A,8136,136,N,0,TOTAL,1,1,0
BALLOT GROUP 138,9990138A,8138,138,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 138,9990138A,8138,138,N,0,VBM PORTION,2,1,0
BALLOT GROUP 138,9990138A,8138,138,N,0,TOTAL,1,1,0
BALLOT GROUP 139,9990139A,8139,139,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 139,9990139A,8139,139,N,0,VBM PORTION,0,0,0
BALLOT GROUP 139,9990139A,8139,139,N,0,TOTAL,0,0,0
BALLOT GROUP 143,9990143A,8143,143,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 143,9990143A,8143,143,N,0,VBM PORTION,0,0,0
BALLOT GROUP 143,9990143A,8143,143,N,0,TOTAL,0,0,0
BALLOT GROUP 144,9990144A,8144,144,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 144,9990144A,8144,144,N,0,VBM PORTION,0,0,0
BALLOT GROUP 144,9990144A,8144,144,N,0,TOTAL,0,0,0
BALLOT GROUP 149,9990149A,8149,149,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 149,9990149A,8149,149,N,0,VBM PORTION,2,0,1
BALLOT GROUP 149,9990149A,8149,149,N,0,TOTAL,1,0,1
BALLOT GROUP 152,9990152A,8152,152,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 152,9990152A,8152,152,N,0,VBM PORTION,2,1,0
BALLOT GROUP 152,9990152A,8152,152,N,0,TOTAL,1,1,0
BALLOT GROUP 164,9990164A,8164,164,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 164,9990164A,8164,164,N,0,VBM PORTION,2,1,0
BALLOT GROUP 164,9990164A,8164,164,N,0,TOTAL,1,1,0
BALLOT GROUP 170,9990170A,8170,170,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 170,9990170A,8170,170,N,0,VBM PORTION,2,1,0
BALLOT GROUP 170,9990170A,8170,170,N,0,TOTAL,1,1,0
