date_of_data,install_zip_code,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014,total_overall,data_source,incentive_program,about_the_program
7/16/14,92503,,,,,,,,,Western Municipal Water District,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Western Municipal Water District pays for what homeowners replant, and does not pay for gravel yards."
7/16/14,92504,,,,1200,,13690,23375,38265,Metropolitan Water District and Western Municipal Water District,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Western Municipal Water District pays for what homeowners replant, and does not pay for gravel yards."
7/16/14,92506,,,4188,,3565,5421,,13174,Western Municipal Water District,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Western Municipal Water District pays for what homeowners replant, and does not pay for gravel yards."
7/16/14,92508,,,11634,9402,6000,32234,6880,66150,Metropolitan Water District and Western Municipal Water District,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Western Municipal Water District pays for what homeowners replant, and does not pay for gravel yards."
7/16/14,92530,,,,,,,1040,1040,Western Municipal Water District,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Western Municipal Water District pays for what homeowners replant, and does not pay for gravel yards."
7/16/14,92562,,6000,14005,2604,9708,2644,965,35926,Eastern Municipal Water District and Western Municipal Water District,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Western Municipal Water District pays for what homeowners replant, and does not pay for gravel yards."
7/16/14,92570,,,1495,,15297,12028,9225,38045,Eastern Municipal Water District and Western Municipal Water District,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Western Municipal Water District pays for what homeowners replant, and does not pay for gravel yards."
7/16/14,92590,,,,,,,8770,8770,Western Municipal Water District,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Western Municipal Water District pays for what homeowners replant, and does not pay for gravel yards."
7/16/14,92595,,,,,,,1545,1545,Western Municipal Water District,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Western Municipal Water District pays for what homeowners replant, and does not pay for gravel yards."
7/16/14,91701,7835,11156,,,,1000,,19991,Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,91709,7228,8895,,,2000,6545,3490,28158,Metropolitan Water District and Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,91710,8497,9865,,,,10568,4399,33329,Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,91730,3820,3705,,,,2373,,9898,Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,91737,16398,6930,,,,3000,1000,27328,Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,91739,11980,6127,,,,2900,,21007,Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,91761,3395,2034,,,,1000,2610,9039,Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,91762,4882,1704,,,,1000,,7586,Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,91763,2535,1600,,,,4732,2000,10867,Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,91764,7178,,,,,2861,2000,12039,Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,91784,8587,6911,,,,1869,4050,21417,Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,91786,11780,9202,,,,2800,1800,25582,Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,92335,1216,,,,,500,800,2516,Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,92336,5095,3639,,,1246,,4930,14910,Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,92337,,,,,,,2000,2000,Inland Empire Utilities Agency,Local Design,"Two water authorities we've identified separately manage their own turf removal programs for cities and smaller regional authorities in the Inland Empire. The Inland Empire Water Authority requires homeowners to copay 30 cents a square foot for a transformed landscape, and includes additional requirements, like that the homeowner must keep the landscape in place or risk having to pay the water authority back for the subsidy."
7/16/14,90001,,,,,,1652,,1652,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90002,,,,,,2816,,2816,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90004,,,,5288,1328,6331,2952,15899,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90005,,,,769,,,1660,2429,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90006,,,,3516,,,,3516,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90007,,,,1278,,,,1278,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90008,,,,2219,,3877,6741,12837,Metropolitan Water District & West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90012,,,,,858,,429,1287,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90016,,,,2254,2043,9982,5128,19407,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90018,,,,1968,1823,6882,48915,59588,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
