"supplier_name","first_proposal","second_proposal","third_proposal","first_rgpcd_sept_only","second_rgpcd_three_month_avg","third_rgpcd_three_month_avg","first_proposal_reduction","second_proposal_reduction","third_proposal_reduction","change_from_second_to_third"
"Adelanto city of",2,5,5,92.4 ,108.5,108.5,"20%","20%","20%","SAME"
"Alameda County Water District",2,4,4,80.2 ,88.3,88.3,"20%","16%","16%","SAME"
"Alco Water Service",3,6,6,120.7 ,124.2,124.2,"25%","24%","24%","SAME"
"Alhambra  City of",2,6,6,103.3 ,118.3,118.3,"20%","24%","24%","SAME"
"Amador Water Agency",2,6,6,61.9 ,121.6,121.5,"20%","24%","24%","SAME"
"American Canyon, City of",2,4,4,79.1 ,93.5,93.5,"20%","16%","16%","SAME"
"Anaheim  City of",2,5,5,105.1 ,108.6,108.6,"20%","20%","20%","SAME"
"Anderson, City of",4,9,9,248.6 ,260.8,260,"35%","36%","36%","SAME"
"Antioch  City of",3,7,7,139.0 ,141.9,141.9,"25%","28%","28%","SAME"
"Apple Valley Ranchos Water Company",3,9,7,147.7 ,215.7,159.8,"25%","36%","28%","CHANGE"
"Arcadia  City of",4,9,9,291.5 ,318.5,318.5,"35%","36%","36%","SAME"
"Arcata  City of",1,2,2,50.2 ,43.5,43.5,"10%","8%","8%","SAME"
"Arroyo Grande  City of",3,7,7,125.7 ,132.2,132.4,"25%","28%","28%","SAME"
"Arvin Community Services District",3,8,7,153.6 ,175.3,157.9,"25%","32%","28%","CHANGE"
"Atascadero Mutual Water Company",3,7,7,154.6 ,163,163,"25%","28%","28%","SAME"
"Atwater  City of",4,9,9,203.7 ,308,308.1,"35%","36%","36%","SAME"
"Azusa  City of",2,5,5,95.0 ,97.3,97.3,"20%","20%","20%","SAME"
"Bakersfield  City of",4,9,9,277.5 ,279.9,279.9,"35%","36%","36%","SAME"
"Bakman Water Company",4,9,9,277.3 ,302.2,302.2,"35%","36%","36%","SAME"
"Banning  City of",4,8,8,167.7 ,181.2,179.4,"35%","32%","32%","SAME"
"Beaumont-Cherry Valley Water District",3,9,9,113.6 ,269.7,269.7,"25%","36%","36%","SAME"
"Bella Vista Water District",4,9,9,288.7 ,386.3,386.3,"35%","36%","36%","SAME"
"Bellflower-Somerset Mutual Water Company",2,5,5,94.3 ,96.1,96.2,"20%","20%","20%","SAME"
"Benicia  City of",3,7,7,146.1 ,143.9,143.9,"25%","28%","28%","SAME"
"Beverly Hills  City of",4,9,9,216.6 ,235.8,235.9,"35%","36%","36%","SAME"
"Big Bear City Community Services District",3,7,6,136.3 ,142.4,111,"25%","28%","24%","CHANGE"
"Blythe  City of",4,8,8,165.5 ,185.8,186.1,"35%","32%","32%","SAME"
"Brawley  City of",3,8,8,125.0 ,179.6,179.5,"25%","32%","32%","SAME"
