SALE_YEAR,COUNTY_CODE,GUN_TYPE,LAST_STATUS,REC_TYPE,SUM(CNT)
2010,1,HANDGUN,APPROVED,CRIS,780
2010,1,HANDGUN,APPROVED,DROS,6878
2010,1,HANDGUN,DENIED,CRIS,19
2010,1,HANDGUN,DENIED,DROS,160
2010,10,HANDGUN,APPROVED,CRIS,925
2010,10,HANDGUN,APPROVED,DROS,7240
2010,10,HANDGUN,DENIED,CRIS,17
2010,10,HANDGUN,DENIED,DROS,159
2010,11,HANDGUN,APPROVED,CRIS,14
2010,11,HANDGUN,APPROVED,DROS,252
2010,11,HANDGUN,DENIED,CRIS,2
2010,11,HANDGUN,DENIED,DROS,5
2010,12,HANDGUN,APPROVED,CRIS,156
2010,12,HANDGUN,APPROVED,DROS,1931
2010,12,HANDGUN,DENIED,CRIS,12
2010,12,HANDGUN,DENIED,DROS,67
2010,13,HANDGUN,APPROVED,CRIS,65
2010,13,HANDGUN,APPROVED,DROS,629
2010,13,HANDGUN,DENIED,CRIS,2
2010,13,HANDGUN,DENIED,DROS,7
2010,14,HANDGUN,APPROVED,CRIS,31
2010,14,HANDGUN,APPROVED,DROS,201
2010,14,HANDGUN,DENIED,CRIS,1
2010,14,HANDGUN,DENIED,DROS,2
2010,15,HANDGUN,APPROVED,CRIS,863
2010,15,HANDGUN,APPROVED,DROS,8030
2010,15,HANDGUN,DENIED,CRIS,40
2010,15,HANDGUN,DENIED,DROS,157
2010,16,HANDGUN,APPROVED,CRIS,99
2010,16,HANDGUN,APPROVED,DROS,913
2010,16,HANDGUN,DENIED,DROS,26
2010,17,HANDGUN,APPROVED,CRIS,47
2010,17,HANDGUN,APPROVED,DROS,760
2010,17,HANDGUN,DENIED,CRIS,2
2010,17,HANDGUN,DENIED,DROS,30
2010,18,HANDGUN,APPROVED,CRIS,73
2010,18,HANDGUN,APPROVED,DROS,754
2010,18,HANDGUN,DENIED,CRIS,2
2010,18,HANDGUN,DENIED,DROS,7
2010,19,HANDGUN,APPROVED,CRIS,4274
2010,19,HANDGUN,APPROVED,DROS,39013
2010,19,HANDGUN,DENIED,CRIS,185
2010,19,HANDGUN,DENIED,DROS,946
2010,2,HANDGUN,APPROVED,CRIS,7
2010,2,HANDGUN,APPROVED,DROS,12
