LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ANDREW M STEIN,TOM GRIEGO,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,48,169,
ACTON,0050003A,1,13,N,,VBM PORTION,110,24,53,
ACTON,0050003A,1,13,N,1044,TOTAL,418,72,222,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,20,63,
ACTON,0050004B,2,13,N,,VBM PORTION,93,15,46,
ACTON,0050004B,2,13,N,576,TOTAL,221,35,109,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,42,100,
ACTON,0050005A,3,13,N,,VBM PORTION,71,10,39,
ACTON,0050005A,3,13,N,713,TOTAL,269,52,139,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,38,83,
ACTON,0050014A,4,23,N,,VBM PORTION,87,18,32,
ACTON,0050014A,4,23,N,695,TOTAL,259,56,115,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,4,8,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,4,8,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,,2,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,,2,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
ACTON,0050052A,6004,96,Y,,POLLING PLACE,,,,
ACTON,0050052A,6004,96,Y,,VBM PORTION,,,,
ACTON,0050052A,6004,96,Y,,TOTAL,,,,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,60,137,
ACTON,0050059A,5,13,N,,VBM PORTION,113,27,43,
ACTON,0050059A,5,13,N,1169,TOTAL,412,87,180,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,65,136,
ACTON,0050061A,6,13,N,,VBM PORTION,132,31,57,
ACTON,0050061A,6,13,N,1105,TOTAL,409,96,193,
AGOURA,0070001A,7,115,N,862,POLLING PLACE,136,51,33,
AGOURA,0070001A,7,115,N,,VBM PORTION,126,38,35,
AGOURA,0070001A,7,115,N,862,TOTAL,262,89,68,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,5,4,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,5,4,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,52,71,
