LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MUKUND SHAH,MICHAEL P RIVES,DON V PARAZO,ROE LEER,
BALLOT GROUP 14,9990014A,8014,14,N,,VBM PORTION,,,,,,
BALLOT GROUP 14,9990014A,8014,14,N,,TOTAL,,,,,,
BALLOT GROUP 25,9990025A,8025,25,N,,POLLING PLACE,,,,,,
BALLOT GROUP 25,9990025A,8025,25,N,,VBM PORTION,,,,,,
BALLOT GROUP 25,9990025A,8025,25,N,,TOTAL,,,,,,
BALLOT GROUP 26,9990026A,8026,26,N,,POLLING PLACE,,,,,,
BALLOT GROUP 26,9990026A,8026,26,N,,VBM PORTION,,,,,,
BALLOT GROUP 26,9990026A,8026,26,N,,TOTAL,,,,,,
BALLOT GROUP 34,9990034A,8034,34,N,,POLLING PLACE,,,,,,
BALLOT GROUP 34,9990034A,8034,34,N,,VBM PORTION,,,,,,
BALLOT GROUP 34,9990034A,8034,34,N,,TOTAL,,,,,,
BALLOT GROUP 35,9990035A,8035,35,N,,POLLING PLACE,,,,,,
BALLOT GROUP 35,9990035A,8035,35,N,,VBM PORTION,,,,,,
BALLOT GROUP 35,9990035A,8035,35,N,,TOTAL,,,,,,
BALLOT GROUP 73,9990073A,8073,73,N,,POLLING PLACE,,,,,,
BALLOT GROUP 73,9990073A,8073,73,N,,VBM PORTION,,,,,,
BALLOT GROUP 73,9990073A,8073,73,N,,TOTAL,,,,,,
BALLOT GROUP 74,9990074A,8074,74,N,,POLLING PLACE,,,,,,
BALLOT GROUP 74,9990074A,8074,74,N,,VBM PORTION,,,,,,
BALLOT GROUP 74,9990074A,8074,74,N,,TOTAL,,,,,,
