LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ASHLEY SWEARENGIN,BETTY T YEE,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,236,55,
ACTON,0050003A,1,13,N,,VBM PORTION,110,79,21,
ACTON,0050003A,1,13,N,1044,TOTAL,418,315,76,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,106,17,
ACTON,0050004B,2,13,N,,VBM PORTION,93,64,22,
ACTON,0050004B,2,13,N,576,TOTAL,221,170,39,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,151,38,
ACTON,0050005A,3,13,N,,VBM PORTION,71,49,21,
ACTON,0050005A,3,13,N,713,TOTAL,269,200,59,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,135,32,
ACTON,0050014A,4,23,N,,VBM PORTION,87,66,18,
ACTON,0050014A,4,23,N,695,TOTAL,259,201,50,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,14,4,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,14,4,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,1,1,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,1,1,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
ACTON,0050052A,6004,96,Y,,POLLING PLACE,,,,
ACTON,0050052A,6004,96,Y,,VBM PORTION,,,,
ACTON,0050052A,6004,96,Y,,TOTAL,,,,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,217,64,
ACTON,0050059A,5,13,N,,VBM PORTION,113,85,21,
ACTON,0050059A,5,13,N,1169,TOTAL,412,302,85,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,202,54,
ACTON,0050061A,6,13,N,,VBM PORTION,132,95,32,
ACTON,0050061A,6,13,N,1105,TOTAL,409,297,86,
AGOURA,0070001A,7,115,N,862,POLLING PLACE,136,79,46,
AGOURA,0070001A,7,115,N,,VBM PORTION,126,79,36,
AGOURA,0070001A,7,115,N,862,TOTAL,262,158,82,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,9,4,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,9,4,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,107,52,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,56,24,
AGOURA,0070004A,8,190,N,710,TOTAL,252,163,76,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,56,74,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,25,14,
AGOURA,0070004C,9,191,N,369,TOTAL,185,81,88,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,6,4,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,6,4,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,139,151,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,68,58,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,207,209,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
AGOURA,0070040A,6008,190,Y,,VBM PORTION,17,6,11,
AGOURA,0070040A,6008,190,Y,89,TOTAL,17,6,11,
AGOURA,0070041A,11,189,N,675,POLLING PLACE,193,81,98,
AGOURA,0070041A,11,189,N,,VBM PORTION,67,31,29,
AGOURA,0070041A,11,189,N,675,TOTAL,260,112,127,
AGOURA,0070207A,6009,189,Y,43,POLLING PLACE,,,,
AGOURA,0070207A,6009,189,Y,,VBM PORTION,9,5,3,
AGOURA,0070207A,6009,189,Y,43,TOTAL,9,5,3,
AGOURA HILLS,0080001B,12,193,N,1135,POLLING PLACE,279,138,123,
AGOURA HILLS,0080001B,12,193,N,,VBM PORTION,122,60,55,
AGOURA HILLS,0080001B,12,193,N,1135,TOTAL,401,198,178,
AGOURA HILLS,0080002A,13,190,N,1051,POLLING PLACE,195,77,93,
AGOURA HILLS,0080002A,13,190,N,,VBM PORTION,93,47,40,
AGOURA HILLS,0080002A,13,190,N,1051,TOTAL,288,124,133,
AGOURA HILLS,0080012A,14,193,N,1263,POLLING PLACE,312,144,133,
AGOURA HILLS,0080012A,14,193,N,,VBM PORTION,173,92,64,
AGOURA HILLS,0080012A,14,193,N,1263,TOTAL,485,236,197,
AGOURA HILLS,0080021B,15,189,N,825,POLLING PLACE,209,109,89,
AGOURA HILLS,0080021B,15,189,N,,VBM PORTION,77,34,41,
AGOURA HILLS,0080021B,15,189,N,825,TOTAL,286,143,130,
AGOURA HILLS,0080025A,16,193,N,971,POLLING PLACE,264,116,115,
AGOURA HILLS,0080025A,16,193,N,,VBM PORTION,109,59,40,
AGOURA HILLS,0080025A,16,193,N,971,TOTAL,373,175,155,
AGOURA HILLS,0080034A,17,193,N,1031,POLLING PLACE,288,122,140,
AGOURA HILLS,0080034A,17,193,N,,VBM PORTION,126,69,49,
AGOURA HILLS,0080034A,17,193,N,1031,TOTAL,414,191,189,
AGOURA HILLS,0080038A,18,190,N,1202,POLLING PLACE,319,181,115,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,56,68,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,237,183,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,104,81,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,38,43,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,142,124,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,129,140,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,81,48,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,210,188,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,120,139,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,56,52,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,176,191,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,149,147,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,94,62,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,243,209,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,148,113,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,73,54,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,221,167,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,202,64,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,88,22,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,290,86,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,130,40,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,51,19,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,181,59,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,103,22,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,47,12,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,150,34,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,15,4,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,15,4,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,3,2,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,3,2,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,2,,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,2,,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
AGUA DULCE,0090012A,6014,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090012A,6014,63,Y,5,TOTAL,,,,
AGUA DULCE,0090017A,6015,51,Y,,POLLING PLACE,,,,
AGUA DULCE,0090017A,6015,51,Y,,VBM PORTION,,,,
AGUA DULCE,0090017A,6015,51,Y,,TOTAL,,,,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,59,137,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,28,39,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,87,176,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,33,88,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,12,32,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,45,120,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,100,132,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,41,53,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,141,185,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,58,119,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,13,44,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,71,163,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,46,123,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,11,43,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,57,166,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,73,178,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,33,69,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,106,247,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,44,114,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,20,43,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,64,157,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,47,91,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,12,39,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,59,130,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,86,110,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,30,41,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,116,151,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,77,87,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,39,25,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,116,112,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,45,124,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,14,29,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,59,153,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,59,91,
ALHAMBRA,0150021A,38,149,N,,VBM PORTION,117,30,72,
ALHAMBRA,0150021A,38,149,N,966,TOTAL,285,89,163,
ALHAMBRA,0150022A,39,150,N,859,POLLING PLACE,211,54,132,
ALHAMBRA,0150022A,39,150,N,,VBM PORTION,60,24,30,
ALHAMBRA,0150022A,39,150,N,859,TOTAL,271,78,162,
ALHAMBRA,0150023A,40,150,N,1103,POLLING PLACE,221,53,150,
ALHAMBRA,0150023A,40,150,N,,VBM PORTION,75,26,45,
ALHAMBRA,0150023A,40,150,N,1103,TOTAL,296,79,195,
ALHAMBRA,0150024A,41,150,N,660,POLLING PLACE,82,18,60,
ALHAMBRA,0150024A,41,150,N,,VBM PORTION,35,13,19,
ALHAMBRA,0150024A,41,150,N,660,TOTAL,117,31,79,
ALHAMBRA,0150025A,42,150,N,863,POLLING PLACE,122,27,87,
ALHAMBRA,0150025A,42,150,N,,VBM PORTION,71,12,50,
ALHAMBRA,0150025A,42,150,N,863,TOTAL,193,39,137,
ALHAMBRA,0150030A,43,150,N,1171,POLLING PLACE,158,35,116,
ALHAMBRA,0150030A,43,150,N,,VBM PORTION,74,21,47,
ALHAMBRA,0150030A,43,150,N,1171,TOTAL,232,56,163,
ALHAMBRA,0150032A,44,150,N,1134,POLLING PLACE,216,68,132,
ALHAMBRA,0150032A,44,150,N,,VBM PORTION,89,18,62,
ALHAMBRA,0150032A,44,150,N,1134,TOTAL,305,86,194,
ALHAMBRA,0150032B,6018,154,Y,9,POLLING PLACE,,,,
ALHAMBRA,0150032B,6018,154,Y,,VBM PORTION,3,1,2,
ALHAMBRA,0150032B,6018,154,Y,9,TOTAL,3,1,2,
ALHAMBRA,0150033A,45,150,N,780,POLLING PLACE,139,48,79,
ALHAMBRA,0150033A,45,150,N,,VBM PORTION,23,10,13,
ALHAMBRA,0150033A,45,150,N,780,TOTAL,162,58,92,
ALHAMBRA,0150037A,46,149,N,1026,POLLING PLACE,207,57,135,
ALHAMBRA,0150037A,46,149,N,,VBM PORTION,78,21,50,
ALHAMBRA,0150037A,46,149,N,1026,TOTAL,285,78,185,
ALHAMBRA,0150039A,47,150,N,1235,POLLING PLACE,129,21,94,
ALHAMBRA,0150039A,47,150,N,,VBM PORTION,86,18,59,
ALHAMBRA,0150039A,47,150,N,1235,TOTAL,215,39,153,
ALHAMBRA,0150041A,48,150,N,565,POLLING PLACE,116,33,75,
ALHAMBRA,0150041A,48,150,N,,VBM PORTION,37,8,26,
ALHAMBRA,0150041A,48,150,N,565,TOTAL,153,41,101,
ALHAMBRA,0150041B,49,149,N,651,POLLING PLACE,122,42,71,
ALHAMBRA,0150041B,49,149,N,,VBM PORTION,61,13,41,
ALHAMBRA,0150041B,49,149,N,651,TOTAL,183,55,112,
ALHAMBRA,0150042A,50,149,N,733,POLLING PLACE,129,39,79,
ALHAMBRA,0150042A,50,149,N,,VBM PORTION,66,23,35,
ALHAMBRA,0150042A,50,149,N,733,TOTAL,195,62,114,
ALHAMBRA,0150044D,51,149,N,664,POLLING PLACE,72,19,50,
ALHAMBRA,0150044D,51,149,N,,VBM PORTION,29,10,15,
ALHAMBRA,0150044D,51,149,N,664,TOTAL,101,29,65,
ALHAMBRA,0150045A,52,149,N,708,POLLING PLACE,96,42,50,
ALHAMBRA,0150045A,52,149,N,,VBM PORTION,49,7,40,
ALHAMBRA,0150045A,52,149,N,708,TOTAL,145,49,90,
ALHAMBRA,0150049A,53,150,N,1142,POLLING PLACE,183,58,110,
ALHAMBRA,0150049A,53,150,N,,VBM PORTION,110,28,67,
ALHAMBRA,0150049A,53,150,N,1142,TOTAL,293,86,177,
ALHAMBRA,0150051A,54,149,N,1129,POLLING PLACE,157,38,105,
ALHAMBRA,0150051A,54,149,N,,VBM PORTION,87,24,57,
ALHAMBRA,0150051A,54,149,N,1129,TOTAL,244,62,162,
ALHAMBRA,0150055A,55,149,N,893,POLLING PLACE,192,56,120,
ALHAMBRA,0150055A,55,149,N,,VBM PORTION,55,20,29,
ALHAMBRA,0150055A,55,149,N,893,TOTAL,247,76,149,
ALHAMBRA,0150056A,56,149,N,1076,POLLING PLACE,180,56,115,
ALHAMBRA,0150056A,56,149,N,,VBM PORTION,41,13,27,
ALHAMBRA,0150056A,56,149,N,1076,TOTAL,221,69,142,
ALHAMBRA,0150059B,57,149,N,951,POLLING PLACE,136,39,92,
ALHAMBRA,0150059B,57,149,N,,VBM PORTION,52,11,32,
ALHAMBRA,0150059B,57,149,N,951,TOTAL,188,50,124,
ALHAMBRA,0150063A,58,149,N,555,POLLING PLACE,68,15,44,
ALHAMBRA,0150063A,58,149,N,,VBM PORTION,40,10,23,
ALHAMBRA,0150063A,58,149,N,555,TOTAL,108,25,67,
ALHAMBRA,0150064A,59,149,N,1169,POLLING PLACE,248,67,165,
ALHAMBRA,0150064A,59,149,N,,VBM PORTION,47,8,32,
ALHAMBRA,0150064A,59,149,N,1169,TOTAL,295,75,197,
ALHAMBRA,0150067A,60,149,N,917,POLLING PLACE,179,49,113,
ALHAMBRA,0150067A,60,149,N,,VBM PORTION,83,31,39,
ALHAMBRA,0150067A,60,149,N,917,TOTAL,262,80,152,
ALHAMBRA,0150075A,61,149,N,1080,POLLING PLACE,243,99,122,
ALHAMBRA,0150075A,61,149,N,,VBM PORTION,85,26,53,
ALHAMBRA,0150075A,61,149,N,1080,TOTAL,328,125,175,
ALHAMBRA,0150079A,62,150,N,906,POLLING PLACE,110,32,71,
ALHAMBRA,0150079A,62,150,N,,VBM PORTION,148,76,58,
ALHAMBRA,0150079A,62,150,N,906,TOTAL,258,108,129,
ALHAMBRA,0150080A,63,150,N,784,POLLING PLACE,160,67,80,
ALHAMBRA,0150080A,63,150,N,,VBM PORTION,82,32,41,
ALHAMBRA,0150080A,63,150,N,784,TOTAL,242,99,121,
ALONDRA PARK,0180001A,64,336,N,905,POLLING PLACE,79,23,55,
ALONDRA PARK,0180001A,64,336,N,,VBM PORTION,43,17,26,
ALONDRA PARK,0180001A,64,336,N,905,TOTAL,122,40,81,
ALTADENA,0200001A,65,81,N,485,POLLING PLACE,155,32,112,
ALTADENA,0200001A,65,81,N,,VBM PORTION,41,9,30,
ALTADENA,0200001A,65,81,N,485,TOTAL,196,41,142,
ALTADENA,0200002A,66,81,N,665,POLLING PLACE,180,65,92,
ALTADENA,0200002A,66,81,N,,VBM PORTION,97,50,43,
ALTADENA,0200002A,66,81,N,665,TOTAL,277,115,135,
ALTADENA,0200003A,67,81,N,836,POLLING PLACE,249,64,177,
ALTADENA,0200003A,67,81,N,,VBM PORTION,58,7,45,
ALTADENA,0200003A,67,81,N,836,TOTAL,307,71,222,
ALTADENA,0200004A,68,82,N,1151,POLLING PLACE,334,142,172,
ALTADENA,0200004A,68,82,N,,VBM PORTION,162,81,69,
ALTADENA,0200004A,68,82,N,1151,TOTAL,496,223,241,
ALTADENA,0200007A,69,82,N,1053,POLLING PLACE,215,80,108,
ALTADENA,0200007A,69,82,N,,VBM PORTION,127,56,62,
ALTADENA,0200007A,69,82,N,1053,TOTAL,342,136,170,
ALTADENA,0200008A,70,81,N,832,POLLING PLACE,199,23,171,
ALTADENA,0200008A,70,81,N,,VBM PORTION,65,6,51,
ALTADENA,0200008A,70,81,N,832,TOTAL,264,29,222,
ALTADENA,0200009A,71,81,N,919,POLLING PLACE,208,32,142,
ALTADENA,0200009A,71,81,N,,VBM PORTION,71,14,52,
ALTADENA,0200009A,71,81,N,919,TOTAL,279,46,194,
ALTADENA,0200011A,72,81,N,837,POLLING PLACE,209,27,155,
ALTADENA,0200011A,72,81,N,,VBM PORTION,88,20,66,
ALTADENA,0200011A,72,81,N,837,TOTAL,297,47,221,
ALTADENA,0200012A,73,82,N,787,POLLING PLACE,191,78,102,
ALTADENA,0200012A,73,82,N,,VBM PORTION,89,28,54,
ALTADENA,0200012A,73,82,N,787,TOTAL,280,106,156,
ALTADENA,0200013A,74,81,N,890,POLLING PLACE,174,31,134,
ALTADENA,0200013A,74,81,N,,VBM PORTION,60,15,39,
ALTADENA,0200013A,74,81,N,890,TOTAL,234,46,173,
ALTADENA,0200015A,75,81,N,1338,POLLING PLACE,265,53,191,
ALTADENA,0200015A,75,81,N,,VBM PORTION,108,20,78,
ALTADENA,0200015A,75,81,N,1338,TOTAL,373,73,269,
ALTADENA,0200017A,76,81,N,962,POLLING PLACE,182,25,140,
ALTADENA,0200017A,76,81,N,,VBM PORTION,46,5,31,
ALTADENA,0200017A,76,81,N,962,TOTAL,228,30,171,
ALTADENA,0200018A,77,81,N,816,POLLING PLACE,140,22,108,
ALTADENA,0200018A,77,81,N,,VBM PORTION,41,8,29,
ALTADENA,0200018A,77,81,N,816,TOTAL,181,30,137,
ALTADENA,0200019B,78,81,N,832,POLLING PLACE,180,43,128,
ALTADENA,0200019B,78,81,N,,VBM PORTION,31,8,23,
ALTADENA,0200019B,78,81,N,832,TOTAL,211,51,151,
ALTADENA,0200022A,79,82,N,841,POLLING PLACE,270,111,136,
ALTADENA,0200022A,79,82,N,,VBM PORTION,123,48,67,
ALTADENA,0200022A,79,82,N,841,TOTAL,393,159,203,
ALTADENA,0200025B,80,82,N,869,POLLING PLACE,238,46,177,
ALTADENA,0200025B,80,82,N,,VBM PORTION,52,7,44,
ALTADENA,0200025B,80,82,N,869,TOTAL,290,53,221,
ALTADENA,0200028A,81,81,N,1247,POLLING PLACE,402,113,254,
ALTADENA,0200028A,81,81,N,,VBM PORTION,187,63,107,
ALTADENA,0200028A,81,81,N,1247,TOTAL,589,176,361,
ALTADENA,0200030A,82,82,N,850,POLLING PLACE,227,87,127,
ALTADENA,0200030A,82,82,N,,VBM PORTION,125,53,65,
ALTADENA,0200030A,82,82,N,850,TOTAL,352,140,192,
ALTADENA,0200031A,6019,101,Y,2,POLLING PLACE,,,,
ALTADENA,0200031A,6019,101,Y,,VBM PORTION,,,,
ALTADENA,0200031A,6019,101,Y,2,TOTAL,,,,
ALTADENA,0200032A,83,81,N,1326,POLLING PLACE,408,140,245,
ALTADENA,0200032A,83,81,N,,VBM PORTION,129,60,62,
ALTADENA,0200032A,83,81,N,1326,TOTAL,537,200,307,
ALTADENA,0200038B,84,82,N,1152,POLLING PLACE,382,155,195,
ALTADENA,0200038B,84,82,N,,VBM PORTION,140,68,69,
ALTADENA,0200038B,84,82,N,1152,TOTAL,522,223,264,
ALTADENA,0200039A,85,82,N,1075,POLLING PLACE,282,119,135,
ALTADENA,0200039A,85,82,N,,VBM PORTION,99,42,50,
ALTADENA,0200039A,85,82,N,1075,TOTAL,381,161,185,
ALTADENA,0200044A,86,82,N,948,POLLING PLACE,157,56,93,
ALTADENA,0200044A,86,82,N,,VBM PORTION,50,19,25,
ALTADENA,0200044A,86,82,N,948,TOTAL,207,75,118,
ALTADENA,0200051A,87,82,N,1174,POLLING PLACE,341,95,222,
ALTADENA,0200051A,87,82,N,,VBM PORTION,129,47,73,
ALTADENA,0200051A,87,82,N,1174,TOTAL,470,142,295,
ALTADENA,0200086A,88,81,N,1156,POLLING PLACE,339,61,241,
ALTADENA,0200086A,88,81,N,,VBM PORTION,145,37,93,
ALTADENA,0200086A,88,81,N,1156,TOTAL,484,98,334,
ALTADENA,0200087A,89,81,N,659,POLLING PLACE,190,41,139,
ALTADENA,0200087A,89,81,N,,VBM PORTION,65,11,43,
ALTADENA,0200087A,89,81,N,659,TOTAL,255,52,182,
ALTADENA,0200088B,90,81,N,1321,POLLING PLACE,315,70,230,
ALTADENA,0200088B,90,81,N,,VBM PORTION,150,31,104,
ALTADENA,0200088B,90,81,N,1321,TOTAL,465,101,334,
ALTADENA,0200090A,91,81,N,1085,POLLING PLACE,333,78,229,
ALTADENA,0200090A,91,81,N,,VBM PORTION,101,24,70,
ALTADENA,0200090A,91,81,N,1085,TOTAL,434,102,299,
ALTADENA,0200091A,92,81,N,1241,POLLING PLACE,372,64,281,
ALTADENA,0200091A,92,81,N,,VBM PORTION,121,22,89,
ALTADENA,0200091A,92,81,N,1241,TOTAL,493,86,370,
ALTADENA,0200094B,6020,85,Y,2,POLLING PLACE,,,,
ALTADENA,0200094B,6020,85,Y,,VBM PORTION,,,,
ALTADENA,0200094B,6020,85,Y,2,TOTAL,,,,
ANTELOPE,0300002A,93,13,N,867,POLLING PLACE,177,125,44,
ANTELOPE,0300002A,93,13,N,,VBM PORTION,109,79,23,
ANTELOPE,0300002A,93,13,N,867,TOTAL,286,204,67,
ANTELOPE,0300002C,6021,23,Y,4,POLLING PLACE,,,,
ANTELOPE,0300002C,6021,23,Y,,VBM PORTION,1,1,,
ANTELOPE,0300002C,6021,23,Y,4,TOTAL,1,1,,
ANTELOPE,0300006B,6022,6,Y,,POLLING PLACE,,,,
ANTELOPE,0300006B,6022,6,Y,,VBM PORTION,,,,
ANTELOPE,0300006B,6022,6,Y,,TOTAL,,,,
ARCADIA,0350001A,94,162,N,940,POLLING PLACE,219,125,78,
ARCADIA,0350001A,94,162,N,,VBM PORTION,135,77,46,
ARCADIA,0350001A,94,162,N,940,TOTAL,354,202,124,
ARCADIA,0350005A,95,162,N,1158,POLLING PLACE,178,108,59,
ARCADIA,0350005A,95,162,N,,VBM PORTION,175,98,58,
ARCADIA,0350005A,95,162,N,1158,TOTAL,353,206,117,
ARCADIA,0350007A,96,162,N,1073,POLLING PLACE,183,102,59,
ARCADIA,0350007A,96,162,N,,VBM PORTION,143,93,37,
ARCADIA,0350007A,96,162,N,1073,TOTAL,326,195,96,
ARCADIA,0350008A,97,162,N,1175,POLLING PLACE,311,181,114,
ARCADIA,0350008A,97,162,N,,VBM PORTION,148,79,56,
