LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOSHUA HEREDIA,GABRIEL ROGERS,LUIS JORGE GRAJEDA,ALICIA MALONE,GINNA E ESCOBAR,
POMONA,5250006A,2096,206,N,436,POLLING PLACE,44,3,5,2,15,13,
POMONA,5250006A,2096,206,N,,VBM PORTION,11,,2,1,3,4,
POMONA,5250006A,2096,206,N,436,TOTAL,55,3,7,3,18,17,
POMONA,5250018A,2106,205,N,765,POLLING PLACE,57,11,10,5,10,15,
POMONA,5250018A,2106,205,N,,VBM PORTION,44,2,3,6,15,11,
POMONA,5250018A,2106,205,N,765,TOTAL,101,13,13,11,25,26,
POMONA,5250055A,2125,206,N,1004,POLLING PLACE,202,21,28,48,38,51,
POMONA,5250055A,2125,206,N,,VBM PORTION,54,4,14,8,7,14,
POMONA,5250055A,2125,206,N,1004,TOTAL,256,25,42,56,45,65,
POMONA,5250057A,2126,206,N,624,POLLING PLACE,100,4,15,30,15,34,
POMONA,5250057A,2126,206,N,,VBM PORTION,33,,6,8,9,9,
POMONA,5250057A,2126,206,N,624,TOTAL,133,4,21,38,24,43,
POMONA,5250142A,2140,206,N,786,POLLING PLACE,204,7,39,27,42,68,
POMONA,5250142A,2140,206,N,,VBM PORTION,42,,1,2,15,16,
POMONA,5250142A,2140,206,N,786,TOTAL,246,7,40,29,57,84,
POMONA,5250143A,2141,206,N,812,POLLING PLACE,211,5,81,28,51,40,
POMONA,5250143A,2141,206,N,,VBM PORTION,61,2,18,5,14,14,
POMONA,5250143A,2141,206,N,812,TOTAL,272,7,99,33,65,54,
POMONA,5250145A,2142,206,N,1213,POLLING PLACE,214,11,56,28,34,72,
POMONA,5250145A,2142,206,N,,VBM PORTION,99,2,20,7,18,32,
POMONA,5250145A,2142,206,N,1213,TOTAL,313,13,76,35,52,104,
POMONA,5250147A,2143,206,N,721,POLLING PLACE,165,3,43,34,32,39,
POMONA,5250147A,2143,206,N,,VBM PORTION,62,3,16,14,9,13,
POMONA,5250147A,2143,206,N,721,TOTAL,227,6,59,48,41,52,
POMONA,5250150A,2145,206,N,790,POLLING PLACE,119,1,42,8,21,42,
POMONA,5250150A,2145,206,N,,VBM PORTION,79,,29,3,23,15,
POMONA,5250150A,2145,206,N,790,TOTAL,198,1,71,11,44,57,
POMONA,5250151A,2146,206,N,828,POLLING PLACE,175,,29,43,45,38,
POMONA,5250151A,2146,206,N,,VBM PORTION,58,5,11,14,16,9,
POMONA,5250151A,2146,206,N,828,TOTAL,233,5,40,57,61,47,
POMONA,5250318A,2148,206,N,981,POLLING PLACE,202,11,52,34,46,50,
POMONA,5250318A,2148,206,N,,VBM PORTION,65,1,10,13,23,15,
POMONA,5250318A,2148,206,N,981,TOTAL,267,12,62,47,69,65,
POMONA,5250319A,2149,206,N,787,POLLING PLACE,234,3,75,25,59,61,
POMONA,5250319A,2149,206,N,,VBM PORTION,44,1,14,8,8,9,
POMONA,5250319A,2149,206,N,787,TOTAL,278,4,89,33,67,70,
BALLOT GROUP 205,9990205A,8205,205,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 205,9990205A,8205,205,N,,VBM PORTION,,,,,,,
BALLOT GROUP 205,9990205A,8205,205,N,,TOTAL,,,,,,,
BALLOT GROUP 206,9990206A,8206,206,N,,POLLING PLACE,,,,,,,
BALLOT GROUP 206,9990206A,8206,206,N,,VBM PORTION,,,,,,,
BALLOT GROUP 206,9990206A,8206,206,N,,TOTAL,,,,,,,
