LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GRACE F NAPOLITANO,ARTURO E ALAS,
SAN DIMAS,6000007A,2291,91,N,,VBM PORTION,39,14,24,
SAN DIMAS,6000007A,2291,91,N,650,TOTAL,187,77,96,
SAN DIMAS,6000008A,2292,91,N,642,POLLING PLACE,108,41,62,
SAN DIMAS,6000008A,2292,91,N,,VBM PORTION,50,21,25,
SAN DIMAS,6000008A,2292,91,N,642,TOTAL,158,62,87,
SAN DIMAS,6000009A,2293,91,N,821,POLLING PLACE,162,74,84,
SAN DIMAS,6000009A,2293,91,N,,VBM PORTION,58,23,29,
SAN DIMAS,6000009A,2293,91,N,821,TOTAL,220,97,113,
SAN DIMAS,6000010C,2294,91,N,662,POLLING PLACE,100,53,43,
SAN DIMAS,6000010C,2294,91,N,,VBM PORTION,46,23,23,
SAN DIMAS,6000010C,2294,91,N,662,TOTAL,146,76,66,
SAN DIMAS,6000011A,2295,91,N,1000,POLLING PLACE,225,89,126,
SAN DIMAS,6000011A,2295,91,N,,VBM PORTION,65,34,30,
SAN DIMAS,6000011A,2295,91,N,1000,TOTAL,290,123,156,
SAN DIMAS,6000013B,2296,91,N,1273,POLLING PLACE,292,100,178,
SAN DIMAS,6000013B,2296,91,N,,VBM PORTION,129,56,66,
SAN DIMAS,6000013B,2296,91,N,1273,TOTAL,421,156,244,
SAN DIMAS,6000015A,2297,91,N,745,POLLING PLACE,113,61,46,
SAN DIMAS,6000015A,2297,91,N,,VBM PORTION,50,24,22,
SAN DIMAS,6000015A,2297,91,N,745,TOTAL,163,85,68,
SAN DIMAS,6000018A,2298,91,N,895,POLLING PLACE,208,85,108,
SAN DIMAS,6000018A,2298,91,N,,VBM PORTION,89,39,46,
SAN DIMAS,6000018A,2298,91,N,895,TOTAL,297,124,154,
SAN DIMAS,6000019A,2299,91,N,589,POLLING PLACE,157,66,78,
SAN DIMAS,6000019A,2299,91,N,,VBM PORTION,70,35,34,
SAN DIMAS,6000019A,2299,91,N,589,TOTAL,227,101,112,
SAN DIMAS,6000020A,2300,91,N,831,POLLING PLACE,197,81,100,
SAN DIMAS,6000020A,2300,91,N,,VBM PORTION,65,25,35,
SAN DIMAS,6000020A,2300,91,N,831,TOTAL,262,106,135,
SAN DIMAS,6000021A,2301,91,N,497,POLLING PLACE,94,44,48,
SAN DIMAS,6000021A,2301,91,N,,VBM PORTION,27,14,12,
SAN DIMAS,6000021A,2301,91,N,497,TOTAL,121,58,60,
SAN DIMAS,6000035A,2302,91,N,660,POLLING PLACE,156,58,95,
SAN DIMAS,6000035A,2302,91,N,,VBM PORTION,50,22,28,
SAN DIMAS,6000035A,2302,91,N,660,TOTAL,206,80,123,
SAN DIMAS,6000040A,2303,91,N,617,POLLING PLACE,132,52,76,
SAN DIMAS,6000040A,2303,91,N,,VBM PORTION,26,10,16,
SAN DIMAS,6000040A,2303,91,N,617,TOTAL,158,62,92,
SAN DIMAS,6000050A,2304,91,N,765,POLLING PLACE,155,64,84,
SAN DIMAS,6000050A,2304,91,N,,VBM PORTION,95,39,53,
SAN DIMAS,6000050A,2304,91,N,765,TOTAL,250,103,137,
SAN DIMAS,6000052A,2305,91,N,270,POLLING PLACE,18,4,14,
SAN DIMAS,6000052A,2305,91,N,,VBM PORTION,22,7,15,
SAN DIMAS,6000052A,2305,91,N,270,TOTAL,40,11,29,
SAN DIMAS,6000053A,2306,91,N,1067,POLLING PLACE,202,79,107,
SAN DIMAS,6000053A,2306,91,N,,VBM PORTION,114,54,51,
SAN DIMAS,6000053A,2306,91,N,1067,TOTAL,316,133,158,
SAN DIMAS,6000054A,2307,91,N,808,POLLING PLACE,190,89,92,
SAN DIMAS,6000054A,2307,91,N,,VBM PORTION,66,28,36,
SAN DIMAS,6000054A,2307,91,N,808,TOTAL,256,117,128,
SAN DIMAS,6000055A,2308,91,N,917,POLLING PLACE,198,71,111,
SAN DIMAS,6000055A,2308,91,N,,VBM PORTION,119,43,72,
SAN DIMAS,6000055A,2308,91,N,917,TOTAL,317,114,183,
SAN DIMAS,6000057A,2309,91,N,1209,POLLING PLACE,251,98,137,
SAN DIMAS,6000057A,2309,91,N,,VBM PORTION,142,62,71,
SAN DIMAS,6000057A,2309,91,N,1209,TOTAL,393,160,208,
VALINDA,7410002A,2740,240,N,882,POLLING PLACE,136,89,39,
VALINDA,7410002A,2740,240,N,,VBM PORTION,34,21,12,
VALINDA,7410002A,2740,240,N,882,TOTAL,170,110,51,
VALINDA,7410003B,2741,240,N,952,POLLING PLACE,125,98,21,
VALINDA,7410003B,2741,240,N,,VBM PORTION,28,21,6,
VALINDA,7410003B,2741,240,N,952,TOTAL,153,119,27,
VALINDA,7410004B,2742,240,N,977,POLLING PLACE,124,102,13,
VALINDA,7410004B,2742,240,N,,VBM PORTION,21,18,2,
VALINDA,7410004B,2742,240,N,977,TOTAL,145,120,15,
VALINDA,7410005A,2743,240,N,1101,POLLING PLACE,145,113,28,
VALINDA,7410005A,2743,240,N,,VBM PORTION,52,42,8,
VALINDA,7410005A,2743,240,N,1101,TOTAL,197,155,36,
VALINDA,7410006B,2744,240,N,1021,POLLING PLACE,143,110,24,
VALINDA,7410006B,2744,240,N,,VBM PORTION,27,19,4,
VALINDA,7410006B,2744,240,N,1021,TOTAL,170,129,28,
VALINDA,7410007A,2745,240,N,1165,POLLING PLACE,162,126,27,
VALINDA,7410007A,2745,240,N,,VBM PORTION,47,26,17,
VALINDA,7410007A,2745,240,N,1165,TOTAL,209,152,44,
VALINDA,7410008A,2746,240,N,625,POLLING PLACE,102,63,34,
VALINDA,7410008A,2746,240,N,,VBM PORTION,44,32,9,
VALINDA,7410008A,2746,240,N,625,TOTAL,146,95,43,
VALINDA,7410010A,2747,133,N,788,POLLING PLACE,114,76,32,
VALINDA,7410010A,2747,133,N,,VBM PORTION,21,15,6,
VALINDA,7410010A,2747,133,N,788,TOTAL,135,91,38,
VALINDA,7410011B,2748,133,N,982,POLLING PLACE,142,93,46,
VALINDA,7410011B,2748,133,N,,VBM PORTION,49,32,15,
VALINDA,7410011B,2748,133,N,982,TOTAL,191,125,61,
VALINDA,7410015A,2749,133,N,855,POLLING PLACE,129,95,31,
VALINDA,7410015A,2749,133,N,,VBM PORTION,33,23,7,
VALINDA,7410015A,2749,133,N,855,TOTAL,162,118,38,
VALINDA,7410015C,2750,131,N,202,POLLING PLACE,24,18,4,
VALINDA,7410015C,2750,131,N,,VBM PORTION,14,11,1,
VALINDA,7410015C,2750,131,N,202,TOTAL,38,29,5,
VALINDA,7410016A,2751,133,N,955,POLLING PLACE,181,125,50,
VALINDA,7410016A,2751,133,N,,VBM PORTION,33,17,12,
VALINDA,7410016A,2751,133,N,955,TOTAL,214,142,62,
VALINDA,7410017A,2752,133,N,1047,POLLING PLACE,153,115,27,
VALINDA,7410017A,2752,133,N,,VBM PORTION,26,17,9,
VALINDA,7410017A,2752,133,N,1047,TOTAL,179,132,36,
VALINDA,7410020A,2753,133,N,1057,POLLING PLACE,137,90,42,
VALINDA,7410020A,2753,133,N,,VBM PORTION,27,12,10,
VALINDA,7410020A,2753,133,N,1057,TOTAL,164,102,52,
VALINDA,7410025A,2754,133,N,1079,POLLING PLACE,195,144,45,
VALINDA,7410025A,2754,133,N,,VBM PORTION,46,31,12,
VALINDA,7410025A,2754,133,N,1079,TOTAL,241,175,57,
VALINDA,7410027A,2755,133,N,723,POLLING PLACE,113,90,20,
VALINDA,7410027A,2755,133,N,,VBM PORTION,28,16,9,
VALINDA,7410027A,2755,133,N,723,TOTAL,141,106,29,
VALINDA,7410029A,2756,133,N,1117,POLLING PLACE,143,91,44,
VALINDA,7410029A,2756,133,N,,VBM PORTION,42,22,17,
VALINDA,7410029A,2756,133,N,1117,TOTAL,185,113,61,
VALINDA,7410086B,2757,133,N,640,POLLING PLACE,83,68,14,
VALINDA,7410086B,2757,133,N,,VBM PORTION,17,17,,
VALINDA,7410086B,2757,133,N,640,TOTAL,100,85,14,
VALINDA,7410130A,2758,133,N,600,POLLING PLACE,86,60,20,
VALINDA,7410130A,2758,133,N,,VBM PORTION,31,23,7,
VALINDA,7410130A,2758,133,N,600,TOTAL,117,83,27,
VALINDA,7410130B,2759,131,N,395,POLLING PLACE,65,44,17,
VALINDA,7410130B,2759,131,N,,VBM PORTION,15,9,5,
VALINDA,7410130B,2759,131,N,395,TOTAL,80,53,22,
VALINDA,7410150A,2760,133,N,1106,POLLING PLACE,150,86,57,
VALINDA,7410150A,2760,133,N,,VBM PORTION,29,17,11,
VALINDA,7410150A,2760,133,N,1106,TOTAL,179,103,68,
VALINDA,7410154A,2761,133,N,631,POLLING PLACE,94,63,28,
VALINDA,7410154A,2761,133,N,,VBM PORTION,30,10,15,
VALINDA,7410154A,2761,133,N,631,TOTAL,124,73,43,
VALINDA,7410154B,2762,133,N,1136,POLLING PLACE,160,100,55,
VALINDA,7410154B,2762,133,N,,VBM PORTION,29,21,8,
VALINDA,7410154B,2762,133,N,1136,TOTAL,189,121,63,
WEST COVINA,7700001A,2832,133,N,1029,POLLING PLACE,122,88,27,
WEST COVINA,7700001A,2832,133,N,,VBM PORTION,61,28,31,
WEST COVINA,7700001A,2832,133,N,1029,TOTAL,183,116,58,
WEST COVINA,7700002A,2833,133,N,841,POLLING PLACE,109,50,52,
WEST COVINA,7700002A,2833,133,N,,VBM PORTION,52,23,19,
WEST COVINA,7700002A,2833,133,N,841,TOTAL,161,73,71,
WEST COVINA,7700003A,2834,133,N,937,POLLING PLACE,118,78,36,
WEST COVINA,7700003A,2834,133,N,,VBM PORTION,39,23,15,
WEST COVINA,7700003A,2834,133,N,937,TOTAL,157,101,51,
WEST COVINA,7700004A,2835,133,N,1038,POLLING PLACE,179,85,84,
WEST COVINA,7700004A,2835,133,N,,VBM PORTION,74,38,31,
WEST COVINA,7700004A,2835,133,N,1038,TOTAL,253,123,115,
WEST COVINA,7700006A,6262,138,Y,,POLLING PLACE,,,,
WEST COVINA,7700006A,6262,138,Y,,VBM PORTION,,,,
WEST COVINA,7700006A,6262,138,Y,,TOTAL,,,,
WEST COVINA,7700008A,2836,133,N,538,POLLING PLACE,99,58,36,
WEST COVINA,7700008A,2836,133,N,,VBM PORTION,22,16,5,
WEST COVINA,7700008A,2836,133,N,538,TOTAL,121,74,41,
WEST COVINA,7700008B,2837,133,N,1086,POLLING PLACE,162,98,56,
WEST COVINA,7700008B,2837,133,N,,VBM PORTION,67,48,16,
WEST COVINA,7700008B,2837,133,N,1086,TOTAL,229,146,72,
WEST COVINA,7700011A,2838,133,N,956,POLLING PLACE,175,99,65,
WEST COVINA,7700011A,2838,133,N,,VBM PORTION,50,27,21,
WEST COVINA,7700011A,2838,133,N,956,TOTAL,225,126,86,
WEST COVINA,7700012A,2839,133,N,910,POLLING PLACE,141,68,66,
WEST COVINA,7700012A,2839,133,N,,VBM PORTION,64,38,21,
WEST COVINA,7700012A,2839,133,N,910,TOTAL,205,106,87,
WEST COVINA,7700012C,2840,133,N,1012,POLLING PLACE,166,93,67,
WEST COVINA,7700012C,2840,133,N,,VBM PORTION,58,28,27,
WEST COVINA,7700012C,2840,133,N,1012,TOTAL,224,121,94,
WEST COVINA,7700014B,2841,133,N,1126,POLLING PLACE,131,82,41,
WEST COVINA,7700014B,2841,133,N,,VBM PORTION,79,41,31,
WEST COVINA,7700014B,2841,133,N,1126,TOTAL,210,123,72,
WEST COVINA,7700015B,2842,133,N,925,POLLING PLACE,160,78,77,
WEST COVINA,7700015B,2842,133,N,,VBM PORTION,61,37,24,
WEST COVINA,7700015B,2842,133,N,925,TOTAL,221,115,101,
WEST COVINA,7700016A,2843,133,N,1196,POLLING PLACE,180,108,66,
WEST COVINA,7700016A,2843,133,N,,VBM PORTION,71,40,27,
WEST COVINA,7700016A,2843,133,N,1196,TOTAL,251,148,93,
WEST COVINA,7700019B,2844,133,N,708,POLLING PLACE,115,56,48,
WEST COVINA,7700019B,2844,133,N,,VBM PORTION,60,23,33,
WEST COVINA,7700019B,2844,133,N,708,TOTAL,175,79,81,
WEST COVINA,7700020C,2845,133,N,872,POLLING PLACE,169,66,88,
WEST COVINA,7700020C,2845,133,N,,VBM PORTION,68,35,31,
WEST COVINA,7700020C,2845,133,N,872,TOTAL,237,101,119,
WEST COVINA,7700021B,2846,236,N,942,POLLING PLACE,127,52,66,
WEST COVINA,7700021B,2846,236,N,,VBM PORTION,86,33,47,
WEST COVINA,7700021B,2846,236,N,942,TOTAL,213,85,113,
WEST COVINA,7700022A,2847,133,N,1200,POLLING PLACE,197,101,85,
WEST COVINA,7700022A,2847,133,N,,VBM PORTION,90,50,36,
WEST COVINA,7700022A,2847,133,N,1200,TOTAL,287,151,121,
WEST COVINA,7700024A,2848,133,N,783,POLLING PLACE,163,81,75,
WEST COVINA,7700024A,2848,133,N,,VBM PORTION,51,33,15,
WEST COVINA,7700024A,2848,133,N,783,TOTAL,214,114,90,
WEST COVINA,7700024B,2849,133,N,685,POLLING PLACE,112,70,40,
WEST COVINA,7700024B,2849,133,N,,VBM PORTION,36,23,11,
WEST COVINA,7700024B,2849,133,N,685,TOTAL,148,93,51,
WEST COVINA,7700026A,2850,133,N,1164,POLLING PLACE,243,130,101,
WEST COVINA,7700026A,2850,133,N,,VBM PORTION,101,55,43,
WEST COVINA,7700026A,2850,133,N,1164,TOTAL,344,185,144,
WEST COVINA,7700027A,2851,133,N,948,POLLING PLACE,122,61,55,
WEST COVINA,7700027A,2851,133,N,,VBM PORTION,108,54,54,
WEST COVINA,7700027A,2851,133,N,948,TOTAL,230,115,109,
WEST COVINA,7700028A,2852,133,N,747,POLLING PLACE,130,86,38,
WEST COVINA,7700028A,2852,133,N,,VBM PORTION,29,18,11,
WEST COVINA,7700028A,2852,133,N,747,TOTAL,159,104,49,
WEST COVINA,7700031A,2853,133,N,936,POLLING PLACE,136,72,49,
WEST COVINA,7700031A,2853,133,N,,VBM PORTION,52,32,18,
WEST COVINA,7700031A,2853,133,N,936,TOTAL,188,104,67,
WEST COVINA,7700033A,2854,133,N,1255,POLLING PLACE,172,93,71,
WEST COVINA,7700033A,2854,133,N,,VBM PORTION,58,18,34,
WEST COVINA,7700033A,2854,133,N,1255,TOTAL,230,111,105,
WEST COVINA,7700037A,2855,133,N,1006,POLLING PLACE,138,90,38,
WEST COVINA,7700037A,2855,133,N,,VBM PORTION,60,30,29,
WEST COVINA,7700037A,2855,133,N,1006,TOTAL,198,120,67,
WEST COVINA,7700038A,2856,133,N,1060,POLLING PLACE,175,118,54,
WEST COVINA,7700038A,2856,133,N,,VBM PORTION,63,36,25,
WEST COVINA,7700038A,2856,133,N,1060,TOTAL,238,154,79,
WEST COVINA,7700039A,2857,133,N,821,POLLING PLACE,130,76,49,
WEST COVINA,7700039A,2857,133,N,,VBM PORTION,38,24,14,
WEST COVINA,7700039A,2857,133,N,821,TOTAL,168,100,63,
WEST COVINA,7700040A,2858,133,N,1229,POLLING PLACE,190,101,72,
WEST COVINA,7700040A,2858,133,N,,VBM PORTION,63,30,33,
WEST COVINA,7700040A,2858,133,N,1229,TOTAL,253,131,105,
WEST COVINA,7700056A,2859,236,N,553,POLLING PLACE,93,47,37,
WEST COVINA,7700056A,2859,236,N,,VBM PORTION,40,19,18,
WEST COVINA,7700056A,2859,236,N,553,TOTAL,133,66,55,
WEST COVINA,7700056C,2860,236,N,724,POLLING PLACE,61,32,27,
WEST COVINA,7700056C,2860,236,N,,VBM PORTION,45,18,23,
WEST COVINA,7700056C,2860,236,N,724,TOTAL,106,50,50,
WEST COVINA,7700073A,2861,236,N,500,POLLING PLACE,53,36,14,
WEST COVINA,7700073A,2861,236,N,,VBM PORTION,22,16,6,
WEST COVINA,7700073A,2861,236,N,500,TOTAL,75,52,20,
WEST COVINA,7700079A,2862,236,N,870,POLLING PLACE,102,59,41,
WEST COVINA,7700079A,2862,236,N,,VBM PORTION,41,23,16,
WEST COVINA,7700079A,2862,236,N,870,TOTAL,143,82,57,
WEST COVINA,7700079B,2863,236,N,620,POLLING PLACE,69,46,21,
WEST COVINA,7700079B,2863,236,N,,VBM PORTION,51,35,16,
WEST COVINA,7700079B,2863,236,N,620,TOTAL,120,81,37,
WEST COVINA,7700080A,2864,236,N,692,POLLING PLACE,126,62,55,
WEST COVINA,7700080A,2864,236,N,,VBM PORTION,40,22,17,
WEST COVINA,7700080A,2864,236,N,692,TOTAL,166,84,72,
WEST COVINA,7700114A,2865,236,N,903,POLLING PLACE,131,80,45,
WEST COVINA,7700114A,2865,236,N,,VBM PORTION,50,27,21,
WEST COVINA,7700114A,2865,236,N,903,TOTAL,181,107,66,
WEST COVINA,7700115A,2866,236,N,641,POLLING PLACE,104,70,30,
WEST COVINA,7700115A,2866,236,N,,VBM PORTION,64,27,33,
WEST COVINA,7700115A,2866,236,N,641,TOTAL,168,97,63,
WEST COVINA,7700116A,2867,236,N,757,POLLING PLACE,83,55,28,
WEST COVINA,7700116A,2867,236,N,,VBM PORTION,57,35,16,
WEST COVINA,7700116A,2867,236,N,757,TOTAL,140,90,44,
WEST COVINA,7700118A,2868,236,N,1006,POLLING PLACE,117,67,42,
WEST COVINA,7700118A,2868,236,N,,VBM PORTION,74,49,23,
WEST COVINA,7700118A,2868,236,N,1006,TOTAL,191,116,65,
WEST COVINA,7700122A,2869,236,N,563,POLLING PLACE,87,50,32,
WEST COVINA,7700122A,2869,236,N,,VBM PORTION,41,22,17,
WEST COVINA,7700122A,2869,236,N,563,TOTAL,128,72,49,
WEST COVINA,7700140A,6263,131,Y,,POLLING PLACE,,,,
WEST COVINA,7700140A,6263,131,Y,,VBM PORTION,,,,
WEST COVINA,7700140A,6263,131,Y,,TOTAL,,,,
WEST COVINA,7700140B,2870,133,N,925,POLLING PLACE,154,95,50,
WEST COVINA,7700140B,2870,133,N,,VBM PORTION,43,26,12,
WEST COVINA,7700140B,2870,133,N,925,TOTAL,197,121,62,
WEST COVINA,7700141A,2871,133,N,1104,POLLING PLACE,132,68,54,
WEST COVINA,7700141A,2871,133,N,,VBM PORTION,58,36,13,
WEST COVINA,7700141A,2871,133,N,1104,TOTAL,190,104,67,
WEST COVINA,7700142A,2872,133,N,1170,POLLING PLACE,149,81,60,
WEST COVINA,7700142A,2872,133,N,,VBM PORTION,48,26,19,
WEST COVINA,7700142A,2872,133,N,1170,TOTAL,197,107,79,
WEST COVINA,7700143A,2873,133,N,1056,POLLING PLACE,167,82,73,
WEST COVINA,7700143A,2873,133,N,,VBM PORTION,83,50,29,
WEST COVINA,7700143A,2873,133,N,1056,TOTAL,250,132,102,
WEST COVINA,7700144A,2874,133,N,888,POLLING PLACE,94,58,30,
WEST COVINA,7700144A,2874,133,N,,VBM PORTION,36,19,14,
WEST COVINA,7700144A,2874,133,N,888,TOTAL,130,77,44,
WEST COVINA,7700145A,2875,133,N,902,POLLING PLACE,132,61,66,
WEST COVINA,7700145A,2875,133,N,,VBM PORTION,63,40,21,
WEST COVINA,7700145A,2875,133,N,902,TOTAL,195,101,87,
WEST COVINA,7700148A,2876,133,N,1009,POLLING PLACE,201,108,82,
WEST COVINA,7700148A,2876,133,N,,VBM PORTION,51,33,16,
WEST COVINA,7700148A,2876,133,N,1009,TOTAL,252,141,98,
WEST COVINA,7700150A,2877,133,N,1031,POLLING PLACE,164,87,71,
WEST COVINA,7700150A,2877,133,N,,VBM PORTION,43,26,17,
WEST COVINA,7700150A,2877,133,N,1031,TOTAL,207,113,88,
WEST COVINA,7700153A,2878,133,N,638,POLLING PLACE,103,66,33,
WEST COVINA,7700153A,2878,133,N,,VBM PORTION,61,32,29,
WEST COVINA,7700153A,2878,133,N,638,TOTAL,164,98,62,
WEST COVINA,7700153C,2879,133,N,1040,POLLING PLACE,174,106,63,
WEST COVINA,7700153C,2879,133,N,,VBM PORTION,63,44,14,
WEST COVINA,7700153C,2879,133,N,1040,TOTAL,237,150,77,
WEST COVINA,7700154A,2880,133,N,673,POLLING PLACE,70,42,22,
WEST COVINA,7700154A,2880,133,N,,VBM PORTION,57,33,21,
WEST COVINA,7700154A,2880,133,N,673,TOTAL,127,75,43,
WEST COVINA,7700155C,2881,236,N,848,POLLING PLACE,93,60,30,
WEST COVINA,7700155C,2881,236,N,,VBM PORTION,58,35,20,
WEST COVINA,7700155C,2881,236,N,848,TOTAL,151,95,50,
WEST COVINA,7700158A,2882,133,N,1098,POLLING PLACE,159,100,48,
WEST COVINA,7700158A,2882,133,N,,VBM PORTION,61,47,14,
WEST COVINA,7700158A,2882,133,N,1098,TOTAL,220,147,62,
WEST COVINA,7700162A,2883,236,N,441,POLLING PLACE,54,28,23,
WEST COVINA,7700162A,2883,236,N,,VBM PORTION,35,16,10,
WEST COVINA,7700162A,2883,236,N,441,TOTAL,89,44,33,
WEST COVINA,7700163A,2884,236,N,913,POLLING PLACE,93,68,23,
WEST COVINA,7700163A,2884,236,N,,VBM PORTION,34,23,11,
WEST COVINA,7700163A,2884,236,N,913,TOTAL,127,91,34,
WEST COVINA,7700165A,2885,133,N,1057,POLLING PLACE,149,59,85,
WEST COVINA,7700165A,2885,133,N,,VBM PORTION,84,23,55,
WEST COVINA,7700165A,2885,133,N,1057,TOTAL,233,82,140,
WEST COVINA,7700169A,2886,236,N,747,POLLING PLACE,175,76,93,
WEST COVINA,7700169A,2886,236,N,,VBM PORTION,76,41,31,
WEST COVINA,7700169A,2886,236,N,747,TOTAL,251,117,124,
WEST COVINA,7700169B,2887,236,N,907,POLLING PLACE,147,63,79,
WEST COVINA,7700169B,2887,236,N,,VBM PORTION,64,20,38,
WEST COVINA,7700169B,2887,236,N,907,TOTAL,211,83,117,
WEST COVINA,7700313A,2888,236,N,581,POLLING PLACE,80,59,18,
WEST COVINA,7700313A,2888,236,N,,VBM PORTION,27,19,7,
WEST COVINA,7700313A,2888,236,N,581,TOTAL,107,78,25,
BALLOT GROUP 78,9990078A,8078,78,N,,POLLING PLACE,,,,
BALLOT GROUP 78,9990078A,8078,78,N,,VBM PORTION,,,,
BALLOT GROUP 78,9990078A,8078,78,N,,TOTAL,,,,
BALLOT GROUP 91,9990091A,8091,91,N,,POLLING PLACE,,,,
BALLOT GROUP 91,9990091A,8091,91,N,,VBM PORTION,,,,
BALLOT GROUP 91,9990091A,8091,91,N,,TOTAL,,,,
BALLOT GROUP 92,9990092A,8092,92,N,,POLLING PLACE,,,,
BALLOT GROUP 92,9990092A,8092,92,N,,VBM PORTION,,,,
BALLOT GROUP 92,9990092A,8092,92,N,,TOTAL,,,,
BALLOT GROUP 93,9990093A,8093,93,N,,POLLING PLACE,,,,
BALLOT GROUP 93,9990093A,8093,93,N,,VBM PORTION,,,,
BALLOT GROUP 93,9990093A,8093,93,N,,TOTAL,,,,
BALLOT GROUP 128,9990128A,8128,128,N,,POLLING PLACE,,,,
BALLOT GROUP 128,9990128A,8128,128,N,,VBM PORTION,,,,
BALLOT GROUP 128,9990128A,8128,128,N,,TOTAL,,,,
BALLOT GROUP 129,9990129A,8129,129,N,,POLLING PLACE,,,,
BALLOT GROUP 129,9990129A,8129,129,N,,VBM PORTION,,,,
BALLOT GROUP 129,9990129A,8129,129,N,,TOTAL,,,,
BALLOT GROUP 130,9990130A,8130,130,N,,POLLING PLACE,,,,
BALLOT GROUP 130,9990130A,8130,130,N,,VBM PORTION,,,,
BALLOT GROUP 130,9990130A,8130,130,N,,TOTAL,,,,
BALLOT GROUP 131,9990131A,8131,131,N,,POLLING PLACE,,,,
BALLOT GROUP 131,9990131A,8131,131,N,,VBM PORTION,,,,
BALLOT GROUP 131,9990131A,8131,131,N,,TOTAL,,,,
BALLOT GROUP 132,9990132A,8132,132,N,,POLLING PLACE,,,,
BALLOT GROUP 132,9990132A,8132,132,N,,VBM PORTION,,,,
BALLOT GROUP 132,9990132A,8132,132,N,,TOTAL,,,,
BALLOT GROUP 133,9990133A,8133,133,N,,POLLING PLACE,,,,
BALLOT GROUP 133,9990133A,8133,133,N,,VBM PORTION,,,,
BALLOT GROUP 133,9990133A,8133,133,N,,TOTAL,,,,
BALLOT GROUP 134,9990134A,8134,134,N,,POLLING PLACE,,,,
BALLOT GROUP 134,9990134A,8134,134,N,,VBM PORTION,,,,
BALLOT GROUP 134,9990134A,8134,134,N,,TOTAL,,,,
BALLOT GROUP 135,9990135A,8135,135,N,,POLLING PLACE,,,,
BALLOT GROUP 135,9990135A,8135,135,N,,VBM PORTION,,,,
BALLOT GROUP 135,9990135A,8135,135,N,,TOTAL,,,,
BALLOT GROUP 136,9990136A,8136,136,N,,POLLING PLACE,,,,
BALLOT GROUP 136,9990136A,8136,136,N,,VBM PORTION,,,,
BALLOT GROUP 136,9990136A,8136,136,N,,TOTAL,,,,
BALLOT GROUP 137,9990137A,8137,137,N,,POLLING PLACE,,,,
BALLOT GROUP 137,9990137A,8137,137,N,,VBM PORTION,,,,
BALLOT GROUP 137,9990137A,8137,137,N,,TOTAL,,,,
BALLOT GROUP 138,9990138A,8138,138,N,,POLLING PLACE,,,,
BALLOT GROUP 138,9990138A,8138,138,N,,VBM PORTION,,,,
BALLOT GROUP 138,9990138A,8138,138,N,,TOTAL,,,,
BALLOT GROUP 142,9990142A,8142,142,N,,POLLING PLACE,,,,
BALLOT GROUP 142,9990142A,8142,142,N,,VBM PORTION,,,,
BALLOT GROUP 142,9990142A,8142,142,N,,TOTAL,,,,
BALLOT GROUP 143,9990143A,8143,143,N,,POLLING PLACE,,,,
BALLOT GROUP 143,9990143A,8143,143,N,,VBM PORTION,,,,
BALLOT GROUP 143,9990143A,8143,143,N,,TOTAL,,,,
BALLOT GROUP 144,9990144A,8144,144,N,,POLLING PLACE,,,,
BALLOT GROUP 144,9990144A,8144,144,N,,VBM PORTION,,,,
BALLOT GROUP 144,9990144A,8144,144,N,,TOTAL,,,,
BALLOT GROUP 145,9990145A,8145,145,N,,POLLING PLACE,,,,
BALLOT GROUP 145,9990145A,8145,145,N,,VBM PORTION,,,,
BALLOT GROUP 145,9990145A,8145,145,N,,TOTAL,,,,
BALLOT GROUP 146,9990146A,8146,146,N,,POLLING PLACE,,,,
BALLOT GROUP 146,9990146A,8146,146,N,,VBM PORTION,,,,
BALLOT GROUP 146,9990146A,8146,146,N,,TOTAL,,,,
BALLOT GROUP 147,9990147A,8147,147,N,,POLLING PLACE,,,,
BALLOT GROUP 147,9990147A,8147,147,N,,VBM PORTION,,,,
BALLOT GROUP 147,9990147A,8147,147,N,,TOTAL,,,,
BALLOT GROUP 164,9990164A,8164,164,N,,POLLING PLACE,,,,
BALLOT GROUP 164,9990164A,8164,164,N,,VBM PORTION,,,,
BALLOT GROUP 164,9990164A,8164,164,N,,TOTAL,,,,
BALLOT GROUP 165,9990165A,8165,165,N,,POLLING PLACE,,,,
BALLOT GROUP 165,9990165A,8165,165,N,,VBM PORTION,,,,
BALLOT GROUP 165,9990165A,8165,165,N,,TOTAL,,,,
BALLOT GROUP 166,9990166A,8166,166,N,,POLLING PLACE,,,,
BALLOT GROUP 166,9990166A,8166,166,N,,VBM PORTION,,,,
BALLOT GROUP 166,9990166A,8166,166,N,,TOTAL,,,,
BALLOT GROUP 167,9990167A,8167,167,N,,POLLING PLACE,,,,
BALLOT GROUP 167,9990167A,8167,167,N,,VBM PORTION,,,,
BALLOT GROUP 167,9990167A,8167,167,N,,TOTAL,,,,
BALLOT GROUP 168,9990168A,8168,168,N,,POLLING PLACE,,,,
BALLOT GROUP 168,9990168A,8168,168,N,,VBM PORTION,,,,
BALLOT GROUP 168,9990168A,8168,168,N,,TOTAL,,,,
BALLOT GROUP 169,9990169A,8169,169,N,,POLLING PLACE,,,,
BALLOT GROUP 169,9990169A,8169,169,N,,VBM PORTION,,,,
