LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SEAN ASHTON,SHAHIRA A-MALEK,ROBERT KIEFER,
DOWNEY,1850016A,676,296,N,1096,POLLING PLACE,315,84,89,111,
DOWNEY,1850016A,676,296,N,,VBM PORTION,52,21,4,14,
DOWNEY,1850016A,676,296,N,1096,TOTAL,367,105,93,125,
DOWNEY,1850021A,679,295,N,605,POLLING PLACE,84,42,12,25,
DOWNEY,1850021A,679,295,N,,VBM PORTION,42,10,8,11,
DOWNEY,1850021A,679,295,N,605,TOTAL,126,52,20,36,
DOWNEY,1850023A,680,296,N,1124,POLLING PLACE,176,60,41,56,
DOWNEY,1850023A,680,296,N,,VBM PORTION,56,13,15,21,
DOWNEY,1850023A,680,296,N,1124,TOTAL,232,73,56,77,
DOWNEY,1850024A,681,295,N,933,POLLING PLACE,196,93,38,56,
DOWNEY,1850024A,681,295,N,,VBM PORTION,69,27,9,22,
DOWNEY,1850024A,681,295,N,933,TOTAL,265,120,47,78,
DOWNEY,1850025A,682,296,N,800,POLLING PLACE,173,55,56,48,
DOWNEY,1850025A,682,296,N,,VBM PORTION,61,19,11,18,
DOWNEY,1850025A,682,296,N,800,TOTAL,234,74,67,66,
DOWNEY,1850027A,683,294,N,923,POLLING PLACE,125,61,35,20,
DOWNEY,1850027A,683,294,N,,VBM PORTION,34,14,10,7,
DOWNEY,1850027A,683,294,N,923,TOTAL,159,75,45,27,
DOWNEY,1850027B,684,290,N,475,POLLING PLACE,104,46,20,22,
DOWNEY,1850027B,684,290,N,,VBM PORTION,35,12,6,9,
DOWNEY,1850027B,684,290,N,475,TOTAL,139,58,26,31,
DOWNEY,1850028A,685,296,N,1140,POLLING PLACE,213,65,65,62,
DOWNEY,1850028A,685,296,N,,VBM PORTION,77,30,21,19,
DOWNEY,1850028A,685,296,N,1140,TOTAL,290,95,86,81,
DOWNEY,1850029B,686,291,N,731,POLLING PLACE,156,40,24,83,
DOWNEY,1850029B,686,291,N,,VBM PORTION,59,19,9,18,
DOWNEY,1850029B,686,291,N,731,TOTAL,215,59,33,101,
DOWNEY,1850030A,687,296,N,1182,POLLING PLACE,255,86,43,106,
DOWNEY,1850030A,687,296,N,,VBM PORTION,68,20,10,32,
DOWNEY,1850030A,687,296,N,1182,TOTAL,323,106,53,138,
DOWNEY,1850031A,688,295,N,742,POLLING PLACE,114,54,27,28,
DOWNEY,1850031A,688,295,N,,VBM PORTION,43,18,12,12,
DOWNEY,1850031A,688,295,N,742,TOTAL,157,72,39,40,
DOWNEY,1850032A,689,290,N,506,POLLING PLACE,92,50,17,17,
DOWNEY,1850032A,689,290,N,,VBM PORTION,44,11,4,22,
DOWNEY,1850032A,689,290,N,506,TOTAL,136,61,21,39,
DOWNEY,1850033A,690,296,N,925,POLLING PLACE,188,67,44,67,
DOWNEY,1850033A,690,296,N,,VBM PORTION,55,11,11,25,
DOWNEY,1850033A,690,296,N,925,TOTAL,243,78,55,92,
DOWNEY,1850038A,692,296,N,1006,POLLING PLACE,187,71,47,61,
DOWNEY,1850038A,692,296,N,,VBM PORTION,63,9,21,27,
DOWNEY,1850038A,692,296,N,1006,TOTAL,250,80,68,88,
DOWNEY,1850040A,693,295,N,850,POLLING PLACE,175,80,36,52,
DOWNEY,1850040A,693,295,N,,VBM PORTION,45,12,3,27,
DOWNEY,1850040A,693,295,N,850,TOTAL,220,92,39,79,
BALLOT GROUP 290,9990290A,8290,290,N,,POLLING PLACE,,,,,
BALLOT GROUP 290,9990290A,8290,290,N,,VBM PORTION,,,,,
BALLOT GROUP 290,9990290A,8290,290,N,,TOTAL,,,,,
BALLOT GROUP 291,9990291A,8291,291,N,,POLLING PLACE,,,,,
BALLOT GROUP 291,9990291A,8291,291,N,,VBM PORTION,,,,,
BALLOT GROUP 291,9990291A,8291,291,N,,TOTAL,,,,,
BALLOT GROUP 294,9990294A,8294,294,N,,POLLING PLACE,,,,,
BALLOT GROUP 294,9990294A,8294,294,N,,VBM PORTION,,,,,
BALLOT GROUP 294,9990294A,8294,294,N,,TOTAL,,,,,
BALLOT GROUP 295,9990295A,8295,295,N,,POLLING PLACE,,,,,
BALLOT GROUP 295,9990295A,8295,295,N,,VBM PORTION,,,,,
BALLOT GROUP 295,9990295A,8295,295,N,,TOTAL,,,,,
BALLOT GROUP 296,9990296A,8296,296,N,,POLLING PLACE,,,,,
BALLOT GROUP 296,9990296A,8296,296,N,,VBM PORTION,,,,,
BALLOT GROUP 296,9990296A,8296,296,N,,TOTAL,,,,,
