LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ROGER HERNANDEZ,JOE M GARDNER,
AZUSA,0550001A,142,133,N,108,POLLING PLACE,9,4,3,
AZUSA,0550001A,142,133,N,,VBM PORTION,4,,2,
AZUSA,0550001A,142,133,N,108,TOTAL,13,4,5,
AZUSA,0550001B,6027,128,Y,76,POLLING PLACE,,,,
AZUSA,0550001B,6027,128,Y,,VBM PORTION,5,5,,
AZUSA,0550001B,6027,128,Y,76,TOTAL,5,5,,
AZUSA,0550002A,143,129,N,763,POLLING PLACE,152,74,68,
AZUSA,0550002A,143,129,N,,VBM PORTION,18,6,11,
AZUSA,0550002A,143,129,N,763,TOTAL,170,80,79,
AZUSA,0550008A,144,129,N,1035,POLLING PLACE,205,132,58,
AZUSA,0550008A,144,129,N,,VBM PORTION,36,20,11,
AZUSA,0550008A,144,129,N,1035,TOTAL,241,152,69,
AZUSA,0550009A,145,129,N,1156,POLLING PLACE,195,130,51,
AZUSA,0550009A,145,129,N,,VBM PORTION,55,36,17,
AZUSA,0550009A,145,129,N,1156,TOTAL,250,166,68,
AZUSA,0550010A,146,129,N,1139,POLLING PLACE,195,122,57,
AZUSA,0550010A,146,129,N,,VBM PORTION,50,32,17,
AZUSA,0550010A,146,129,N,1139,TOTAL,245,154,74,
AZUSA,0550010B,147,129,N,518,POLLING PLACE,66,36,21,
AZUSA,0550010B,147,129,N,,VBM PORTION,17,10,5,
AZUSA,0550010B,147,129,N,518,TOTAL,83,46,26,
AZUSA,0550010E,6028,128,Y,279,POLLING PLACE,,,,
AZUSA,0550010E,6028,128,Y,,VBM PORTION,24,19,5,
AZUSA,0550010E,6028,128,Y,279,TOTAL,24,19,5,
AZUSA,0550011A,148,129,N,627,POLLING PLACE,108,43,54,
AZUSA,0550011A,148,129,N,,VBM PORTION,73,28,40,
AZUSA,0550011A,148,129,N,627,TOTAL,181,71,94,
AZUSA,0550012A,149,129,N,599,POLLING PLACE,84,57,21,
AZUSA,0550012A,149,129,N,,VBM PORTION,18,5,12,
AZUSA,0550012A,149,129,N,599,TOTAL,102,62,33,
AZUSA,0550012E,150,129,N,738,POLLING PLACE,87,51,32,
AZUSA,0550012E,150,129,N,,VBM PORTION,45,22,18,
AZUSA,0550012E,150,129,N,738,TOTAL,132,73,50,
