LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TONY STRICKLAND,STEVE KNIGHT,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,141,138,
ACTON,0050003A,1,13,N,,VBM PORTION,110,50,50,
ACTON,0050003A,1,13,N,1044,TOTAL,418,191,188,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,63,62,
ACTON,0050004B,2,13,N,,VBM PORTION,93,37,43,
ACTON,0050004B,2,13,N,576,TOTAL,221,100,105,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,79,107,
ACTON,0050005A,3,13,N,,VBM PORTION,71,33,34,
ACTON,0050005A,3,13,N,713,TOTAL,269,112,141,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,82,76,
ACTON,0050014A,4,23,N,,VBM PORTION,87,40,33,
ACTON,0050014A,4,23,N,695,TOTAL,259,122,109,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,,2,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,,2,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,149,128,
ACTON,0050059A,5,13,N,,VBM PORTION,113,48,51,
ACTON,0050059A,5,13,N,1169,TOTAL,412,197,179,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,125,128,
ACTON,0050061A,6,13,N,,VBM PORTION,132,49,72,
ACTON,0050061A,6,13,N,1105,TOTAL,409,174,200,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,122,140,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,57,50,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,179,190,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,89,81,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,35,30,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,124,111,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,58,57,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,33,21,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,91,78,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,11,8,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,11,8,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,3,2,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,3,2,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,2,,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,2,,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
AGUA DULCE,0090012A,6014,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090012A,6014,63,Y,5,TOTAL,,,,
ANTELOPE,0300002A,93,13,N,867,POLLING PLACE,177,55,114,
ANTELOPE,0300002A,93,13,N,,VBM PORTION,109,30,72,
ANTELOPE,0300002A,93,13,N,867,TOTAL,286,85,186,
ANTELOPE,0300002C,6021,23,Y,4,POLLING PLACE,,,,
ANTELOPE,0300002C,6021,23,Y,,VBM PORTION,1,,1,
ANTELOPE,0300002C,6021,23,Y,4,TOTAL,1,,1,
