LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ISIDRO ARMENTA,HOLLY J MITCHELL,
CULVER CITY,1600001A,590,233,N,902,POLLING PLACE,180,55,109,
CULVER CITY,1600001A,590,233,N,,VBM PORTION,72,23,44,
CULVER CITY,1600001A,590,233,N,902,TOTAL,252,78,153,
CULVER CITY,1600002A,591,233,N,754,POLLING PLACE,146,43,81,
CULVER CITY,1600002A,591,233,N,,VBM PORTION,73,18,48,
CULVER CITY,1600002A,591,233,N,754,TOTAL,219,61,129,
CULVER CITY,1600003A,592,233,N,998,POLLING PLACE,169,43,108,
CULVER CITY,1600003A,592,233,N,,VBM PORTION,92,21,58,
CULVER CITY,1600003A,592,233,N,998,TOTAL,261,64,166,
CULVER CITY,1600004A,593,233,N,1097,POLLING PLACE,230,68,135,
CULVER CITY,1600004A,593,233,N,,VBM PORTION,70,27,29,
CULVER CITY,1600004A,593,233,N,1097,TOTAL,300,95,164,
CULVER CITY,1600005A,594,233,N,885,POLLING PLACE,187,58,114,
CULVER CITY,1600005A,594,233,N,,VBM PORTION,85,20,54,
CULVER CITY,1600005A,594,233,N,885,TOTAL,272,78,168,
CULVER CITY,1600007A,595,233,N,1248,POLLING PLACE,316,90,176,
CULVER CITY,1600007A,595,233,N,,VBM PORTION,147,37,76,
CULVER CITY,1600007A,595,233,N,1248,TOTAL,463,127,252,
CULVER CITY,1600008A,596,233,N,1154,POLLING PLACE,329,74,208,
CULVER CITY,1600008A,596,233,N,,VBM PORTION,140,35,78,
CULVER CITY,1600008A,596,233,N,1154,TOTAL,469,109,286,
CULVER CITY,1600011A,597,233,N,1176,POLLING PLACE,206,44,120,
CULVER CITY,1600011A,597,233,N,,VBM PORTION,157,42,89,
CULVER CITY,1600011A,597,233,N,1176,TOTAL,363,86,209,
CULVER CITY,1600013B,598,233,N,1147,POLLING PLACE,330,100,176,
CULVER CITY,1600013B,598,233,N,,VBM PORTION,124,39,59,
CULVER CITY,1600013B,598,233,N,1147,TOTAL,454,139,235,
CULVER CITY,1600014A,599,233,N,476,POLLING PLACE,102,16,70,
CULVER CITY,1600014A,599,233,N,,VBM PORTION,80,18,52,
CULVER CITY,1600014A,599,233,N,476,TOTAL,182,34,122,
CULVER CITY,1600014C,6060,228,Y,,POLLING PLACE,,,,
CULVER CITY,1600014C,6060,228,Y,,VBM PORTION,,,,
CULVER CITY,1600014C,6060,228,Y,,TOTAL,,,,
CULVER CITY,1600017B,600,233,N,1114,POLLING PLACE,224,63,125,
CULVER CITY,1600017B,600,233,N,,VBM PORTION,112,25,61,
CULVER CITY,1600017B,600,233,N,1114,TOTAL,336,88,186,
CULVER CITY,1600018A,601,233,N,899,POLLING PLACE,161,67,73,
CULVER CITY,1600018A,601,233,N,,VBM PORTION,63,20,30,
CULVER CITY,1600018A,601,233,N,899,TOTAL,224,87,103,
CULVER CITY,1600022A,602,233,N,651,POLLING PLACE,156,37,88,
CULVER CITY,1600022A,602,233,N,,VBM PORTION,59,6,38,
CULVER CITY,1600022A,602,233,N,651,TOTAL,215,43,126,
CULVER CITY,1600024A,603,233,N,1216,POLLING PLACE,269,80,159,
CULVER CITY,1600024A,603,233,N,,VBM PORTION,111,21,71,
CULVER CITY,1600024A,603,233,N,1216,TOTAL,380,101,230,
CULVER CITY,1600025A,604,233,N,955,POLLING PLACE,285,70,185,
CULVER CITY,1600025A,604,233,N,,VBM PORTION,123,33,63,
CULVER CITY,1600025A,604,233,N,955,TOTAL,408,103,248,
CULVER CITY,1600027C,605,233,N,646,POLLING PLACE,188,42,115,
CULVER CITY,1600027C,605,233,N,,VBM PORTION,74,11,53,
CULVER CITY,1600027C,605,233,N,646,TOTAL,262,53,168,
CULVER CITY,1600028A,606,233,N,1254,POLLING PLACE,272,67,141,
CULVER CITY,1600028A,606,233,N,,VBM PORTION,129,22,78,
CULVER CITY,1600028A,606,233,N,1254,TOTAL,401,89,219,
CULVER CITY,1600031C,607,233,N,1008,POLLING PLACE,244,68,137,
CULVER CITY,1600031C,607,233,N,,VBM PORTION,131,33,68,
CULVER CITY,1600031C,607,233,N,1008,TOTAL,375,101,205,
CULVER CITY,1600034A,608,233,N,1156,POLLING PLACE,304,91,167,
CULVER CITY,1600034A,608,233,N,,VBM PORTION,165,34,93,
CULVER CITY,1600034A,608,233,N,1156,TOTAL,469,125,260,
CULVER CITY,1600042A,609,233,N,768,POLLING PLACE,284,60,183,
CULVER CITY,1600042A,609,233,N,,VBM PORTION,107,22,68,
CULVER CITY,1600042A,609,233,N,768,TOTAL,391,82,251,
CULVER CITY,1600045A,610,233,N,962,POLLING PLACE,225,56,136,
CULVER CITY,1600045A,610,233,N,,VBM PORTION,97,28,58,
CULVER CITY,1600045A,610,233,N,962,TOTAL,322,84,194,
CULVER CITY,1600055A,611,233,N,1079,POLLING PLACE,302,79,189,
CULVER CITY,1600055A,611,233,N,,VBM PORTION,87,23,45,
CULVER CITY,1600055A,611,233,N,1079,TOTAL,389,102,234,
CULVER CITY,1600073A,612,233,N,1197,POLLING PLACE,248,66,145,
CULVER CITY,1600073A,612,233,N,,VBM PORTION,74,14,49,
CULVER CITY,1600073A,612,233,N,1197,TOTAL,322,80,194,
CULVER CITY,1600074B,613,233,N,1091,POLLING PLACE,282,82,177,
CULVER CITY,1600074B,613,233,N,,VBM PORTION,117,23,78,
CULVER CITY,1600074B,613,233,N,1091,TOTAL,399,105,255,
CULVER CITY,1600076A,614,233,N,1125,POLLING PLACE,268,76,157,
CULVER CITY,1600076A,614,233,N,,VBM PORTION,82,15,57,
CULVER CITY,1600076A,614,233,N,1125,TOTAL,350,91,214,
INGLEWOOD,2950002A,1115,331,N,1070,POLLING PLACE,223,63,140,
INGLEWOOD,2950002A,1115,331,N,,VBM PORTION,52,20,26,
INGLEWOOD,2950002A,1115,331,N,1070,TOTAL,275,83,166,
INGLEWOOD,2950025A,1136,331,N,969,POLLING PLACE,184,70,102,
INGLEWOOD,2950025A,1136,331,N,,VBM PORTION,39,14,22,
INGLEWOOD,2950025A,1136,331,N,969,TOTAL,223,84,124,
INGLEWOOD,2950073A,1157,331,N,844,POLLING PLACE,151,21,117,
INGLEWOOD,2950073A,1157,331,N,,VBM PORTION,65,14,45,
INGLEWOOD,2950073A,1157,331,N,844,TOTAL,216,35,162,
INGLEWOOD,2950080A,1160,331,N,920,POLLING PLACE,169,43,110,
INGLEWOOD,2950080A,1160,331,N,,VBM PORTION,27,9,16,
INGLEWOOD,2950080A,1160,331,N,920,TOTAL,196,52,126,
INGLEWOOD,2950084A,1161,331,N,782,POLLING PLACE,118,31,79,
INGLEWOOD,2950084A,1161,331,N,,VBM PORTION,40,14,23,
INGLEWOOD,2950084A,1161,331,N,782,TOTAL,158,45,102,
INGLEWOOD,2950087A,1162,331,N,908,POLLING PLACE,178,40,126,
INGLEWOOD,2950087A,1162,331,N,,VBM PORTION,68,18,45,
INGLEWOOD,2950087A,1162,331,N,908,TOTAL,246,58,171,
INGLEWOOD,2950088A,1163,331,N,1263,POLLING PLACE,353,52,255,
INGLEWOOD,2950088A,1163,331,N,,VBM PORTION,134,31,79,
INGLEWOOD,2950088A,1163,331,N,1263,TOTAL,487,83,334,
INGLEWOOD,2950090A,1164,227,N,219,POLLING PLACE,68,11,49,
INGLEWOOD,2950090A,1164,227,N,,VBM PORTION,27,2,18,
INGLEWOOD,2950090A,1164,227,N,219,TOTAL,95,13,67,
