LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BARRY A SNELL,MARIA LOYA,LOUISE JAFFE,NANCY GREENSTEIN,ANDREW WALZER,DENNIS C W FRISCH,
MALIBU,4050002A,1702,188,N,779,POLLING PLACE,242,50,52,68,68,56,64,
MALIBU,4050002A,1702,188,N,,VBM PORTION,83,24,13,28,25,24,10,
MALIBU,4050002A,1702,188,N,779,TOTAL,325,74,65,96,93,80,74,
MALIBU,4050003A,1703,188,N,676,POLLING PLACE,221,61,44,69,70,53,46,
MALIBU,4050003A,1703,188,N,,VBM PORTION,80,36,10,35,33,33,28,
MALIBU,4050003A,1703,188,N,676,TOTAL,301,97,54,104,103,86,74,
MALIBU,4050004A,1704,188,N,602,POLLING PLACE,160,42,37,53,41,35,37,
MALIBU,4050004A,1704,188,N,,VBM PORTION,83,19,16,22,24,18,18,
MALIBU,4050004A,1704,188,N,602,TOTAL,243,61,53,75,65,53,55,
MALIBU,4050014A,1705,188,N,857,POLLING PLACE,208,48,44,49,51,46,47,
MALIBU,4050014A,1705,188,N,,VBM PORTION,93,22,19,23,28,25,23,
MALIBU,4050014A,1705,188,N,857,TOTAL,301,70,63,72,79,71,70,
MALIBU,4050051A,1706,188,N,1268,POLLING PLACE,373,100,73,119,110,89,93,
MALIBU,4050051A,1706,188,N,,VBM PORTION,126,36,32,47,40,34,32,
MALIBU,4050051A,1706,188,N,1268,TOTAL,499,136,105,166,150,123,125,
MALIBU,4050057A,1707,188,N,912,POLLING PLACE,262,61,44,81,64,72,72,
MALIBU,4050057A,1707,188,N,,VBM PORTION,109,45,19,41,43,35,15,
MALIBU,4050057A,1707,188,N,912,TOTAL,371,106,63,122,107,107,87,
MALIBU,4050059B,1708,188,N,614,POLLING PLACE,143,30,29,46,41,27,27,
MALIBU,4050059B,1708,188,N,,VBM PORTION,85,21,15,25,22,19,14,
MALIBU,4050059B,1708,188,N,614,TOTAL,228,51,44,71,63,46,41,
MALIBU,4050062A,1709,188,N,944,POLLING PLACE,311,75,64,91,83,62,70,
MALIBU,4050062A,1709,188,N,,VBM PORTION,112,31,18,34,36,32,22,
MALIBU,4050062A,1709,188,N,944,TOTAL,423,106,82,125,119,94,92,
MALIBU,4050063A,1710,188,N,913,POLLING PLACE,236,52,52,68,65,57,55,
MALIBU,4050063A,1710,188,N,,VBM PORTION,113,36,22,39,37,37,18,
MALIBU,4050063A,1710,188,N,913,TOTAL,349,88,74,107,102,94,73,
MALIBU,4050064A,1711,188,N,949,POLLING PLACE,272,62,63,87,90,66,55,
MALIBU,4050064A,1711,188,N,,VBM PORTION,132,45,16,57,54,45,28,
MALIBU,4050064A,1711,188,N,949,TOTAL,404,107,79,144,144,111,83,
MALIBU HEIGHTS,4060001A,1712,192,N,324,POLLING PLACE,104,25,26,35,31,36,29,
MALIBU HEIGHTS,4060001A,1712,192,N,,VBM PORTION,29,5,6,8,10,7,4,
MALIBU HEIGHTS,4060001A,1712,192,N,324,TOTAL,133,30,32,43,41,43,33,
MALIBU HEIGHTS,4060001C,6150,195,Y,93,POLLING PLACE,,,,,,,,
MALIBU HEIGHTS,4060001C,6150,195,Y,,VBM PORTION,9,5,1,7,6,5,3,
MALIBU HEIGHTS,4060001C,6150,195,Y,93,TOTAL,9,5,1,7,6,5,3,
MALIBU HEIGHTS,4060003A,1713,195,N,542,POLLING PLACE,64,12,17,18,19,15,24,
MALIBU HEIGHTS,4060003A,1713,195,N,,VBM PORTION,12,3,2,4,2,4,,
MALIBU HEIGHTS,4060003A,1713,195,N,542,TOTAL,76,15,19,22,21,19,24,
MALIBU HEIGHTS,4060003B,6151,192,Y,101,POLLING PLACE,,,,,,,,
MALIBU HEIGHTS,4060003B,6151,192,Y,,VBM PORTION,20,4,3,4,1,3,2,
MALIBU HEIGHTS,4060003B,6151,192,Y,101,TOTAL,20,4,3,4,1,3,2,
MALIBU HEIGHTS,4060004A,1714,192,N,383,POLLING PLACE,54,16,17,9,12,6,15,
MALIBU HEIGHTS,4060004A,1714,192,N,,VBM PORTION,37,12,10,15,13,13,7,
MALIBU HEIGHTS,4060004A,1714,192,N,383,TOTAL,91,28,27,24,25,19,22,
MALIBU HEIGHTS,4060012A,1715,194,N,519,POLLING PLACE,113,26,26,35,37,29,38,
MALIBU HEIGHTS,4060012A,1715,194,N,,VBM PORTION,73,20,15,18,18,16,16,
MALIBU HEIGHTS,4060012A,1715,194,N,519,TOTAL,186,46,41,53,55,45,54,
MALIBU HEIGHTS,4060012L,6152,195,Y,1,POLLING PLACE,,,,,,,,
MALIBU HEIGHTS,4060012L,6152,195,Y,,VBM PORTION,,,,,,,,
MALIBU HEIGHTS,4060012L,6152,195,Y,1,TOTAL,,,,,,,,
SANTA MONICA,6250001A,2455,181,N,893,POLLING PLACE,294,88,59,137,138,102,93,
SANTA MONICA,6250001A,2455,181,N,,VBM PORTION,112,46,30,43,37,26,26,
SANTA MONICA,6250001A,2455,181,N,893,TOTAL,406,134,89,180,175,128,119,
SANTA MONICA,6250003C,2456,181,N,1011,POLLING PLACE,301,132,57,160,159,109,86,
SANTA MONICA,6250003C,2456,181,N,,VBM PORTION,129,60,37,74,76,57,39,
SANTA MONICA,6250003C,2456,181,N,1011,TOTAL,430,192,94,234,235,166,125,
SANTA MONICA,6250005A,2457,181,N,1184,POLLING PLACE,356,117,96,158,174,125,114,
SANTA MONICA,6250005A,2457,181,N,,VBM PORTION,89,35,20,43,39,29,15,
SANTA MONICA,6250005A,2457,181,N,1184,TOTAL,445,152,116,201,213,154,129,
SANTA MONICA,6250006A,2458,181,N,1079,POLLING PLACE,375,133,96,163,163,140,101,
SANTA MONICA,6250006A,2458,181,N,,VBM PORTION,90,37,23,34,41,29,28,
SANTA MONICA,6250006A,2458,181,N,1079,TOTAL,465,170,119,197,204,169,129,
SANTA MONICA,6250008A,2459,181,N,1132,POLLING PLACE,262,91,52,115,116,92,71,
SANTA MONICA,6250008A,2459,181,N,,VBM PORTION,161,48,27,64,62,54,45,
SANTA MONICA,6250008A,2459,181,N,1132,TOTAL,423,139,79,179,178,146,116,
SANTA MONICA,6250010E,2460,181,N,1102,POLLING PLACE,267,92,83,123,119,108,86,
SANTA MONICA,6250010E,2460,181,N,,VBM PORTION,90,35,28,40,36,28,22,
SANTA MONICA,6250010E,2460,181,N,1102,TOTAL,357,127,111,163,155,136,108,
SANTA MONICA,6250011A,2461,181,N,1103,POLLING PLACE,237,86,64,107,103,77,90,
SANTA MONICA,6250011A,2461,181,N,,VBM PORTION,110,41,27,41,47,44,40,
SANTA MONICA,6250011A,2461,181,N,1103,TOTAL,347,127,91,148,150,121,130,
SANTA MONICA,6250015B,2462,181,N,1247,POLLING PLACE,369,138,92,189,184,136,122,
SANTA MONICA,6250015B,2462,181,N,,VBM PORTION,153,54,43,71,66,60,57,
SANTA MONICA,6250015B,2462,181,N,1247,TOTAL,522,192,135,260,250,196,179,
SANTA MONICA,6250016A,2463,181,N,1328,POLLING PLACE,358,152,91,175,183,130,105,
SANTA MONICA,6250016A,2463,181,N,,VBM PORTION,109,33,25,34,44,29,31,
SANTA MONICA,6250016A,2463,181,N,1328,TOTAL,467,185,116,209,227,159,136,
SANTA MONICA,6250017A,2464,181,N,1281,POLLING PLACE,420,128,60,193,189,141,119,
SANTA MONICA,6250017A,2464,181,N,,VBM PORTION,140,54,18,70,66,50,27,
SANTA MONICA,6250017A,2464,181,N,1281,TOTAL,560,182,78,263,255,191,146,
SANTA MONICA,6250019A,2465,181,N,1365,POLLING PLACE,247,78,76,103,102,94,96,
SANTA MONICA,6250019A,2465,181,N,,VBM PORTION,108,44,29,45,47,45,31,
SANTA MONICA,6250019A,2465,181,N,1365,TOTAL,355,122,105,148,149,139,127,
SANTA MONICA,6250020A,2466,181,N,1066,POLLING PLACE,352,113,90,162,141,123,117,
SANTA MONICA,6250020A,2466,181,N,,VBM PORTION,85,21,26,27,30,30,30,
SANTA MONICA,6250020A,2466,181,N,1066,TOTAL,437,134,116,189,171,153,147,
SANTA MONICA,6250024A,2467,181,N,763,POLLING PLACE,191,58,71,75,85,67,80,
SANTA MONICA,6250024A,2467,181,N,,VBM PORTION,44,19,16,16,20,13,24,
SANTA MONICA,6250024A,2467,181,N,763,TOTAL,235,77,87,91,105,80,104,
SANTA MONICA,6250025B,2468,181,N,1093,POLLING PLACE,189,48,78,76,79,71,67,
SANTA MONICA,6250025B,2468,181,N,,VBM PORTION,52,26,14,27,20,16,19,
SANTA MONICA,6250025B,2468,181,N,1093,TOTAL,241,74,92,103,99,87,86,
SANTA MONICA,6250026A,2469,181,N,1194,POLLING PLACE,400,170,137,194,195,146,147,
SANTA MONICA,6250026A,2469,181,N,,VBM PORTION,99,28,27,47,45,26,27,
SANTA MONICA,6250026A,2469,181,N,1194,TOTAL,499,198,164,241,240,172,174,
SANTA MONICA,6250029A,2470,181,N,752,POLLING PLACE,221,89,50,99,104,64,68,
SANTA MONICA,6250029A,2470,181,N,,VBM PORTION,86,38,15,39,41,43,30,
SANTA MONICA,6250029A,2470,181,N,752,TOTAL,307,127,65,138,145,107,98,
SANTA MONICA,6250032A,2471,181,N,1123,POLLING PLACE,244,86,61,111,114,84,91,
SANTA MONICA,6250032A,2471,181,N,,VBM PORTION,117,40,39,56,63,36,33,
SANTA MONICA,6250032A,2471,181,N,1123,TOTAL,361,126,100,167,177,120,124,
SANTA MONICA,6250034A,2472,181,N,1165,POLLING PLACE,341,123,77,167,162,126,116,
SANTA MONICA,6250034A,2472,181,N,,VBM PORTION,80,29,19,34,29,27,32,
SANTA MONICA,6250034A,2472,181,N,1165,TOTAL,421,152,96,201,191,153,148,
SANTA MONICA,6250036B,2473,181,N,1149,POLLING PLACE,306,107,85,134,136,113,101,
SANTA MONICA,6250036B,2473,181,N,,VBM PORTION,96,39,15,40,39,41,25,
SANTA MONICA,6250036B,2473,181,N,1149,TOTAL,402,146,100,174,175,154,126,
SANTA MONICA,6250041A,2474,181,N,1275,POLLING PLACE,274,105,74,123,120,102,97,
SANTA MONICA,6250041A,2474,181,N,,VBM PORTION,103,39,31,42,48,35,35,
SANTA MONICA,6250041A,2474,181,N,1275,TOTAL,377,144,105,165,168,137,132,
SANTA MONICA,6250045A,2475,181,N,1204,POLLING PLACE,263,88,95,121,125,103,109,
SANTA MONICA,6250045A,2475,181,N,,VBM PORTION,84,30,18,38,38,33,33,
SANTA MONICA,6250045A,2475,181,N,1204,TOTAL,347,118,113,159,163,136,142,
SANTA MONICA,6250046A,2476,181,N,1263,POLLING PLACE,317,122,102,147,155,105,91,
SANTA MONICA,6250046A,2476,181,N,,VBM PORTION,89,35,27,41,36,29,29,
SANTA MONICA,6250046A,2476,181,N,1263,TOTAL,406,157,129,188,191,134,120,
SANTA MONICA,6250050A,2477,181,N,1012,POLLING PLACE,254,104,72,119,120,91,64,
SANTA MONICA,6250050A,2477,181,N,,VBM PORTION,71,30,19,31,35,24,15,
SANTA MONICA,6250050A,2477,181,N,1012,TOTAL,325,134,91,150,155,115,79,
SANTA MONICA,6250051A,2478,181,N,1237,POLLING PLACE,297,119,89,129,141,108,102,
SANTA MONICA,6250051A,2478,181,N,,VBM PORTION,87,23,15,25,34,32,25,
SANTA MONICA,6250051A,2478,181,N,1237,TOTAL,384,142,104,154,175,140,127,
SANTA MONICA,6250052B,2479,181,N,901,POLLING PLACE,164,63,42,72,71,62,56,
SANTA MONICA,6250052B,2479,181,N,,VBM PORTION,50,14,13,15,17,11,11,
SANTA MONICA,6250052B,2479,181,N,901,TOTAL,214,77,55,87,88,73,67,
SANTA MONICA,6250053A,2480,181,N,1252,POLLING PLACE,236,78,75,100,109,84,82,
SANTA MONICA,6250053A,2480,181,N,,VBM PORTION,111,31,33,35,37,36,39,
SANTA MONICA,6250053A,2480,181,N,1252,TOTAL,347,109,108,135,146,120,121,
SANTA MONICA,6250056A,2481,181,N,954,POLLING PLACE,97,35,34,44,46,41,40,
SANTA MONICA,6250056A,2481,181,N,,VBM PORTION,54,12,15,19,14,13,23,
SANTA MONICA,6250056A,2481,181,N,954,TOTAL,151,47,49,63,60,54,63,
SANTA MONICA,6250060A,2482,181,N,873,POLLING PLACE,144,59,61,59,74,49,57,
SANTA MONICA,6250060A,2482,181,N,,VBM PORTION,56,29,9,28,28,30,22,
SANTA MONICA,6250060A,2482,181,N,873,TOTAL,200,88,70,87,102,79,79,
SANTA MONICA,6250061A,2483,181,N,991,POLLING PLACE,228,83,115,91,122,87,104,
SANTA MONICA,6250061A,2483,181,N,,VBM PORTION,43,24,23,17,22,12,14,
SANTA MONICA,6250061A,2483,181,N,991,TOTAL,271,107,138,108,144,99,118,
SANTA MONICA,6250062A,2484,181,N,887,POLLING PLACE,209,77,90,86,109,76,80,
SANTA MONICA,6250062A,2484,181,N,,VBM PORTION,37,15,5,12,10,16,8,
SANTA MONICA,6250062A,2484,181,N,887,TOTAL,246,92,95,98,119,92,88,
SANTA MONICA,6250067A,2485,181,N,944,POLLING PLACE,296,109,85,147,155,112,88,
SANTA MONICA,6250067A,2485,181,N,,VBM PORTION,45,14,10,20,17,10,12,
SANTA MONICA,6250067A,2485,181,N,944,TOTAL,341,123,95,167,172,122,100,
SANTA MONICA,6250068D,2486,181,N,582,POLLING PLACE,139,45,50,65,66,54,56,
SANTA MONICA,6250068D,2486,181,N,,VBM PORTION,53,18,13,21,22,18,15,
SANTA MONICA,6250068D,2486,181,N,582,TOTAL,192,63,63,86,88,72,71,
SANTA MONICA,6250069A,2487,181,N,1149,POLLING PLACE,363,150,100,175,157,119,109,
SANTA MONICA,6250069A,2487,181,N,,VBM PORTION,96,34,36,44,46,30,35,
SANTA MONICA,6250069A,2487,181,N,1149,TOTAL,459,184,136,219,203,149,144,
SANTA MONICA,6250070A,2488,181,N,1101,POLLING PLACE,301,143,87,195,169,120,105,
SANTA MONICA,6250070A,2488,181,N,,VBM PORTION,112,52,30,66,65,44,35,
SANTA MONICA,6250070A,2488,181,N,1101,TOTAL,413,195,117,261,234,164,140,
SANTA MONICA,6250071A,2489,181,N,930,POLLING PLACE,198,75,95,85,92,72,71,
SANTA MONICA,6250071A,2489,181,N,,VBM PORTION,55,23,23,24,21,25,28,
SANTA MONICA,6250071A,2489,181,N,930,TOTAL,253,98,118,109,113,97,99,
SANTA MONICA,6250072A,2490,181,N,1294,POLLING PLACE,460,175,123,232,220,169,157,
SANTA MONICA,6250072A,2490,181,N,,VBM PORTION,135,53,41,67,72,57,58,
SANTA MONICA,6250072A,2490,181,N,1294,TOTAL,595,228,164,299,292,226,215,
SANTA MONICA,6250076B,2491,181,N,878,POLLING PLACE,276,121,71,150,136,90,85,
SANTA MONICA,6250076B,2491,181,N,,VBM PORTION,68,34,14,32,31,41,21,
SANTA MONICA,6250076B,2491,181,N,878,TOTAL,344,155,85,182,167,131,106,
SANTA MONICA,6250078A,2492,181,N,826,POLLING PLACE,212,71,82,98,96,67,80,
SANTA MONICA,6250078A,2492,181,N,,VBM PORTION,47,14,10,18,19,13,18,
SANTA MONICA,6250078A,2492,181,N,826,TOTAL,259,85,92,116,115,80,98,
SANTA MONICA,6250081A,2493,181,N,1103,POLLING PLACE,372,127,124,174,182,133,141,
SANTA MONICA,6250081A,2493,181,N,,VBM PORTION,76,30,16,37,33,24,30,
SANTA MONICA,6250081A,2493,181,N,1103,TOTAL,448,157,140,211,215,157,171,
SANTA MONICA,6250083A,2494,181,N,1180,POLLING PLACE,384,145,99,204,204,150,135,
SANTA MONICA,6250083A,2494,181,N,,VBM PORTION,85,27,29,37,39,29,29,
SANTA MONICA,6250083A,2494,181,N,1180,TOTAL,469,172,128,241,243,179,164,
SANTA MONICA,6250085A,2495,181,N,1252,POLLING PLACE,324,106,103,138,142,104,110,
SANTA MONICA,6250085A,2495,181,N,,VBM PORTION,121,41,43,60,58,36,31,
SANTA MONICA,6250085A,2495,181,N,1252,TOTAL,445,147,146,198,200,140,141,
SANTA MONICA,6250089A,2496,181,N,1207,POLLING PLACE,455,181,133,228,223,159,168,
SANTA MONICA,6250089A,2496,181,N,,VBM PORTION,122,44,32,53,56,45,28,
SANTA MONICA,6250089A,2496,181,N,1207,TOTAL,577,225,165,281,279,204,196,
SANTA MONICA,6250092A,2497,181,N,1231,POLLING PLACE,346,142,99,178,174,125,124,
SANTA MONICA,6250092A,2497,181,N,,VBM PORTION,99,35,27,52,44,28,25,
SANTA MONICA,6250092A,2497,181,N,1231,TOTAL,445,177,126,230,218,153,149,
SANTA MONICA,6250094B,2498,181,N,943,POLLING PLACE,237,69,63,98,103,70,77,
SANTA MONICA,6250094B,2498,181,N,,VBM PORTION,75,31,9,31,32,19,10,
SANTA MONICA,6250094B,2498,181,N,943,TOTAL,312,100,72,129,135,89,87,
SANTA MONICA,6250095A,2499,181,N,1311,POLLING PLACE,302,105,86,137,152,123,99,
SANTA MONICA,6250095A,2499,181,N,,VBM PORTION,126,47,29,58,65,44,36,
SANTA MONICA,6250095A,2499,181,N,1311,TOTAL,428,152,115,195,217,167,135,
SANTA MONICA,6250098A,2500,181,N,1199,POLLING PLACE,326,114,97,139,143,97,108,
