LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM CAMPBELL,GARY MARTIN,STACY L FORTNER,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,2,,2,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,2,,2,
CANYON COUNTRY,1020005A,6036,38,Y,4,POLLING PLACE,,,,,
CANYON COUNTRY,1020005A,6036,38,Y,,VBM PORTION,,,,,
CANYON COUNTRY,1020005A,6036,38,Y,4,TOTAL,,,,,
CANYON COUNTRY,1020007A,6037,10,Y,45,POLLING PLACE,,,,,
CANYON COUNTRY,1020007A,6037,10,Y,,VBM PORTION,10,7,7,,
CANYON COUNTRY,1020007A,6037,10,Y,45,TOTAL,10,7,7,,
CANYON COUNTRY,1020014A,364,38,N,575,POLLING PLACE,87,48,41,24,
CANYON COUNTRY,1020014A,364,38,N,,VBM PORTION,62,36,25,18,
CANYON COUNTRY,1020014A,364,38,N,575,TOTAL,149,84,66,42,
CANYON COUNTRY,1020017B,6038,38,Y,209,POLLING PLACE,,,,,
CANYON COUNTRY,1020017B,6038,38,Y,,VBM PORTION,57,30,27,8,
CANYON COUNTRY,1020017B,6038,38,Y,209,TOTAL,57,30,27,8,
CANYON COUNTRY,1020022A,6039,67,Y,,POLLING PLACE,,,,,
CANYON COUNTRY,1020022A,6039,67,Y,,VBM PORTION,,,,,
CANYON COUNTRY,1020022A,6039,67,Y,,TOTAL,,,,,
CANYON COUNTRY,1020023A,6040,50,Y,,POLLING PLACE,,,,,
CANYON COUNTRY,1020023A,6040,50,Y,,VBM PORTION,,,,,
CANYON COUNTRY,1020023A,6040,50,Y,,TOTAL,,,,,
CANYON COUNTRY,1020192G,6041,64,Y,26,POLLING PLACE,,,,,
CANYON COUNTRY,1020192G,6041,64,Y,,VBM PORTION,13,6,7,1,
CANYON COUNTRY,1020192G,6041,64,Y,26,TOTAL,13,6,7,1,
CANYON COUNTRY,1020192X,6042,64,Y,,POLLING PLACE,,,,,
CANYON COUNTRY,1020192X,6042,64,Y,,VBM PORTION,,,,,
CANYON COUNTRY,1020192X,6042,64,Y,,TOTAL,,,,,
CANYON COUNTRY,1020244A,365,19,N,576,POLLING PLACE,117,65,52,29,
CANYON COUNTRY,1020244A,365,19,N,,VBM PORTION,55,24,23,17,
CANYON COUNTRY,1020244A,365,19,N,576,TOTAL,172,89,75,46,
CASTAIC,1040001A,421,45,N,1109,POLLING PLACE,269,156,114,56,
CASTAIC,1040001A,421,45,N,,VBM PORTION,97,57,41,23,
CASTAIC,1040001A,421,45,N,1109,TOTAL,366,213,155,79,
CASTAIC,1040001F,422,45,N,537,POLLING PLACE,79,49,36,8,
CASTAIC,1040001F,422,45,N,,VBM PORTION,52,29,26,11,
