LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GREGG D FRITCHLE,LING-LING CHANG,
DIAMOND BAR,1780075A,652,238,N,890,TOTAL,192,101,79,
DIAMOND BAR,1780077A,653,238,N,869,POLLING PLACE,110,45,55,
DIAMOND BAR,1780077A,653,238,N,,VBM PORTION,74,30,43,
DIAMOND BAR,1780077A,653,238,N,869,TOTAL,184,75,98,
DIAMOND BAR,1780078A,654,238,N,950,POLLING PLACE,136,49,80,
DIAMOND BAR,1780078A,654,238,N,,VBM PORTION,83,25,54,
DIAMOND BAR,1780078A,654,238,N,950,TOTAL,219,74,134,
DIAMOND BAR,1780079A,655,238,N,491,POLLING PLACE,29,12,17,
DIAMOND BAR,1780079A,655,238,N,,VBM PORTION,47,10,34,
DIAMOND BAR,1780079A,655,238,N,491,TOTAL,76,22,51,
DIAMOND BAR,1780081A,656,238,N,615,POLLING PLACE,114,45,60,
DIAMOND BAR,1780081A,656,238,N,,VBM PORTION,43,16,26,
DIAMOND BAR,1780081A,656,238,N,615,TOTAL,157,61,86,
DIAMOND BAR,1780085A,657,238,N,723,POLLING PLACE,105,41,62,
DIAMOND BAR,1780085A,657,238,N,,VBM PORTION,47,19,27,
DIAMOND BAR,1780085A,657,238,N,723,TOTAL,152,60,89,
DIAMOND BAR,1780087A,658,238,N,576,POLLING PLACE,106,58,38,
DIAMOND BAR,1780087A,658,238,N,,VBM PORTION,52,17,34,
DIAMOND BAR,1780087A,658,238,N,576,TOTAL,158,75,72,
DIAMOND BAR,1780091E,659,238,N,932,POLLING PLACE,152,72,69,
DIAMOND BAR,1780091E,659,238,N,,VBM PORTION,92,26,57,
DIAMOND BAR,1780091E,659,238,N,932,TOTAL,244,98,126,
DIAMOND BAR,1780092A,660,238,N,696,POLLING PLACE,103,36,56,
DIAMOND BAR,1780092A,660,238,N,,VBM PORTION,58,19,31,
DIAMOND BAR,1780092A,660,238,N,696,TOTAL,161,55,87,
DIAMOND BAR,1780094A,661,238,N,1070,POLLING PLACE,178,59,109,
DIAMOND BAR,1780094A,661,238,N,,VBM PORTION,91,29,58,
DIAMOND BAR,1780094A,661,238,N,1070,TOTAL,269,88,167,
INDUSTRY,2930016A,6106,238,Y,5,POLLING PLACE,,,,
INDUSTRY,2930016A,6106,238,Y,,VBM PORTION,,,,
INDUSTRY,2930016A,6106,238,Y,5,TOTAL,,,,
INDUSTRY,2930063B,6109,237,Y,1,POLLING PLACE,,,,
INDUSTRY,2930063B,6109,237,Y,,VBM PORTION,1,,,
INDUSTRY,2930063B,6109,237,Y,1,TOTAL,1,,,
RAMONA,5500005A,6193,236,Y,4,POLLING PLACE,,,,
RAMONA,5500005A,6193,236,Y,,VBM PORTION,2,,2,
RAMONA,5500005A,6193,236,Y,4,TOTAL,2,,2,
RAMONA,5500109A,2166,236,N,523,POLLING PLACE,117,31,76,
RAMONA,5500109A,2166,236,N,,VBM PORTION,53,19,29,
RAMONA,5500109A,2166,236,N,523,TOTAL,170,50,105,
RAMONA,5500110A,2167,236,N,867,POLLING PLACE,166,40,114,
RAMONA,5500110A,2167,236,N,,VBM PORTION,59,12,41,
RAMONA,5500110A,2167,236,N,867,TOTAL,225,52,155,
ROWLAND HEIGHTS,5850001A,2262,238,N,529,POLLING PLACE,98,43,46,
ROWLAND HEIGHTS,5850001A,2262,238,N,,VBM PORTION,38,12,23,
ROWLAND HEIGHTS,5850001A,2262,238,N,529,TOTAL,136,55,69,
ROWLAND HEIGHTS,5850002A,2263,237,N,962,POLLING PLACE,127,58,55,
ROWLAND HEIGHTS,5850002A,2263,237,N,,VBM PORTION,73,34,35,
ROWLAND HEIGHTS,5850002A,2263,237,N,962,TOTAL,200,92,90,
ROWLAND HEIGHTS,5850003B,2264,237,N,1049,POLLING PLACE,151,84,59,
ROWLAND HEIGHTS,5850003B,2264,237,N,,VBM PORTION,58,31,24,
ROWLAND HEIGHTS,5850003B,2264,237,N,1049,TOTAL,209,115,83,
ROWLAND HEIGHTS,5850005A,2265,237,N,899,POLLING PLACE,124,63,60,
ROWLAND HEIGHTS,5850005A,2265,237,N,,VBM PORTION,55,17,35,
ROWLAND HEIGHTS,5850005A,2265,237,N,899,TOTAL,179,80,95,
ROWLAND HEIGHTS,5850011A,2266,237,N,1196,POLLING PLACE,224,105,104,
ROWLAND HEIGHTS,5850011A,2266,237,N,,VBM PORTION,92,34,56,
ROWLAND HEIGHTS,5850011A,2266,237,N,1196,TOTAL,316,139,160,
ROWLAND HEIGHTS,5850018A,2267,237,N,381,POLLING PLACE,40,15,22,
ROWLAND HEIGHTS,5850018A,2267,237,N,,VBM PORTION,29,4,21,
ROWLAND HEIGHTS,5850018A,2267,237,N,381,TOTAL,69,19,43,
ROWLAND HEIGHTS,5850018C,2268,238,N,573,POLLING PLACE,52,15,35,
ROWLAND HEIGHTS,5850018C,2268,238,N,,VBM PORTION,51,12,31,
ROWLAND HEIGHTS,5850018C,2268,238,N,573,TOTAL,103,27,66,
ROWLAND HEIGHTS,5850021A,2269,237,N,1120,POLLING PLACE,145,68,69,
ROWLAND HEIGHTS,5850021A,2269,237,N,,VBM PORTION,86,25,49,
ROWLAND HEIGHTS,5850021A,2269,237,N,1120,TOTAL,231,93,118,
ROWLAND HEIGHTS,5850027A,2270,238,N,990,POLLING PLACE,138,71,53,
ROWLAND HEIGHTS,5850027A,2270,238,N,,VBM PORTION,100,34,56,
ROWLAND HEIGHTS,5850027A,2270,238,N,990,TOTAL,238,105,109,
ROWLAND HEIGHTS,5850028A,2271,238,N,921,POLLING PLACE,141,66,60,
ROWLAND HEIGHTS,5850028A,2271,238,N,,VBM PORTION,60,27,31,
ROWLAND HEIGHTS,5850028A,2271,238,N,921,TOTAL,201,93,91,
ROWLAND HEIGHTS,5850030A,2272,238,N,988,POLLING PLACE,115,45,57,
ROWLAND HEIGHTS,5850030A,2272,238,N,,VBM PORTION,93,25,61,
ROWLAND HEIGHTS,5850030A,2272,238,N,988,TOTAL,208,70,118,
ROWLAND HEIGHTS,5850071B,2273,237,N,1060,POLLING PLACE,188,79,96,
ROWLAND HEIGHTS,5850071B,2273,237,N,,VBM PORTION,78,15,53,
ROWLAND HEIGHTS,5850071B,2273,237,N,1060,TOTAL,266,94,149,
ROWLAND HEIGHTS,5850073A,2274,237,N,1164,POLLING PLACE,113,66,41,
ROWLAND HEIGHTS,5850073A,2274,237,N,,VBM PORTION,66,29,32,
ROWLAND HEIGHTS,5850073A,2274,237,N,1164,TOTAL,179,95,73,
ROWLAND HEIGHTS,5850075A,2275,238,N,771,POLLING PLACE,29,5,20,
ROWLAND HEIGHTS,5850075A,2275,238,N,,VBM PORTION,49,7,36,
ROWLAND HEIGHTS,5850075A,2275,238,N,771,TOTAL,78,12,56,
ROWLAND HEIGHTS,5850077B,2276,238,N,859,POLLING PLACE,117,61,51,
ROWLAND HEIGHTS,5850077B,2276,238,N,,VBM PORTION,83,28,45,
ROWLAND HEIGHTS,5850077B,2276,238,N,859,TOTAL,200,89,96,
ROWLAND HEIGHTS,5850118A,2277,238,N,1102,POLLING PLACE,146,69,65,
ROWLAND HEIGHTS,5850118A,2277,238,N,,VBM PORTION,74,26,42,
ROWLAND HEIGHTS,5850118A,2277,238,N,1102,TOTAL,220,95,107,
ROWLAND HEIGHTS,5850153A,2278,238,N,968,POLLING PLACE,153,70,71,
ROWLAND HEIGHTS,5850153A,2278,238,N,,VBM PORTION,93,31,60,
ROWLAND HEIGHTS,5850153A,2278,238,N,968,TOTAL,246,101,131,
ROWLAND HEIGHTS,5850175A,2279,238,N,1148,POLLING PLACE,176,67,93,
ROWLAND HEIGHTS,5850175A,2279,238,N,,VBM PORTION,90,33,50,
ROWLAND HEIGHTS,5850175A,2279,238,N,1148,TOTAL,266,100,143,
ROWLAND HEIGHTS,5850206A,6201,237,Y,,POLLING PLACE,,,,
ROWLAND HEIGHTS,5850206A,6201,237,Y,,VBM PORTION,,,,
ROWLAND HEIGHTS,5850206A,6201,237,Y,,TOTAL,,,,
ROWLAND HEIGHTS,5850206C,6202,238,Y,,POLLING PLACE,,,,
ROWLAND HEIGHTS,5850206C,6202,238,Y,,VBM PORTION,,,,
ROWLAND HEIGHTS,5850206C,6202,238,Y,,TOTAL,,,,
ROWLAND HEIGHTS,5850207A,2280,237,N,1026,POLLING PLACE,105,69,29,
ROWLAND HEIGHTS,5850207A,2280,237,N,,VBM PORTION,66,34,31,
ROWLAND HEIGHTS,5850207A,2280,237,N,1026,TOTAL,171,103,60,
ROWLAND HEIGHTS,5850211A,2281,238,N,1084,POLLING PLACE,151,78,64,
ROWLAND HEIGHTS,5850211A,2281,238,N,,VBM PORTION,82,38,38,
ROWLAND HEIGHTS,5850211A,2281,238,N,1084,TOTAL,233,116,102,
ROWLAND HEIGHTS,5850218A,6203,237,Y,1,POLLING PLACE,,,,
ROWLAND HEIGHTS,5850218A,6203,237,Y,,VBM PORTION,,,,
ROWLAND HEIGHTS,5850218A,6203,237,Y,1,TOTAL,,,,
ROWLAND HEIGHTS,5850221A,2282,238,N,598,POLLING PLACE,87,24,57,
ROWLAND HEIGHTS,5850221A,2282,238,N,,VBM PORTION,61,13,41,
ROWLAND HEIGHTS,5850221A,2282,238,N,598,TOTAL,148,37,98,
ROWLAND HEIGHTS,5850222A,2283,237,N,1011,POLLING PLACE,129,68,51,
ROWLAND HEIGHTS,5850222A,2283,237,N,,VBM PORTION,64,16,44,
ROWLAND HEIGHTS,5850222A,2283,237,N,1011,TOTAL,193,84,95,
ROWLAND HEIGHTS,5850223A,6204,238,Y,,POLLING PLACE,,,,
ROWLAND HEIGHTS,5850223A,6204,238,Y,,VBM PORTION,,,,
ROWLAND HEIGHTS,5850223A,6204,238,Y,,TOTAL,,,,
SPADRA,6750022A,2628,237,N,155,POLLING PLACE,15,9,5,
SPADRA,6750022A,2628,237,N,,VBM PORTION,,,,
SPADRA,6750022A,2628,237,N,155,TOTAL,15,9,5,
WALNUT,7600002A,2771,237,N,555,POLLING PLACE,74,38,31,
WALNUT,7600002A,2771,237,N,,VBM PORTION,42,22,15,
WALNUT,7600002A,2771,237,N,555,TOTAL,116,60,46,
WALNUT,7600002D,2772,237,N,626,POLLING PLACE,111,58,43,
WALNUT,7600002D,2772,237,N,,VBM PORTION,32,11,20,
WALNUT,7600002D,2772,237,N,626,TOTAL,143,69,63,
WALNUT,7600003A,2773,237,N,812,POLLING PLACE,143,53,75,
WALNUT,7600003A,2773,237,N,,VBM PORTION,81,24,47,
WALNUT,7600003A,2773,237,N,812,TOTAL,224,77,122,
WALNUT,7600004A,2774,237,N,999,POLLING PLACE,158,71,75,
WALNUT,7600004A,2774,237,N,,VBM PORTION,57,16,30,
WALNUT,7600004A,2774,237,N,999,TOTAL,215,87,105,
WALNUT,7600006A,2775,237,N,1303,POLLING PLACE,204,89,101,
WALNUT,7600006A,2775,237,N,,VBM PORTION,98,32,57,
WALNUT,7600006A,2775,237,N,1303,TOTAL,302,121,158,
WALNUT,7600006B,2776,237,N,895,POLLING PLACE,110,48,47,
WALNUT,7600006B,2776,237,N,,VBM PORTION,48,11,36,
WALNUT,7600006B,2776,237,N,895,TOTAL,158,59,83,
WALNUT,7600007A,2777,237,N,1144,POLLING PLACE,146,63,76,
WALNUT,7600007A,2777,237,N,,VBM PORTION,119,49,60,
WALNUT,7600007A,2777,237,N,1144,TOTAL,265,112,136,
WALNUT,7600008A,2778,237,N,1210,POLLING PLACE,182,74,94,
WALNUT,7600008A,2778,237,N,,VBM PORTION,90,35,46,
WALNUT,7600008A,2778,237,N,1210,TOTAL,272,109,140,
WALNUT,7600009A,2779,237,N,931,POLLING PLACE,110,47,58,
WALNUT,7600009A,2779,237,N,,VBM PORTION,66,23,33,
WALNUT,7600009A,2779,237,N,931,TOTAL,176,70,91,
WALNUT,7600011A,2780,237,N,1020,POLLING PLACE,139,47,78,
WALNUT,7600011A,2780,237,N,,VBM PORTION,94,23,64,
WALNUT,7600011A,2780,237,N,1020,TOTAL,233,70,142,
WALNUT,7600012A,2781,237,N,864,POLLING PLACE,169,95,61,
WALNUT,7600012A,2781,237,N,,VBM PORTION,53,24,27,
WALNUT,7600012A,2781,237,N,864,TOTAL,222,119,88,
WALNUT,7600017A,2782,237,N,1237,POLLING PLACE,209,99,92,
WALNUT,7600017A,2782,237,N,,VBM PORTION,112,35,65,
WALNUT,7600017A,2782,237,N,1237,TOTAL,321,134,157,
WALNUT,7600018A,2783,237,N,929,POLLING PLACE,120,53,59,
WALNUT,7600018A,2783,237,N,,VBM PORTION,90,22,58,
WALNUT,7600018A,2783,237,N,929,TOTAL,210,75,117,
WALNUT,7600030A,2784,237,N,1079,POLLING PLACE,152,70,65,
WALNUT,7600030A,2784,237,N,,VBM PORTION,60,27,28,
WALNUT,7600030A,2784,237,N,1079,TOTAL,212,97,93,
WALNUT,7600031A,2785,237,N,1022,POLLING PLACE,140,72,61,
WALNUT,7600031A,2785,237,N,,VBM PORTION,84,31,44,
WALNUT,7600031A,2785,237,N,1022,TOTAL,224,103,105,
WALNUT,7600032A,2786,237,N,1290,POLLING PLACE,166,64,87,
WALNUT,7600032A,2786,237,N,,VBM PORTION,105,35,61,
WALNUT,7600032A,2786,237,N,1290,TOTAL,271,99,148,
WALNUT,7600033A,2787,238,N,875,POLLING PLACE,122,39,71,
WALNUT,7600033A,2787,238,N,,VBM PORTION,76,27,42,
WALNUT,7600033A,2787,238,N,875,TOTAL,198,66,113,
WEST COVINA,7700021B,2846,236,N,942,POLLING PLACE,127,43,74,
WEST COVINA,7700021B,2846,236,N,,VBM PORTION,86,30,46,
WEST COVINA,7700021B,2846,236,N,942,TOTAL,213,73,120,
WEST COVINA,7700056A,2859,236,N,553,POLLING PLACE,93,48,37,
WEST COVINA,7700056A,2859,236,N,,VBM PORTION,40,19,17,
WEST COVINA,7700056A,2859,236,N,553,TOTAL,133,67,54,
WEST COVINA,7700056C,2860,236,N,724,POLLING PLACE,61,33,26,
WEST COVINA,7700056C,2860,236,N,,VBM PORTION,45,14,28,
WEST COVINA,7700056C,2860,236,N,724,TOTAL,106,47,54,
WEST COVINA,7700073A,2861,236,N,500,POLLING PLACE,53,30,16,
WEST COVINA,7700073A,2861,236,N,,VBM PORTION,22,11,10,
WEST COVINA,7700073A,2861,236,N,500,TOTAL,75,41,26,
WEST COVINA,7700079A,2862,236,N,870,POLLING PLACE,102,62,38,
WEST COVINA,7700079A,2862,236,N,,VBM PORTION,41,24,15,
WEST COVINA,7700079A,2862,236,N,870,TOTAL,143,86,53,
WEST COVINA,7700079B,2863,236,N,620,POLLING PLACE,69,45,20,
WEST COVINA,7700079B,2863,236,N,,VBM PORTION,51,27,22,
WEST COVINA,7700079B,2863,236,N,620,TOTAL,120,72,42,
WEST COVINA,7700080A,2864,236,N,692,POLLING PLACE,126,75,41,
WEST COVINA,7700080A,2864,236,N,,VBM PORTION,40,22,16,
WEST COVINA,7700080A,2864,236,N,692,TOTAL,166,97,57,
WEST COVINA,7700114A,2865,236,N,903,POLLING PLACE,131,76,49,
WEST COVINA,7700114A,2865,236,N,,VBM PORTION,50,21,28,
WEST COVINA,7700114A,2865,236,N,903,TOTAL,181,97,77,
WEST COVINA,7700115A,2866,236,N,641,POLLING PLACE,104,61,34,
WEST COVINA,7700115A,2866,236,N,,VBM PORTION,64,22,38,
WEST COVINA,7700115A,2866,236,N,641,TOTAL,168,83,72,
WEST COVINA,7700116A,2867,236,N,757,POLLING PLACE,83,46,36,
WEST COVINA,7700116A,2867,236,N,,VBM PORTION,57,32,18,
WEST COVINA,7700116A,2867,236,N,757,TOTAL,140,78,54,
WEST COVINA,7700118A,2868,236,N,1006,POLLING PLACE,117,63,44,
WEST COVINA,7700118A,2868,236,N,,VBM PORTION,74,40,32,
WEST COVINA,7700118A,2868,236,N,1006,TOTAL,191,103,76,
WEST COVINA,7700122A,2869,236,N,563,POLLING PLACE,87,52,30,
WEST COVINA,7700122A,2869,236,N,,VBM PORTION,41,19,18,
WEST COVINA,7700122A,2869,236,N,563,TOTAL,128,71,48,
WEST COVINA,7700155C,2881,236,N,848,POLLING PLACE,93,54,34,
WEST COVINA,7700155C,2881,236,N,,VBM PORTION,58,32,23,
WEST COVINA,7700155C,2881,236,N,848,TOTAL,151,86,57,
WEST COVINA,7700162A,2883,236,N,441,POLLING PLACE,54,22,26,
WEST COVINA,7700162A,2883,236,N,,VBM PORTION,35,11,15,
WEST COVINA,7700162A,2883,236,N,441,TOTAL,89,33,41,
WEST COVINA,7700163A,2884,236,N,913,POLLING PLACE,93,64,26,
WEST COVINA,7700163A,2884,236,N,,VBM PORTION,34,21,13,
WEST COVINA,7700163A,2884,236,N,913,TOTAL,127,85,39,
WEST COVINA,7700169A,2886,236,N,747,POLLING PLACE,175,70,95,
WEST COVINA,7700169A,2886,236,N,,VBM PORTION,76,23,47,
WEST COVINA,7700169A,2886,236,N,747,TOTAL,251,93,142,
WEST COVINA,7700169B,2887,236,N,907,POLLING PLACE,147,59,82,
WEST COVINA,7700169B,2887,236,N,,VBM PORTION,64,17,39,
WEST COVINA,7700169B,2887,236,N,907,TOTAL,211,76,121,
WEST COVINA,7700313A,2888,236,N,581,POLLING PLACE,80,56,17,
WEST COVINA,7700313A,2888,236,N,,VBM PORTION,27,18,9,
WEST COVINA,7700313A,2888,236,N,581,TOTAL,107,74,26,
BALLOT GROUP 236,9990236A,8236,236,N,,POLLING PLACE,,,,
BALLOT GROUP 236,9990236A,8236,236,N,,VBM PORTION,,,,
BALLOT GROUP 236,9990236A,8236,236,N,,TOTAL,,,,
BALLOT GROUP 237,9990237A,8237,237,N,,POLLING PLACE,,,,
BALLOT GROUP 237,9990237A,8237,237,N,,VBM PORTION,,,,
BALLOT GROUP 237,9990237A,8237,237,N,,TOTAL,,,,
BALLOT GROUP 238,9990238A,8238,238,N,,POLLING PLACE,,,,
BALLOT GROUP 238,9990238A,8238,238,N,,VBM PORTION,,,,
BALLOT GROUP 238,9990238A,8238,238,N,,TOTAL,,,,
