LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JEFFREY PRANG,JOHN MORRIS,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,56,43,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,178,165,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,75,68,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,41,23,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,116,91,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,116,98,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,59,49,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,175,147,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,99,97,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,47,39,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,146,136,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,120,97,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,66,50,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,186,147,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,117,89,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,65,34,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,182,123,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,89,120,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,45,40,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,134,160,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,51,88,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,19,28,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,70,116,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,34,64,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,20,32,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,54,96,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,9,10,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,9,10,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,3,,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,3,,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,2,,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,2,,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
AGUA DULCE,0090012A,6014,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090012A,6014,63,Y,5,TOTAL,,,,
AGUA DULCE,0090017A,6015,51,Y,,POLLING PLACE,,,,
AGUA DULCE,0090017A,6015,51,Y,,VBM PORTION,,,,
AGUA DULCE,0090017A,6015,51,Y,,TOTAL,,,,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,71,88,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,18,34,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,89,122,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,48,50,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,16,18,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,64,68,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,86,102,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,26,39,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,112,141,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,60,94,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,27,17,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,87,111,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,61,80,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,19,20,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,80,100,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,91,121,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,39,44,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,130,165,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,67,60,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,25,19,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,92,79,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,41,69,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,22,16,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,63,85,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,72,93,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,26,25,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,98,118,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,46,92,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,15,38,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,61,130,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,65,70,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,25,15,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,90,85,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,60,62,
ALHAMBRA,0150021A,38,149,N,,VBM PORTION,117,39,44,
ALHAMBRA,0150021A,38,149,N,966,TOTAL,285,99,106,
ALHAMBRA,0150022A,39,150,N,859,POLLING PLACE,211,79,82,
ALHAMBRA,0150022A,39,150,N,,VBM PORTION,60,23,26,
ALHAMBRA,0150022A,39,150,N,859,TOTAL,271,102,108,
ALHAMBRA,0150023A,40,150,N,1103,POLLING PLACE,221,63,91,
ALHAMBRA,0150023A,40,150,N,,VBM PORTION,75,26,20,
ALHAMBRA,0150023A,40,150,N,1103,TOTAL,296,89,111,
ALHAMBRA,0150024A,41,150,N,660,POLLING PLACE,82,24,41,
ALHAMBRA,0150024A,41,150,N,,VBM PORTION,35,9,21,
ALHAMBRA,0150024A,41,150,N,660,TOTAL,117,33,62,
ALHAMBRA,0150025A,42,150,N,863,POLLING PLACE,122,45,52,
ALHAMBRA,0150025A,42,150,N,,VBM PORTION,71,26,20,
ALHAMBRA,0150025A,42,150,N,863,TOTAL,193,71,72,
ALHAMBRA,0150030A,43,150,N,1171,POLLING PLACE,158,52,63,
ALHAMBRA,0150030A,43,150,N,,VBM PORTION,74,21,28,
ALHAMBRA,0150030A,43,150,N,1171,TOTAL,232,73,91,
ALHAMBRA,0150032A,44,150,N,1134,POLLING PLACE,216,56,102,
ALHAMBRA,0150032A,44,150,N,,VBM PORTION,89,36,29,
ALHAMBRA,0150032A,44,150,N,1134,TOTAL,305,92,131,
ALHAMBRA,0150032B,6018,154,Y,9,POLLING PLACE,,,,
ALHAMBRA,0150032B,6018,154,Y,,VBM PORTION,3,1,1,
ALHAMBRA,0150032B,6018,154,Y,9,TOTAL,3,1,1,
ALHAMBRA,0150033A,45,150,N,780,POLLING PLACE,139,47,63,
ALHAMBRA,0150033A,45,150,N,,VBM PORTION,23,9,7,
ALHAMBRA,0150033A,45,150,N,780,TOTAL,162,56,70,
ALHAMBRA,0150037A,46,149,N,1026,POLLING PLACE,207,86,88,
ALHAMBRA,0150037A,46,149,N,,VBM PORTION,78,30,24,
ALHAMBRA,0150037A,46,149,N,1026,TOTAL,285,116,112,
ALHAMBRA,0150039A,47,150,N,1235,POLLING PLACE,129,40,56,
ALHAMBRA,0150039A,47,150,N,,VBM PORTION,86,25,34,
ALHAMBRA,0150039A,47,150,N,1235,TOTAL,215,65,90,
ALHAMBRA,0150041A,48,150,N,565,POLLING PLACE,116,33,44,
ALHAMBRA,0150041A,48,150,N,,VBM PORTION,37,18,7,
ALHAMBRA,0150041A,48,150,N,565,TOTAL,153,51,51,
ALHAMBRA,0150041B,49,149,N,651,POLLING PLACE,122,38,68,
ALHAMBRA,0150041B,49,149,N,,VBM PORTION,61,19,20,
ALHAMBRA,0150041B,49,149,N,651,TOTAL,183,57,88,
ALHAMBRA,0150042A,50,149,N,733,POLLING PLACE,129,41,53,
ALHAMBRA,0150042A,50,149,N,,VBM PORTION,66,22,32,
ALHAMBRA,0150042A,50,149,N,733,TOTAL,195,63,85,
ALHAMBRA,0150044D,51,149,N,664,POLLING PLACE,72,27,33,
ALHAMBRA,0150044D,51,149,N,,VBM PORTION,29,13,9,
ALHAMBRA,0150044D,51,149,N,664,TOTAL,101,40,42,
ALHAMBRA,0150045A,52,149,N,708,POLLING PLACE,96,37,40,
ALHAMBRA,0150045A,52,149,N,,VBM PORTION,49,20,17,
ALHAMBRA,0150045A,52,149,N,708,TOTAL,145,57,57,
ALHAMBRA,0150049A,53,150,N,1142,POLLING PLACE,183,64,67,
ALHAMBRA,0150049A,53,150,N,,VBM PORTION,110,32,35,
ALHAMBRA,0150049A,53,150,N,1142,TOTAL,293,96,102,
ALHAMBRA,0150051A,54,149,N,1129,POLLING PLACE,157,49,69,
ALHAMBRA,0150051A,54,149,N,,VBM PORTION,87,32,36,
ALHAMBRA,0150051A,54,149,N,1129,TOTAL,244,81,105,
ALHAMBRA,0150055A,55,149,N,893,POLLING PLACE,192,79,61,
ALHAMBRA,0150055A,55,149,N,,VBM PORTION,55,12,22,
ALHAMBRA,0150055A,55,149,N,893,TOTAL,247,91,83,
ALHAMBRA,0150056A,56,149,N,1076,POLLING PLACE,180,65,78,
ALHAMBRA,0150056A,56,149,N,,VBM PORTION,41,11,14,
ALHAMBRA,0150056A,56,149,N,1076,TOTAL,221,76,92,
ALHAMBRA,0150059B,57,149,N,951,POLLING PLACE,136,50,59,
ALHAMBRA,0150059B,57,149,N,,VBM PORTION,52,20,12,
ALHAMBRA,0150059B,57,149,N,951,TOTAL,188,70,71,
ALHAMBRA,0150063A,58,149,N,555,POLLING PLACE,68,22,27,
ALHAMBRA,0150063A,58,149,N,,VBM PORTION,40,10,15,
ALHAMBRA,0150063A,58,149,N,555,TOTAL,108,32,42,
ALHAMBRA,0150064A,59,149,N,1169,POLLING PLACE,248,99,99,
ALHAMBRA,0150064A,59,149,N,,VBM PORTION,47,15,18,
ALHAMBRA,0150064A,59,149,N,1169,TOTAL,295,114,117,
ALHAMBRA,0150067A,60,149,N,917,POLLING PLACE,179,66,65,
ALHAMBRA,0150067A,60,149,N,,VBM PORTION,83,29,22,
ALHAMBRA,0150067A,60,149,N,917,TOTAL,262,95,87,
ALHAMBRA,0150075A,61,149,N,1080,POLLING PLACE,243,88,87,
ALHAMBRA,0150075A,61,149,N,,VBM PORTION,85,17,32,
ALHAMBRA,0150075A,61,149,N,1080,TOTAL,328,105,119,
ALHAMBRA,0150079A,62,150,N,906,POLLING PLACE,110,35,49,
ALHAMBRA,0150079A,62,150,N,,VBM PORTION,148,56,54,
ALHAMBRA,0150079A,62,150,N,906,TOTAL,258,91,103,
ALHAMBRA,0150080A,63,150,N,784,POLLING PLACE,160,46,72,
ALHAMBRA,0150080A,63,150,N,,VBM PORTION,82,28,25,
ALHAMBRA,0150080A,63,150,N,784,TOTAL,242,74,97,
ALONDRA PARK,0180001A,64,336,N,905,POLLING PLACE,79,31,39,
ALONDRA PARK,0180001A,64,336,N,,VBM PORTION,43,21,17,
ALONDRA PARK,0180001A,64,336,N,905,TOTAL,122,52,56,
ALTADENA,0200001A,65,81,N,485,POLLING PLACE,155,67,46,
ALTADENA,0200001A,65,81,N,,VBM PORTION,41,22,11,
ALTADENA,0200001A,65,81,N,485,TOTAL,196,89,57,
ALTADENA,0200002A,66,81,N,665,POLLING PLACE,180,56,67,
ALTADENA,0200002A,66,81,N,,VBM PORTION,97,39,32,
ALTADENA,0200002A,66,81,N,665,TOTAL,277,95,99,
ALTADENA,0200003A,67,81,N,836,POLLING PLACE,249,113,87,
ALTADENA,0200003A,67,81,N,,VBM PORTION,58,28,18,
ALTADENA,0200003A,67,81,N,836,TOTAL,307,141,105,
ALTADENA,0200004A,68,82,N,1151,POLLING PLACE,334,124,119,
ALTADENA,0200004A,68,82,N,,VBM PORTION,162,61,53,
ALTADENA,0200004A,68,82,N,1151,TOTAL,496,185,172,
ALTADENA,0200007A,69,82,N,1053,POLLING PLACE,215,82,78,
ALTADENA,0200007A,69,82,N,,VBM PORTION,127,46,48,
ALTADENA,0200007A,69,82,N,1053,TOTAL,342,128,126,
ALTADENA,0200008A,70,81,N,832,POLLING PLACE,199,77,69,
ALTADENA,0200008A,70,81,N,,VBM PORTION,65,32,18,
ALTADENA,0200008A,70,81,N,832,TOTAL,264,109,87,
ALTADENA,0200009A,71,81,N,919,POLLING PLACE,208,80,84,
ALTADENA,0200009A,71,81,N,,VBM PORTION,71,40,20,
ALTADENA,0200009A,71,81,N,919,TOTAL,279,120,104,
ALTADENA,0200011A,72,81,N,837,POLLING PLACE,209,80,83,
ALTADENA,0200011A,72,81,N,,VBM PORTION,88,30,42,
ALTADENA,0200011A,72,81,N,837,TOTAL,297,110,125,
ALTADENA,0200012A,73,82,N,787,POLLING PLACE,191,68,84,
ALTADENA,0200012A,73,82,N,,VBM PORTION,89,39,24,
ALTADENA,0200012A,73,82,N,787,TOTAL,280,107,108,
ALTADENA,0200013A,74,81,N,890,POLLING PLACE,174,61,69,
ALTADENA,0200013A,74,81,N,,VBM PORTION,60,27,22,
ALTADENA,0200013A,74,81,N,890,TOTAL,234,88,91,
ALTADENA,0200015A,75,81,N,1338,POLLING PLACE,265,105,81,
ALTADENA,0200015A,75,81,N,,VBM PORTION,108,34,46,
ALTADENA,0200015A,75,81,N,1338,TOTAL,373,139,127,
ALTADENA,0200017A,76,81,N,962,POLLING PLACE,182,75,66,
ALTADENA,0200017A,76,81,N,,VBM PORTION,46,10,16,
ALTADENA,0200017A,76,81,N,962,TOTAL,228,85,82,
ALTADENA,0200018A,77,81,N,816,POLLING PLACE,140,49,59,
ALTADENA,0200018A,77,81,N,,VBM PORTION,41,13,14,
ALTADENA,0200018A,77,81,N,816,TOTAL,181,62,73,
ALTADENA,0200019B,78,81,N,832,POLLING PLACE,180,65,66,
ALTADENA,0200019B,78,81,N,,VBM PORTION,31,13,14,
ALTADENA,0200019B,78,81,N,832,TOTAL,211,78,80,
ALTADENA,0200022A,79,82,N,841,POLLING PLACE,270,90,102,
ALTADENA,0200022A,79,82,N,,VBM PORTION,123,48,39,
ALTADENA,0200022A,79,82,N,841,TOTAL,393,138,141,
ALTADENA,0200025B,80,82,N,869,POLLING PLACE,238,94,87,
ALTADENA,0200025B,80,82,N,,VBM PORTION,52,21,16,
ALTADENA,0200025B,80,82,N,869,TOTAL,290,115,103,
ALTADENA,0200028A,81,81,N,1247,POLLING PLACE,402,169,128,
ALTADENA,0200028A,81,81,N,,VBM PORTION,187,79,61,
ALTADENA,0200028A,81,81,N,1247,TOTAL,589,248,189,
ALTADENA,0200030A,82,82,N,850,POLLING PLACE,227,73,107,
ALTADENA,0200030A,82,82,N,,VBM PORTION,125,40,44,
ALTADENA,0200030A,82,82,N,850,TOTAL,352,113,151,
ALTADENA,0200031A,6019,101,Y,2,POLLING PLACE,,,,
ALTADENA,0200031A,6019,101,Y,,VBM PORTION,,,,
ALTADENA,0200031A,6019,101,Y,2,TOTAL,,,,
ALTADENA,0200032A,83,81,N,1326,POLLING PLACE,408,153,168,
ALTADENA,0200032A,83,81,N,,VBM PORTION,129,48,42,
ALTADENA,0200032A,83,81,N,1326,TOTAL,537,201,210,
ALTADENA,0200038B,84,82,N,1152,POLLING PLACE,382,129,157,
ALTADENA,0200038B,84,82,N,,VBM PORTION,140,49,39,
ALTADENA,0200038B,84,82,N,1152,TOTAL,522,178,196,
ALTADENA,0200039A,85,82,N,1075,POLLING PLACE,282,92,121,
ALTADENA,0200039A,85,82,N,,VBM PORTION,99,38,27,
ALTADENA,0200039A,85,82,N,1075,TOTAL,381,130,148,
ALTADENA,0200044A,86,82,N,948,POLLING PLACE,157,51,63,
ALTADENA,0200044A,86,82,N,,VBM PORTION,50,19,18,
ALTADENA,0200044A,86,82,N,948,TOTAL,207,70,81,
ALTADENA,0200051A,87,82,N,1174,POLLING PLACE,341,116,132,
ALTADENA,0200051A,87,82,N,,VBM PORTION,129,51,35,
ALTADENA,0200051A,87,82,N,1174,TOTAL,470,167,167,
ALTADENA,0200086A,88,81,N,1156,POLLING PLACE,339,150,107,
ALTADENA,0200086A,88,81,N,,VBM PORTION,145,63,42,
ALTADENA,0200086A,88,81,N,1156,TOTAL,484,213,149,
ALTADENA,0200087A,89,81,N,659,POLLING PLACE,190,69,62,
ALTADENA,0200087A,89,81,N,,VBM PORTION,65,18,21,
ALTADENA,0200087A,89,81,N,659,TOTAL,255,87,83,
ALTADENA,0200088B,90,81,N,1321,POLLING PLACE,315,126,90,
ALTADENA,0200088B,90,81,N,,VBM PORTION,150,51,49,
ALTADENA,0200088B,90,81,N,1321,TOTAL,465,177,139,
ALTADENA,0200090A,91,81,N,1085,POLLING PLACE,333,133,117,
ALTADENA,0200090A,91,81,N,,VBM PORTION,101,36,26,
ALTADENA,0200090A,91,81,N,1085,TOTAL,434,169,143,
ALTADENA,0200091A,92,81,N,1241,POLLING PLACE,372,156,113,
ALTADENA,0200091A,92,81,N,,VBM PORTION,121,49,32,
ALTADENA,0200091A,92,81,N,1241,TOTAL,493,205,145,
ALTADENA,0200094B,6020,85,Y,2,POLLING PLACE,,,,
ALTADENA,0200094B,6020,85,Y,,VBM PORTION,,,,
ALTADENA,0200094B,6020,85,Y,2,TOTAL,,,,
ANTELOPE,0300002A,93,13,N,867,POLLING PLACE,177,77,69,
ANTELOPE,0300002A,93,13,N,,VBM PORTION,109,43,44,
ANTELOPE,0300002A,93,13,N,867,TOTAL,286,120,113,
ANTELOPE,0300002C,6021,23,Y,4,POLLING PLACE,,,,
ANTELOPE,0300002C,6021,23,Y,,VBM PORTION,1,,1,
ANTELOPE,0300002C,6021,23,Y,4,TOTAL,1,,1,
ANTELOPE,0300006B,6022,6,Y,,POLLING PLACE,,,,
ANTELOPE,0300006B,6022,6,Y,,VBM PORTION,,,,
ANTELOPE,0300006B,6022,6,Y,,TOTAL,,,,
ARCADIA,0350001A,94,162,N,940,POLLING PLACE,219,56,82,
ARCADIA,0350001A,94,162,N,,VBM PORTION,135,31,51,
ARCADIA,0350001A,94,162,N,940,TOTAL,354,87,133,
ARCADIA,0350005A,95,162,N,1158,POLLING PLACE,178,45,88,
ARCADIA,0350005A,95,162,N,,VBM PORTION,175,44,70,
ARCADIA,0350005A,95,162,N,1158,TOTAL,353,89,158,
ARCADIA,0350007A,96,162,N,1073,POLLING PLACE,183,49,91,
ARCADIA,0350007A,96,162,N,,VBM PORTION,143,31,56,
ARCADIA,0350007A,96,162,N,1073,TOTAL,326,80,147,
ARCADIA,0350008A,97,162,N,1175,POLLING PLACE,311,75,142,
ARCADIA,0350008A,97,162,N,,VBM PORTION,148,31,57,
ARCADIA,0350008A,97,162,N,1175,TOTAL,459,106,199,
ARCADIA,0350009A,98,162,N,1364,POLLING PLACE,207,52,93,
ARCADIA,0350009A,98,162,N,,VBM PORTION,197,52,70,
ARCADIA,0350009A,98,162,N,1364,TOTAL,404,104,163,
ARCADIA,0350013A,99,162,N,1154,POLLING PLACE,231,72,99,
ARCADIA,0350013A,99,162,N,,VBM PORTION,132,33,56,
ARCADIA,0350013A,99,162,N,1154,TOTAL,363,105,155,
ARCADIA,0350018A,100,162,N,1295,POLLING PLACE,230,44,117,
ARCADIA,0350018A,100,162,N,,VBM PORTION,214,51,83,
ARCADIA,0350018A,100,162,N,1295,TOTAL,444,95,200,
ARCADIA,0350023A,101,162,N,1298,POLLING PLACE,182,34,87,
ARCADIA,0350023A,101,162,N,,VBM PORTION,137,35,67,
ARCADIA,0350023A,101,162,N,1298,TOTAL,319,69,154,
ARCADIA,0350024A,102,162,N,1324,POLLING PLACE,189,60,81,
ARCADIA,0350024A,102,162,N,,VBM PORTION,143,43,64,
ARCADIA,0350024A,102,162,N,1324,TOTAL,332,103,145,
ARCADIA,0350029B,103,162,N,1275,POLLING PLACE,210,51,98,
ARCADIA,0350029B,103,162,N,,VBM PORTION,145,30,68,
ARCADIA,0350029B,103,162,N,1275,TOTAL,355,81,166,
ARCADIA,0350030A,104,162,N,1214,POLLING PLACE,176,53,75,
ARCADIA,0350030A,104,162,N,,VBM PORTION,111,35,31,
ARCADIA,0350030A,104,162,N,1214,TOTAL,287,88,106,
ARCADIA,0350035A,105,162,N,1024,POLLING PLACE,200,58,77,
ARCADIA,0350035A,105,162,N,,VBM PORTION,115,34,40,
ARCADIA,0350035A,105,162,N,1024,TOTAL,315,92,117,
ARCADIA,0350037A,106,162,N,1139,POLLING PLACE,180,47,88,
ARCADIA,0350037A,106,162,N,,VBM PORTION,107,35,33,
ARCADIA,0350037A,106,162,N,1139,TOTAL,287,82,121,
ARCADIA,0350038A,107,162,N,1162,POLLING PLACE,214,48,89,
ARCADIA,0350038A,107,162,N,,VBM PORTION,114,28,45,
ARCADIA,0350038A,107,162,N,1162,TOTAL,328,76,134,
ARCADIA,0350042A,108,162,N,1142,POLLING PLACE,171,47,98,
ARCADIA,0350042A,108,162,N,,VBM PORTION,60,15,21,
ARCADIA,0350042A,108,162,N,1142,TOTAL,231,62,119,
