LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,WILLIAM O LEADER,TONY CARDENAS,
LOS ANGELES,9006206A,4499,55,N,1008,TOTAL,189,33,146,
LOS ANGELES,9006209A,4500,55,N,963,POLLING PLACE,195,57,130,
LOS ANGELES,9006209A,4500,55,N,,VBM PORTION,64,18,43,
LOS ANGELES,9006209A,4500,55,N,963,TOTAL,259,75,173,
LOS ANGELES,9006212B,4501,55,N,876,POLLING PLACE,184,48,120,
LOS ANGELES,9006212B,4501,55,N,,VBM PORTION,31,13,16,
LOS ANGELES,9006212B,4501,55,N,876,TOTAL,215,61,136,
LOS ANGELES,9006214A,4502,55,N,906,POLLING PLACE,148,25,120,
LOS ANGELES,9006214A,4502,55,N,,VBM PORTION,49,18,29,
LOS ANGELES,9006214A,4502,55,N,906,TOTAL,197,43,149,
LOS ANGELES,9006216A,4503,55,N,729,POLLING PLACE,141,17,121,
LOS ANGELES,9006216A,4503,55,N,,VBM PORTION,33,16,17,
LOS ANGELES,9006216A,4503,55,N,729,TOTAL,174,33,138,
LOS ANGELES,9006217A,4504,55,N,719,POLLING PLACE,111,34,72,
LOS ANGELES,9006217A,4504,55,N,,VBM PORTION,41,11,29,
LOS ANGELES,9006217A,4504,55,N,719,TOTAL,152,45,101,
LOS ANGELES,9006218A,4505,55,N,956,POLLING PLACE,151,45,88,
LOS ANGELES,9006218A,4505,55,N,,VBM PORTION,41,9,32,
LOS ANGELES,9006218A,4505,55,N,956,TOTAL,192,54,120,
LOS ANGELES,9006224A,4507,55,N,832,POLLING PLACE,134,20,111,
LOS ANGELES,9006224A,4507,55,N,,VBM PORTION,59,6,47,
LOS ANGELES,9006224A,4507,55,N,832,TOTAL,193,26,158,
LOS ANGELES,9007101E,4612,124,N,1035,POLLING PLACE,108,20,80,
LOS ANGELES,9007101E,4612,124,N,,VBM PORTION,63,17,42,
LOS ANGELES,9007101E,4612,124,N,1035,TOTAL,171,37,122,
LOS ANGELES,9007129B,4615,124,N,775,POLLING PLACE,149,26,118,
LOS ANGELES,9007129B,4615,124,N,,VBM PORTION,21,5,16,
LOS ANGELES,9007129B,4615,124,N,775,TOTAL,170,31,134,
LOS ANGELES,9007341A,4632,60,N,539,POLLING PLACE,70,20,50,
LOS ANGELES,9007341A,4632,60,N,,VBM PORTION,19,7,12,
LOS ANGELES,9007341A,4632,60,N,539,TOTAL,89,27,62,
LOS ANGELES,9007735A,4649,55,N,1043,POLLING PLACE,169,41,119,
LOS ANGELES,9007735A,4649,55,N,,VBM PORTION,50,21,28,
LOS ANGELES,9007735A,4649,55,N,1043,TOTAL,219,62,147,
LOS ANGELES,9007737A,4650,55,N,1004,POLLING PLACE,168,43,117,
LOS ANGELES,9007737A,4650,55,N,,VBM PORTION,52,24,26,
LOS ANGELES,9007737A,4650,55,N,1004,TOTAL,220,67,143,
LOS ANGELES,9007744A,4651,55,N,1190,POLLING PLACE,186,33,148,
LOS ANGELES,9007744A,4651,55,N,,VBM PORTION,64,23,40,
LOS ANGELES,9007744A,4651,55,N,1190,TOTAL,250,56,188,
LOS ANGELES,9007803A,4658,122,N,1186,POLLING PLACE,220,94,111,
LOS ANGELES,9007803A,4658,122,N,,VBM PORTION,81,34,36,
LOS ANGELES,9007803A,4658,122,N,1186,TOTAL,301,128,147,
LOS ANGELES,9008147A,4683,55,N,1061,POLLING PLACE,212,27,176,
LOS ANGELES,9008147A,4683,55,N,,VBM PORTION,37,8,29,
LOS ANGELES,9008147A,4683,55,N,1061,TOTAL,249,35,205,
BALLOT GROUP 31,9990031A,8031,31,N,,POLLING PLACE,,,,
BALLOT GROUP 31,9990031A,8031,31,N,,VBM PORTION,,,,
BALLOT GROUP 31,9990031A,8031,31,N,,TOTAL,,,,
BALLOT GROUP 55,9990055A,8055,55,N,,POLLING PLACE,,,,
BALLOT GROUP 55,9990055A,8055,55,N,,VBM PORTION,,,,
BALLOT GROUP 55,9990055A,8055,55,N,,TOTAL,,,,
BALLOT GROUP 56,9990056A,8056,56,N,,POLLING PLACE,,,,
BALLOT GROUP 56,9990056A,8056,56,N,,VBM PORTION,,,,
BALLOT GROUP 56,9990056A,8056,56,N,,TOTAL,,,,
BALLOT GROUP 59,9990059A,8059,59,N,,POLLING PLACE,,,,
BALLOT GROUP 59,9990059A,8059,59,N,,VBM PORTION,,,,
BALLOT GROUP 59,9990059A,8059,59,N,,TOTAL,,,,
BALLOT GROUP 60,9990060A,8060,60,N,,POLLING PLACE,,,,
BALLOT GROUP 60,9990060A,8060,60,N,,VBM PORTION,,,,
BALLOT GROUP 60,9990060A,8060,60,N,,TOTAL,,,,
BALLOT GROUP 66,9990066A,8066,66,N,,POLLING PLACE,,,,
BALLOT GROUP 66,9990066A,8066,66,N,,VBM PORTION,,,,
BALLOT GROUP 66,9990066A,8066,66,N,,TOTAL,,,,
BALLOT GROUP 67,9990067A,8067,67,N,,POLLING PLACE,,,,
BALLOT GROUP 67,9990067A,8067,67,N,,VBM PORTION,,,,
BALLOT GROUP 67,9990067A,8067,67,N,,TOTAL,,,,
BALLOT GROUP 68,9990068A,8068,68,N,,POLLING PLACE,,,,
BALLOT GROUP 68,9990068A,8068,68,N,,VBM PORTION,,,,
BALLOT GROUP 68,9990068A,8068,68,N,,TOTAL,,,,
BALLOT GROUP 69,9990069A,8069,69,N,,POLLING PLACE,,,,
BALLOT GROUP 69,9990069A,8069,69,N,,VBM PORTION,,,,
BALLOT GROUP 69,9990069A,8069,69,N,,TOTAL,,,,
BALLOT GROUP 72,9990072A,8072,72,N,,POLLING PLACE,,,,
BALLOT GROUP 72,9990072A,8072,72,N,,VBM PORTION,,,,
BALLOT GROUP 72,9990072A,8072,72,N,,TOTAL,,,,
BALLOT GROUP 121,9990121A,8121,121,N,,POLLING PLACE,,,,
BALLOT GROUP 121,9990121A,8121,121,N,,VBM PORTION,,,,
BALLOT GROUP 121,9990121A,8121,121,N,,TOTAL,,,,
BALLOT GROUP 122,9990122A,8122,122,N,,POLLING PLACE,,,,
BALLOT GROUP 122,9990122A,8122,122,N,,VBM PORTION,,,,
BALLOT GROUP 122,9990122A,8122,122,N,,TOTAL,,,,
BALLOT GROUP 124,9990124A,8124,124,N,,POLLING PLACE,,,,
BALLOT GROUP 124,9990124A,8124,124,N,,VBM PORTION,,,,
BALLOT GROUP 124,9990124A,8124,124,N,,TOTAL,,,,
