LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,LEE RENGER,MICHAEL B WILK,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,73,50,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,22,12,
AGOURA,0070004C,9,191,N,369,TOTAL,185,95,62,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,191,58,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,86,30,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,277,88,
CALABASAS,1000006A,351,119,N,1322,POLLING PLACE,249,93,113,
CALABASAS,1000006A,351,119,N,,VBM PORTION,235,104,74,
CALABASAS,1000006A,351,119,N,1322,TOTAL,484,197,187,
CALABASAS,1000008A,353,119,N,1064,POLLING PLACE,260,121,94,
CALABASAS,1000008A,353,119,N,,VBM PORTION,181,86,63,
CALABASAS,1000008A,353,119,N,1064,TOTAL,441,207,157,
CALABASAS,1000016A,359,119,N,1161,POLLING PLACE,299,150,94,
CALABASAS,1000016A,359,119,N,,VBM PORTION,169,69,66,
CALABASAS,1000016A,359,119,N,1161,TOTAL,468,219,160,
CALABASAS,1000075A,361,119,N,901,POLLING PLACE,181,90,69,
CALABASAS,1000075A,361,119,N,,VBM PORTION,118,61,43,
CALABASAS,1000075A,361,119,N,901,TOTAL,299,151,112,
CALABASAS,1000076A,362,119,N,1248,POLLING PLACE,299,117,109,
CALABASAS,1000076A,362,119,N,,VBM PORTION,169,83,50,
CALABASAS,1000076A,362,119,N,1248,TOTAL,468,200,159,
CALABASAS,1000077A,363,119,N,887,POLLING PLACE,241,107,57,
CALABASAS,1000077A,363,119,N,,VBM PORTION,116,47,31,
CALABASAS,1000077A,363,119,N,887,TOTAL,357,154,88,
MALIBU HEIGHTS,4060001A,1712,192,N,324,POLLING PLACE,104,41,34,
MALIBU HEIGHTS,4060001A,1712,192,N,,VBM PORTION,29,11,8,
MALIBU HEIGHTS,4060001A,1712,192,N,324,TOTAL,133,52,42,
MALIBU HEIGHTS,4060003B,6151,192,Y,101,POLLING PLACE,,,,
MALIBU HEIGHTS,4060003B,6151,192,Y,,VBM PORTION,20,7,2,
MALIBU HEIGHTS,4060003B,6151,192,Y,101,TOTAL,20,7,2,
MALIBU HEIGHTS,4060004A,1714,192,N,383,POLLING PLACE,54,28,9,
MALIBU HEIGHTS,4060004A,1714,192,N,,VBM PORTION,37,15,6,
MALIBU HEIGHTS,4060004A,1714,192,N,383,TOTAL,91,43,15,
TOPANGA,7100007A,2659,191,N,195,POLLING PLACE,20,9,8,
TOPANGA,7100007A,2659,191,N,,VBM PORTION,36,20,10,
TOPANGA,7100007A,2659,191,N,195,TOTAL,56,29,18,
BALLOT GROUP 119,9990119A,8119,119,N,,POLLING PLACE,,,,
BALLOT GROUP 119,9990119A,8119,119,N,,VBM PORTION,,,,
BALLOT GROUP 119,9990119A,8119,119,N,,TOTAL,,,,
BALLOT GROUP 191,9990191A,8191,191,N,,POLLING PLACE,,,,
BALLOT GROUP 191,9990191A,8191,191,N,,VBM PORTION,,,,
BALLOT GROUP 191,9990191A,8191,191,N,,TOTAL,,,,
BALLOT GROUP 192,9990192A,8192,192,N,,POLLING PLACE,,,,
BALLOT GROUP 192,9990192A,8192,192,N,,VBM PORTION,,,,
BALLOT GROUP 192,9990192A,8192,192,N,,TOTAL,,,,
