LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GLEN RATCLIFF,S M RIDLEY THOMAS,
CULVER CITY,1600014C,6060,228,Y,,TOTAL,,,,
CULVER CITY,1600017B,600,233,N,1114,POLLING PLACE,224,58,148,
CULVER CITY,1600017B,600,233,N,,VBM PORTION,112,34,61,
CULVER CITY,1600017B,600,233,N,1114,TOTAL,336,92,209,
CULVER CITY,1600018A,601,233,N,899,POLLING PLACE,161,37,116,
CULVER CITY,1600018A,601,233,N,,VBM PORTION,63,19,36,
CULVER CITY,1600018A,601,233,N,899,TOTAL,224,56,152,
CULVER CITY,1600022A,602,233,N,651,POLLING PLACE,156,34,108,
CULVER CITY,1600022A,602,233,N,,VBM PORTION,59,23,34,
CULVER CITY,1600022A,602,233,N,651,TOTAL,215,57,142,
CULVER CITY,1600024A,603,233,N,1216,POLLING PLACE,269,68,191,
CULVER CITY,1600024A,603,233,N,,VBM PORTION,111,30,78,
CULVER CITY,1600024A,603,233,N,1216,TOTAL,380,98,269,
CULVER CITY,1600025A,604,233,N,955,POLLING PLACE,285,64,199,
CULVER CITY,1600025A,604,233,N,,VBM PORTION,123,33,79,
CULVER CITY,1600025A,604,233,N,955,TOTAL,408,97,278,
CULVER CITY,1600027C,605,233,N,646,POLLING PLACE,188,44,118,
CULVER CITY,1600027C,605,233,N,,VBM PORTION,74,19,47,
CULVER CITY,1600027C,605,233,N,646,TOTAL,262,63,165,
CULVER CITY,1600028A,606,233,N,1254,POLLING PLACE,272,85,159,
CULVER CITY,1600028A,606,233,N,,VBM PORTION,129,50,64,
CULVER CITY,1600028A,606,233,N,1254,TOTAL,401,135,223,
CULVER CITY,1600031C,607,233,N,1008,POLLING PLACE,244,58,166,
CULVER CITY,1600031C,607,233,N,,VBM PORTION,131,52,69,
CULVER CITY,1600031C,607,233,N,1008,TOTAL,375,110,235,
CULVER CITY,1600034A,608,233,N,1156,POLLING PLACE,304,92,174,
CULVER CITY,1600034A,608,233,N,,VBM PORTION,165,69,82,
CULVER CITY,1600034A,608,233,N,1156,TOTAL,469,161,256,
CULVER CITY,1600042A,609,233,N,768,POLLING PLACE,284,53,209,
CULVER CITY,1600042A,609,233,N,,VBM PORTION,107,25,71,
CULVER CITY,1600042A,609,233,N,768,TOTAL,391,78,280,
CULVER CITY,1600045A,610,233,N,962,POLLING PLACE,225,46,158,
CULVER CITY,1600045A,610,233,N,,VBM PORTION,97,30,58,
CULVER CITY,1600045A,610,233,N,962,TOTAL,322,76,216,
CULVER CITY,1600055A,611,233,N,1079,POLLING PLACE,302,48,220,
CULVER CITY,1600055A,611,233,N,,VBM PORTION,87,21,54,
CULVER CITY,1600055A,611,233,N,1079,TOTAL,389,69,274,
CULVER CITY,1600073A,612,233,N,1197,POLLING PLACE,248,51,182,
CULVER CITY,1600073A,612,233,N,,VBM PORTION,74,16,50,
CULVER CITY,1600073A,612,233,N,1197,TOTAL,322,67,232,
CULVER CITY,1600074B,613,233,N,1091,POLLING PLACE,282,47,215,
CULVER CITY,1600074B,613,233,N,,VBM PORTION,117,30,80,
CULVER CITY,1600074B,613,233,N,1091,TOTAL,399,77,295,
CULVER CITY,1600076A,614,233,N,1125,POLLING PLACE,268,34,214,
CULVER CITY,1600076A,614,233,N,,VBM PORTION,82,12,64,
CULVER CITY,1600076A,614,233,N,1125,TOTAL,350,46,278,
INGLEWOOD,2950090A,1164,227,N,219,POLLING PLACE,68,3,58,
INGLEWOOD,2950090A,1164,227,N,,VBM PORTION,27,7,18,
INGLEWOOD,2950090A,1164,227,N,219,TOTAL,95,10,76,
LADERA HEIGHTS,3430001A,1264,231,N,1296,POLLING PLACE,425,43,345,
LADERA HEIGHTS,3430001A,1264,231,N,,VBM PORTION,115,30,78,
LADERA HEIGHTS,3430001A,1264,231,N,1296,TOTAL,540,73,423,
LADERA HEIGHTS,3430003C,6121,233,Y,308,POLLING PLACE,,,,
LADERA HEIGHTS,3430003C,6121,233,Y,,VBM PORTION,43,8,32,
LADERA HEIGHTS,3430003C,6121,233,Y,308,TOTAL,43,8,32,
LADERA HEIGHTS,3430004A,1265,230,N,1242,POLLING PLACE,361,47,273,
LADERA HEIGHTS,3430004A,1265,230,N,,VBM PORTION,127,32,89,
LADERA HEIGHTS,3430004A,1265,230,N,1242,TOTAL,488,79,362,
LADERA HEIGHTS,3430005B,6122,232,Y,,POLLING PLACE,,,,
LADERA HEIGHTS,3430005B,6122,232,Y,,VBM PORTION,,,,
LADERA HEIGHTS,3430005B,6122,232,Y,,TOTAL,,,,
LADERA HEIGHTS,3430007A,1266,230,N,1328,POLLING PLACE,417,34,358,
LADERA HEIGHTS,3430007A,1266,230,N,,VBM PORTION,104,21,77,
LADERA HEIGHTS,3430007A,1266,230,N,1328,TOTAL,521,55,435,
LADERA HEIGHTS,3430018C,1267,231,N,614,POLLING PLACE,110,17,90,
LADERA HEIGHTS,3430018C,1267,231,N,,VBM PORTION,35,3,29,
LADERA HEIGHTS,3430018C,1267,231,N,614,TOTAL,145,20,119,
LADERA HEIGHTS,3430020A,1268,230,N,1046,POLLING PLACE,234,19,202,
LADERA HEIGHTS,3430020A,1268,230,N,,VBM PORTION,82,7,74,
LADERA HEIGHTS,3430020A,1268,230,N,1046,TOTAL,316,26,276,
VETERANS ADMIN CENTER,7470001A,6258,221,Y,171,POLLING PLACE,,,,
VETERANS ADMIN CENTER,7470001A,6258,221,Y,,VBM PORTION,23,8,14,
VETERANS ADMIN CENTER,7470001A,6258,221,Y,171,TOTAL,23,8,14,
VIEW PARK,7510001A,2763,231,N,1193,POLLING PLACE,339,28,269,
VIEW PARK,7510001A,2763,231,N,,VBM PORTION,88,15,63,
VIEW PARK,7510001A,2763,231,N,1193,TOTAL,427,43,332,
VIEW PARK,7510003C,2764,231,N,1312,POLLING PLACE,364,28,313,
VIEW PARK,7510003C,2764,231,N,,VBM PORTION,103,10,89,
VIEW PARK,7510003C,2764,231,N,1312,TOTAL,467,38,402,
VIEW PARK,7510004A,2765,231,N,728,POLLING PLACE,178,20,142,
VIEW PARK,7510004A,2765,231,N,,VBM PORTION,37,2,30,
VIEW PARK,7510004A,2765,231,N,728,TOTAL,215,22,172,
VIEW PARK,7510006A,2766,231,N,1231,POLLING PLACE,313,23,253,
VIEW PARK,7510006A,2766,231,N,,VBM PORTION,74,4,63,
VIEW PARK,7510006A,2766,231,N,1231,TOTAL,387,27,316,
VIEW PARK,7510008A,2767,231,N,1032,POLLING PLACE,285,23,252,
VIEW PARK,7510008A,2767,231,N,,VBM PORTION,93,10,76,
VIEW PARK,7510008A,2767,231,N,1032,TOTAL,378,33,328,
VIEW PARK,7510009B,2768,231,N,1227,POLLING PLACE,343,35,290,
VIEW PARK,7510009B,2768,231,N,,VBM PORTION,87,6,77,
VIEW PARK,7510009B,2768,231,N,1227,TOTAL,430,41,367,
VIEW PARK,7510010A,2769,231,N,940,POLLING PLACE,250,23,210,
VIEW PARK,7510010A,2769,231,N,,VBM PORTION,104,11,84,
VIEW PARK,7510010A,2769,231,N,940,TOTAL,354,34,294,
VIEW PARK,7510012A,2770,231,N,997,POLLING PLACE,340,33,281,
VIEW PARK,7510012A,2770,231,N,,VBM PORTION,74,13,57,
VIEW PARK,7510012A,2770,231,N,997,TOTAL,414,46,338,
LOS ANGELES,9000002A,2986,228,N,791,POLLING PLACE,188,53,120,
LOS ANGELES,9000002A,2986,228,N,,VBM PORTION,86,32,49,
LOS ANGELES,9000002A,2986,228,N,791,TOTAL,274,85,169,
LOS ANGELES,9000269B,3152,228,N,1241,POLLING PLACE,260,71,169,
LOS ANGELES,9000269B,3152,228,N,,VBM PORTION,109,33,63,
LOS ANGELES,9000269B,3152,228,N,1241,TOTAL,369,104,232,
LOS ANGELES,9000533A,3324,229,N,1008,POLLING PLACE,123,9,108,
LOS ANGELES,9000533A,3324,229,N,,VBM PORTION,30,,27,
LOS ANGELES,9000533A,3324,229,N,1008,TOTAL,153,9,135,
LOS ANGELES,9000555A,3336,220,N,919,POLLING PLACE,30,4,21,
LOS ANGELES,9000555A,3336,220,N,,VBM PORTION,1,,1,
LOS ANGELES,9000555A,3336,220,N,919,TOTAL,31,4,22,
LOS ANGELES,9000558B,3339,222,N,1306,POLLING PLACE,218,70,123,
LOS ANGELES,9000558B,3339,222,N,,VBM PORTION,188,73,96,
LOS ANGELES,9000558B,3339,222,N,1306,TOTAL,406,143,219,
LOS ANGELES,9000567A,3344,222,N,1221,POLLING PLACE,357,100,224,
LOS ANGELES,9000567A,3344,222,N,,VBM PORTION,117,48,57,
LOS ANGELES,9000567A,3344,222,N,1221,TOTAL,474,148,281,
LOS ANGELES,9000626A,6277,226,Y,,POLLING PLACE,,,,
LOS ANGELES,9000626A,6277,226,Y,,VBM PORTION,,,,
LOS ANGELES,9000626A,6277,226,Y,,TOTAL,,,,
LOS ANGELES,9000650C,3390,228,N,1238,POLLING PLACE,147,24,103,
LOS ANGELES,9000650C,3390,228,N,,VBM PORTION,58,18,33,
LOS ANGELES,9000650C,3390,228,N,1238,TOTAL,205,42,136,
LOS ANGELES,9000701A,3412,220,N,857,POLLING PLACE,34,6,19,
LOS ANGELES,9000701A,3412,220,N,,VBM PORTION,11,4,6,
LOS ANGELES,9000701A,3412,220,N,857,TOTAL,45,10,25,
LOS ANGELES,9000908A,3490,229,N,991,POLLING PLACE,126,6,109,
LOS ANGELES,9000908A,3490,229,N,,VBM PORTION,61,4,55,
LOS ANGELES,9000908A,3490,229,N,991,TOTAL,187,10,164,
LOS ANGELES,9000944A,3502,228,N,1132,POLLING PLACE,259,52,181,
LOS ANGELES,9000944A,3502,228,N,,VBM PORTION,57,8,44,
LOS ANGELES,9000944A,3502,228,N,1132,TOTAL,316,60,225,
LOS ANGELES,9000945B,3503,229,N,1013,POLLING PLACE,191,16,168,
LOS ANGELES,9000945B,3503,229,N,,VBM PORTION,25,4,18,
LOS ANGELES,9000945B,3503,229,N,1013,TOTAL,216,20,186,
LOS ANGELES,9000948A,3506,228,N,1073,POLLING PLACE,304,23,265,
LOS ANGELES,9000948A,3506,228,N,,VBM PORTION,76,12,59,
LOS ANGELES,9000948A,3506,228,N,1073,TOTAL,380,35,324,
LOS ANGELES,9001111A,3589,228,N,1054,POLLING PLACE,196,43,140,
LOS ANGELES,9001111A,3589,228,N,,VBM PORTION,56,15,36,
LOS ANGELES,9001111A,3589,228,N,1054,TOTAL,252,58,176,
LOS ANGELES,9001137C,3600,228,N,544,POLLING PLACE,95,26,62,
LOS ANGELES,9001137C,3600,228,N,,VBM PORTION,39,14,22,
LOS ANGELES,9001137C,3600,228,N,544,TOTAL,134,40,84,
LOS ANGELES,9001165A,3607,228,N,922,POLLING PLACE,220,57,152,
LOS ANGELES,9001165A,3607,228,N,,VBM PORTION,70,19,44,
LOS ANGELES,9001165A,3607,228,N,922,TOTAL,290,76,196,
LOS ANGELES,9001175A,3612,228,N,1230,POLLING PLACE,275,91,170,
LOS ANGELES,9001175A,3612,228,N,,VBM PORTION,106,43,56,
LOS ANGELES,9001175A,3612,228,N,1230,TOTAL,381,134,226,
LOS ANGELES,9001220C,3633,222,N,989,POLLING PLACE,221,59,144,
LOS ANGELES,9001220C,3633,222,N,,VBM PORTION,93,31,47,
LOS ANGELES,9001220C,3633,222,N,989,TOTAL,314,90,191,
LOS ANGELES,9001249A,3643,226,N,925,POLLING PLACE,221,60,138,
LOS ANGELES,9001249A,3643,226,N,,VBM PORTION,88,22,58,
LOS ANGELES,9001249A,3643,226,N,925,TOTAL,309,82,196,
LOS ANGELES,9001250A,3644,226,N,1133,POLLING PLACE,212,63,128,
LOS ANGELES,9001250A,3644,226,N,,VBM PORTION,79,26,45,
LOS ANGELES,9001250A,3644,226,N,1133,TOTAL,291,89,173,
LOS ANGELES,9001253A,3645,226,N,1202,POLLING PLACE,231,60,148,
LOS ANGELES,9001253A,3645,226,N,,VBM PORTION,142,39,82,
LOS ANGELES,9001253A,3645,226,N,1202,TOTAL,373,99,230,
LOS ANGELES,9001256A,3646,226,N,1459,POLLING PLACE,294,91,170,
LOS ANGELES,9001256A,3646,226,N,,VBM PORTION,159,69,73,
LOS ANGELES,9001256A,3646,226,N,1459,TOTAL,453,160,243,
LOS ANGELES,9001257B,3647,226,N,1097,POLLING PLACE,209,49,139,
LOS ANGELES,9001257B,3647,226,N,,VBM PORTION,118,37,71,
LOS ANGELES,9001257B,3647,226,N,1097,TOTAL,327,86,210,
LOS ANGELES,9001262A,3648,220,N,1126,POLLING PLACE,184,75,87,
LOS ANGELES,9001262A,3648,220,N,,VBM PORTION,159,59,88,
LOS ANGELES,9001262A,3648,220,N,1126,TOTAL,343,134,175,
LOS ANGELES,9001271A,3649,222,N,1159,POLLING PLACE,150,45,94,
LOS ANGELES,9001271A,3649,222,N,,VBM PORTION,96,35,47,
LOS ANGELES,9001271A,3649,222,N,1159,TOTAL,246,80,141,
LOS ANGELES,9001272A,3650,226,N,1287,POLLING PLACE,216,49,147,
LOS ANGELES,9001272A,3650,226,N,,VBM PORTION,115,29,73,
LOS ANGELES,9001272A,3650,226,N,1287,TOTAL,331,78,220,
LOS ANGELES,9001274A,3651,222,N,1254,POLLING PLACE,229,61,139,
LOS ANGELES,9001274A,3651,222,N,,VBM PORTION,93,32,52,
LOS ANGELES,9001274A,3651,222,N,1254,TOTAL,322,93,191,
LOS ANGELES,9001278A,3652,222,N,1017,POLLING PLACE,240,68,145,
LOS ANGELES,9001278A,3652,222,N,,VBM PORTION,116,47,57,
LOS ANGELES,9001278A,3652,222,N,1017,TOTAL,356,115,202,
LOS ANGELES,9001279A,3653,222,N,1173,POLLING PLACE,222,76,124,
LOS ANGELES,9001279A,3653,222,N,,VBM PORTION,109,40,60,
LOS ANGELES,9001279A,3653,222,N,1173,TOTAL,331,116,184,
LOS ANGELES,9001281C,3654,222,N,1217,POLLING PLACE,215,42,151,
LOS ANGELES,9001281C,3654,222,N,,VBM PORTION,71,21,45,
LOS ANGELES,9001281C,3654,222,N,1217,TOTAL,286,63,196,
LOS ANGELES,9001283B,3655,222,N,1343,POLLING PLACE,236,68,147,
LOS ANGELES,9001283B,3655,222,N,,VBM PORTION,122,39,76,
LOS ANGELES,9001283B,3655,222,N,1343,TOTAL,358,107,223,
LOS ANGELES,9001283C,6281,223,Y,16,POLLING PLACE,,,,
LOS ANGELES,9001283C,6281,223,Y,,VBM PORTION,1,,1,
LOS ANGELES,9001283C,6281,223,Y,16,TOTAL,1,,1,
LOS ANGELES,9001284A,3656,222,N,1225,POLLING PLACE,222,42,161,
LOS ANGELES,9001284A,3656,222,N,,VBM PORTION,80,25,50,
LOS ANGELES,9001284A,3656,222,N,1225,TOTAL,302,67,211,
LOS ANGELES,9001290A,3658,228,N,1170,POLLING PLACE,316,77,212,
LOS ANGELES,9001290A,3658,228,N,,VBM PORTION,120,32,75,
LOS ANGELES,9001290A,3658,228,N,1170,TOTAL,436,109,287,
LOS ANGELES,9001291A,3659,228,N,1071,POLLING PLACE,159,15,134,
LOS ANGELES,9001291A,3659,228,N,,VBM PORTION,43,9,30,
LOS ANGELES,9001291A,3659,228,N,1071,TOTAL,202,24,164,
LOS ANGELES,9001320A,3671,229,N,501,POLLING PLACE,118,12,102,
LOS ANGELES,9001320A,3671,229,N,,VBM PORTION,57,11,43,
LOS ANGELES,9001320A,3671,229,N,501,TOTAL,175,23,145,
LOS ANGELES,9001329A,3675,220,N,1303,POLLING PLACE,310,109,174,
LOS ANGELES,9001329A,3675,220,N,,VBM PORTION,162,59,84,
LOS ANGELES,9001329A,3675,220,N,1303,TOTAL,472,168,258,
LOS ANGELES,9001330A,3676,220,N,697,POLLING PLACE,41,9,27,
LOS ANGELES,9001330A,3676,220,N,,VBM PORTION,,,,
LOS ANGELES,9001330A,3676,220,N,697,TOTAL,41,9,27,
LOS ANGELES,9001331A,3677,220,N,890,POLLING PLACE,185,57,101,
LOS ANGELES,9001331A,3677,220,N,,VBM PORTION,93,45,43,
LOS ANGELES,9001331A,3677,220,N,890,TOTAL,278,102,144,
LOS ANGELES,9001332A,3678,220,N,965,POLLING PLACE,230,105,106,
LOS ANGELES,9001332A,3678,220,N,,VBM PORTION,139,68,54,
LOS ANGELES,9001332A,3678,220,N,965,TOTAL,369,173,160,
LOS ANGELES,9001334A,3679,220,N,1419,POLLING PLACE,225,68,111,
LOS ANGELES,9001334A,3679,220,N,,VBM PORTION,230,92,116,
LOS ANGELES,9001334A,3679,220,N,1419,TOTAL,455,160,227,
LOS ANGELES,9001336A,3680,220,N,907,POLLING PLACE,39,6,30,
LOS ANGELES,9001336A,3680,220,N,,VBM PORTION,8,2,6,
LOS ANGELES,9001336A,3680,220,N,907,TOTAL,47,8,36,
LOS ANGELES,9001338A,3681,220,N,950,POLLING PLACE,91,17,68,
LOS ANGELES,9001338A,3681,220,N,,VBM PORTION,27,9,18,
LOS ANGELES,9001338A,3681,220,N,950,TOTAL,118,26,86,
LOS ANGELES,9001341A,3682,220,N,988,POLLING PLACE,138,21,99,
LOS ANGELES,9001341A,3682,220,N,,VBM PORTION,26,5,18,
LOS ANGELES,9001341A,3682,220,N,988,TOTAL,164,26,117,
LOS ANGELES,9001346A,3686,220,N,710,POLLING PLACE,20,1,15,
LOS ANGELES,9001346A,3686,220,N,,VBM PORTION,1,,1,
LOS ANGELES,9001346A,3686,220,N,710,TOTAL,21,1,16,
LOS ANGELES,9001381C,3701,234,N,648,POLLING PLACE,127,19,101,
LOS ANGELES,9001381C,3701,234,N,,VBM PORTION,31,7,21,
LOS ANGELES,9001381C,3701,234,N,648,TOTAL,158,26,122,
LOS ANGELES,9001452A,3733,226,N,1302,POLLING PLACE,351,92,225,
LOS ANGELES,9001452A,3733,226,N,,VBM PORTION,124,37,69,
LOS ANGELES,9001452A,3733,226,N,1302,TOTAL,475,129,294,
LOS ANGELES,9001454A,3735,226,N,1060,POLLING PLACE,277,81,180,
LOS ANGELES,9001454A,3735,226,N,,VBM PORTION,118,36,74,
LOS ANGELES,9001454A,3735,226,N,1060,TOTAL,395,117,254,
LOS ANGELES,9001455A,3736,228,N,807,POLLING PLACE,202,70,114,
LOS ANGELES,9001455A,3736,228,N,,VBM PORTION,61,21,37,
LOS ANGELES,9001455A,3736,228,N,807,TOTAL,263,91,151,
LOS ANGELES,9001456A,3737,228,N,1268,POLLING PLACE,392,103,235,
LOS ANGELES,9001456A,3737,228,N,,VBM PORTION,118,44,62,
LOS ANGELES,9001456A,3737,228,N,1268,TOTAL,510,147,297,
LOS ANGELES,9001465C,3741,228,N,1239,POLLING PLACE,265,107,144,
LOS ANGELES,9001465C,3741,228,N,,VBM PORTION,149,77,53,
LOS ANGELES,9001465C,3741,228,N,1239,TOTAL,414,184,197,
LOS ANGELES,9001470B,3743,228,N,812,POLLING PLACE,137,24,99,
LOS ANGELES,9001470B,3743,228,N,,VBM PORTION,52,9,40,
LOS ANGELES,9001470B,3743,228,N,812,TOTAL,189,33,139,
LOS ANGELES,9001471A,3744,228,N,848,POLLING PLACE,219,71,125,
LOS ANGELES,9001471A,3744,228,N,,VBM PORTION,89,27,52,
LOS ANGELES,9001471A,3744,228,N,848,TOTAL,308,98,177,
LOS ANGELES,9001472A,3745,228,N,1311,POLLING PLACE,379,153,195,
LOS ANGELES,9001472A,3745,228,N,,VBM PORTION,133,41,79,
LOS ANGELES,9001472A,3745,228,N,1311,TOTAL,512,194,274,
LOS ANGELES,9001474C,3747,228,N,993,POLLING PLACE,252,79,145,
LOS ANGELES,9001474C,3747,228,N,,VBM PORTION,111,45,53,
LOS ANGELES,9001474C,3747,228,N,993,TOTAL,363,124,198,
LOS ANGELES,9001482A,3749,228,N,928,POLLING PLACE,154,26,121,
LOS ANGELES,9001482A,3749,228,N,,VBM PORTION,57,13,38,
LOS ANGELES,9001482A,3749,228,N,928,TOTAL,211,39,159,
LOS ANGELES,9001485A,3752,228,N,1058,POLLING PLACE,159,40,102,
LOS ANGELES,9001485A,3752,228,N,,VBM PORTION,52,11,36,
LOS ANGELES,9001485A,3752,228,N,1058,TOTAL,211,51,138,
LOS ANGELES,9001490A,3755,228,N,1110,POLLING PLACE,173,20,131,
LOS ANGELES,9001490A,3755,228,N,,VBM PORTION,50,7,39,
LOS ANGELES,9001490A,3755,228,N,1110,TOTAL,223,27,170,
LOS ANGELES,9001492A,3756,228,N,1258,POLLING PLACE,235,39,179,
LOS ANGELES,9001492A,3756,228,N,,VBM PORTION,83,15,61,
LOS ANGELES,9001492A,3756,228,N,1258,TOTAL,318,54,240,
LOS ANGELES,9001502A,3758,228,N,706,POLLING PLACE,133,20,108,
LOS ANGELES,9001502A,3758,228,N,,VBM PORTION,41,14,24,
LOS ANGELES,9001502A,3758,228,N,706,TOTAL,174,34,132,
LOS ANGELES,9001514A,3759,228,N,1115,POLLING PLACE,256,60,175,
LOS ANGELES,9001514A,3759,228,N,,VBM PORTION,79,33,42,
LOS ANGELES,9001514A,3759,228,N,1115,TOTAL,335,93,217,
LOS ANGELES,9001516A,3760,228,N,1188,POLLING PLACE,297,91,183,
LOS ANGELES,9001516A,3760,228,N,,VBM PORTION,116,55,52,
LOS ANGELES,9001516A,3760,228,N,1188,TOTAL,413,146,235,
LOS ANGELES,9001522A,3761,228,N,971,POLLING PLACE,166,41,117,
LOS ANGELES,9001522A,3761,228,N,,VBM PORTION,88,25,57,
LOS ANGELES,9001522A,3761,228,N,971,TOTAL,254,66,174,
LOS ANGELES,9001525A,3762,228,N,1183,POLLING PLACE,242,67,154,
LOS ANGELES,9001525A,3762,228,N,,VBM PORTION,112,41,62,
LOS ANGELES,9001525A,3762,228,N,1183,TOTAL,354,108,216,
LOS ANGELES,9001528C,3763,228,N,1377,POLLING PLACE,324,83,214,
LOS ANGELES,9001528C,3763,228,N,,VBM PORTION,132,44,76,
LOS ANGELES,9001528C,3763,228,N,1377,TOTAL,456,127,290,
LOS ANGELES,9001532A,3764,228,N,956,POLLING PLACE,137,27,101,
LOS ANGELES,9001532A,3764,228,N,,VBM PORTION,80,21,54,
LOS ANGELES,9001532A,3764,228,N,956,TOTAL,217,48,155,
LOS ANGELES,9001533A,3765,228,N,677,POLLING PLACE,119,18,96,
LOS ANGELES,9001533A,3765,228,N,,VBM PORTION,43,4,37,
LOS ANGELES,9001533A,3765,228,N,677,TOTAL,162,22,133,
LOS ANGELES,9001535A,3766,228,N,944,POLLING PLACE,146,15,116,
LOS ANGELES,9001535A,3766,228,N,,VBM PORTION,45,7,35,
LOS ANGELES,9001535A,3766,228,N,944,TOTAL,191,22,151,
LOS ANGELES,9001557B,3778,228,N,1144,POLLING PLACE,317,92,175,
LOS ANGELES,9001557B,3778,228,N,,VBM PORTION,117,36,70,
LOS ANGELES,9001557B,3778,228,N,1144,TOTAL,434,128,245,
LOS ANGELES,9001560A,3781,228,N,810,POLLING PLACE,223,73,135,
LOS ANGELES,9001560A,3781,228,N,,VBM PORTION,100,40,52,
LOS ANGELES,9001560A,3781,228,N,810,TOTAL,323,113,187,
LOS ANGELES,9001562A,3782,228,N,1066,POLLING PLACE,310,91,200,
LOS ANGELES,9001562A,3782,228,N,,VBM PORTION,98,37,49,
LOS ANGELES,9001562A,3782,228,N,1066,TOTAL,408,128,249,
LOS ANGELES,9001564A,3784,228,N,970,POLLING PLACE,256,73,149,
LOS ANGELES,9001564A,3784,228,N,,VBM PORTION,93,31,51,
LOS ANGELES,9001564A,3784,228,N,970,TOTAL,349,104,200,
LOS ANGELES,9001565A,3785,228,N,1262,POLLING PLACE,298,80,199,
LOS ANGELES,9001565A,3785,228,N,,VBM PORTION,73,16,52,
LOS ANGELES,9001565A,3785,228,N,1262,TOTAL,371,96,251,
LOS ANGELES,9001566A,3786,228,N,1261,POLLING PLACE,296,61,216,
LOS ANGELES,9001566A,3786,228,N,,VBM PORTION,100,33,52,
LOS ANGELES,9001566A,3786,228,N,1261,TOTAL,396,94,268,
LOS ANGELES,9001569A,3787,228,N,799,POLLING PLACE,231,61,151,
LOS ANGELES,9001569A,3787,228,N,,VBM PORTION,56,17,36,
LOS ANGELES,9001569A,3787,228,N,799,TOTAL,287,78,187,
LOS ANGELES,9001570A,3788,228,N,771,POLLING PLACE,165,40,117,
LOS ANGELES,9001570A,3788,228,N,,VBM PORTION,73,22,43,
LOS ANGELES,9001570A,3788,228,N,771,TOTAL,238,62,160,
LOS ANGELES,9001617A,3807,228,N,766,POLLING PLACE,86,8,68,
LOS ANGELES,9001617A,3807,228,N,,VBM PORTION,31,5,21,
LOS ANGELES,9001617A,3807,228,N,766,TOTAL,117,13,89,
LOS ANGELES,9001716A,3841,228,N,1164,POLLING PLACE,188,19,160,
LOS ANGELES,9001716A,3841,228,N,,VBM PORTION,44,7,31,
LOS ANGELES,9001716A,3841,228,N,1164,TOTAL,232,26,191,
LOS ANGELES,9001725A,3845,228,N,671,POLLING PLACE,133,15,110,
LOS ANGELES,9001725A,3845,228,N,,VBM PORTION,33,5,25,
LOS ANGELES,9001725A,3845,228,N,671,TOTAL,166,20,135,
LOS ANGELES,9001729A,3848,228,N,1240,POLLING PLACE,168,24,131,
LOS ANGELES,9001729A,3848,228,N,,VBM PORTION,72,16,48,
LOS ANGELES,9001729A,3848,228,N,1240,TOTAL,240,40,179,
