LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,STEPHEN K SHAM,ERIC SUNADA,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,75,122,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,24,42,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,99,164,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,65,58,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,20,20,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,85,78,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,94,141,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,42,50,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,136,191,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,91,86,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,38,21,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,129,107,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,74,88,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,32,18,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,106,106,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,99,153,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,49,49,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,148,202,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,74,79,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,39,25,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,113,104,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,77,60,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,33,14,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,110,74,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,93,101,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,41,29,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,134,130,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,79,82,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,38,28,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,117,110,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,64,105,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,22,22,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,86,127,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,89,69,
ALHAMBRA,0150021A,38,149,N,,VBM PORTION,117,45,43,
ALHAMBRA,0150021A,38,149,N,966,TOTAL,285,134,112,
ALHAMBRA,0150022A,39,150,N,859,POLLING PLACE,211,75,124,
ALHAMBRA,0150022A,39,150,N,,VBM PORTION,60,24,33,
ALHAMBRA,0150022A,39,150,N,859,TOTAL,271,99,157,
ALHAMBRA,0150023A,40,150,N,1103,POLLING PLACE,221,85,122,
ALHAMBRA,0150023A,40,150,N,,VBM PORTION,75,25,40,
ALHAMBRA,0150023A,40,150,N,1103,TOTAL,296,110,162,
ALHAMBRA,0150024A,41,150,N,660,POLLING PLACE,82,40,36,
ALHAMBRA,0150024A,41,150,N,,VBM PORTION,35,23,9,
ALHAMBRA,0150024A,41,150,N,660,TOTAL,117,63,45,
ALHAMBRA,0150025A,42,150,N,863,POLLING PLACE,122,67,45,
ALHAMBRA,0150025A,42,150,N,,VBM PORTION,71,43,19,
ALHAMBRA,0150025A,42,150,N,863,TOTAL,193,110,64,
ALHAMBRA,0150030A,43,150,N,1171,POLLING PLACE,158,78,70,
ALHAMBRA,0150030A,43,150,N,,VBM PORTION,74,45,17,
ALHAMBRA,0150030A,43,150,N,1171,TOTAL,232,123,87,
ALHAMBRA,0150032A,44,150,N,1134,POLLING PLACE,216,106,103,
ALHAMBRA,0150032A,44,150,N,,VBM PORTION,89,47,38,
ALHAMBRA,0150032A,44,150,N,1134,TOTAL,305,153,141,
ALHAMBRA,0150032B,6018,154,Y,9,POLLING PLACE,,,,
ALHAMBRA,0150032B,6018,154,Y,,VBM PORTION,3,2,1,
ALHAMBRA,0150032B,6018,154,Y,9,TOTAL,3,2,1,
ALHAMBRA,0150033A,45,150,N,780,POLLING PLACE,139,50,80,
ALHAMBRA,0150033A,45,150,N,,VBM PORTION,23,11,10,
ALHAMBRA,0150033A,45,150,N,780,TOTAL,162,61,90,
ALHAMBRA,0150037A,46,149,N,1026,POLLING PLACE,207,93,101,
ALHAMBRA,0150037A,46,149,N,,VBM PORTION,78,27,40,
ALHAMBRA,0150037A,46,149,N,1026,TOTAL,285,120,141,
ALHAMBRA,0150039A,47,150,N,1235,POLLING PLACE,129,71,44,
ALHAMBRA,0150039A,47,150,N,,VBM PORTION,86,46,30,
ALHAMBRA,0150039A,47,150,N,1235,TOTAL,215,117,74,
ALHAMBRA,0150041A,48,150,N,565,POLLING PLACE,116,63,41,
ALHAMBRA,0150041A,48,150,N,,VBM PORTION,37,16,13,
ALHAMBRA,0150041A,48,150,N,565,TOTAL,153,79,54,
ALHAMBRA,0150041B,49,149,N,651,POLLING PLACE,122,59,59,
ALHAMBRA,0150041B,49,149,N,,VBM PORTION,61,29,23,
ALHAMBRA,0150041B,49,149,N,651,TOTAL,183,88,82,
ALHAMBRA,0150042A,50,149,N,733,POLLING PLACE,129,72,47,
ALHAMBRA,0150042A,50,149,N,,VBM PORTION,66,42,22,
ALHAMBRA,0150042A,50,149,N,733,TOTAL,195,114,69,
ALHAMBRA,0150044D,51,149,N,664,POLLING PLACE,72,39,28,
ALHAMBRA,0150044D,51,149,N,,VBM PORTION,29,23,4,
ALHAMBRA,0150044D,51,149,N,664,TOTAL,101,62,32,
ALHAMBRA,0150045A,52,149,N,708,POLLING PLACE,96,38,53,
ALHAMBRA,0150045A,52,149,N,,VBM PORTION,49,29,14,
ALHAMBRA,0150045A,52,149,N,708,TOTAL,145,67,67,
ALHAMBRA,0150049A,53,150,N,1142,POLLING PLACE,183,97,77,
ALHAMBRA,0150049A,53,150,N,,VBM PORTION,110,66,28,
ALHAMBRA,0150049A,53,150,N,1142,TOTAL,293,163,105,
ALHAMBRA,0150051A,54,149,N,1129,POLLING PLACE,157,83,66,
ALHAMBRA,0150051A,54,149,N,,VBM PORTION,87,56,24,
ALHAMBRA,0150051A,54,149,N,1129,TOTAL,244,139,90,
