LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TED J GROSE,AUTUMN BURKE,
ALONDRA PARK,0180001A,64,336,N,905,POLLING PLACE,79,21,57,
ALONDRA PARK,0180001A,64,336,N,,VBM PORTION,43,12,28,
ALONDRA PARK,0180001A,64,336,N,905,TOTAL,122,33,85,
CENTINELA,1060001A,6047,326,Y,133,POLLING PLACE,,,,
CENTINELA,1060001A,6047,326,Y,,VBM PORTION,23,12,9,
CENTINELA,1060001A,6047,326,Y,133,TOTAL,23,12,9,
CENTINELA,1060002A,6048,329,Y,,POLLING PLACE,,,,
CENTINELA,1060002A,6048,329,Y,,VBM PORTION,,,,
CENTINELA,1060002A,6048,329,Y,,TOTAL,,,,
DEL AIRE,1680001A,615,338,N,825,POLLING PLACE,175,60,96,
DEL AIRE,1680001A,615,338,N,,VBM PORTION,54,22,25,
DEL AIRE,1680001A,615,338,N,825,TOTAL,229,82,121,
DEL AIRE,1680002B,616,338,N,956,POLLING PLACE,263,112,132,
DEL AIRE,1680002B,616,338,N,,VBM PORTION,71,37,21,
DEL AIRE,1680002B,616,338,N,956,TOTAL,334,149,153,
DEL AIRE,1680003A,617,338,N,861,POLLING PLACE,205,85,112,
DEL AIRE,1680003A,617,338,N,,VBM PORTION,70,23,38,
DEL AIRE,1680003A,617,338,N,861,TOTAL,275,108,150,
DEL AIRE,1680004A,618,338,N,765,POLLING PLACE,164,79,73,
DEL AIRE,1680004A,618,338,N,,VBM PORTION,60,36,15,
DEL AIRE,1680004A,618,338,N,765,TOTAL,224,115,88,
DEL AIRE,1680005A,619,338,N,410,POLLING PLACE,80,24,51,
DEL AIRE,1680005A,619,338,N,,VBM PORTION,19,11,5,
DEL AIRE,1680005A,619,338,N,410,TOTAL,99,35,56,
DEL AIRE,1680006C,620,338,N,642,POLLING PLACE,111,36,67,
DEL AIRE,1680006C,620,338,N,,VBM PORTION,46,18,26,
DEL AIRE,1680006C,620,338,N,642,TOTAL,157,54,93,
DEL AIRE,1680007A,621,338,N,985,POLLING PLACE,206,77,115,
DEL AIRE,1680007A,621,338,N,,VBM PORTION,48,19,23,
DEL AIRE,1680007A,621,338,N,985,TOTAL,254,96,138,
EL SEGUNDO,2250001A,840,323,N,820,POLLING PLACE,183,95,76,
EL SEGUNDO,2250001A,840,323,N,,VBM PORTION,86,44,39,
EL SEGUNDO,2250001A,840,323,N,820,TOTAL,269,139,115,
EL SEGUNDO,2250002A,841,323,N,900,POLLING PLACE,209,89,98,
EL SEGUNDO,2250002A,841,323,N,,VBM PORTION,97,46,43,
EL SEGUNDO,2250002A,841,323,N,900,TOTAL,306,135,141,
EL SEGUNDO,2250003A,842,323,N,954,POLLING PLACE,231,117,95,
EL SEGUNDO,2250003A,842,323,N,,VBM PORTION,128,76,44,
EL SEGUNDO,2250003A,842,323,N,954,TOTAL,359,193,139,
EL SEGUNDO,2250004A,843,323,N,927,POLLING PLACE,177,94,73,
EL SEGUNDO,2250004A,843,323,N,,VBM PORTION,113,55,46,
EL SEGUNDO,2250004A,843,323,N,927,TOTAL,290,149,119,
EL SEGUNDO,2250006A,844,323,N,1234,POLLING PLACE,285,145,119,
EL SEGUNDO,2250006A,844,323,N,,VBM PORTION,121,62,45,
EL SEGUNDO,2250006A,844,323,N,1234,TOTAL,406,207,164,
EL SEGUNDO,2250007A,845,323,N,967,POLLING PLACE,216,104,92,
