LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ADRIANA M ROBLEDO,TOMAS URSUA,
POMONA,5250004A,2094,203,N,1153,POLLING PLACE,151,77,57,
POMONA,5250004A,2094,203,N,,VBM PORTION,41,21,14,
POMONA,5250004A,2094,203,N,1153,TOTAL,192,98,71,
POMONA,5250061A,2127,203,N,1194,POLLING PLACE,175,87,81,
POMONA,5250061A,2127,203,N,,VBM PORTION,41,17,17,
POMONA,5250061A,2127,203,N,1194,TOTAL,216,104,98,
POMONA,5250062A,2128,203,N,1195,POLLING PLACE,176,103,56,
POMONA,5250062A,2128,203,N,,VBM PORTION,50,26,21,
POMONA,5250062A,2128,203,N,1195,TOTAL,226,129,77,
POMONA,5250063A,2129,203,N,861,POLLING PLACE,133,59,60,
POMONA,5250063A,2129,203,N,,VBM PORTION,41,17,16,
POMONA,5250063A,2129,203,N,861,TOTAL,174,76,76,
POMONA,5250065A,2130,203,N,839,POLLING PLACE,123,63,50,
POMONA,5250065A,2130,203,N,,VBM PORTION,28,13,11,
POMONA,5250065A,2130,203,N,839,TOTAL,151,76,61,
POMONA,5250066A,2131,203,N,850,POLLING PLACE,95,58,27,
POMONA,5250066A,2131,203,N,,VBM PORTION,18,8,6,
POMONA,5250066A,2131,203,N,850,TOTAL,113,66,33,
POMONA,5250073A,2134,203,N,932,POLLING PLACE,158,80,71,
POMONA,5250073A,2134,203,N,,VBM PORTION,38,10,15,
POMONA,5250073A,2134,203,N,932,TOTAL,196,90,86,
BALLOT GROUP 203,9990203A,8203,203,N,,POLLING PLACE,,,,
BALLOT GROUP 203,9990203A,8203,203,N,,VBM PORTION,,,,
BALLOT GROUP 203,9990203A,8203,203,N,,TOTAL,,,,
