LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CRISTINA GARCIA,
DOWNEY,1850083A,719,298,N,,VBM PORTION,51,31,
DOWNEY,1850083A,719,298,N,1037,TOTAL,290,212,
DOWNEY,1850089A,720,303,N,847,POLLING PLACE,151,107,
DOWNEY,1850089A,720,303,N,,VBM PORTION,40,25,
DOWNEY,1850089A,720,303,N,847,TOTAL,191,132,
DOWNEY,1850094A,721,303,N,398,POLLING PLACE,85,51,
DOWNEY,1850094A,721,303,N,,VBM PORTION,16,12,
DOWNEY,1850094A,721,303,N,398,TOTAL,101,63,
DOWNEY,1850102A,722,298,N,1055,POLLING PLACE,264,190,
DOWNEY,1850102A,722,298,N,,VBM PORTION,59,24,
DOWNEY,1850102A,722,298,N,1055,TOTAL,323,214,
DOWNEY,1850138A,723,298,N,767,POLLING PLACE,152,105,
DOWNEY,1850138A,723,298,N,,VBM PORTION,45,26,
DOWNEY,1850138A,723,298,N,767,TOTAL,197,131,
DOWNEY,1850150A,724,303,N,645,POLLING PLACE,117,83,
DOWNEY,1850150A,724,303,N,,VBM PORTION,21,13,
DOWNEY,1850150A,724,303,N,645,TOTAL,138,96,
DOWNEY,1850151A,725,303,N,1036,POLLING PLACE,214,145,
DOWNEY,1850151A,725,303,N,,VBM PORTION,92,49,
DOWNEY,1850151A,725,303,N,1036,TOTAL,306,194,
MONTEBELLO,4450001A,1776,288,N,817,POLLING PLACE,141,110,
MONTEBELLO,4450001A,1776,288,N,,VBM PORTION,52,43,
MONTEBELLO,4450001A,1776,288,N,817,TOTAL,193,153,
MONTEBELLO,4450001C,6156,282,Y,35,POLLING PLACE,,,
MONTEBELLO,4450001C,6156,282,Y,,VBM PORTION,1,1,
MONTEBELLO,4450001C,6156,282,Y,35,TOTAL,1,1,
MONTEBELLO,4450002A,1777,288,N,1027,POLLING PLACE,181,142,
MONTEBELLO,4450002A,1777,288,N,,VBM PORTION,53,39,
MONTEBELLO,4450002A,1777,288,N,1027,TOTAL,234,181,
MONTEBELLO,4450003A,1778,288,N,899,POLLING PLACE,103,86,
MONTEBELLO,4450003A,1778,288,N,,VBM PORTION,27,24,
MONTEBELLO,4450003A,1778,288,N,899,TOTAL,130,110,
MONTEBELLO,4450004A,1779,288,N,905,POLLING PLACE,109,95,
MONTEBELLO,4450004A,1779,288,N,,VBM PORTION,32,26,
MONTEBELLO,4450004A,1779,288,N,905,TOTAL,141,121,
MONTEBELLO,4450005A,1780,288,N,1003,POLLING PLACE,137,106,
MONTEBELLO,4450005A,1780,288,N,,VBM PORTION,34,20,
MONTEBELLO,4450005A,1780,288,N,1003,TOTAL,171,126,
MONTEBELLO,4450008A,1781,288,N,948,POLLING PLACE,125,92,
MONTEBELLO,4450008A,1781,288,N,,VBM PORTION,72,63,
MONTEBELLO,4450008A,1781,288,N,948,TOTAL,197,155,
MONTEBELLO,4450011A,1783,288,N,1178,POLLING PLACE,170,144,
MONTEBELLO,4450011A,1783,288,N,,VBM PORTION,41,30,
MONTEBELLO,4450011A,1783,288,N,1178,TOTAL,211,174,
MONTEBELLO,4450012A,1784,288,N,1070,POLLING PLACE,149,115,
MONTEBELLO,4450012A,1784,288,N,,VBM PORTION,27,24,
MONTEBELLO,4450012A,1784,288,N,1070,TOTAL,176,139,
MONTEBELLO,4450014A,1786,288,N,871,POLLING PLACE,134,110,
MONTEBELLO,4450014A,1786,288,N,,VBM PORTION,36,24,
MONTEBELLO,4450014A,1786,288,N,871,TOTAL,170,134,
MONTEBELLO,4450015A,1787,288,N,919,POLLING PLACE,156,131,
MONTEBELLO,4450015A,1787,288,N,,VBM PORTION,31,30,
MONTEBELLO,4450015A,1787,288,N,919,TOTAL,187,161,
MONTEBELLO,4450016A,1788,288,N,641,POLLING PLACE,91,73,
MONTEBELLO,4450016A,1788,288,N,,VBM PORTION,25,22,
MONTEBELLO,4450016A,1788,288,N,641,TOTAL,116,95,
MONTEBELLO,4450017A,1789,288,N,772,POLLING PLACE,112,94,
MONTEBELLO,4450017A,1789,288,N,,VBM PORTION,44,33,
MONTEBELLO,4450017A,1789,288,N,772,TOTAL,156,127,
MONTEBELLO,4450018A,1790,288,N,988,POLLING PLACE,232,144,
MONTEBELLO,4450018A,1790,288,N,,VBM PORTION,68,39,
MONTEBELLO,4450018A,1790,288,N,988,TOTAL,300,183,
MONTEBELLO,4450020A,1791,288,N,1019,POLLING PLACE,175,148,
MONTEBELLO,4450020A,1791,288,N,,VBM PORTION,42,34,
MONTEBELLO,4450020A,1791,288,N,1019,TOTAL,217,182,
MONTEBELLO,4450024A,1792,288,N,881,POLLING PLACE,152,122,
MONTEBELLO,4450024A,1792,288,N,,VBM PORTION,30,23,
MONTEBELLO,4450024A,1792,288,N,881,TOTAL,182,145,
MONTEBELLO,4450025A,1793,288,N,1108,POLLING PLACE,218,150,
MONTEBELLO,4450025A,1793,288,N,,VBM PORTION,80,47,
MONTEBELLO,4450025A,1793,288,N,1108,TOTAL,298,197,
MONTEBELLO,4450026A,1794,288,N,965,POLLING PLACE,233,182,
MONTEBELLO,4450026A,1794,288,N,,VBM PORTION,26,20,
MONTEBELLO,4450026A,1794,288,N,965,TOTAL,259,202,
MONTEBELLO,4450028A,1795,286,N,514,POLLING PLACE,93,75,
MONTEBELLO,4450028A,1795,286,N,,VBM PORTION,48,33,
MONTEBELLO,4450028A,1795,286,N,514,TOTAL,141,108,
MONTEBELLO,4450031A,1796,288,N,968,POLLING PLACE,120,95,
MONTEBELLO,4450031A,1796,288,N,,VBM PORTION,18,15,
MONTEBELLO,4450031A,1796,288,N,968,TOTAL,138,110,
MONTEBELLO,4450032A,1797,288,N,803,POLLING PLACE,93,73,
MONTEBELLO,4450032A,1797,288,N,,VBM PORTION,33,29,
MONTEBELLO,4450032A,1797,288,N,803,TOTAL,126,102,
MONTEBELLO,4450032H,6157,282,Y,,POLLING PLACE,,,
MONTEBELLO,4450032H,6157,282,Y,,VBM PORTION,1,1,
MONTEBELLO,4450032H,6157,282,Y,,TOTAL,1,1,
MONTEBELLO,4450033A,1798,288,N,872,POLLING PLACE,106,89,
MONTEBELLO,4450033A,1798,288,N,,VBM PORTION,34,28,
MONTEBELLO,4450033A,1798,288,N,872,TOTAL,140,117,
MONTEBELLO,4450034A,1799,288,N,833,POLLING PLACE,145,114,
MONTEBELLO,4450034A,1799,288,N,,VBM PORTION,28,25,
MONTEBELLO,4450034A,1799,288,N,833,TOTAL,173,139,
MONTEBELLO,4450036A,1800,288,N,626,POLLING PLACE,87,76,
MONTEBELLO,4450036A,1800,288,N,,VBM PORTION,21,15,
MONTEBELLO,4450036A,1800,288,N,626,TOTAL,108,91,
MONTEBELLO,4450038A,1801,288,N,854,POLLING PLACE,121,85,
MONTEBELLO,4450038A,1801,288,N,,VBM PORTION,42,30,
MONTEBELLO,4450038A,1801,288,N,854,TOTAL,163,115,
MONTEBELLO,4450043B,1802,288,N,1086,POLLING PLACE,140,110,
MONTEBELLO,4450043B,1802,288,N,,VBM PORTION,27,19,
MONTEBELLO,4450043B,1802,288,N,1086,TOTAL,167,129,
MONTEBELLO,4450065A,1803,288,N,895,POLLING PLACE,122,103,
MONTEBELLO,4450065A,1803,288,N,,VBM PORTION,31,22,
MONTEBELLO,4450065A,1803,288,N,895,TOTAL,153,125,
MONTEBELLO,4450090B,1805,288,N,693,POLLING PLACE,96,82,
MONTEBELLO,4450090B,1805,288,N,,VBM PORTION,14,13,
MONTEBELLO,4450090B,1805,288,N,693,TOTAL,110,95,
NORWALK,4800001A,1839,280,N,907,POLLING PLACE,114,94,
NORWALK,4800001A,1839,280,N,,VBM PORTION,45,36,
NORWALK,4800001A,1839,280,N,907,TOTAL,159,130,
NORWALK,4800004A,1841,279,N,982,POLLING PLACE,137,95,
NORWALK,4800004A,1841,279,N,,VBM PORTION,41,25,
NORWALK,4800004A,1841,279,N,982,TOTAL,178,120,
NORWALK,4800006B,1842,279,N,984,POLLING PLACE,153,122,
NORWALK,4800006B,1842,279,N,,VBM PORTION,38,31,
NORWALK,4800006B,1842,279,N,984,TOTAL,191,153,
NORWALK,4800007C,1843,279,N,525,POLLING PLACE,84,61,
NORWALK,4800007C,1843,279,N,,VBM PORTION,17,10,
NORWALK,4800007C,1843,279,N,525,TOTAL,101,71,
NORWALK,4800015A,1851,272,N,440,POLLING PLACE,48,39,
NORWALK,4800015A,1851,272,N,,VBM PORTION,44,22,
NORWALK,4800015A,1851,272,N,440,TOTAL,92,61,
NORWALK,4800025A,1860,280,N,645,POLLING PLACE,104,83,
NORWALK,4800025A,1860,280,N,,VBM PORTION,19,12,
NORWALK,4800025A,1860,280,N,645,TOTAL,123,95,
NORWALK,4800028A,1861,280,N,1138,POLLING PLACE,172,132,
NORWALK,4800028A,1861,280,N,,VBM PORTION,36,24,
NORWALK,4800028A,1861,280,N,1138,TOTAL,208,156,
NORWALK,4800030A,6171,283,Y,,POLLING PLACE,,,
NORWALK,4800030A,6171,283,Y,,VBM PORTION,,,
NORWALK,4800030A,6171,283,Y,,TOTAL,,,
NORWALK,4800040A,1870,280,N,994,POLLING PLACE,142,93,
NORWALK,4800040A,1870,280,N,,VBM PORTION,41,23,
NORWALK,4800040A,1870,280,N,994,TOTAL,183,116,
NORWALK,4800042B,1871,280,N,1241,POLLING PLACE,221,160,
NORWALK,4800042B,1871,280,N,,VBM PORTION,68,44,
NORWALK,4800042B,1871,280,N,1241,TOTAL,289,204,
NORWALK,4800044A,1872,280,N,728,POLLING PLACE,89,72,
NORWALK,4800044A,1872,280,N,,VBM PORTION,36,23,
NORWALK,4800044A,1872,280,N,728,TOTAL,125,95,
NORWALK,4800045A,1873,280,N,983,POLLING PLACE,201,138,
NORWALK,4800045A,1873,280,N,,VBM PORTION,43,29,
NORWALK,4800045A,1873,280,N,983,TOTAL,244,167,
NORWALK,4800045B,6172,269,Y,,POLLING PLACE,,,
NORWALK,4800045B,6172,269,Y,,VBM PORTION,,,
NORWALK,4800045B,6172,269,Y,,TOTAL,,,
NORWALK,4800047A,1874,280,N,857,POLLING PLACE,137,100,
NORWALK,4800047A,1874,280,N,,VBM PORTION,43,28,
NORWALK,4800047A,1874,280,N,857,TOTAL,180,128,
NORWALK,4800048A,1875,280,N,1109,POLLING PLACE,150,118,
NORWALK,4800048A,1875,280,N,,VBM PORTION,77,54,
NORWALK,4800048A,1875,280,N,1109,TOTAL,227,172,
NORWALK,4800049D,1876,280,N,583,POLLING PLACE,110,71,
NORWALK,4800049D,1876,280,N,,VBM PORTION,18,13,
NORWALK,4800049D,1876,280,N,583,TOTAL,128,84,
NORWALK,4800050A,1877,280,N,1223,POLLING PLACE,189,132,
NORWALK,4800050A,1877,280,N,,VBM PORTION,65,45,
NORWALK,4800050A,1877,280,N,1223,TOTAL,254,177,
NORWALK,4800056A,1880,280,N,811,POLLING PLACE,141,116,
NORWALK,4800056A,1880,280,N,,VBM PORTION,24,22,
NORWALK,4800056A,1880,280,N,811,TOTAL,165,138,
NORWALK,4800056D,6173,270,Y,148,POLLING PLACE,,,
NORWALK,4800056D,6173,270,Y,,VBM PORTION,14,13,
NORWALK,4800056D,6173,270,Y,148,TOTAL,14,13,
NORWALK,4800059A,1881,272,N,1238,POLLING PLACE,212,152,
NORWALK,4800059A,1881,272,N,,VBM PORTION,106,69,
NORWALK,4800059A,1881,272,N,1238,TOTAL,318,221,
NORWALK,4800067A,1883,280,N,1003,POLLING PLACE,163,142,
NORWALK,4800067A,1883,280,N,,VBM PORTION,45,31,
NORWALK,4800067A,1883,280,N,1003,TOTAL,208,173,
NORWALK,4800089A,1887,280,N,760,POLLING PLACE,111,78,
NORWALK,4800089A,1887,280,N,,VBM PORTION,41,28,
NORWALK,4800089A,1887,280,N,760,TOTAL,152,106,
PICO RIVERA,5230002A,2059,286,N,1027,POLLING PLACE,155,113,
PICO RIVERA,5230002A,2059,286,N,,VBM PORTION,54,34,
PICO RIVERA,5230002A,2059,286,N,1027,TOTAL,209,147,
PICO RIVERA,5230006B,2060,286,N,864,POLLING PLACE,129,93,
PICO RIVERA,5230006B,2060,286,N,,VBM PORTION,32,25,
PICO RIVERA,5230006B,2060,286,N,864,TOTAL,161,118,
PICO RIVERA,5230007A,2061,286,N,1019,POLLING PLACE,139,115,
PICO RIVERA,5230007A,2061,286,N,,VBM PORTION,51,43,
PICO RIVERA,5230007A,2061,286,N,1019,TOTAL,190,158,
PICO RIVERA,5230008A,2062,286,N,1021,POLLING PLACE,137,116,
PICO RIVERA,5230008A,2062,286,N,,VBM PORTION,39,32,
PICO RIVERA,5230008A,2062,286,N,1021,TOTAL,176,148,
PICO RIVERA,5230010A,2063,286,N,1004,POLLING PLACE,162,128,
PICO RIVERA,5230010A,2063,286,N,,VBM PORTION,49,33,
PICO RIVERA,5230010A,2063,286,N,1004,TOTAL,211,161,
PICO RIVERA,5230012A,2064,286,N,956,POLLING PLACE,121,106,
PICO RIVERA,5230012A,2064,286,N,,VBM PORTION,28,22,
PICO RIVERA,5230012A,2064,286,N,956,TOTAL,149,128,
PICO RIVERA,5230013A,2065,286,N,1111,POLLING PLACE,165,118,
PICO RIVERA,5230013A,2065,286,N,,VBM PORTION,50,36,
PICO RIVERA,5230013A,2065,286,N,1111,TOTAL,215,154,
PICO RIVERA,5230013C,6187,286,Y,,POLLING PLACE,,,
PICO RIVERA,5230013C,6187,286,Y,,VBM PORTION,,,
PICO RIVERA,5230013C,6187,286,Y,,TOTAL,,,
PICO RIVERA,5230014B,2066,286,N,949,POLLING PLACE,149,111,
PICO RIVERA,5230014B,2066,286,N,,VBM PORTION,30,27,
PICO RIVERA,5230014B,2066,286,N,949,TOTAL,179,138,
PICO RIVERA,5230017A,2067,286,N,1061,POLLING PLACE,167,141,
PICO RIVERA,5230017A,2067,286,N,,VBM PORTION,19,16,
PICO RIVERA,5230017A,2067,286,N,1061,TOTAL,186,157,
PICO RIVERA,5230018A,2068,286,N,890,POLLING PLACE,114,88,
PICO RIVERA,5230018A,2068,286,N,,VBM PORTION,40,35,
PICO RIVERA,5230018A,2068,286,N,890,TOTAL,154,123,
PICO RIVERA,5230019A,2069,286,N,991,POLLING PLACE,110,78,
PICO RIVERA,5230019A,2069,286,N,,VBM PORTION,51,43,
PICO RIVERA,5230019A,2069,286,N,991,TOTAL,161,121,
PICO RIVERA,5230020A,2070,286,N,1002,POLLING PLACE,162,122,
PICO RIVERA,5230020A,2070,286,N,,VBM PORTION,36,27,
PICO RIVERA,5230020A,2070,286,N,1002,TOTAL,198,149,
PICO RIVERA,5230022D,2071,286,N,996,POLLING PLACE,138,110,
PICO RIVERA,5230022D,2071,286,N,,VBM PORTION,30,24,
PICO RIVERA,5230022D,2071,286,N,996,TOTAL,168,134,
PICO RIVERA,5230023A,2072,286,N,722,POLLING PLACE,107,78,
PICO RIVERA,5230023A,2072,286,N,,VBM PORTION,29,26,
PICO RIVERA,5230023A,2072,286,N,722,TOTAL,136,104,
PICO RIVERA,5230023B,2073,288,N,316,POLLING PLACE,28,26,
PICO RIVERA,5230023B,2073,288,N,,VBM PORTION,6,5,
PICO RIVERA,5230023B,2073,288,N,316,TOTAL,34,31,
PICO RIVERA,5230024A,2074,286,N,1118,POLLING PLACE,159,121,
PICO RIVERA,5230024A,2074,286,N,,VBM PORTION,46,37,
PICO RIVERA,5230024A,2074,286,N,1118,TOTAL,205,158,
PICO RIVERA,5230027A,2075,286,N,1000,POLLING PLACE,186,149,
PICO RIVERA,5230027A,2075,286,N,,VBM PORTION,35,28,
PICO RIVERA,5230027A,2075,286,N,1000,TOTAL,221,177,
PICO RIVERA,5230029A,2076,286,N,757,POLLING PLACE,114,101,
PICO RIVERA,5230029A,2076,286,N,,VBM PORTION,24,22,
PICO RIVERA,5230029A,2076,286,N,757,TOTAL,138,123,
PICO RIVERA,5230030A,2077,286,N,813,POLLING PLACE,127,109,
PICO RIVERA,5230030A,2077,286,N,,VBM PORTION,33,21,
PICO RIVERA,5230030A,2077,286,N,813,TOTAL,160,130,
PICO RIVERA,5230031A,6189,281,Y,,POLLING PLACE,,,
PICO RIVERA,5230031A,6189,281,Y,,VBM PORTION,,,
PICO RIVERA,5230031A,6189,281,Y,,TOTAL,,,
PICO RIVERA,5230032A,2078,286,N,868,POLLING PLACE,139,123,
PICO RIVERA,5230032A,2078,286,N,,VBM PORTION,33,28,
PICO RIVERA,5230032A,2078,286,N,868,TOTAL,172,151,
PICO RIVERA,5230034B,2079,286,N,1094,POLLING PLACE,193,151,
PICO RIVERA,5230034B,2079,286,N,,VBM PORTION,45,35,
PICO RIVERA,5230034B,2079,286,N,1094,TOTAL,238,186,
PICO RIVERA,5230035A,2080,286,N,920,POLLING PLACE,142,125,
PICO RIVERA,5230035A,2080,286,N,,VBM PORTION,48,33,
PICO RIVERA,5230035A,2080,286,N,920,TOTAL,190,158,
PICO RIVERA,5230036A,2081,286,N,787,POLLING PLACE,85,65,
PICO RIVERA,5230036A,2081,286,N,,VBM PORTION,22,20,
PICO RIVERA,5230036A,2081,286,N,787,TOTAL,107,85,
PICO RIVERA,5230038A,2082,286,N,1015,POLLING PLACE,159,143,
PICO RIVERA,5230038A,2082,286,N,,VBM PORTION,42,33,
PICO RIVERA,5230038A,2082,286,N,1015,TOTAL,201,176,
PICO RIVERA,5230039A,2083,286,N,1070,POLLING PLACE,167,137,
PICO RIVERA,5230039A,2083,286,N,,VBM PORTION,50,44,
PICO RIVERA,5230039A,2083,286,N,1070,TOTAL,217,181,
PICO RIVERA,5230041A,2084,286,N,853,POLLING PLACE,139,115,
PICO RIVERA,5230041A,2084,286,N,,VBM PORTION,29,20,
PICO RIVERA,5230041A,2084,286,N,853,TOTAL,168,135,
PICO RIVERA,5230043A,2085,286,N,984,POLLING PLACE,136,103,
PICO RIVERA,5230043A,2085,286,N,,VBM PORTION,52,42,
PICO RIVERA,5230043A,2085,286,N,984,TOTAL,188,145,
PICO RIVERA,5230044A,2086,286,N,946,POLLING PLACE,126,99,
PICO RIVERA,5230044A,2086,286,N,,VBM PORTION,40,31,
PICO RIVERA,5230044A,2086,286,N,946,TOTAL,166,130,
PICO RIVERA,5230045A,2087,286,N,1048,POLLING PLACE,116,92,
PICO RIVERA,5230045A,2087,286,N,,VBM PORTION,27,15,
PICO RIVERA,5230045A,2087,286,N,1048,TOTAL,143,107,
PICO RIVERA,5230049A,2088,286,N,967,POLLING PLACE,144,114,
PICO RIVERA,5230049A,2088,286,N,,VBM PORTION,38,31,
PICO RIVERA,5230049A,2088,286,N,967,TOTAL,182,145,
PICO RIVERA,5230068A,2089,286,N,860,POLLING PLACE,141,110,
PICO RIVERA,5230068A,2089,286,N,,VBM PORTION,23,16,
PICO RIVERA,5230068A,2089,286,N,860,TOTAL,164,126,
PICO RIVERA,5230080A,2090,286,N,1101,POLLING PLACE,154,120,
PICO RIVERA,5230080A,2090,286,N,,VBM PORTION,61,43,
PICO RIVERA,5230080A,2090,286,N,1101,TOTAL,215,163,
PICO RIVERA,5230081A,2091,286,N,934,POLLING PLACE,130,112,
PICO RIVERA,5230081A,2091,286,N,,VBM PORTION,57,40,
PICO RIVERA,5230081A,2091,286,N,934,TOTAL,187,152,
PIONEER,5240020A,6190,275,Y,188,POLLING PLACE,,,
PIONEER,5240020A,6190,275,Y,,VBM PORTION,21,15,
PIONEER,5240020A,6190,275,Y,188,TOTAL,21,15,
BALLOT GROUP 269,9990269A,8269,269,N,,POLLING PLACE,,,
BALLOT GROUP 269,9990269A,8269,269,N,,VBM PORTION,,,
BALLOT GROUP 269,9990269A,8269,269,N,,TOTAL,,,
BALLOT GROUP 270,9990270A,8270,270,N,,POLLING PLACE,,,
BALLOT GROUP 270,9990270A,8270,270,N,,VBM PORTION,,,
BALLOT GROUP 270,9990270A,8270,270,N,,TOTAL,,,
BALLOT GROUP 271,9990271A,8271,271,N,,POLLING PLACE,,,
BALLOT GROUP 271,9990271A,8271,271,N,,VBM PORTION,,,
BALLOT GROUP 271,9990271A,8271,271,N,,TOTAL,,,
BALLOT GROUP 272,9990272A,8272,272,N,,POLLING PLACE,,,
BALLOT GROUP 272,9990272A,8272,272,N,,VBM PORTION,,,
BALLOT GROUP 272,9990272A,8272,272,N,,TOTAL,,,
BALLOT GROUP 273,9990273A,8273,273,N,,POLLING PLACE,,,
BALLOT GROUP 273,9990273A,8273,273,N,,VBM PORTION,,,
BALLOT GROUP 273,9990273A,8273,273,N,,TOTAL,,,
BALLOT GROUP 274,9990274A,8274,274,N,,POLLING PLACE,,,
BALLOT GROUP 274,9990274A,8274,274,N,,VBM PORTION,,,
BALLOT GROUP 274,9990274A,8274,274,N,,TOTAL,,,
BALLOT GROUP 275,9990275A,8275,275,N,,POLLING PLACE,,,
BALLOT GROUP 275,9990275A,8275,275,N,,VBM PORTION,,,
BALLOT GROUP 275,9990275A,8275,275,N,,TOTAL,,,
BALLOT GROUP 276,9990276A,8276,276,N,,POLLING PLACE,,,
BALLOT GROUP 276,9990276A,8276,276,N,,VBM PORTION,,,
BALLOT GROUP 276,9990276A,8276,276,N,,TOTAL,,,
BALLOT GROUP 277,9990277A,8277,277,N,,POLLING PLACE,,,
BALLOT GROUP 277,9990277A,8277,277,N,,VBM PORTION,,,
BALLOT GROUP 277,9990277A,8277,277,N,,TOTAL,,,
BALLOT GROUP 278,9990278A,8278,278,N,,POLLING PLACE,,,
BALLOT GROUP 278,9990278A,8278,278,N,,VBM PORTION,,,
BALLOT GROUP 278,9990278A,8278,278,N,,TOTAL,,,
BALLOT GROUP 279,9990279A,8279,279,N,,POLLING PLACE,,,
BALLOT GROUP 279,9990279A,8279,279,N,,VBM PORTION,,,
BALLOT GROUP 279,9990279A,8279,279,N,,TOTAL,,,
BALLOT GROUP 280,9990280A,8280,280,N,,POLLING PLACE,,,
BALLOT GROUP 280,9990280A,8280,280,N,,VBM PORTION,,,
BALLOT GROUP 280,9990280A,8280,280,N,,TOTAL,,,
BALLOT GROUP 281,9990281A,8281,281,N,,POLLING PLACE,,,
BALLOT GROUP 281,9990281A,8281,281,N,,VBM PORTION,,,
BALLOT GROUP 281,9990281A,8281,281,N,,TOTAL,,,
BALLOT GROUP 282,9990282A,8282,282,N,,POLLING PLACE,,,
BALLOT GROUP 282,9990282A,8282,282,N,,VBM PORTION,,,
BALLOT GROUP 282,9990282A,8282,282,N,,TOTAL,,,
BALLOT GROUP 283,9990283A,8283,283,N,,POLLING PLACE,,,
BALLOT GROUP 283,9990283A,8283,283,N,,VBM PORTION,,,
BALLOT GROUP 283,9990283A,8283,283,N,,TOTAL,,,
BALLOT GROUP 284,9990284A,8284,284,N,,POLLING PLACE,,,
BALLOT GROUP 284,9990284A,8284,284,N,,VBM PORTION,,,
BALLOT GROUP 284,9990284A,8284,284,N,,TOTAL,,,
BALLOT GROUP 285,9990285A,8285,285,N,,POLLING PLACE,,,
BALLOT GROUP 285,9990285A,8285,285,N,,VBM PORTION,,,
BALLOT GROUP 285,9990285A,8285,285,N,,TOTAL,,,
BALLOT GROUP 286,9990286A,8286,286,N,,POLLING PLACE,,,
BALLOT GROUP 286,9990286A,8286,286,N,,VBM PORTION,,,
BALLOT GROUP 286,9990286A,8286,286,N,,TOTAL,,,
BALLOT GROUP 287,9990287A,8287,287,N,,POLLING PLACE,,,
BALLOT GROUP 287,9990287A,8287,287,N,,VBM PORTION,,,
BALLOT GROUP 287,9990287A,8287,287,N,,TOTAL,,,
BALLOT GROUP 288,9990288A,8288,288,N,,POLLING PLACE,,,
BALLOT GROUP 288,9990288A,8288,288,N,,VBM PORTION,,,
BALLOT GROUP 288,9990288A,8288,288,N,,TOTAL,,,
BALLOT GROUP 289,9990289A,8289,289,N,,POLLING PLACE,,,
BALLOT GROUP 289,9990289A,8289,289,N,,VBM PORTION,,,
BALLOT GROUP 289,9990289A,8289,289,N,,TOTAL,,,
BALLOT GROUP 290,9990290A,8290,290,N,,POLLING PLACE,,,
BALLOT GROUP 290,9990290A,8290,290,N,,VBM PORTION,,,
BALLOT GROUP 290,9990290A,8290,290,N,,TOTAL,,,
BALLOT GROUP 291,9990291A,8291,291,N,,POLLING PLACE,,,
BALLOT GROUP 291,9990291A,8291,291,N,,VBM PORTION,,,
BALLOT GROUP 291,9990291A,8291,291,N,,TOTAL,,,
BALLOT GROUP 292,9990292A,8292,292,N,,POLLING PLACE,,,
BALLOT GROUP 292,9990292A,8292,292,N,,VBM PORTION,,,
BALLOT GROUP 292,9990292A,8292,292,N,,TOTAL,,,
BALLOT GROUP 293,9990293A,8293,293,N,,POLLING PLACE,,,
BALLOT GROUP 293,9990293A,8293,293,N,,VBM PORTION,,,
BALLOT GROUP 293,9990293A,8293,293,N,,TOTAL,,,
BALLOT GROUP 294,9990294A,8294,294,N,,POLLING PLACE,,,
BALLOT GROUP 294,9990294A,8294,294,N,,VBM PORTION,,,
BALLOT GROUP 294,9990294A,8294,294,N,,TOTAL,,,
BALLOT GROUP 295,9990295A,8295,295,N,,POLLING PLACE,,,
BALLOT GROUP 295,9990295A,8295,295,N,,VBM PORTION,,,
BALLOT GROUP 295,9990295A,8295,295,N,,TOTAL,,,
BALLOT GROUP 296,9990296A,8296,296,N,,POLLING PLACE,,,
BALLOT GROUP 296,9990296A,8296,296,N,,VBM PORTION,,,
BALLOT GROUP 296,9990296A,8296,296,N,,TOTAL,,,
BALLOT GROUP 297,9990297A,8297,297,N,,POLLING PLACE,,,
BALLOT GROUP 297,9990297A,8297,297,N,,VBM PORTION,,,
BALLOT GROUP 297,9990297A,8297,297,N,,TOTAL,,,
BALLOT GROUP 298,9990298A,8298,298,N,,POLLING PLACE,,,
BALLOT GROUP 298,9990298A,8298,298,N,,VBM PORTION,,,
BALLOT GROUP 298,9990298A,8298,298,N,,TOTAL,,,
BALLOT GROUP 299,9990299A,8299,299,N,,POLLING PLACE,,,
BALLOT GROUP 299,9990299A,8299,299,N,,VBM PORTION,,,
BALLOT GROUP 299,9990299A,8299,299,N,,TOTAL,,,
BALLOT GROUP 300,9990300A,8300,300,N,,POLLING PLACE,,,
BALLOT GROUP 300,9990300A,8300,300,N,,VBM PORTION,,,
BALLOT GROUP 300,9990300A,8300,300,N,,TOTAL,,,
BALLOT GROUP 301,9990301A,8301,301,N,,POLLING PLACE,,,
BALLOT GROUP 301,9990301A,8301,301,N,,VBM PORTION,,,
BALLOT GROUP 301,9990301A,8301,301,N,,TOTAL,,,
BALLOT GROUP 302,9990302A,8302,302,N,,POLLING PLACE,,,
BALLOT GROUP 302,9990302A,8302,302,N,,VBM PORTION,,,
BALLOT GROUP 302,9990302A,8302,302,N,,TOTAL,,,
BALLOT GROUP 303,9990303A,8303,303,N,,POLLING PLACE,,,
BALLOT GROUP 303,9990303A,8303,303,N,,VBM PORTION,,,
BALLOT GROUP 303,9990303A,8303,303,N,,TOTAL,,,
BALLOT GROUP 304,9990304A,8304,304,N,,POLLING PLACE,,,
BALLOT GROUP 304,9990304A,8304,304,N,,VBM PORTION,,,
BALLOT GROUP 304,9990304A,8304,304,N,,TOTAL,,,
BALLOT GROUP 305,9990305A,8305,305,N,,POLLING PLACE,,,
BALLOT GROUP 305,9990305A,8305,305,N,,VBM PORTION,,,
BALLOT GROUP 305,9990305A,8305,305,N,,TOTAL,,,
BALLOT GROUP 306,9990306A,8306,306,N,,POLLING PLACE,,,
BALLOT GROUP 306,9990306A,8306,306,N,,VBM PORTION,,,
BALLOT GROUP 306,9990306A,8306,306,N,,TOTAL,,,
