LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ADAM B SCHIFF,STEVE STOKES,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
AGUA DULCE,0090017A,6015,51,Y,,POLLING PLACE,,,,
AGUA DULCE,0090017A,6015,51,Y,,VBM PORTION,,,,
AGUA DULCE,0090017A,6015,51,Y,,TOTAL,,,,
BURBANK,0950001A,296,103,N,1191,POLLING PLACE,276,198,65,
BURBANK,0950001A,296,103,N,,VBM PORTION,117,61,43,
BURBANK,0950001A,296,103,N,1191,TOTAL,393,259,108,
BURBANK,0950005B,297,103,N,1237,POLLING PLACE,217,144,58,
BURBANK,0950005B,297,103,N,,VBM PORTION,107,71,31,
BURBANK,0950005B,297,103,N,1237,TOTAL,324,215,89,
BURBANK,0950008A,298,103,N,993,POLLING PLACE,215,152,56,
BURBANK,0950008A,298,103,N,,VBM PORTION,106,63,28,
BURBANK,0950008A,298,103,N,993,TOTAL,321,215,84,
BURBANK,0950009A,299,103,N,1287,POLLING PLACE,255,143,87,
BURBANK,0950009A,299,103,N,,VBM PORTION,148,90,47,
BURBANK,0950009A,299,103,N,1287,TOTAL,403,233,134,
BURBANK,0950011A,300,103,N,435,POLLING PLACE,89,61,25,
BURBANK,0950011A,300,103,N,,VBM PORTION,53,44,5,
BURBANK,0950011A,300,103,N,435,TOTAL,142,105,30,
BURBANK,0950013B,302,103,N,1152,POLLING PLACE,225,116,95,
BURBANK,0950013B,302,103,N,,VBM PORTION,127,57,56,
BURBANK,0950013B,302,103,N,1152,TOTAL,352,173,151,
BURBANK,0950015A,303,103,N,1245,POLLING PLACE,135,93,32,
BURBANK,0950015A,303,103,N,,VBM PORTION,142,108,21,
BURBANK,0950015A,303,103,N,1245,TOTAL,277,201,53,
BURBANK,0950018A,305,103,N,549,POLLING PLACE,63,41,15,
BURBANK,0950018A,305,103,N,,VBM PORTION,29,20,7,
BURBANK,0950018A,305,103,N,549,TOTAL,92,61,22,
BURBANK,0950019A,306,103,N,1197,POLLING PLACE,201,133,58,
BURBANK,0950019A,306,103,N,,VBM PORTION,69,48,19,
BURBANK,0950019A,306,103,N,1197,TOTAL,270,181,77,
BURBANK,0950022A,307,103,N,901,POLLING PLACE,144,101,39,
BURBANK,0950022A,307,103,N,,VBM PORTION,52,38,9,
BURBANK,0950022A,307,103,N,901,TOTAL,196,139,48,
BURBANK,0950024C,308,103,N,1211,POLLING PLACE,240,152,78,
BURBANK,0950024C,308,103,N,,VBM PORTION,141,80,50,
BURBANK,0950024C,308,103,N,1211,TOTAL,381,232,128,
BURBANK,0950025A,309,103,N,785,POLLING PLACE,230,154,65,
BURBANK,0950025A,309,103,N,,VBM PORTION,78,53,22,
BURBANK,0950025A,309,103,N,785,TOTAL,308,207,87,
BURBANK,0950027A,310,103,N,1224,POLLING PLACE,158,106,42,
BURBANK,0950027A,310,103,N,,VBM PORTION,65,47,11,
BURBANK,0950027A,310,103,N,1224,TOTAL,223,153,53,
BURBANK,0950031A,311,103,N,1072,POLLING PLACE,301,205,84,
BURBANK,0950031A,311,103,N,,VBM PORTION,102,65,30,
BURBANK,0950031A,311,103,N,1072,TOTAL,403,270,114,
BURBANK,0950032A,312,103,N,776,POLLING PLACE,200,133,58,
BURBANK,0950032A,312,103,N,,VBM PORTION,81,52,23,
BURBANK,0950032A,312,103,N,776,TOTAL,281,185,81,
BURBANK,0950042A,315,103,N,904,POLLING PLACE,93,73,14,
BURBANK,0950042A,315,103,N,,VBM PORTION,48,30,12,
BURBANK,0950042A,315,103,N,904,TOTAL,141,103,26,
BURBANK,0950131A,316,103,N,1014,POLLING PLACE,224,163,48,
BURBANK,0950131A,316,103,N,,VBM PORTION,99,81,11,
BURBANK,0950131A,316,103,N,1014,TOTAL,323,244,59,
BURBANK,0950132A,317,103,N,1163,POLLING PLACE,198,124,59,
BURBANK,0950132A,317,103,N,,VBM PORTION,90,56,30,
BURBANK,0950132A,317,103,N,1163,TOTAL,288,180,89,
BURBANK,0950134A,318,103,N,1180,POLLING PLACE,328,212,103,
BURBANK,0950134A,318,103,N,,VBM PORTION,104,70,27,
BURBANK,0950134A,318,103,N,1180,TOTAL,432,282,130,
BURBANK,0950135A,319,103,N,1299,POLLING PLACE,238,142,89,
BURBANK,0950135A,319,103,N,,VBM PORTION,163,101,49,
BURBANK,0950135A,319,103,N,1299,TOTAL,401,243,138,
BURBANK,0950137A,320,103,N,836,POLLING PLACE,181,108,56,
BURBANK,0950137A,320,103,N,,VBM PORTION,92,51,31,
BURBANK,0950137A,320,103,N,836,TOTAL,273,159,87,
BURBANK,0950140A,321,103,N,995,POLLING PLACE,211,114,71,
BURBANK,0950140A,321,103,N,,VBM PORTION,117,69,34,
BURBANK,0950140A,321,103,N,995,TOTAL,328,183,105,
BURBANK,0950142A,322,103,N,1179,POLLING PLACE,210,145,55,
BURBANK,0950142A,322,103,N,,VBM PORTION,81,58,17,
BURBANK,0950142A,322,103,N,1179,TOTAL,291,203,72,
BURBANK,0950144A,323,103,N,1269,POLLING PLACE,210,147,44,
BURBANK,0950144A,323,103,N,,VBM PORTION,103,72,22,
BURBANK,0950144A,323,103,N,1269,TOTAL,313,219,66,
BURBANK,0950146A,324,103,N,1210,POLLING PLACE,250,157,77,
BURBANK,0950146A,324,103,N,,VBM PORTION,69,48,17,
BURBANK,0950146A,324,103,N,1210,TOTAL,319,205,94,
BURBANK,0950149A,325,103,N,920,POLLING PLACE,154,88,50,
BURBANK,0950149A,325,103,N,,VBM PORTION,118,64,48,
BURBANK,0950149A,325,103,N,920,TOTAL,272,152,98,
BURBANK,0950151A,326,103,N,1278,POLLING PLACE,186,130,48,
BURBANK,0950151A,326,103,N,,VBM PORTION,119,88,23,
BURBANK,0950151A,326,103,N,1278,TOTAL,305,218,71,
BURBANK,0950154A,327,103,N,1116,POLLING PLACE,142,101,28,
BURBANK,0950154A,327,103,N,,VBM PORTION,133,103,24,
BURBANK,0950154A,327,103,N,1116,TOTAL,275,204,52,
