LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOHNNIE ROBERTS JR,JAMES T LAW,DANIELA CALDERON,W H MURRAY JR,MERVIN EVANS,
ALONDRA PARK,0180001A,64,336,N,905,POLLING PLACE,79,7,5,20,29,6,
ALONDRA PARK,0180001A,64,336,N,,VBM PORTION,43,3,2,12,20,1,
ALONDRA PARK,0180001A,64,336,N,905,TOTAL,122,10,7,32,49,7,
DEL AIRE,1680001A,615,338,N,825,POLLING PLACE,175,10,15,38,67,4,
DEL AIRE,1680001A,615,338,N,,VBM PORTION,54,5,9,6,17,4,
DEL AIRE,1680001A,615,338,N,825,TOTAL,229,15,24,44,84,8,
DEL AIRE,1680002B,616,338,N,956,POLLING PLACE,263,19,17,40,91,17,
DEL AIRE,1680002B,616,338,N,,VBM PORTION,71,3,6,6,28,1,
DEL AIRE,1680002B,616,338,N,956,TOTAL,334,22,23,46,119,18,
DEL AIRE,1680003A,617,338,N,861,POLLING PLACE,205,8,14,50,82,12,
DEL AIRE,1680003A,617,338,N,,VBM PORTION,70,3,,10,39,,
DEL AIRE,1680003A,617,338,N,861,TOTAL,275,11,14,60,121,12,
DEL AIRE,1680004A,618,338,N,765,POLLING PLACE,164,6,5,31,58,18,
DEL AIRE,1680004A,618,338,N,,VBM PORTION,60,1,2,9,24,,
DEL AIRE,1680004A,618,338,N,765,TOTAL,224,7,7,40,82,18,
DEL AIRE,1680005A,619,338,N,410,POLLING PLACE,80,6,7,19,28,5,
DEL AIRE,1680005A,619,338,N,,VBM PORTION,19,2,6,1,1,,
DEL AIRE,1680005A,619,338,N,410,TOTAL,99,8,13,20,29,5,
DEL AIRE,1680006C,620,338,N,642,POLLING PLACE,111,8,5,27,39,2,
DEL AIRE,1680006C,620,338,N,,VBM PORTION,46,,5,12,23,2,
DEL AIRE,1680006C,620,338,N,642,TOTAL,157,8,10,39,62,4,
