LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BRAD SHERMAN,MARK S REED,
LOS ANGELES,9000058A,3017,126,N,,VBM PORTION,52,36,13,
LOS ANGELES,9000058A,3017,126,N,1174,TOTAL,275,190,75,
LOS ANGELES,9000062A,3020,113,N,1045,POLLING PLACE,156,96,47,
LOS ANGELES,9000062A,3020,113,N,,VBM PORTION,63,41,15,
LOS ANGELES,9000062A,3020,113,N,1045,TOTAL,219,137,62,
LOS ANGELES,9000063B,3021,113,N,1067,POLLING PLACE,147,112,29,
LOS ANGELES,9000063B,3021,113,N,,VBM PORTION,60,36,18,
LOS ANGELES,9000063B,3021,113,N,1067,TOTAL,207,148,47,
LOS ANGELES,9000064A,3022,115,N,1249,POLLING PLACE,193,133,52,
LOS ANGELES,9000064A,3022,115,N,,VBM PORTION,55,28,24,
LOS ANGELES,9000064A,3022,115,N,1249,TOTAL,248,161,76,
LOS ANGELES,9000065A,3023,113,N,853,POLLING PLACE,158,103,47,
LOS ANGELES,9000065A,3023,113,N,,VBM PORTION,57,39,11,
LOS ANGELES,9000065A,3023,113,N,853,TOTAL,215,142,58,
LOS ANGELES,9000071A,3027,115,N,1141,POLLING PLACE,175,112,57,
LOS ANGELES,9000071A,3027,115,N,,VBM PORTION,89,61,26,
LOS ANGELES,9000071A,3027,115,N,1141,TOTAL,264,173,83,
LOS ANGELES,9000083A,3036,126,N,990,POLLING PLACE,207,117,70,
LOS ANGELES,9000083A,3036,126,N,,VBM PORTION,44,32,11,
LOS ANGELES,9000083A,3036,126,N,990,TOTAL,251,149,81,
LOS ANGELES,9000084A,3037,116,N,1093,POLLING PLACE,209,108,95,
LOS ANGELES,9000084A,3037,116,N,,VBM PORTION,68,32,32,
LOS ANGELES,9000084A,3037,116,N,1093,TOTAL,277,140,127,
LOS ANGELES,9000086A,3038,126,N,948,POLLING PLACE,216,133,76,
LOS ANGELES,9000086A,3038,126,N,,VBM PORTION,61,42,18,
LOS ANGELES,9000086A,3038,126,N,948,TOTAL,277,175,94,
LOS ANGELES,9000092A,3043,115,N,1244,POLLING PLACE,220,135,78,
LOS ANGELES,9000092A,3043,115,N,,VBM PORTION,106,68,36,
LOS ANGELES,9000092A,3043,115,N,1244,TOTAL,326,203,114,
LOS ANGELES,9000095A,3046,54,N,771,POLLING PLACE,132,68,51,
LOS ANGELES,9000095A,3046,54,N,,VBM PORTION,71,31,36,
LOS ANGELES,9000095A,3046,54,N,771,TOTAL,203,99,87,
LOS ANGELES,9000096B,3047,115,N,1102,POLLING PLACE,161,95,62,
LOS ANGELES,9000096B,3047,115,N,,VBM PORTION,109,61,43,
LOS ANGELES,9000096B,3047,115,N,1102,TOTAL,270,156,105,
LOS ANGELES,9000098A,3049,115,N,1322,POLLING PLACE,165,119,39,
LOS ANGELES,9000098A,3049,115,N,,VBM PORTION,44,35,6,
LOS ANGELES,9000098A,3049,115,N,1322,TOTAL,209,154,45,
LOS ANGELES,9000099B,3050,115,N,1133,POLLING PLACE,166,123,36,
LOS ANGELES,9000099B,3050,115,N,,VBM PORTION,89,55,29,
LOS ANGELES,9000099B,3050,115,N,1133,TOTAL,255,178,65,
LOS ANGELES,9000100B,3051,115,N,1447,POLLING PLACE,204,117,79,
LOS ANGELES,9000100B,3051,115,N,,VBM PORTION,124,61,57,
LOS ANGELES,9000100B,3051,115,N,1447,TOTAL,328,178,136,
LOS ANGELES,9000104A,3054,54,N,1069,POLLING PLACE,233,116,110,
LOS ANGELES,9000104A,3054,54,N,,VBM PORTION,102,48,45,
LOS ANGELES,9000104A,3054,54,N,1069,TOTAL,335,164,155,
LOS ANGELES,9000115A,3058,115,N,1032,POLLING PLACE,132,83,39,
LOS ANGELES,9000115A,3058,115,N,,VBM PORTION,60,37,21,
LOS ANGELES,9000115A,3058,115,N,1032,TOTAL,192,120,60,
LOS ANGELES,9000118A,3060,110,N,1275,POLLING PLACE,227,136,81,
LOS ANGELES,9000118A,3060,110,N,,VBM PORTION,85,35,49,
LOS ANGELES,9000118A,3060,110,N,1275,TOTAL,312,171,130,
LOS ANGELES,9000128A,3066,115,N,929,POLLING PLACE,129,80,44,
LOS ANGELES,9000128A,3066,115,N,,VBM PORTION,55,37,15,
LOS ANGELES,9000128A,3066,115,N,929,TOTAL,184,117,59,
LOS ANGELES,9000129C,3067,115,N,1359,POLLING PLACE,190,119,60,
LOS ANGELES,9000129C,3067,115,N,,VBM PORTION,98,59,32,
LOS ANGELES,9000129C,3067,115,N,1359,TOTAL,288,178,92,
LOS ANGELES,9000131A,3068,113,N,1310,POLLING PLACE,227,150,64,
LOS ANGELES,9000131A,3068,113,N,,VBM PORTION,82,55,21,
LOS ANGELES,9000131A,3068,113,N,1310,TOTAL,309,205,85,
LOS ANGELES,9000132A,3069,113,N,1123,POLLING PLACE,171,122,38,
LOS ANGELES,9000132A,3069,113,N,,VBM PORTION,52,43,6,
LOS ANGELES,9000132A,3069,113,N,1123,TOTAL,223,165,44,
LOS ANGELES,9000133A,3070,113,N,697,POLLING PLACE,117,71,39,
LOS ANGELES,9000133A,3070,113,N,,VBM PORTION,37,27,9,
LOS ANGELES,9000133A,3070,113,N,697,TOTAL,154,98,48,
LOS ANGELES,9000154B,3084,125,N,1216,POLLING PLACE,302,204,74,
LOS ANGELES,9000154B,3084,125,N,,VBM PORTION,107,69,35,
LOS ANGELES,9000154B,3084,125,N,1216,TOTAL,409,273,109,
LOS ANGELES,9000155A,3085,126,N,1218,POLLING PLACE,200,133,63,
LOS ANGELES,9000155A,3085,126,N,,VBM PORTION,81,49,27,
LOS ANGELES,9000155A,3085,126,N,1218,TOTAL,281,182,90,
LOS ANGELES,9000155B,3086,126,N,1270,POLLING PLACE,199,120,67,
LOS ANGELES,9000155B,3086,126,N,,VBM PORTION,78,52,25,
LOS ANGELES,9000155B,3086,126,N,1270,TOTAL,277,172,92,
LOS ANGELES,9000158A,3088,116,N,1128,POLLING PLACE,196,104,81,
LOS ANGELES,9000158A,3088,116,N,,VBM PORTION,95,55,34,
LOS ANGELES,9000158A,3088,116,N,1128,TOTAL,291,159,115,
LOS ANGELES,9000160A,3089,126,N,844,POLLING PLACE,200,117,69,
LOS ANGELES,9000160A,3089,126,N,,VBM PORTION,69,36,28,
LOS ANGELES,9000160A,3089,126,N,844,TOTAL,269,153,97,
LOS ANGELES,9000172A,3093,126,N,977,POLLING PLACE,150,96,48,
LOS ANGELES,9000172A,3093,126,N,,VBM PORTION,82,64,15,
LOS ANGELES,9000172A,3093,126,N,977,TOTAL,232,160,63,
LOS ANGELES,9000174A,3094,115,N,816,POLLING PLACE,143,98,39,
LOS ANGELES,9000174A,3094,115,N,,VBM PORTION,80,59,17,
LOS ANGELES,9000174A,3094,115,N,816,TOTAL,223,157,56,
LOS ANGELES,9000175A,3095,115,N,1085,POLLING PLACE,156,92,46,
LOS ANGELES,9000175A,3095,115,N,,VBM PORTION,59,34,24,
LOS ANGELES,9000175A,3095,115,N,1085,TOTAL,215,126,70,
LOS ANGELES,9000176A,3096,116,N,1135,POLLING PLACE,235,120,105,
LOS ANGELES,9000176A,3096,116,N,,VBM PORTION,165,114,43,
LOS ANGELES,9000176A,3096,116,N,1135,TOTAL,400,234,148,
LOS ANGELES,9000180A,3099,113,N,1230,POLLING PLACE,141,86,49,
LOS ANGELES,9000180A,3099,113,N,,VBM PORTION,72,55,15,
LOS ANGELES,9000180A,3099,113,N,1230,TOTAL,213,141,64,
LOS ANGELES,9000181A,3100,113,N,1168,POLLING PLACE,139,100,30,
LOS ANGELES,9000181A,3100,113,N,,VBM PORTION,84,52,25,
LOS ANGELES,9000181A,3100,113,N,1168,TOTAL,223,152,55,
LOS ANGELES,9000182A,3101,113,N,1304,POLLING PLACE,158,109,44,
LOS ANGELES,9000182A,3101,113,N,,VBM PORTION,106,76,27,
LOS ANGELES,9000182A,3101,113,N,1304,TOTAL,264,185,71,
LOS ANGELES,9000185C,3103,54,N,1301,POLLING PLACE,171,102,55,
LOS ANGELES,9000185C,3103,54,N,,VBM PORTION,117,72,38,
LOS ANGELES,9000185C,3103,54,N,1301,TOTAL,288,174,93,
LOS ANGELES,9000187A,3104,115,N,1269,POLLING PLACE,203,146,39,
LOS ANGELES,9000187A,3104,115,N,,VBM PORTION,141,100,36,
LOS ANGELES,9000187A,3104,115,N,1269,TOTAL,344,246,75,
LOS ANGELES,9000189C,3105,115,N,982,POLLING PLACE,151,92,55,
LOS ANGELES,9000189C,3105,115,N,,VBM PORTION,97,64,26,
LOS ANGELES,9000189C,3105,115,N,982,TOTAL,248,156,81,
LOS ANGELES,9000191A,3106,116,N,933,POLLING PLACE,178,96,76,
LOS ANGELES,9000191A,3106,116,N,,VBM PORTION,75,31,36,
LOS ANGELES,9000191A,3106,116,N,933,TOTAL,253,127,112,
LOS ANGELES,9000192A,3107,126,N,1088,POLLING PLACE,180,127,46,
LOS ANGELES,9000192A,3107,126,N,,VBM PORTION,64,48,14,
LOS ANGELES,9000192A,3107,126,N,1088,TOTAL,244,175,60,
LOS ANGELES,9000203A,3111,115,N,1130,POLLING PLACE,269,182,79,
LOS ANGELES,9000203A,3111,115,N,,VBM PORTION,63,36,24,
LOS ANGELES,9000203A,3111,115,N,1130,TOTAL,332,218,103,
LOS ANGELES,9000206A,3113,115,N,1358,POLLING PLACE,191,126,55,
LOS ANGELES,9000206A,3113,115,N,,VBM PORTION,82,56,23,
LOS ANGELES,9000206A,3113,115,N,1358,TOTAL,273,182,78,
LOS ANGELES,9000207B,3114,115,N,800,POLLING PLACE,169,98,66,
LOS ANGELES,9000207B,3114,115,N,,VBM PORTION,75,44,25,
LOS ANGELES,9000207B,3114,115,N,800,TOTAL,244,142,91,
LOS ANGELES,9000212B,3115,115,N,524,POLLING PLACE,134,69,57,
LOS ANGELES,9000212B,3115,115,N,,VBM PORTION,29,20,9,
LOS ANGELES,9000212B,3115,115,N,524,TOTAL,163,89,66,
LOS ANGELES,9000213B,3116,115,N,884,POLLING PLACE,135,74,54,
LOS ANGELES,9000213B,3116,115,N,,VBM PORTION,82,51,28,
LOS ANGELES,9000213B,3116,115,N,884,TOTAL,217,125,82,
LOS ANGELES,9000215B,3118,125,N,1199,POLLING PLACE,235,170,56,
LOS ANGELES,9000215B,3118,125,N,,VBM PORTION,124,77,37,
LOS ANGELES,9000215B,3118,125,N,1199,TOTAL,359,247,93,
LOS ANGELES,9000224A,3122,33,N,1432,POLLING PLACE,224,149,60,
LOS ANGELES,9000224A,3122,33,N,,VBM PORTION,83,53,27,
LOS ANGELES,9000224A,3122,33,N,1432,TOTAL,307,202,87,
LOS ANGELES,9000225A,3123,115,N,941,POLLING PLACE,148,90,53,
LOS ANGELES,9000225A,3123,115,N,,VBM PORTION,63,37,23,
LOS ANGELES,9000225A,3123,115,N,941,TOTAL,211,127,76,
LOS ANGELES,9000228A,3124,115,N,1262,POLLING PLACE,188,126,55,
LOS ANGELES,9000228A,3124,115,N,,VBM PORTION,97,63,31,
LOS ANGELES,9000228A,3124,115,N,1262,TOTAL,285,189,86,
LOS ANGELES,9000229A,3125,115,N,1123,POLLING PLACE,277,163,96,
LOS ANGELES,9000229A,3125,115,N,,VBM PORTION,114,67,43,
LOS ANGELES,9000229A,3125,115,N,1123,TOTAL,391,230,139,
LOS ANGELES,9000230A,3126,115,N,991,POLLING PLACE,215,126,80,
LOS ANGELES,9000230A,3126,115,N,,VBM PORTION,112,63,44,
LOS ANGELES,9000230A,3126,115,N,991,TOTAL,327,189,124,
LOS ANGELES,9000231A,3127,125,N,1225,POLLING PLACE,309,226,63,
LOS ANGELES,9000231A,3127,125,N,,VBM PORTION,104,70,27,
LOS ANGELES,9000231A,3127,125,N,1225,TOTAL,413,296,90,
LOS ANGELES,9000234A,3129,115,N,1094,POLLING PLACE,251,131,99,
LOS ANGELES,9000234A,3129,115,N,,VBM PORTION,95,44,43,
LOS ANGELES,9000234A,3129,115,N,1094,TOTAL,346,175,142,
LOS ANGELES,9000236B,3130,115,N,1167,POLLING PLACE,174,83,81,
LOS ANGELES,9000236B,3130,115,N,,VBM PORTION,96,56,39,
LOS ANGELES,9000236B,3130,115,N,1167,TOTAL,270,139,120,
LOS ANGELES,9000246A,3135,115,N,1050,POLLING PLACE,236,129,94,
LOS ANGELES,9000246A,3135,115,N,,VBM PORTION,89,46,42,
LOS ANGELES,9000246A,3135,115,N,1050,TOTAL,325,175,136,
LOS ANGELES,9000250B,3138,115,N,1240,POLLING PLACE,157,94,52,
LOS ANGELES,9000250B,3138,115,N,,VBM PORTION,117,83,27,
LOS ANGELES,9000250B,3138,115,N,1240,TOTAL,274,177,79,
LOS ANGELES,9000251A,3139,125,N,784,POLLING PLACE,222,151,65,
LOS ANGELES,9000251A,3139,125,N,,VBM PORTION,75,39,34,
LOS ANGELES,9000251A,3139,125,N,784,TOTAL,297,190,99,
LOS ANGELES,9000254A,3141,115,N,1051,POLLING PLACE,217,150,58,
LOS ANGELES,9000254A,3141,115,N,,VBM PORTION,68,40,24,
LOS ANGELES,9000254A,3141,115,N,1051,TOTAL,285,190,82,
LOS ANGELES,9000255A,3142,115,N,1090,POLLING PLACE,147,104,39,
LOS ANGELES,9000255A,3142,115,N,,VBM PORTION,81,54,25,
LOS ANGELES,9000255A,3142,115,N,1090,TOTAL,228,158,64,
LOS ANGELES,9000257B,3143,115,N,1131,POLLING PLACE,209,147,42,
LOS ANGELES,9000257B,3143,115,N,,VBM PORTION,79,47,26,
LOS ANGELES,9000257B,3143,115,N,1131,TOTAL,288,194,68,
LOS ANGELES,9000259A,3144,115,N,1295,POLLING PLACE,192,133,49,
LOS ANGELES,9000259A,3144,115,N,,VBM PORTION,121,90,28,
LOS ANGELES,9000259A,3144,115,N,1295,TOTAL,313,223,77,
LOS ANGELES,9000260A,3145,125,N,914,POLLING PLACE,168,112,48,
LOS ANGELES,9000260A,3145,125,N,,VBM PORTION,154,104,41,
LOS ANGELES,9000260A,3145,125,N,914,TOTAL,322,216,89,
LOS ANGELES,9000265A,3149,116,N,399,POLLING PLACE,27,24,2,
LOS ANGELES,9000265A,3149,116,N,,VBM PORTION,18,11,5,
LOS ANGELES,9000265A,3149,116,N,399,TOTAL,45,35,7,
LOS ANGELES,9000268A,3151,125,N,1298,POLLING PLACE,262,201,48,
LOS ANGELES,9000268A,3151,125,N,,VBM PORTION,111,84,21,
LOS ANGELES,9000268A,3151,125,N,1298,TOTAL,373,285,69,
LOS ANGELES,9000270A,3153,116,N,1213,POLLING PLACE,223,125,93,
LOS ANGELES,9000270A,3153,116,N,,VBM PORTION,86,52,31,
LOS ANGELES,9000270A,3153,116,N,1213,TOTAL,309,177,124,
LOS ANGELES,9000304A,3174,54,N,1193,POLLING PLACE,193,97,88,
LOS ANGELES,9000304A,3174,54,N,,VBM PORTION,105,50,47,
LOS ANGELES,9000304A,3174,54,N,1193,TOTAL,298,147,135,
LOS ANGELES,9000307A,3176,125,N,1006,POLLING PLACE,215,155,45,
LOS ANGELES,9000307A,3176,125,N,,VBM PORTION,68,53,14,
LOS ANGELES,9000307A,3176,125,N,1006,TOTAL,283,208,59,
LOS ANGELES,9000315C,3182,54,N,916,POLLING PLACE,228,117,102,
LOS ANGELES,9000315C,3182,54,N,,VBM PORTION,87,32,52,
LOS ANGELES,9000315C,3182,54,N,916,TOTAL,315,149,154,
LOS ANGELES,9000318B,3185,115,N,1161,POLLING PLACE,220,121,91,
LOS ANGELES,9000318B,3185,115,N,,VBM PORTION,74,43,28,
LOS ANGELES,9000318B,3185,115,N,1161,TOTAL,294,164,119,
LOS ANGELES,9000333A,3195,33,N,864,POLLING PLACE,160,94,60,
LOS ANGELES,9000333A,3195,33,N,,VBM PORTION,48,32,16,
LOS ANGELES,9000333A,3195,33,N,864,TOTAL,208,126,76,
LOS ANGELES,9000334A,3196,58,N,830,POLLING PLACE,136,82,45,
LOS ANGELES,9000334A,3196,58,N,,VBM PORTION,71,45,21,
LOS ANGELES,9000334A,3196,58,N,830,TOTAL,207,127,66,
LOS ANGELES,9000343A,3199,33,N,617,POLLING PLACE,118,82,31,
LOS ANGELES,9000343A,3199,33,N,,VBM PORTION,28,17,11,
LOS ANGELES,9000343A,3199,33,N,617,TOTAL,146,99,42,
LOS ANGELES,9000347A,3203,125,N,1096,POLLING PLACE,218,165,49,
LOS ANGELES,9000347A,3203,125,N,,VBM PORTION,60,46,10,
LOS ANGELES,9000347A,3203,125,N,1096,TOTAL,278,211,59,
LOS ANGELES,9000348C,3204,125,N,940,POLLING PLACE,159,137,18,
LOS ANGELES,9000348C,3204,125,N,,VBM PORTION,85,60,18,
LOS ANGELES,9000348C,3204,125,N,940,TOTAL,244,197,36,
LOS ANGELES,9000349D,6274,57,Y,,POLLING PLACE,,,,
LOS ANGELES,9000349D,6274,57,Y,,VBM PORTION,,,,
LOS ANGELES,9000349D,6274,57,Y,,TOTAL,,,,
LOS ANGELES,9000359B,3211,115,N,1158,POLLING PLACE,144,86,47,
LOS ANGELES,9000359B,3211,115,N,,VBM PORTION,76,41,33,
LOS ANGELES,9000359B,3211,115,N,1158,TOTAL,220,127,80,
LOS ANGELES,9000393A,3234,116,N,1156,POLLING PLACE,154,94,54,
LOS ANGELES,9000393A,3234,116,N,,VBM PORTION,85,53,31,
LOS ANGELES,9000393A,3234,116,N,1156,TOTAL,239,147,85,
LOS ANGELES,9000401A,3240,116,N,750,POLLING PLACE,157,81,67,
LOS ANGELES,9000401A,3240,116,N,,VBM PORTION,67,30,33,
LOS ANGELES,9000401A,3240,116,N,750,TOTAL,224,111,100,
LOS ANGELES,9000402A,3241,125,N,1259,POLLING PLACE,287,219,60,
LOS ANGELES,9000402A,3241,125,N,,VBM PORTION,108,79,25,
LOS ANGELES,9000402A,3241,125,N,1259,TOTAL,395,298,85,
LOS ANGELES,9000410A,3248,125,N,690,POLLING PLACE,131,101,28,
LOS ANGELES,9000410A,3248,125,N,,VBM PORTION,56,39,17,
LOS ANGELES,9000410A,3248,125,N,690,TOTAL,187,140,45,
LOS ANGELES,9000410D,3249,125,N,1066,POLLING PLACE,278,195,67,
LOS ANGELES,9000410D,3249,125,N,,VBM PORTION,119,80,34,
LOS ANGELES,9000410D,3249,125,N,1066,TOTAL,397,275,101,
LOS ANGELES,9000414A,3251,115,N,1320,POLLING PLACE,142,104,32,
LOS ANGELES,9000414A,3251,115,N,,VBM PORTION,83,61,21,
LOS ANGELES,9000414A,3251,115,N,1320,TOTAL,225,165,53,
LOS ANGELES,9000414B,3252,115,N,1199,POLLING PLACE,161,93,59,
LOS ANGELES,9000414B,3252,115,N,,VBM PORTION,80,52,23,
LOS ANGELES,9000414B,3252,115,N,1199,TOTAL,241,145,82,
LOS ANGELES,9000419A,3256,113,N,1381,POLLING PLACE,209,136,62,
LOS ANGELES,9000419A,3256,113,N,,VBM PORTION,80,40,37,
LOS ANGELES,9000419A,3256,113,N,1381,TOTAL,289,176,99,
LOS ANGELES,9000422A,3257,125,N,1170,POLLING PLACE,264,192,57,
LOS ANGELES,9000422A,3257,125,N,,VBM PORTION,85,61,19,
LOS ANGELES,9000422A,3257,125,N,1170,TOTAL,349,253,76,
LOS ANGELES,9000423B,3258,115,N,1186,POLLING PLACE,201,140,56,
LOS ANGELES,9000423B,3258,115,N,,VBM PORTION,74,42,31,
LOS ANGELES,9000423B,3258,115,N,1186,TOTAL,275,182,87,
LOS ANGELES,9000424A,3259,126,N,862,POLLING PLACE,149,101,40,
LOS ANGELES,9000424A,3259,126,N,,VBM PORTION,66,52,11,
LOS ANGELES,9000424A,3259,126,N,862,TOTAL,215,153,51,
LOS ANGELES,9000425A,3260,126,N,960,POLLING PLACE,232,120,98,
LOS ANGELES,9000425A,3260,126,N,,VBM PORTION,49,31,16,
LOS ANGELES,9000425A,3260,126,N,960,TOTAL,281,151,114,
LOS ANGELES,9000428A,3262,125,N,871,POLLING PLACE,220,127,81,
LOS ANGELES,9000428A,3262,125,N,,VBM PORTION,77,35,37,
LOS ANGELES,9000428A,3262,125,N,871,TOTAL,297,162,118,
LOS ANGELES,9000436A,3263,126,N,1043,POLLING PLACE,203,127,67,
LOS ANGELES,9000436A,3263,126,N,,VBM PORTION,83,55,22,
LOS ANGELES,9000436A,3263,126,N,1043,TOTAL,286,182,89,
LOS ANGELES,9000492C,3294,125,N,1111,POLLING PLACE,224,130,82,
LOS ANGELES,9000492C,3294,125,N,,VBM PORTION,107,51,50,
LOS ANGELES,9000492C,3294,125,N,1111,TOTAL,331,181,132,
LOS ANGELES,9000511A,3310,125,N,916,POLLING PLACE,145,107,27,
LOS ANGELES,9000511A,3310,125,N,,VBM PORTION,68,48,14,
LOS ANGELES,9000511A,3310,125,N,916,TOTAL,213,155,41,
LOS ANGELES,9000525A,3320,115,N,1113,POLLING PLACE,143,93,44,
LOS ANGELES,9000525A,3320,115,N,,VBM PORTION,58,43,13,
