LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JACQUELINE H LEWIS,DAYAN MATHAI,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,43,51,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,164,167,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,67,70,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,25,29,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,92,99,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,119,99,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,51,47,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,170,146,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,107,87,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,38,40,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,145,127,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,110,98,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,48,66,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,158,164,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,93,106,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,50,40,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,143,146,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,80,128,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,27,57,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,107,185,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,39,87,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,15,24,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,54,111,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,36,63,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,18,28,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,54,91,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,7,11,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,7,11,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,1,2,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,1,2,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,2,,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,2,,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
AGUA DULCE,0090012A,6014,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090012A,6014,63,Y,5,TOTAL,,,,
AGUA DULCE,0090017A,6015,51,Y,,POLLING PLACE,,,,
AGUA DULCE,0090017A,6015,51,Y,,VBM PORTION,,,,
AGUA DULCE,0090017A,6015,51,Y,,TOTAL,,,,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,85,61,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,19,31,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,104,92,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,53,42,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,15,18,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,68,60,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,100,74,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,39,29,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,139,103,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,83,60,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,21,24,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,104,84,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,74,65,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,21,22,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,95,87,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,105,86,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,37,40,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,142,126,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,88,42,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,24,22,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,112,64,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,52,60,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,13,20,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,65,80,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,83,72,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,28,25,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,111,97,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,64,66,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,15,35,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,79,101,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,73,63,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,20,17,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,93,80,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,68,49,
ALHAMBRA,0150021A,38,149,N,,VBM PORTION,117,40,39,
ALHAMBRA,0150021A,38,149,N,966,TOTAL,285,108,88,
ALHAMBRA,0150022A,39,150,N,859,POLLING PLACE,211,81,76,
ALHAMBRA,0150022A,39,150,N,,VBM PORTION,60,22,25,
ALHAMBRA,0150022A,39,150,N,859,TOTAL,271,103,101,
ALHAMBRA,0150023A,40,150,N,1103,POLLING PLACE,221,85,70,
ALHAMBRA,0150023A,40,150,N,,VBM PORTION,75,22,20,
ALHAMBRA,0150023A,40,150,N,1103,TOTAL,296,107,90,
ALHAMBRA,0150024A,41,150,N,660,POLLING PLACE,82,33,32,
ALHAMBRA,0150024A,41,150,N,,VBM PORTION,35,10,15,
ALHAMBRA,0150024A,41,150,N,660,TOTAL,117,43,47,
ALHAMBRA,0150025A,42,150,N,863,POLLING PLACE,122,55,36,
ALHAMBRA,0150025A,42,150,N,,VBM PORTION,71,22,21,
ALHAMBRA,0150025A,42,150,N,863,TOTAL,193,77,57,
ALHAMBRA,0150030A,43,150,N,1171,POLLING PLACE,158,57,60,
ALHAMBRA,0150030A,43,150,N,,VBM PORTION,74,29,22,
ALHAMBRA,0150030A,43,150,N,1171,TOTAL,232,86,82,
ALHAMBRA,0150032A,44,150,N,1134,POLLING PLACE,216,85,73,
ALHAMBRA,0150032A,44,150,N,,VBM PORTION,89,34,33,
ALHAMBRA,0150032A,44,150,N,1134,TOTAL,305,119,106,
ALHAMBRA,0150032B,6018,154,Y,9,POLLING PLACE,,,,
ALHAMBRA,0150032B,6018,154,Y,,VBM PORTION,3,1,1,
ALHAMBRA,0150032B,6018,154,Y,9,TOTAL,3,1,1,
ALHAMBRA,0150033A,45,150,N,780,POLLING PLACE,139,53,53,
ALHAMBRA,0150033A,45,150,N,,VBM PORTION,23,8,8,
ALHAMBRA,0150033A,45,150,N,780,TOTAL,162,61,61,
ALHAMBRA,0150037A,46,149,N,1026,POLLING PLACE,207,102,62,
ALHAMBRA,0150037A,46,149,N,,VBM PORTION,78,27,17,
ALHAMBRA,0150037A,46,149,N,1026,TOTAL,285,129,79,
ALHAMBRA,0150039A,47,150,N,1235,POLLING PLACE,129,54,39,
ALHAMBRA,0150039A,47,150,N,,VBM PORTION,86,32,26,
ALHAMBRA,0150039A,47,150,N,1235,TOTAL,215,86,65,
ALHAMBRA,0150041A,48,150,N,565,POLLING PLACE,116,49,27,
ALHAMBRA,0150041A,48,150,N,,VBM PORTION,37,11,12,
ALHAMBRA,0150041A,48,150,N,565,TOTAL,153,60,39,
ALHAMBRA,0150041B,49,149,N,651,POLLING PLACE,122,50,53,
ALHAMBRA,0150041B,49,149,N,,VBM PORTION,61,22,11,
ALHAMBRA,0150041B,49,149,N,651,TOTAL,183,72,64,
ALHAMBRA,0150042A,50,149,N,733,POLLING PLACE,129,40,49,
ALHAMBRA,0150042A,50,149,N,,VBM PORTION,66,31,17,
ALHAMBRA,0150042A,50,149,N,733,TOTAL,195,71,66,
ALHAMBRA,0150044D,51,149,N,664,POLLING PLACE,72,26,31,
ALHAMBRA,0150044D,51,149,N,,VBM PORTION,29,10,11,
ALHAMBRA,0150044D,51,149,N,664,TOTAL,101,36,42,
ALHAMBRA,0150045A,52,149,N,708,POLLING PLACE,96,24,41,
ALHAMBRA,0150045A,52,149,N,,VBM PORTION,49,18,16,
ALHAMBRA,0150045A,52,149,N,708,TOTAL,145,42,57,
ALHAMBRA,0150049A,53,150,N,1142,POLLING PLACE,183,66,59,
ALHAMBRA,0150049A,53,150,N,,VBM PORTION,110,29,36,
ALHAMBRA,0150049A,53,150,N,1142,TOTAL,293,95,95,
ALHAMBRA,0150051A,54,149,N,1129,POLLING PLACE,157,61,51,
ALHAMBRA,0150051A,54,149,N,,VBM PORTION,87,36,29,
ALHAMBRA,0150051A,54,149,N,1129,TOTAL,244,97,80,
ALHAMBRA,0150055A,55,149,N,893,POLLING PLACE,192,63,68,
ALHAMBRA,0150055A,55,149,N,,VBM PORTION,55,18,15,
ALHAMBRA,0150055A,55,149,N,893,TOTAL,247,81,83,
ALHAMBRA,0150056A,56,149,N,1076,POLLING PLACE,180,76,60,
ALHAMBRA,0150056A,56,149,N,,VBM PORTION,41,10,15,
ALHAMBRA,0150056A,56,149,N,1076,TOTAL,221,86,75,
ALHAMBRA,0150059B,57,149,N,951,POLLING PLACE,136,53,52,
ALHAMBRA,0150059B,57,149,N,,VBM PORTION,52,14,14,
ALHAMBRA,0150059B,57,149,N,951,TOTAL,188,67,66,
ALHAMBRA,0150063A,58,149,N,555,POLLING PLACE,68,24,22,
ALHAMBRA,0150063A,58,149,N,,VBM PORTION,40,13,13,
ALHAMBRA,0150063A,58,149,N,555,TOTAL,108,37,35,
ALHAMBRA,0150064A,59,149,N,1169,POLLING PLACE,248,105,77,
ALHAMBRA,0150064A,59,149,N,,VBM PORTION,47,12,19,
ALHAMBRA,0150064A,59,149,N,1169,TOTAL,295,117,96,
ALHAMBRA,0150067A,60,149,N,917,POLLING PLACE,179,55,61,
ALHAMBRA,0150067A,60,149,N,,VBM PORTION,83,25,30,
ALHAMBRA,0150067A,60,149,N,917,TOTAL,262,80,91,
ALHAMBRA,0150075A,61,149,N,1080,POLLING PLACE,243,79,92,
ALHAMBRA,0150075A,61,149,N,,VBM PORTION,85,25,27,
ALHAMBRA,0150075A,61,149,N,1080,TOTAL,328,104,119,
ALHAMBRA,0150079A,62,150,N,906,POLLING PLACE,110,33,47,
ALHAMBRA,0150079A,62,150,N,,VBM PORTION,148,39,62,
ALHAMBRA,0150079A,62,150,N,906,TOTAL,258,72,109,
ALHAMBRA,0150080A,63,150,N,784,POLLING PLACE,160,47,68,
ALHAMBRA,0150080A,63,150,N,,VBM PORTION,82,25,31,
ALHAMBRA,0150080A,63,150,N,784,TOTAL,242,72,99,
ALONDRA PARK,0180001A,64,336,N,905,POLLING PLACE,79,41,28,
ALONDRA PARK,0180001A,64,336,N,,VBM PORTION,43,23,14,
ALONDRA PARK,0180001A,64,336,N,905,TOTAL,122,64,42,
ALTADENA,0200001A,65,81,N,485,POLLING PLACE,155,78,28,
ALTADENA,0200001A,65,81,N,,VBM PORTION,41,18,16,
ALTADENA,0200001A,65,81,N,485,TOTAL,196,96,44,
ALTADENA,0200002A,66,81,N,665,POLLING PLACE,180,64,52,
ALTADENA,0200002A,66,81,N,,VBM PORTION,97,40,31,
ALTADENA,0200002A,66,81,N,665,TOTAL,277,104,83,
ALTADENA,0200003A,67,81,N,836,POLLING PLACE,249,108,81,
ALTADENA,0200003A,67,81,N,,VBM PORTION,58,32,11,
ALTADENA,0200003A,67,81,N,836,TOTAL,307,140,92,
ALTADENA,0200004A,68,82,N,1151,POLLING PLACE,334,133,110,
ALTADENA,0200004A,68,82,N,,VBM PORTION,162,39,63,
ALTADENA,0200004A,68,82,N,1151,TOTAL,496,172,173,
ALTADENA,0200007A,69,82,N,1053,POLLING PLACE,215,78,74,
ALTADENA,0200007A,69,82,N,,VBM PORTION,127,38,49,
ALTADENA,0200007A,69,82,N,1053,TOTAL,342,116,123,
ALTADENA,0200008A,70,81,N,832,POLLING PLACE,199,102,44,
ALTADENA,0200008A,70,81,N,,VBM PORTION,65,21,26,
ALTADENA,0200008A,70,81,N,832,TOTAL,264,123,70,
ALTADENA,0200009A,71,81,N,919,POLLING PLACE,208,97,65,
ALTADENA,0200009A,71,81,N,,VBM PORTION,71,29,26,
ALTADENA,0200009A,71,81,N,919,TOTAL,279,126,91,
ALTADENA,0200011A,72,81,N,837,POLLING PLACE,209,99,65,
ALTADENA,0200011A,72,81,N,,VBM PORTION,88,42,30,
ALTADENA,0200011A,72,81,N,837,TOTAL,297,141,95,
ALTADENA,0200012A,73,82,N,787,POLLING PLACE,191,75,66,
ALTADENA,0200012A,73,82,N,,VBM PORTION,89,32,30,
ALTADENA,0200012A,73,82,N,787,TOTAL,280,107,96,
ALTADENA,0200013A,74,81,N,890,POLLING PLACE,174,73,57,
ALTADENA,0200013A,74,81,N,,VBM PORTION,60,29,17,
ALTADENA,0200013A,74,81,N,890,TOTAL,234,102,74,
ALTADENA,0200015A,75,81,N,1338,POLLING PLACE,265,121,68,
ALTADENA,0200015A,75,81,N,,VBM PORTION,108,29,46,
ALTADENA,0200015A,75,81,N,1338,TOTAL,373,150,114,
ALTADENA,0200017A,76,81,N,962,POLLING PLACE,182,85,47,
ALTADENA,0200017A,76,81,N,,VBM PORTION,46,18,10,
ALTADENA,0200017A,76,81,N,962,TOTAL,228,103,57,
ALTADENA,0200018A,77,81,N,816,POLLING PLACE,140,63,40,
ALTADENA,0200018A,77,81,N,,VBM PORTION,41,16,9,
ALTADENA,0200018A,77,81,N,816,TOTAL,181,79,49,
ALTADENA,0200019B,78,81,N,832,POLLING PLACE,180,86,46,
ALTADENA,0200019B,78,81,N,,VBM PORTION,31,17,10,
ALTADENA,0200019B,78,81,N,832,TOTAL,211,103,56,
ALTADENA,0200022A,79,82,N,841,POLLING PLACE,270,116,71,
ALTADENA,0200022A,79,82,N,,VBM PORTION,123,33,42,
ALTADENA,0200022A,79,82,N,841,TOTAL,393,149,113,
ALTADENA,0200025B,80,82,N,869,POLLING PLACE,238,106,68,
ALTADENA,0200025B,80,82,N,,VBM PORTION,52,22,14,
ALTADENA,0200025B,80,82,N,869,TOTAL,290,128,82,
ALTADENA,0200028A,81,81,N,1247,POLLING PLACE,402,159,130,
ALTADENA,0200028A,81,81,N,,VBM PORTION,187,95,43,
ALTADENA,0200028A,81,81,N,1247,TOTAL,589,254,173,
ALTADENA,0200030A,82,82,N,850,POLLING PLACE,227,109,68,
ALTADENA,0200030A,82,82,N,,VBM PORTION,125,34,44,
ALTADENA,0200030A,82,82,N,850,TOTAL,352,143,112,
ALTADENA,0200031A,6019,101,Y,2,POLLING PLACE,,,,
ALTADENA,0200031A,6019,101,Y,,VBM PORTION,,,,
ALTADENA,0200031A,6019,101,Y,2,TOTAL,,,,
ALTADENA,0200032A,83,81,N,1326,POLLING PLACE,408,195,118,
ALTADENA,0200032A,83,81,N,,VBM PORTION,129,41,46,
ALTADENA,0200032A,83,81,N,1326,TOTAL,537,236,164,
ALTADENA,0200038B,84,82,N,1152,POLLING PLACE,382,156,122,
ALTADENA,0200038B,84,82,N,,VBM PORTION,140,45,40,
ALTADENA,0200038B,84,82,N,1152,TOTAL,522,201,162,
ALTADENA,0200039A,85,82,N,1075,POLLING PLACE,282,107,99,
ALTADENA,0200039A,85,82,N,,VBM PORTION,99,34,29,
ALTADENA,0200039A,85,82,N,1075,TOTAL,381,141,128,
ALTADENA,0200044A,86,82,N,948,POLLING PLACE,157,48,63,
ALTADENA,0200044A,86,82,N,,VBM PORTION,50,18,19,
ALTADENA,0200044A,86,82,N,948,TOTAL,207,66,82,
ALTADENA,0200051A,87,82,N,1174,POLLING PLACE,341,137,104,
ALTADENA,0200051A,87,82,N,,VBM PORTION,129,40,49,
ALTADENA,0200051A,87,82,N,1174,TOTAL,470,177,153,
ALTADENA,0200086A,88,81,N,1156,POLLING PLACE,339,166,94,
ALTADENA,0200086A,88,81,N,,VBM PORTION,145,52,49,
ALTADENA,0200086A,88,81,N,1156,TOTAL,484,218,143,
ALTADENA,0200087A,89,81,N,659,POLLING PLACE,190,85,43,
ALTADENA,0200087A,89,81,N,,VBM PORTION,65,27,13,
ALTADENA,0200087A,89,81,N,659,TOTAL,255,112,56,
ALTADENA,0200088B,90,81,N,1321,POLLING PLACE,315,132,80,
ALTADENA,0200088B,90,81,N,,VBM PORTION,150,68,29,
ALTADENA,0200088B,90,81,N,1321,TOTAL,465,200,109,
ALTADENA,0200090A,91,81,N,1085,POLLING PLACE,333,146,93,
ALTADENA,0200090A,91,81,N,,VBM PORTION,101,43,18,
ALTADENA,0200090A,91,81,N,1085,TOTAL,434,189,111,
ALTADENA,0200091A,92,81,N,1241,POLLING PLACE,372,178,96,
ALTADENA,0200091A,92,81,N,,VBM PORTION,121,50,32,
ALTADENA,0200091A,92,81,N,1241,TOTAL,493,228,128,
ALTADENA,0200094B,6020,85,Y,2,POLLING PLACE,,,,
ALTADENA,0200094B,6020,85,Y,,VBM PORTION,,,,
ALTADENA,0200094B,6020,85,Y,2,TOTAL,,,,
ANTELOPE,0300002A,93,13,N,867,POLLING PLACE,177,40,97,
ANTELOPE,0300002A,93,13,N,,VBM PORTION,109,36,48,
ANTELOPE,0300002A,93,13,N,867,TOTAL,286,76,145,
ANTELOPE,0300002C,6021,23,Y,4,POLLING PLACE,,,,
ANTELOPE,0300002C,6021,23,Y,,VBM PORTION,1,,1,
ANTELOPE,0300002C,6021,23,Y,4,TOTAL,1,,1,
ANTELOPE,0300006B,6022,6,Y,,POLLING PLACE,,,,
ANTELOPE,0300006B,6022,6,Y,,VBM PORTION,,,,
ANTELOPE,0300006B,6022,6,Y,,TOTAL,,,,
ARCADIA,0350001A,94,162,N,940,POLLING PLACE,219,71,58,
ARCADIA,0350001A,94,162,N,,VBM PORTION,135,28,47,
ARCADIA,0350001A,94,162,N,940,TOTAL,354,99,105,
ARCADIA,0350005A,95,162,N,1158,POLLING PLACE,178,63,76,
ARCADIA,0350005A,95,162,N,,VBM PORTION,175,43,63,
ARCADIA,0350005A,95,162,N,1158,TOTAL,353,106,139,
ARCADIA,0350007A,96,162,N,1073,POLLING PLACE,183,66,68,
ARCADIA,0350007A,96,162,N,,VBM PORTION,143,41,45,
ARCADIA,0350007A,96,162,N,1073,TOTAL,326,107,113,
ARCADIA,0350008A,97,162,N,1175,POLLING PLACE,311,94,109,
ARCADIA,0350008A,97,162,N,,VBM PORTION,148,31,42,
ARCADIA,0350008A,97,162,N,1175,TOTAL,459,125,151,
ARCADIA,0350009A,98,162,N,1364,POLLING PLACE,207,66,79,
ARCADIA,0350009A,98,162,N,,VBM PORTION,197,42,64,
ARCADIA,0350009A,98,162,N,1364,TOTAL,404,108,143,
ARCADIA,0350013A,99,162,N,1154,POLLING PLACE,231,82,96,
ARCADIA,0350013A,99,162,N,,VBM PORTION,132,30,58,
ARCADIA,0350013A,99,162,N,1154,TOTAL,363,112,154,
ARCADIA,0350018A,100,162,N,1295,POLLING PLACE,230,80,83,
ARCADIA,0350018A,100,162,N,,VBM PORTION,214,49,73,
ARCADIA,0350018A,100,162,N,1295,TOTAL,444,129,156,
ARCADIA,0350023A,101,162,N,1298,POLLING PLACE,182,53,77,
ARCADIA,0350023A,101,162,N,,VBM PORTION,137,45,53,
ARCADIA,0350023A,101,162,N,1298,TOTAL,319,98,130,
ARCADIA,0350024A,102,162,N,1324,POLLING PLACE,189,65,68,
ARCADIA,0350024A,102,162,N,,VBM PORTION,143,54,50,
ARCADIA,0350024A,102,162,N,1324,TOTAL,332,119,118,
ARCADIA,0350029B,103,162,N,1275,POLLING PLACE,210,63,74,
ARCADIA,0350029B,103,162,N,,VBM PORTION,145,31,51,
ARCADIA,0350029B,103,162,N,1275,TOTAL,355,94,125,
ARCADIA,0350030A,104,162,N,1214,POLLING PLACE,176,67,67,
ARCADIA,0350030A,104,162,N,,VBM PORTION,111,24,42,
ARCADIA,0350030A,104,162,N,1214,TOTAL,287,91,109,
ARCADIA,0350035A,105,162,N,1024,POLLING PLACE,200,62,67,
ARCADIA,0350035A,105,162,N,,VBM PORTION,115,35,34,
ARCADIA,0350035A,105,162,N,1024,TOTAL,315,97,101,
ARCADIA,0350037A,106,162,N,1139,POLLING PLACE,180,61,71,
ARCADIA,0350037A,106,162,N,,VBM PORTION,107,26,37,
ARCADIA,0350037A,106,162,N,1139,TOTAL,287,87,108,
ARCADIA,0350038A,107,162,N,1162,POLLING PLACE,214,63,72,
ARCADIA,0350038A,107,162,N,,VBM PORTION,114,36,40,
ARCADIA,0350038A,107,162,N,1162,TOTAL,328,99,112,
ARCADIA,0350042A,108,162,N,1142,POLLING PLACE,171,66,75,
ARCADIA,0350042A,108,162,N,,VBM PORTION,60,21,15,
ARCADIA,0350042A,108,162,N,1142,TOTAL,231,87,90,
