LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GERARDO RODRIGUEZ,SERGIO J CALDERON,
MONTEBELLO,4450013A,1785,176,N,,VBM PORTION,61,20,20,
MONTEBELLO,4450013A,1785,176,N,758,TOTAL,200,73,83,
MONTEBELLO,4450014A,1786,288,N,871,POLLING PLACE,134,57,55,
MONTEBELLO,4450014A,1786,288,N,,VBM PORTION,36,23,10,
MONTEBELLO,4450014A,1786,288,N,871,TOTAL,170,80,65,
MONTEBELLO,4450015A,1787,288,N,919,POLLING PLACE,156,62,74,
MONTEBELLO,4450015A,1787,288,N,,VBM PORTION,31,14,13,
MONTEBELLO,4450015A,1787,288,N,919,TOTAL,187,76,87,
MONTEBELLO,4450016A,1788,288,N,641,POLLING PLACE,91,26,54,
MONTEBELLO,4450016A,1788,288,N,,VBM PORTION,25,9,13,
MONTEBELLO,4450016A,1788,288,N,641,TOTAL,116,35,67,
MONTEBELLO,4450017A,1789,288,N,772,POLLING PLACE,112,42,53,
MONTEBELLO,4450017A,1789,288,N,,VBM PORTION,44,14,20,
MONTEBELLO,4450017A,1789,288,N,772,TOTAL,156,56,73,
MONTEBELLO,4450018A,1790,288,N,988,POLLING PLACE,232,100,91,
MONTEBELLO,4450018A,1790,288,N,,VBM PORTION,68,28,26,
MONTEBELLO,4450018A,1790,288,N,988,TOTAL,300,128,117,
MONTEBELLO,4450020A,1791,288,N,1019,POLLING PLACE,175,88,69,
MONTEBELLO,4450020A,1791,288,N,,VBM PORTION,42,15,16,
MONTEBELLO,4450020A,1791,288,N,1019,TOTAL,217,103,85,
MONTEBELLO,4450024A,1792,288,N,881,POLLING PLACE,152,77,55,
MONTEBELLO,4450024A,1792,288,N,,VBM PORTION,30,10,8,
MONTEBELLO,4450024A,1792,288,N,881,TOTAL,182,87,63,
MONTEBELLO,4450025A,1793,288,N,1108,POLLING PLACE,218,92,84,
MONTEBELLO,4450025A,1793,288,N,,VBM PORTION,80,39,24,
MONTEBELLO,4450025A,1793,288,N,1108,TOTAL,298,131,108,
MONTEBELLO,4450026A,1794,288,N,965,POLLING PLACE,233,97,105,
MONTEBELLO,4450026A,1794,288,N,,VBM PORTION,26,8,10,
MONTEBELLO,4450026A,1794,288,N,965,TOTAL,259,105,115,
MONTEBELLO,4450031A,1796,288,N,968,POLLING PLACE,120,42,64,
MONTEBELLO,4450031A,1796,288,N,,VBM PORTION,18,9,7,
MONTEBELLO,4450031A,1796,288,N,968,TOTAL,138,51,71,
MONTEBELLO,4450032A,1797,288,N,803,POLLING PLACE,93,33,52,
MONTEBELLO,4450032A,1797,288,N,,VBM PORTION,33,6,22,
MONTEBELLO,4450032A,1797,288,N,803,TOTAL,126,39,74,
MONTEBELLO,4450032H,6157,282,Y,,POLLING PLACE,,,,
MONTEBELLO,4450032H,6157,282,Y,,VBM PORTION,1,,1,
MONTEBELLO,4450032H,6157,282,Y,,TOTAL,1,,1,
MONTEBELLO,4450033A,1798,288,N,872,POLLING PLACE,106,47,54,
MONTEBELLO,4450033A,1798,288,N,,VBM PORTION,34,19,9,
MONTEBELLO,4450033A,1798,288,N,872,TOTAL,140,66,63,
MONTEBELLO,4450034A,1799,288,N,833,POLLING PLACE,145,74,57,
MONTEBELLO,4450034A,1799,288,N,,VBM PORTION,28,14,10,
MONTEBELLO,4450034A,1799,288,N,833,TOTAL,173,88,67,
MONTEBELLO,4450036A,1800,288,N,626,POLLING PLACE,87,35,45,
MONTEBELLO,4450036A,1800,288,N,,VBM PORTION,21,9,7,
MONTEBELLO,4450036A,1800,288,N,626,TOTAL,108,44,52,
MONTEBELLO,4450038A,1801,288,N,854,POLLING PLACE,121,53,48,
MONTEBELLO,4450038A,1801,288,N,,VBM PORTION,42,13,18,
MONTEBELLO,4450038A,1801,288,N,854,TOTAL,163,66,66,
MONTEBELLO,4450043B,1802,288,N,1086,POLLING PLACE,140,54,63,
MONTEBELLO,4450043B,1802,288,N,,VBM PORTION,27,13,8,
MONTEBELLO,4450043B,1802,288,N,1086,TOTAL,167,67,71,
MONTEBELLO,4450065A,1803,288,N,895,POLLING PLACE,122,48,61,
MONTEBELLO,4450065A,1803,288,N,,VBM PORTION,31,13,13,
MONTEBELLO,4450065A,1803,288,N,895,TOTAL,153,61,74,
MONTEBELLO,4450074A,1804,176,N,1026,POLLING PLACE,154,43,90,
MONTEBELLO,4450074A,1804,176,N,,VBM PORTION,51,19,27,
MONTEBELLO,4450074A,1804,176,N,1026,TOTAL,205,62,117,
MONTEBELLO,4450090B,1805,288,N,693,POLLING PLACE,96,36,50,
MONTEBELLO,4450090B,1805,288,N,,VBM PORTION,14,6,8,
MONTEBELLO,4450090B,1805,288,N,693,TOTAL,110,42,58,
MONTEREY PARK,4500011C,6158,148,Y,2,POLLING PLACE,,,,
MONTEREY PARK,4500011C,6158,148,Y,,VBM PORTION,,,,
MONTEREY PARK,4500011C,6158,148,Y,2,TOTAL,,,,
MONTEREY PARK,4500011D,6159,163,Y,,POLLING PLACE,,,,
MONTEREY PARK,4500011D,6159,163,Y,,VBM PORTION,,,,
MONTEREY PARK,4500011D,6159,163,Y,,TOTAL,,,,
MONTEREY PARK,4500024C,6160,163,Y,,POLLING PLACE,,,,
MONTEREY PARK,4500024C,6160,163,Y,,VBM PORTION,,,,
MONTEREY PARK,4500024C,6160,163,Y,,TOTAL,,,,
MONTEREY PARK,4500090A,1831,152,N,1044,POLLING PLACE,129,36,52,
MONTEREY PARK,4500090A,1831,152,N,,VBM PORTION,44,11,19,
MONTEREY PARK,4500090A,1831,152,N,1044,TOTAL,173,47,71,
PICO RIVERA,5230023B,2073,288,N,316,POLLING PLACE,28,9,19,
PICO RIVERA,5230023B,2073,288,N,,VBM PORTION,6,1,3,
PICO RIVERA,5230023B,2073,288,N,316,TOTAL,34,10,22,
SOUTH GATE,6550001A,2538,351,N,315,POLLING PLACE,52,15,31,
SOUTH GATE,6550001A,2538,351,N,,VBM PORTION,18,7,8,
SOUTH GATE,6550001A,2538,351,N,315,TOTAL,70,22,39,
SOUTH GATE,6550003A,2539,356,N,929,POLLING PLACE,120,39,66,
SOUTH GATE,6550003A,2539,356,N,,VBM PORTION,17,4,13,
SOUTH GATE,6550003A,2539,356,N,929,TOTAL,137,43,79,
SOUTH GATE,6550004A,2540,356,N,914,POLLING PLACE,128,47,69,
SOUTH GATE,6550004A,2540,356,N,,VBM PORTION,17,3,11,
SOUTH GATE,6550004A,2540,356,N,914,TOTAL,145,50,80,
SOUTH GATE,6550006A,2541,356,N,978,POLLING PLACE,137,49,71,
SOUTH GATE,6550006A,2541,356,N,,VBM PORTION,27,3,20,
SOUTH GATE,6550006A,2541,356,N,978,TOTAL,164,52,91,
SOUTH GATE,6550009A,2542,356,N,971,POLLING PLACE,107,31,64,
SOUTH GATE,6550009A,2542,356,N,,VBM PORTION,21,7,13,
SOUTH GATE,6550009A,2542,356,N,971,TOTAL,128,38,77,
SOUTH GATE,6550010A,2543,356,N,1073,POLLING PLACE,165,58,89,
SOUTH GATE,6550010A,2543,356,N,,VBM PORTION,15,2,12,
SOUTH GATE,6550010A,2543,356,N,1073,TOTAL,180,60,101,
SOUTH GATE,6550011A,2544,356,N,1178,POLLING PLACE,129,41,78,
SOUTH GATE,6550011A,2544,356,N,,VBM PORTION,39,8,28,
SOUTH GATE,6550011A,2544,356,N,1178,TOTAL,168,49,106,
SOUTH GATE,6550012B,2545,356,N,1065,POLLING PLACE,140,37,89,
SOUTH GATE,6550012B,2545,356,N,,VBM PORTION,23,7,14,
SOUTH GATE,6550012B,2545,356,N,1065,TOTAL,163,44,103,
SOUTH GATE,6550015A,2546,356,N,1116,POLLING PLACE,172,68,72,
SOUTH GATE,6550015A,2546,356,N,,VBM PORTION,43,17,23,
SOUTH GATE,6550015A,2546,356,N,1116,TOTAL,215,85,95,
SOUTH GATE,6550016A,2547,356,N,957,POLLING PLACE,112,35,65,
SOUTH GATE,6550016A,2547,356,N,,VBM PORTION,19,7,5,
SOUTH GATE,6550016A,2547,356,N,957,TOTAL,131,42,70,
SOUTH GATE,6550017A,2548,356,N,1079,POLLING PLACE,145,43,95,
SOUTH GATE,6550017A,2548,356,N,,VBM PORTION,27,9,13,
SOUTH GATE,6550017A,2548,356,N,1079,TOTAL,172,52,108,
SOUTH GATE,6550018A,2549,356,N,991,POLLING PLACE,115,29,76,
SOUTH GATE,6550018A,2549,356,N,,VBM PORTION,27,7,20,
SOUTH GATE,6550018A,2549,356,N,991,TOTAL,142,36,96,
SOUTH GATE,6550019B,2550,356,N,1094,POLLING PLACE,178,58,88,
SOUTH GATE,6550019B,2550,356,N,,VBM PORTION,14,5,8,
SOUTH GATE,6550019B,2550,356,N,1094,TOTAL,192,63,96,
SOUTH GATE,6550019D,6239,350,Y,,POLLING PLACE,,,,
SOUTH GATE,6550019D,6239,350,Y,,VBM PORTION,,,,
SOUTH GATE,6550019D,6239,350,Y,,TOTAL,,,,
SOUTH GATE,6550020A,2551,356,N,1022,POLLING PLACE,148,40,95,
SOUTH GATE,6550020A,2551,356,N,,VBM PORTION,23,7,12,
SOUTH GATE,6550020A,2551,356,N,1022,TOTAL,171,47,107,
SOUTH GATE,6550021A,2552,356,N,745,POLLING PLACE,58,20,34,
SOUTH GATE,6550021A,2552,356,N,,VBM PORTION,8,3,4,
SOUTH GATE,6550021A,2552,356,N,745,TOTAL,66,23,38,
SOUTH GATE,6550022A,2553,356,N,870,POLLING PLACE,123,43,65,
SOUTH GATE,6550022A,2553,356,N,,VBM PORTION,25,3,15,
SOUTH GATE,6550022A,2553,356,N,870,TOTAL,148,46,80,
SOUTH GATE,6550022B,2554,356,N,749,POLLING PLACE,72,26,42,
SOUTH GATE,6550022B,2554,356,N,,VBM PORTION,14,3,10,
SOUTH GATE,6550022B,2554,356,N,749,TOTAL,86,29,52,
SOUTH GATE,6550028A,2555,356,N,1002,POLLING PLACE,147,54,77,
SOUTH GATE,6550028A,2555,356,N,,VBM PORTION,27,7,16,
SOUTH GATE,6550028A,2555,356,N,1002,TOTAL,174,61,93,
SOUTH GATE,6550029A,2556,356,N,1077,POLLING PLACE,133,34,88,
SOUTH GATE,6550029A,2556,356,N,,VBM PORTION,27,5,17,
SOUTH GATE,6550029A,2556,356,N,1077,TOTAL,160,39,105,
SOUTH GATE,6550030C,2557,356,N,765,POLLING PLACE,129,48,64,
SOUTH GATE,6550030C,2557,356,N,,VBM PORTION,25,8,12,
SOUTH GATE,6550030C,2557,356,N,765,TOTAL,154,56,76,
SOUTH GATE,6550031A,2558,356,N,1130,POLLING PLACE,179,59,108,
SOUTH GATE,6550031A,2558,356,N,,VBM PORTION,30,7,20,
SOUTH GATE,6550031A,2558,356,N,1130,TOTAL,209,66,128,
SOUTH GATE,6550035A,2559,356,N,1228,POLLING PLACE,166,54,95,
SOUTH GATE,6550035A,2559,356,N,,VBM PORTION,37,8,21,
SOUTH GATE,6550035A,2559,356,N,1228,TOTAL,203,62,116,
SOUTH GATE,6550036A,2560,356,N,1068,POLLING PLACE,121,40,68,
SOUTH GATE,6550036A,2560,356,N,,VBM PORTION,20,5,10,
SOUTH GATE,6550036A,2560,356,N,1068,TOTAL,141,45,78,
SOUTH GATE,6550039A,2561,356,N,884,POLLING PLACE,154,48,89,
SOUTH GATE,6550039A,2561,356,N,,VBM PORTION,11,5,6,
SOUTH GATE,6550039A,2561,356,N,884,TOTAL,165,53,95,
SOUTH GATE,6550047B,2562,356,N,1055,POLLING PLACE,162,59,91,
SOUTH GATE,6550047B,2562,356,N,,VBM PORTION,34,12,20,
SOUTH GATE,6550047B,2562,356,N,1055,TOTAL,196,71,111,
SOUTH GATE,6550048A,2563,356,N,1251,POLLING PLACE,178,61,103,
SOUTH GATE,6550048A,2563,356,N,,VBM PORTION,30,15,14,
SOUTH GATE,6550048A,2563,356,N,1251,TOTAL,208,76,117,
SOUTH GATE,6550050A,2564,356,N,1029,POLLING PLACE,131,45,67,
SOUTH GATE,6550050A,2564,356,N,,VBM PORTION,30,7,21,
SOUTH GATE,6550050A,2564,356,N,1029,TOTAL,161,52,88,
SOUTH GATE,6550052A,2565,356,N,1000,POLLING PLACE,129,49,68,
SOUTH GATE,6550052A,2565,356,N,,VBM PORTION,33,8,20,
SOUTH GATE,6550052A,2565,356,N,1000,TOTAL,162,57,88,
SOUTH GATE,6550053A,2566,356,N,1227,POLLING PLACE,179,59,100,
SOUTH GATE,6550053A,2566,356,N,,VBM PORTION,41,12,22,
SOUTH GATE,6550053A,2566,356,N,1227,TOTAL,220,71,122,
SOUTH GATE,6550055A,2567,356,N,542,POLLING PLACE,94,27,59,
SOUTH GATE,6550055A,2567,356,N,,VBM PORTION,15,1,11,
SOUTH GATE,6550055A,2567,356,N,542,TOTAL,109,28,70,
SOUTH GATE,6550055B,2568,353,N,214,POLLING PLACE,15,3,10,
SOUTH GATE,6550055B,2568,353,N,,VBM PORTION,12,4,6,
SOUTH GATE,6550055B,2568,353,N,214,TOTAL,27,7,16,
SOUTH GATE,6550056A,2569,354,N,417,POLLING PLACE,62,27,28,
SOUTH GATE,6550056A,2569,354,N,,VBM PORTION,45,21,15,
SOUTH GATE,6550056A,2569,354,N,417,TOTAL,107,48,43,
SOUTH GATE,6550057A,2570,354,N,769,POLLING PLACE,122,52,61,
SOUTH GATE,6550057A,2570,354,N,,VBM PORTION,23,4,13,
SOUTH GATE,6550057A,2570,354,N,769,TOTAL,145,56,74,
SOUTH GATE,6550060A,2571,353,N,1073,POLLING PLACE,155,56,80,
SOUTH GATE,6550060A,2571,353,N,,VBM PORTION,41,13,26,
SOUTH GATE,6550060A,2571,353,N,1073,TOTAL,196,69,106,
SOUTH GATE,6550061A,2572,353,N,606,POLLING PLACE,90,36,45,
SOUTH GATE,6550061A,2572,353,N,,VBM PORTION,13,5,6,
SOUTH GATE,6550061A,2572,353,N,606,TOTAL,103,41,51,
SOUTH GATE,6550062A,2573,353,N,1127,POLLING PLACE,186,65,90,
SOUTH GATE,6550062A,2573,353,N,,VBM PORTION,39,11,18,
SOUTH GATE,6550062A,2573,353,N,1127,TOTAL,225,76,108,
SOUTH GATE,6550066C,2574,354,N,547,POLLING PLACE,82,22,45,
SOUTH GATE,6550066C,2574,354,N,,VBM PORTION,43,10,23,
SOUTH GATE,6550066C,2574,354,N,547,TOTAL,125,32,68,
VERNON,7450001A,6254,219,Y,,POLLING PLACE,,,,
VERNON,7450001A,6254,219,Y,,VBM PORTION,,,,
VERNON,7450001A,6254,219,Y,,TOTAL,,,,
VERNON,7450002A,6255,347,Y,,POLLING PLACE,,,,
VERNON,7450002A,6255,347,Y,,VBM PORTION,,,,
VERNON,7450002A,6255,347,Y,,TOTAL,,,,
VERNON,7450003A,6256,347,Y,,POLLING PLACE,,,,
VERNON,7450003A,6256,347,Y,,VBM PORTION,,,,
VERNON,7450003A,6256,347,Y,,TOTAL,,,,
VERNON,7450011A,6257,218,Y,54,POLLING PLACE,,,,
VERNON,7450011A,6257,218,Y,,VBM PORTION,12,4,5,
VERNON,7450011A,6257,218,Y,54,TOTAL,12,4,5,
WALNUT PARK,7650001A,2788,318,N,1076,POLLING PLACE,150,44,78,
WALNUT PARK,7650001A,2788,318,N,,VBM PORTION,15,4,5,
WALNUT PARK,7650001A,2788,318,N,1076,TOTAL,165,48,83,
WALNUT PARK,7650004A,2789,318,N,980,POLLING PLACE,101,32,67,
WALNUT PARK,7650004A,2789,318,N,,VBM PORTION,29,7,18,
WALNUT PARK,7650004A,2789,318,N,980,TOTAL,130,39,85,
WALNUT PARK,7650004B,6259,319,Y,,POLLING PLACE,,,,
WALNUT PARK,7650004B,6259,319,Y,,VBM PORTION,,,,
WALNUT PARK,7650004B,6259,319,Y,,TOTAL,,,,
WALNUT PARK,7650005A,2790,318,N,1015,POLLING PLACE,184,49,111,
WALNUT PARK,7650005A,2790,318,N,,VBM PORTION,21,2,11,
WALNUT PARK,7650005A,2790,318,N,1015,TOTAL,205,51,122,
WALNUT PARK,7650006A,2791,318,N,930,POLLING PLACE,145,51,65,
WALNUT PARK,7650006A,2791,318,N,,VBM PORTION,34,8,24,
WALNUT PARK,7650006A,2791,318,N,930,TOTAL,179,59,89,
WALNUT PARK,7650008A,2792,318,N,801,POLLING PLACE,165,51,93,
WALNUT PARK,7650008A,2792,318,N,,VBM PORTION,18,4,9,
WALNUT PARK,7650008A,2792,318,N,801,TOTAL,183,55,102,
WALNUT PARK,7650009A,2793,318,N,766,POLLING PLACE,119,30,78,
WALNUT PARK,7650009A,2793,318,N,,VBM PORTION,24,6,17,
WALNUT PARK,7650009A,2793,318,N,766,TOTAL,143,36,95,
WEST COMPTON,7690001A,2828,366,N,772,POLLING PLACE,161,37,101,
WEST COMPTON,7690001A,2828,366,N,,VBM PORTION,42,5,27,
WEST COMPTON,7690001A,2828,366,N,772,TOTAL,203,42,128,
WEST COMPTON,7690002A,2829,366,N,863,POLLING PLACE,154,39,86,
WEST COMPTON,7690002A,2829,366,N,,VBM PORTION,35,4,25,
WEST COMPTON,7690002A,2829,366,N,863,TOTAL,189,43,111,
WEST COMPTON,7690005A,2830,366,N,948,POLLING PLACE,192,38,119,
WEST COMPTON,7690005A,2830,366,N,,VBM PORTION,23,6,12,
WEST COMPTON,7690005A,2830,366,N,948,TOTAL,215,44,131,
WEST COMPTON,7690006A,2831,372,N,784,POLLING PLACE,123,28,63,
WEST COMPTON,7690006A,2831,372,N,,VBM PORTION,41,10,23,
WEST COMPTON,7690006A,2831,372,N,784,TOTAL,164,38,86,
WILLOWBROOK,7850001A,2966,366,N,999,POLLING PLACE,112,39,59,
WILLOWBROOK,7850001A,2966,366,N,,VBM PORTION,24,6,11,
WILLOWBROOK,7850001A,2966,366,N,999,TOTAL,136,45,70,
WILLOWBROOK,7850002A,2967,356,N,823,POLLING PLACE,92,34,48,
WILLOWBROOK,7850002A,2967,356,N,,VBM PORTION,2,1,,
WILLOWBROOK,7850002A,2967,356,N,823,TOTAL,94,35,48,
WILLOWBROOK,7850003A,2968,366,N,931,POLLING PLACE,172,46,102,
WILLOWBROOK,7850003A,2968,366,N,,VBM PORTION,40,8,23,
WILLOWBROOK,7850003A,2968,366,N,931,TOTAL,212,54,125,
WILLOWBROOK,7850009A,2969,366,N,1058,POLLING PLACE,127,50,64,
WILLOWBROOK,7850009A,2969,366,N,,VBM PORTION,22,5,11,
WILLOWBROOK,7850009A,2969,366,N,1058,TOTAL,149,55,75,
WILLOWBROOK,7850011A,2970,366,N,994,POLLING PLACE,117,54,55,
WILLOWBROOK,7850011A,2970,366,N,,VBM PORTION,25,6,15,
WILLOWBROOK,7850011A,2970,366,N,994,TOTAL,142,60,70,
WILLOWBROOK,7850013A,2971,366,N,835,POLLING PLACE,109,43,45,
WILLOWBROOK,7850013A,2971,366,N,,VBM PORTION,27,8,15,
WILLOWBROOK,7850013A,2971,366,N,835,TOTAL,136,51,60,
WILLOWBROOK,7850015A,2972,366,N,852,POLLING PLACE,95,27,50,
WILLOWBROOK,7850015A,2972,366,N,,VBM PORTION,14,4,7,
WILLOWBROOK,7850015A,2972,366,N,852,TOTAL,109,31,57,
WILLOWBROOK,7850017A,2973,366,N,1058,POLLING PLACE,166,40,104,
WILLOWBROOK,7850017A,2973,366,N,,VBM PORTION,28,6,17,
WILLOWBROOK,7850017A,2973,366,N,1058,TOTAL,194,46,121,
WILLOWBROOK,7850024A,2974,366,N,861,POLLING PLACE,100,38,47,
WILLOWBROOK,7850024A,2974,366,N,,VBM PORTION,9,1,8,
WILLOWBROOK,7850024A,2974,366,N,861,TOTAL,109,39,55,
WILLOWBROOK,7850042A,2975,366,N,430,POLLING PLACE,55,21,23,
WILLOWBROOK,7850042A,2975,366,N,,VBM PORTION,10,2,4,
WILLOWBROOK,7850042A,2975,366,N,430,TOTAL,65,23,27,
WILLOWBROOK,7850043A,2976,366,N,829,POLLING PLACE,123,35,74,
WILLOWBROOK,7850043A,2976,366,N,,VBM PORTION,33,6,21,
WILLOWBROOK,7850043A,2976,366,N,829,TOTAL,156,41,95,
WILLOWBROOK,7850044A,2977,366,N,909,POLLING PLACE,181,56,100,
WILLOWBROOK,7850044A,2977,366,N,,VBM PORTION,45,6,33,
WILLOWBROOK,7850044A,2977,366,N,909,TOTAL,226,62,133,
WILLOWBROOK,7850204A,2979,366,N,1010,POLLING PLACE,150,51,85,
WILLOWBROOK,7850204A,2979,366,N,,VBM PORTION,9,3,6,
WILLOWBROOK,7850204A,2979,366,N,1010,TOTAL,159,54,91,
LOS ANGELES,9001910C,6288,213,Y,,POLLING PLACE,,,,
LOS ANGELES,9001910C,6288,213,Y,,VBM PORTION,,,,
LOS ANGELES,9001910C,6288,213,Y,,TOTAL,,,,
LOS ANGELES,9002057A,3985,215,N,379,POLLING PLACE,46,16,20,
LOS ANGELES,9002057A,3985,215,N,,VBM PORTION,17,2,12,
LOS ANGELES,9002057A,3985,215,N,379,TOTAL,63,18,32,
LOS ANGELES,9002843C,6331,199,Y,,POLLING PLACE,,,,
LOS ANGELES,9002843C,6331,199,Y,,VBM PORTION,,,,
LOS ANGELES,9002843C,6331,199,Y,,TOTAL,,,,
LOS ANGELES,9002880A,6335,218,Y,,POLLING PLACE,,,,
LOS ANGELES,9002880A,6335,218,Y,,VBM PORTION,,,,
LOS ANGELES,9002880A,6335,218,Y,,TOTAL,,,,
BALLOT GROUP 148,9990148A,8148,148,N,,POLLING PLACE,,,,
BALLOT GROUP 148,9990148A,8148,148,N,,VBM PORTION,,,,
BALLOT GROUP 148,9990148A,8148,148,N,,TOTAL,,,,
BALLOT GROUP 152,9990152A,8152,152,N,,POLLING PLACE,,,,
BALLOT GROUP 152,9990152A,8152,152,N,,VBM PORTION,,,,
BALLOT GROUP 152,9990152A,8152,152,N,,TOTAL,,,,
BALLOT GROUP 163,9990163A,8163,163,N,,POLLING PLACE,,,,
BALLOT GROUP 163,9990163A,8163,163,N,,VBM PORTION,,,,
BALLOT GROUP 163,9990163A,8163,163,N,,TOTAL,,,,
BALLOT GROUP 176,9990176A,8176,176,N,,POLLING PLACE,,,,
BALLOT GROUP 176,9990176A,8176,176,N,,VBM PORTION,,,,
BALLOT GROUP 176,9990176A,8176,176,N,,TOTAL,,,,
BALLOT GROUP 199,9990199A,8199,199,N,,POLLING PLACE,,,,
BALLOT GROUP 199,9990199A,8199,199,N,,VBM PORTION,,,,
BALLOT GROUP 199,9990199A,8199,199,N,,TOTAL,,,,
BALLOT GROUP 201,9990201A,8201,201,N,,POLLING PLACE,,,,
BALLOT GROUP 201,9990201A,8201,201,N,,VBM PORTION,,,,
BALLOT GROUP 201,9990201A,8201,201,N,,TOTAL,,,,
BALLOT GROUP 213,9990213A,8213,213,N,,POLLING PLACE,,,,
BALLOT GROUP 213,9990213A,8213,213,N,,VBM PORTION,,,,
BALLOT GROUP 213,9990213A,8213,213,N,,TOTAL,,,,
BALLOT GROUP 215,9990215A,8215,215,N,,POLLING PLACE,,,,
BALLOT GROUP 215,9990215A,8215,215,N,,VBM PORTION,,,,
BALLOT GROUP 215,9990215A,8215,215,N,,TOTAL,,,,
BALLOT GROUP 218,9990218A,8218,218,N,,POLLING PLACE,,,,
BALLOT GROUP 218,9990218A,8218,218,N,,VBM PORTION,,,,
BALLOT GROUP 218,9990218A,8218,218,N,,TOTAL,,,,
BALLOT GROUP 219,9990219A,8219,219,N,,POLLING PLACE,,,,
BALLOT GROUP 219,9990219A,8219,219,N,,VBM PORTION,,,,
BALLOT GROUP 219,9990219A,8219,219,N,,TOTAL,,,,
BALLOT GROUP 282,9990282A,8282,282,N,,POLLING PLACE,,,,
BALLOT GROUP 282,9990282A,8282,282,N,,VBM PORTION,,,,
BALLOT GROUP 282,9990282A,8282,282,N,,TOTAL,,,,
BALLOT GROUP 288,9990288A,8288,288,N,,POLLING PLACE,,,,
BALLOT GROUP 288,9990288A,8288,288,N,,VBM PORTION,,,,
BALLOT GROUP 288,9990288A,8288,288,N,,TOTAL,,,,
BALLOT GROUP 289,9990289A,8289,289,N,,POLLING PLACE,,,,
BALLOT GROUP 289,9990289A,8289,289,N,,VBM PORTION,,,,
BALLOT GROUP 289,9990289A,8289,289,N,,TOTAL,,,,
BALLOT GROUP 291,9990291A,8291,291,N,,POLLING PLACE,,,,
BALLOT GROUP 291,9990291A,8291,291,N,,VBM PORTION,,,,
BALLOT GROUP 291,9990291A,8291,291,N,,TOTAL,,,,
BALLOT GROUP 296,9990296A,8296,296,N,,POLLING PLACE,,,,
BALLOT GROUP 296,9990296A,8296,296,N,,VBM PORTION,,,,
BALLOT GROUP 296,9990296A,8296,296,N,,TOTAL,,,,
BALLOT GROUP 299,9990299A,8299,299,N,,POLLING PLACE,,,,
BALLOT GROUP 299,9990299A,8299,299,N,,VBM PORTION,,,,
BALLOT GROUP 299,9990299A,8299,299,N,,TOTAL,,,,
BALLOT GROUP 303,9990303A,8303,303,N,,POLLING PLACE,,,,
BALLOT GROUP 303,9990303A,8303,303,N,,VBM PORTION,,,,
BALLOT GROUP 303,9990303A,8303,303,N,,TOTAL,,,,
BALLOT GROUP 304,9990304A,8304,304,N,,POLLING PLACE,,,,
BALLOT GROUP 304,9990304A,8304,304,N,,VBM PORTION,,,,
BALLOT GROUP 304,9990304A,8304,304,N,,TOTAL,,,,
BALLOT GROUP 305,9990305A,8305,305,N,,POLLING PLACE,,,,
BALLOT GROUP 305,9990305A,8305,305,N,,VBM PORTION,,,,
BALLOT GROUP 305,9990305A,8305,305,N,,TOTAL,,,,
BALLOT GROUP 306,9990306A,8306,306,N,,POLLING PLACE,,,,
BALLOT GROUP 306,9990306A,8306,306,N,,VBM PORTION,,,,
BALLOT GROUP 306,9990306A,8306,306,N,,TOTAL,,,,
BALLOT GROUP 314,9990314A,8314,314,N,,POLLING PLACE,,,,
BALLOT GROUP 314,9990314A,8314,314,N,,VBM PORTION,,,,
BALLOT GROUP 314,9990314A,8314,314,N,,TOTAL,,,,
BALLOT GROUP 317,9990317A,8317,317,N,,POLLING PLACE,,,,
BALLOT GROUP 317,9990317A,8317,317,N,,VBM PORTION,,,,
BALLOT GROUP 317,9990317A,8317,317,N,,TOTAL,,,,
BALLOT GROUP 318,9990318A,8318,318,N,,POLLING PLACE,,,,
BALLOT GROUP 318,9990318A,8318,318,N,,VBM PORTION,,,,
BALLOT GROUP 318,9990318A,8318,318,N,,TOTAL,,,,
BALLOT GROUP 319,9990319A,8319,319,N,,POLLING PLACE,,,,
BALLOT GROUP 319,9990319A,8319,319,N,,VBM PORTION,,,,
BALLOT GROUP 319,9990319A,8319,319,N,,TOTAL,,,,
BALLOT GROUP 347,9990347A,8347,347,N,,POLLING PLACE,,,,
BALLOT GROUP 347,9990347A,8347,347,N,,VBM PORTION,,,,
BALLOT GROUP 347,9990347A,8347,347,N,,TOTAL,,,,
BALLOT GROUP 349,9990349A,8349,349,N,,POLLING PLACE,,,,
BALLOT GROUP 349,9990349A,8349,349,N,,VBM PORTION,,,,
BALLOT GROUP 349,9990349A,8349,349,N,,TOTAL,,,,
BALLOT GROUP 350,9990350A,8350,350,N,,POLLING PLACE,,,,
BALLOT GROUP 350,9990350A,8350,350,N,,VBM PORTION,,,,
BALLOT GROUP 350,9990350A,8350,350,N,,TOTAL,,,,
BALLOT GROUP 351,9990351A,8351,351,N,,POLLING PLACE,,,,
BALLOT GROUP 351,9990351A,8351,351,N,,VBM PORTION,,,,
BALLOT GROUP 351,9990351A,8351,351,N,,TOTAL,,,,
BALLOT GROUP 353,9990353A,8353,353,N,,POLLING PLACE,,,,
BALLOT GROUP 353,9990353A,8353,353,N,,VBM PORTION,,,,
BALLOT GROUP 353,9990353A,8353,353,N,,TOTAL,,,,
