LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,FREDDIE RODRIGUEZ,DOROTHY F PINEDA,
FOOTHILL,2350028A,6081,202,Y,141,POLLING PLACE,,,,
FOOTHILL,2350028A,6081,202,Y,,VBM PORTION,17,11,5,
FOOTHILL,2350028A,6081,202,Y,141,TOTAL,17,11,5,
FOOTHILL,2350029A,6082,202,Y,103,POLLING PLACE,,,,
FOOTHILL,2350029A,6082,202,Y,,VBM PORTION,10,1,9,
FOOTHILL,2350029A,6082,202,Y,103,TOTAL,10,1,9,
POMONA,5250001A,2092,209,N,968,POLLING PLACE,185,88,81,
POMONA,5250001A,2092,209,N,,VBM PORTION,63,36,25,
POMONA,5250001A,2092,209,N,968,TOTAL,248,124,106,
POMONA,5250003A,2093,207,N,1481,POLLING PLACE,262,167,79,
POMONA,5250003A,2093,207,N,,VBM PORTION,182,105,59,
POMONA,5250003A,2093,207,N,1481,TOTAL,444,272,138,
POMONA,5250004A,2094,203,N,1153,POLLING PLACE,151,123,17,
POMONA,5250004A,2094,203,N,,VBM PORTION,41,35,6,
POMONA,5250004A,2094,203,N,1153,TOTAL,192,158,23,
POMONA,5250005A,2095,209,N,868,POLLING PLACE,136,106,25,
POMONA,5250005A,2095,209,N,,VBM PORTION,60,25,31,
POMONA,5250005A,2095,209,N,868,TOTAL,196,131,56,
POMONA,5250006A,2096,206,N,436,POLLING PLACE,44,24,14,
POMONA,5250006A,2096,206,N,,VBM PORTION,11,10,1,
POMONA,5250006A,2096,206,N,436,TOTAL,55,34,15,
POMONA,5250008A,2097,207,N,631,POLLING PLACE,103,83,11,
POMONA,5250008A,2097,207,N,,VBM PORTION,22,16,4,
POMONA,5250008A,2097,207,N,631,TOTAL,125,99,15,
POMONA,5250008B,2098,207,N,1124,POLLING PLACE,152,104,42,
POMONA,5250008B,2098,207,N,,VBM PORTION,57,40,17,
POMONA,5250008B,2098,207,N,1124,TOTAL,209,144,59,
POMONA,5250009B,2099,207,N,575,POLLING PLACE,92,75,6,
POMONA,5250009B,2099,207,N,,VBM PORTION,7,6,,
POMONA,5250009B,2099,207,N,575,TOTAL,99,81,6,
POMONA,5250011B,2100,207,N,1155,POLLING PLACE,194,132,50,
POMONA,5250011B,2100,207,N,,VBM PORTION,44,31,9,
POMONA,5250011B,2100,207,N,1155,TOTAL,238,163,59,
POMONA,5250012A,2101,207,N,853,POLLING PLACE,96,74,15,
POMONA,5250012A,2101,207,N,,VBM PORTION,51,39,10,
POMONA,5250012A,2101,207,N,853,TOTAL,147,113,25,
POMONA,5250013A,2102,207,N,987,POLLING PLACE,186,98,80,
POMONA,5250013A,2102,207,N,,VBM PORTION,80,35,42,
POMONA,5250013A,2102,207,N,987,TOTAL,266,133,122,
POMONA,5250014A,2103,207,N,1188,POLLING PLACE,218,107,99,
POMONA,5250014A,2103,207,N,,VBM PORTION,89,45,40,
POMONA,5250014A,2103,207,N,1188,TOTAL,307,152,139,
POMONA,5250016B,2104,207,N,1275,POLLING PLACE,259,153,93,
POMONA,5250016B,2104,207,N,,VBM PORTION,119,64,52,
POMONA,5250016B,2104,207,N,1275,TOTAL,378,217,145,
POMONA,5250017A,2105,204,N,458,POLLING PLACE,60,51,7,
POMONA,5250017A,2105,204,N,,VBM PORTION,10,7,3,
POMONA,5250017A,2105,204,N,458,TOTAL,70,58,10,
POMONA,5250018A,2106,205,N,765,POLLING PLACE,57,30,26,
POMONA,5250018A,2106,205,N,,VBM PORTION,44,21,15,
POMONA,5250018A,2106,205,N,765,TOTAL,101,51,41,
POMONA,5250021A,2107,208,N,1152,POLLING PLACE,172,123,42,
POMONA,5250021A,2107,208,N,,VBM PORTION,42,31,9,
POMONA,5250021A,2107,208,N,1152,TOTAL,214,154,51,
POMONA,5250022A,2108,207,N,770,POLLING PLACE,103,83,13,
POMONA,5250022A,2108,207,N,,VBM PORTION,30,26,3,
POMONA,5250022A,2108,207,N,770,TOTAL,133,109,16,
POMONA,5250023A,2109,207,N,1139,POLLING PLACE,162,120,34,
POMONA,5250023A,2109,207,N,,VBM PORTION,56,41,11,
POMONA,5250023A,2109,207,N,1139,TOTAL,218,161,45,
POMONA,5250024A,2110,207,N,821,POLLING PLACE,122,103,14,
POMONA,5250024A,2110,207,N,,VBM PORTION,33,25,6,
POMONA,5250024A,2110,207,N,821,TOTAL,155,128,20,
POMONA,5250025A,2111,207,N,966,POLLING PLACE,119,86,16,
POMONA,5250025A,2111,207,N,,VBM PORTION,33,22,8,
POMONA,5250025A,2111,207,N,966,TOTAL,152,108,24,
POMONA,5250028A,2112,208,N,450,POLLING PLACE,61,36,17,
POMONA,5250028A,2112,208,N,,VBM PORTION,11,7,3,
POMONA,5250028A,2112,208,N,450,TOTAL,72,43,20,
POMONA,5250028D,2113,207,N,600,POLLING PLACE,62,50,8,
POMONA,5250028D,2113,207,N,,VBM PORTION,9,5,4,
POMONA,5250028D,2113,207,N,600,TOTAL,71,55,12,
POMONA,5250029A,2114,207,N,1158,POLLING PLACE,185,141,36,
POMONA,5250029A,2114,207,N,,VBM PORTION,58,40,18,
POMONA,5250029A,2114,207,N,1158,TOTAL,243,181,54,
POMONA,5250030A,2115,207,N,1024,POLLING PLACE,117,64,44,
POMONA,5250030A,2115,207,N,,VBM PORTION,38,18,17,
POMONA,5250030A,2115,207,N,1024,TOTAL,155,82,61,
