LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ED ROYCE,PETER O ANDERSON,
DIAMOND BAR,1780065B,643,237,N,914,POLLING PLACE,204,107,85,
DIAMOND BAR,1780065B,643,237,N,,VBM PORTION,101,72,26,
DIAMOND BAR,1780065B,643,237,N,914,TOTAL,305,179,111,
DIAMOND BAR,1780066A,644,238,N,850,POLLING PLACE,154,80,66,
DIAMOND BAR,1780066A,644,238,N,,VBM PORTION,80,42,29,
DIAMOND BAR,1780066A,644,238,N,850,TOTAL,234,122,95,
DIAMOND BAR,1780067A,645,238,N,853,POLLING PLACE,151,91,54,
DIAMOND BAR,1780067A,645,238,N,,VBM PORTION,84,52,30,
DIAMOND BAR,1780067A,645,238,N,853,TOTAL,235,143,84,
DIAMOND BAR,1780068A,646,238,N,406,POLLING PLACE,66,39,22,
DIAMOND BAR,1780068A,646,238,N,,VBM PORTION,23,15,7,
DIAMOND BAR,1780068A,646,238,N,406,TOTAL,89,54,29,
DIAMOND BAR,1780069A,647,238,N,960,POLLING PLACE,106,52,46,
DIAMOND BAR,1780069A,647,238,N,,VBM PORTION,88,58,24,
DIAMOND BAR,1780069A,647,238,N,960,TOTAL,194,110,70,
DIAMOND BAR,1780070A,648,237,N,1076,POLLING PLACE,198,89,97,
DIAMOND BAR,1780070A,648,237,N,,VBM PORTION,110,57,45,
DIAMOND BAR,1780070A,648,237,N,1076,TOTAL,308,146,142,
DIAMOND BAR,1780071C,649,238,N,494,POLLING PLACE,85,36,46,
DIAMOND BAR,1780071C,649,238,N,,VBM PORTION,53,29,21,
DIAMOND BAR,1780071C,649,238,N,494,TOTAL,138,65,67,
DIAMOND BAR,1780072A,650,237,N,822,POLLING PLACE,169,88,74,
DIAMOND BAR,1780072A,650,237,N,,VBM PORTION,55,33,21,
DIAMOND BAR,1780072A,650,237,N,822,TOTAL,224,121,95,
DIAMOND BAR,1780073A,651,237,N,875,POLLING PLACE,185,94,82,
DIAMOND BAR,1780073A,651,237,N,,VBM PORTION,78,38,34,
DIAMOND BAR,1780073A,651,237,N,875,TOTAL,263,132,116,
DIAMOND BAR,1780075A,652,238,N,890,POLLING PLACE,114,51,55,
DIAMOND BAR,1780075A,652,238,N,,VBM PORTION,78,42,32,
DIAMOND BAR,1780075A,652,238,N,890,TOTAL,192,93,87,
DIAMOND BAR,1780077A,653,238,N,869,POLLING PLACE,110,61,44,
DIAMOND BAR,1780077A,653,238,N,,VBM PORTION,74,47,26,
DIAMOND BAR,1780077A,653,238,N,869,TOTAL,184,108,70,
DIAMOND BAR,1780078A,654,238,N,950,POLLING PLACE,136,100,33,
DIAMOND BAR,1780078A,654,238,N,,VBM PORTION,83,55,26,
DIAMOND BAR,1780078A,654,238,N,950,TOTAL,219,155,59,
DIAMOND BAR,1780079A,655,238,N,491,POLLING PLACE,29,18,11,
DIAMOND BAR,1780079A,655,238,N,,VBM PORTION,47,31,14,
DIAMOND BAR,1780079A,655,238,N,491,TOTAL,76,49,25,
DIAMOND BAR,1780081A,656,238,N,615,POLLING PLACE,114,61,44,
DIAMOND BAR,1780081A,656,238,N,,VBM PORTION,43,27,14,
DIAMOND BAR,1780081A,656,238,N,615,TOTAL,157,88,58,
DIAMOND BAR,1780085A,657,238,N,723,POLLING PLACE,105,61,39,
DIAMOND BAR,1780085A,657,238,N,,VBM PORTION,47,28,18,
DIAMOND BAR,1780085A,657,238,N,723,TOTAL,152,89,57,
DIAMOND BAR,1780087A,658,238,N,576,POLLING PLACE,106,47,53,
DIAMOND BAR,1780087A,658,238,N,,VBM PORTION,52,38,12,
DIAMOND BAR,1780087A,658,238,N,576,TOTAL,158,85,65,
DIAMOND BAR,1780091E,659,238,N,932,POLLING PLACE,152,87,56,
DIAMOND BAR,1780091E,659,238,N,,VBM PORTION,92,64,22,
DIAMOND BAR,1780091E,659,238,N,932,TOTAL,244,151,78,
DIAMOND BAR,1780092A,660,238,N,696,POLLING PLACE,103,62,35,
DIAMOND BAR,1780092A,660,238,N,,VBM PORTION,58,33,18,
DIAMOND BAR,1780092A,660,238,N,696,TOTAL,161,95,53,
DIAMOND BAR,1780094A,661,238,N,1070,POLLING PLACE,178,115,53,
DIAMOND BAR,1780094A,661,238,N,,VBM PORTION,91,64,22,
DIAMOND BAR,1780094A,661,238,N,1070,TOTAL,269,179,75,
EAST WHITTIER,2050001F,6071,264,Y,33,POLLING PLACE,,,,
EAST WHITTIER,2050001F,6071,264,Y,,VBM PORTION,4,4,,
EAST WHITTIER,2050001F,6071,264,Y,33,TOTAL,4,4,,
EAST WHITTIER,2050048A,794,264,N,456,POLLING PLACE,122,91,27,
EAST WHITTIER,2050048A,794,264,N,,VBM PORTION,53,32,20,
EAST WHITTIER,2050048A,794,264,N,456,TOTAL,175,123,47,
HACIENDA HEIGHTS,2630010A,1019,265,N,173,POLLING PLACE,14,5,7,
HACIENDA HEIGHTS,2630010A,1019,265,N,,VBM PORTION,18,13,5,
HACIENDA HEIGHTS,2630010A,1019,265,N,173,TOTAL,32,18,12,
HACIENDA HEIGHTS,2630016A,1020,266,N,1212,POLLING PLACE,220,104,98,
HACIENDA HEIGHTS,2630016A,1020,266,N,,VBM PORTION,125,79,30,
HACIENDA HEIGHTS,2630016A,1020,266,N,1212,TOTAL,345,183,128,
HACIENDA HEIGHTS,2630018A,1021,266,N,1348,POLLING PLACE,199,107,84,
HACIENDA HEIGHTS,2630018A,1021,266,N,,VBM PORTION,140,96,34,
HACIENDA HEIGHTS,2630018A,1021,266,N,1348,TOTAL,339,203,118,
HACIENDA HEIGHTS,2630023A,1022,266,N,864,POLLING PLACE,108,41,56,
HACIENDA HEIGHTS,2630023A,1022,266,N,,VBM PORTION,38,17,18,
HACIENDA HEIGHTS,2630023A,1022,266,N,864,TOTAL,146,58,74,
HACIENDA HEIGHTS,2630026A,1023,266,N,517,POLLING PLACE,78,21,50,
HACIENDA HEIGHTS,2630026A,1023,266,N,,VBM PORTION,23,7,15,
HACIENDA HEIGHTS,2630026A,1023,266,N,517,TOTAL,101,28,65,
HACIENDA HEIGHTS,2630036A,1024,266,N,742,POLLING PLACE,150,40,104,
HACIENDA HEIGHTS,2630036A,1024,266,N,,VBM PORTION,53,30,19,
HACIENDA HEIGHTS,2630036A,1024,266,N,742,TOTAL,203,70,123,
HACIENDA HEIGHTS,2630049A,1025,266,N,1065,POLLING PLACE,169,105,54,
HACIENDA HEIGHTS,2630049A,1025,266,N,,VBM PORTION,107,71,22,
HACIENDA HEIGHTS,2630049A,1025,266,N,1065,TOTAL,276,176,76,
HACIENDA HEIGHTS,2630062A,1026,266,N,1047,POLLING PLACE,161,53,92,
HACIENDA HEIGHTS,2630062A,1026,266,N,,VBM PORTION,61,28,27,
HACIENDA HEIGHTS,2630062A,1026,266,N,1047,TOTAL,222,81,119,
HACIENDA HEIGHTS,2630064A,1027,266,N,956,POLLING PLACE,151,75,66,
HACIENDA HEIGHTS,2630064A,1027,266,N,,VBM PORTION,66,37,26,
HACIENDA HEIGHTS,2630064A,1027,266,N,956,TOTAL,217,112,92,
HACIENDA HEIGHTS,2630066A,1028,266,N,1079,POLLING PLACE,201,107,85,
HACIENDA HEIGHTS,2630066A,1028,266,N,,VBM PORTION,95,44,34,
HACIENDA HEIGHTS,2630066A,1028,266,N,1079,TOTAL,296,151,119,
HACIENDA HEIGHTS,2630066B,1029,266,N,971,POLLING PLACE,157,81,67,
HACIENDA HEIGHTS,2630066B,1029,266,N,,VBM PORTION,56,29,23,
HACIENDA HEIGHTS,2630066B,1029,266,N,971,TOTAL,213,110,90,
HACIENDA HEIGHTS,2630081A,1030,266,N,756,POLLING PLACE,148,78,56,
HACIENDA HEIGHTS,2630081A,1030,266,N,,VBM PORTION,86,46,30,
HACIENDA HEIGHTS,2630081A,1030,266,N,756,TOTAL,234,124,86,
HACIENDA HEIGHTS,2630083A,1031,266,N,1083,POLLING PLACE,195,113,68,
HACIENDA HEIGHTS,2630083A,1031,266,N,,VBM PORTION,128,75,40,
HACIENDA HEIGHTS,2630083A,1031,266,N,1083,TOTAL,323,188,108,
HACIENDA HEIGHTS,2630093A,1032,266,N,886,POLLING PLACE,149,89,52,
HACIENDA HEIGHTS,2630093A,1032,266,N,,VBM PORTION,69,45,15,
HACIENDA HEIGHTS,2630093A,1032,266,N,886,TOTAL,218,134,67,
HACIENDA HEIGHTS,2630097A,1033,266,N,837,POLLING PLACE,153,61,87,
HACIENDA HEIGHTS,2630097A,1033,266,N,,VBM PORTION,45,28,14,
HACIENDA HEIGHTS,2630097A,1033,266,N,837,TOTAL,198,89,101,
HACIENDA HEIGHTS,2630142A,1034,266,N,1006,POLLING PLACE,122,75,41,
HACIENDA HEIGHTS,2630142A,1034,266,N,,VBM PORTION,163,95,44,
HACIENDA HEIGHTS,2630142A,1034,266,N,1006,TOTAL,285,170,85,
HACIENDA HEIGHTS,2630158C,1035,266,N,1096,POLLING PLACE,206,100,85,
HACIENDA HEIGHTS,2630158C,1035,266,N,,VBM PORTION,132,86,39,
HACIENDA HEIGHTS,2630158C,1035,266,N,1096,TOTAL,338,186,124,
HACIENDA HEIGHTS,2630172A,1036,266,N,1305,POLLING PLACE,182,93,78,
HACIENDA HEIGHTS,2630172A,1036,266,N,,VBM PORTION,140,84,43,
HACIENDA HEIGHTS,2630172A,1036,266,N,1305,TOTAL,322,177,121,
HACIENDA HEIGHTS,2630177A,1037,266,N,703,POLLING PLACE,108,60,42,
HACIENDA HEIGHTS,2630177A,1037,266,N,,VBM PORTION,92,57,28,
HACIENDA HEIGHTS,2630177A,1037,266,N,703,TOTAL,200,117,70,
HACIENDA HEIGHTS,2630179A,1038,266,N,1088,POLLING PLACE,123,73,43,
HACIENDA HEIGHTS,2630179A,1038,266,N,,VBM PORTION,113,65,22,
HACIENDA HEIGHTS,2630179A,1038,266,N,1088,TOTAL,236,138,65,
HACIENDA HEIGHTS,2630190A,1039,266,N,1005,POLLING PLACE,182,90,88,
HACIENDA HEIGHTS,2630190A,1039,266,N,,VBM PORTION,95,67,18,
HACIENDA HEIGHTS,2630190A,1039,266,N,1005,TOTAL,277,157,106,
HACIENDA HEIGHTS,2630191B,1040,266,N,746,POLLING PLACE,100,42,52,
HACIENDA HEIGHTS,2630191B,1040,266,N,,VBM PORTION,48,29,12,
HACIENDA HEIGHTS,2630191B,1040,266,N,746,TOTAL,148,71,64,
HACIENDA HEIGHTS,2630192A,1041,266,N,941,POLLING PLACE,174,85,80,
HACIENDA HEIGHTS,2630192A,1041,266,N,,VBM PORTION,73,39,24,
HACIENDA HEIGHTS,2630192A,1041,266,N,941,TOTAL,247,124,104,
HACIENDA HEIGHTS,2630193C,1042,266,N,1167,POLLING PLACE,188,88,88,
HACIENDA HEIGHTS,2630193C,1042,266,N,,VBM PORTION,68,34,20,
HACIENDA HEIGHTS,2630193C,1042,266,N,1167,TOTAL,256,122,108,
HACIENDA HEIGHTS,2630195A,1043,266,N,1019,POLLING PLACE,239,122,109,
HACIENDA HEIGHTS,2630195A,1043,266,N,,VBM PORTION,81,37,38,
HACIENDA HEIGHTS,2630195A,1043,266,N,1019,TOTAL,320,159,147,
HACIENDA HEIGHTS,2630199A,1044,266,N,1151,POLLING PLACE,213,144,59,
HACIENDA HEIGHTS,2630199A,1044,266,N,,VBM PORTION,107,62,31,
HACIENDA HEIGHTS,2630199A,1044,266,N,1151,TOTAL,320,206,90,
HACIENDA HEIGHTS,2630202A,1045,266,N,1125,POLLING PLACE,206,109,86,
HACIENDA HEIGHTS,2630202A,1045,266,N,,VBM PORTION,116,67,34,
HACIENDA HEIGHTS,2630202A,1045,266,N,1125,TOTAL,322,176,120,
HACIENDA HEIGHTS,2630205A,1046,266,N,1214,POLLING PLACE,177,99,72,
HACIENDA HEIGHTS,2630205A,1046,266,N,,VBM PORTION,151,94,39,
HACIENDA HEIGHTS,2630205A,1046,266,N,1214,TOTAL,328,193,111,
HACIENDA HEIGHTS,2630206A,1047,266,N,969,POLLING PLACE,132,47,80,
HACIENDA HEIGHTS,2630206A,1047,266,N,,VBM PORTION,69,33,33,
HACIENDA HEIGHTS,2630206A,1047,266,N,969,TOTAL,201,80,113,
INDUSTRY,2930011A,6103,244,Y,,POLLING PLACE,,,,
INDUSTRY,2930011A,6103,244,Y,,VBM PORTION,,,,
INDUSTRY,2930011A,6103,244,Y,,TOTAL,,,,
INDUSTRY,2930012A,6104,244,Y,,POLLING PLACE,,,,
INDUSTRY,2930012A,6104,244,Y,,VBM PORTION,,,,
INDUSTRY,2930012A,6104,244,Y,,TOTAL,,,,
INDUSTRY,2930016A,6106,238,Y,5,POLLING PLACE,,,,
INDUSTRY,2930016A,6106,238,Y,,VBM PORTION,,,,
INDUSTRY,2930016A,6106,238,Y,5,TOTAL,,,,
INDUSTRY,2930063B,6109,237,Y,1,POLLING PLACE,,,,
INDUSTRY,2930063B,6109,237,Y,,VBM PORTION,1,1,,
INDUSTRY,2930063B,6109,237,Y,1,TOTAL,1,1,,
LA HABRA HEIGHTS,3230001A,1195,264,N,508,POLLING PLACE,109,67,35,
LA HABRA HEIGHTS,3230001A,1195,264,N,,VBM PORTION,59,41,18,
LA HABRA HEIGHTS,3230001A,1195,264,N,508,TOTAL,168,108,53,
LA HABRA HEIGHTS,3230003A,1196,264,N,894,POLLING PLACE,235,175,52,
LA HABRA HEIGHTS,3230003A,1196,264,N,,VBM PORTION,126,94,29,
LA HABRA HEIGHTS,3230003A,1196,264,N,894,TOTAL,361,269,81,
LA HABRA HEIGHTS,3230004A,1197,264,N,994,POLLING PLACE,210,125,65,
LA HABRA HEIGHTS,3230004A,1197,264,N,,VBM PORTION,171,132,31,
LA HABRA HEIGHTS,3230004A,1197,264,N,994,TOTAL,381,257,96,
LA HABRA HEIGHTS,3230006A,1198,264,N,857,POLLING PLACE,170,131,37,
LA HABRA HEIGHTS,3230006A,1198,264,N,,VBM PORTION,111,83,26,
LA HABRA HEIGHTS,3230006A,1198,264,N,857,TOTAL,281,214,63,
LA HABRA HEIGHTS,3230009A,1199,263,N,362,POLLING PLACE,95,78,17,
LA HABRA HEIGHTS,3230009A,1199,263,N,,VBM PORTION,54,39,13,
LA HABRA HEIGHTS,3230009A,1199,263,N,362,TOTAL,149,117,30,
ROWLAND HEIGHTS,5850001A,2262,238,N,529,POLLING PLACE,98,52,40,
ROWLAND HEIGHTS,5850001A,2262,238,N,,VBM PORTION,38,24,11,
ROWLAND HEIGHTS,5850001A,2262,238,N,529,TOTAL,136,76,51,
ROWLAND HEIGHTS,5850002A,2263,237,N,962,POLLING PLACE,127,72,46,
ROWLAND HEIGHTS,5850002A,2263,237,N,,VBM PORTION,73,44,24,
ROWLAND HEIGHTS,5850002A,2263,237,N,962,TOTAL,200,116,70,
ROWLAND HEIGHTS,5850003B,2264,237,N,1049,POLLING PLACE,151,66,75,
ROWLAND HEIGHTS,5850003B,2264,237,N,,VBM PORTION,58,32,20,
ROWLAND HEIGHTS,5850003B,2264,237,N,1049,TOTAL,209,98,95,
ROWLAND HEIGHTS,5850005A,2265,237,N,899,POLLING PLACE,124,65,52,
ROWLAND HEIGHTS,5850005A,2265,237,N,,VBM PORTION,55,33,19,
ROWLAND HEIGHTS,5850005A,2265,237,N,899,TOTAL,179,98,71,
ROWLAND HEIGHTS,5850011A,2266,237,N,1196,POLLING PLACE,224,118,94,
ROWLAND HEIGHTS,5850011A,2266,237,N,,VBM PORTION,92,60,30,
ROWLAND HEIGHTS,5850011A,2266,237,N,1196,TOTAL,316,178,124,
ROWLAND HEIGHTS,5850018A,2267,237,N,381,POLLING PLACE,40,26,10,
ROWLAND HEIGHTS,5850018A,2267,237,N,,VBM PORTION,29,15,8,
ROWLAND HEIGHTS,5850018A,2267,237,N,381,TOTAL,69,41,18,
ROWLAND HEIGHTS,5850018C,2268,238,N,573,POLLING PLACE,52,34,16,
ROWLAND HEIGHTS,5850018C,2268,238,N,,VBM PORTION,51,28,18,
ROWLAND HEIGHTS,5850018C,2268,238,N,573,TOTAL,103,62,34,
ROWLAND HEIGHTS,5850021A,2269,237,N,1120,POLLING PLACE,145,77,61,
ROWLAND HEIGHTS,5850021A,2269,237,N,,VBM PORTION,86,47,29,
ROWLAND HEIGHTS,5850021A,2269,237,N,1120,TOTAL,231,124,90,
ROWLAND HEIGHTS,5850027A,2270,238,N,990,POLLING PLACE,138,71,57,
ROWLAND HEIGHTS,5850027A,2270,238,N,,VBM PORTION,100,65,27,
ROWLAND HEIGHTS,5850027A,2270,238,N,990,TOTAL,238,136,84,
ROWLAND HEIGHTS,5850028A,2271,238,N,921,POLLING PLACE,141,72,59,
ROWLAND HEIGHTS,5850028A,2271,238,N,,VBM PORTION,60,37,20,
ROWLAND HEIGHTS,5850028A,2271,238,N,921,TOTAL,201,109,79,
ROWLAND HEIGHTS,5850030A,2272,238,N,988,POLLING PLACE,115,70,33,
ROWLAND HEIGHTS,5850030A,2272,238,N,,VBM PORTION,93,55,28,
ROWLAND HEIGHTS,5850030A,2272,238,N,988,TOTAL,208,125,61,
ROWLAND HEIGHTS,5850071B,2273,237,N,1060,POLLING PLACE,188,113,64,
ROWLAND HEIGHTS,5850071B,2273,237,N,,VBM PORTION,78,57,16,
ROWLAND HEIGHTS,5850071B,2273,237,N,1060,TOTAL,266,170,80,
ROWLAND HEIGHTS,5850073A,2274,237,N,1164,POLLING PLACE,113,41,65,
ROWLAND HEIGHTS,5850073A,2274,237,N,,VBM PORTION,66,36,25,
ROWLAND HEIGHTS,5850073A,2274,237,N,1164,TOTAL,179,77,90,
ROWLAND HEIGHTS,5850075A,2275,238,N,771,POLLING PLACE,29,22,5,
ROWLAND HEIGHTS,5850075A,2275,238,N,,VBM PORTION,49,33,9,
ROWLAND HEIGHTS,5850075A,2275,238,N,771,TOTAL,78,55,14,
ROWLAND HEIGHTS,5850077B,2276,238,N,859,POLLING PLACE,117,65,51,
ROWLAND HEIGHTS,5850077B,2276,238,N,,VBM PORTION,83,49,31,
ROWLAND HEIGHTS,5850077B,2276,238,N,859,TOTAL,200,114,82,
ROWLAND HEIGHTS,5850118A,2277,238,N,1102,POLLING PLACE,146,79,59,
ROWLAND HEIGHTS,5850118A,2277,238,N,,VBM PORTION,74,47,22,
ROWLAND HEIGHTS,5850118A,2277,238,N,1102,TOTAL,220,126,81,
ROWLAND HEIGHTS,5850153A,2278,238,N,968,POLLING PLACE,153,78,67,
ROWLAND HEIGHTS,5850153A,2278,238,N,,VBM PORTION,93,61,30,
ROWLAND HEIGHTS,5850153A,2278,238,N,968,TOTAL,246,139,97,
ROWLAND HEIGHTS,5850175A,2279,238,N,1148,POLLING PLACE,176,107,59,
ROWLAND HEIGHTS,5850175A,2279,238,N,,VBM PORTION,90,53,32,
ROWLAND HEIGHTS,5850175A,2279,238,N,1148,TOTAL,266,160,91,
ROWLAND HEIGHTS,5850206A,6201,237,Y,,POLLING PLACE,,,,
ROWLAND HEIGHTS,5850206A,6201,237,Y,,VBM PORTION,,,,
ROWLAND HEIGHTS,5850206A,6201,237,Y,,TOTAL,,,,
ROWLAND HEIGHTS,5850206C,6202,238,Y,,POLLING PLACE,,,,
ROWLAND HEIGHTS,5850206C,6202,238,Y,,VBM PORTION,,,,
ROWLAND HEIGHTS,5850206C,6202,238,Y,,TOTAL,,,,
ROWLAND HEIGHTS,5850207A,2280,237,N,1026,POLLING PLACE,105,31,66,
ROWLAND HEIGHTS,5850207A,2280,237,N,,VBM PORTION,66,35,30,
ROWLAND HEIGHTS,5850207A,2280,237,N,1026,TOTAL,171,66,96,
ROWLAND HEIGHTS,5850211A,2281,238,N,1084,POLLING PLACE,151,76,67,
ROWLAND HEIGHTS,5850211A,2281,238,N,,VBM PORTION,82,44,33,
ROWLAND HEIGHTS,5850211A,2281,238,N,1084,TOTAL,233,120,100,
ROWLAND HEIGHTS,5850218A,6203,237,Y,1,POLLING PLACE,,,,
ROWLAND HEIGHTS,5850218A,6203,237,Y,,VBM PORTION,,,,
ROWLAND HEIGHTS,5850218A,6203,237,Y,1,TOTAL,,,,
ROWLAND HEIGHTS,5850221A,2282,238,N,598,POLLING PLACE,87,55,22,
ROWLAND HEIGHTS,5850221A,2282,238,N,,VBM PORTION,61,42,11,
ROWLAND HEIGHTS,5850221A,2282,238,N,598,TOTAL,148,97,33,
ROWLAND HEIGHTS,5850222A,2283,237,N,1011,POLLING PLACE,129,65,58,
ROWLAND HEIGHTS,5850222A,2283,237,N,,VBM PORTION,64,43,16,
ROWLAND HEIGHTS,5850222A,2283,237,N,1011,TOTAL,193,108,74,
ROWLAND HEIGHTS,5850223A,6204,238,Y,,POLLING PLACE,,,,
ROWLAND HEIGHTS,5850223A,6204,238,Y,,VBM PORTION,,,,
ROWLAND HEIGHTS,5850223A,6204,238,Y,,TOTAL,,,,
SPADRA,6750022A,2628,237,N,155,POLLING PLACE,15,6,8,
SPADRA,6750022A,2628,237,N,,VBM PORTION,,,,
SPADRA,6750022A,2628,237,N,155,TOTAL,15,6,8,
WALNUT,7600002A,2771,237,N,555,POLLING PLACE,74,38,36,
WALNUT,7600002A,2771,237,N,,VBM PORTION,42,19,20,
WALNUT,7600002A,2771,237,N,555,TOTAL,116,57,56,
WALNUT,7600002D,2772,237,N,626,POLLING PLACE,111,54,49,
WALNUT,7600002D,2772,237,N,,VBM PORTION,32,21,8,
WALNUT,7600002D,2772,237,N,626,TOTAL,143,75,57,
WALNUT,7600003A,2773,237,N,812,POLLING PLACE,143,88,50,
WALNUT,7600003A,2773,237,N,,VBM PORTION,81,60,16,
WALNUT,7600003A,2773,237,N,812,TOTAL,224,148,66,
WALNUT,7600004A,2774,237,N,999,POLLING PLACE,158,84,68,
WALNUT,7600004A,2774,237,N,,VBM PORTION,57,35,13,
WALNUT,7600004A,2774,237,N,999,TOTAL,215,119,81,
WALNUT,7600006A,2775,237,N,1303,POLLING PLACE,204,119,75,
WALNUT,7600006A,2775,237,N,,VBM PORTION,98,58,27,
WALNUT,7600006A,2775,237,N,1303,TOTAL,302,177,102,
WALNUT,7600006B,2776,237,N,895,POLLING PLACE,110,58,44,
WALNUT,7600006B,2776,237,N,,VBM PORTION,48,35,7,
WALNUT,7600006B,2776,237,N,895,TOTAL,158,93,51,
WALNUT,7600007A,2777,237,N,1144,POLLING PLACE,146,86,54,
WALNUT,7600007A,2777,237,N,,VBM PORTION,119,73,36,
WALNUT,7600007A,2777,237,N,1144,TOTAL,265,159,90,
WALNUT,7600008A,2778,237,N,1210,POLLING PLACE,182,113,60,
WALNUT,7600008A,2778,237,N,,VBM PORTION,90,56,27,
WALNUT,7600008A,2778,237,N,1210,TOTAL,272,169,87,
WALNUT,7600009A,2779,237,N,931,POLLING PLACE,110,63,42,
WALNUT,7600009A,2779,237,N,,VBM PORTION,66,29,25,
WALNUT,7600009A,2779,237,N,931,TOTAL,176,92,67,
WALNUT,7600011A,2780,237,N,1020,POLLING PLACE,139,82,45,
WALNUT,7600011A,2780,237,N,,VBM PORTION,94,54,30,
WALNUT,7600011A,2780,237,N,1020,TOTAL,233,136,75,
WALNUT,7600012A,2781,237,N,864,POLLING PLACE,169,72,82,
WALNUT,7600012A,2781,237,N,,VBM PORTION,53,31,20,
WALNUT,7600012A,2781,237,N,864,TOTAL,222,103,102,
WALNUT,7600017A,2782,237,N,1237,POLLING PLACE,209,99,92,
WALNUT,7600017A,2782,237,N,,VBM PORTION,112,72,33,
WALNUT,7600017A,2782,237,N,1237,TOTAL,321,171,125,
WALNUT,7600018A,2783,237,N,929,POLLING PLACE,120,63,50,
WALNUT,7600018A,2783,237,N,,VBM PORTION,90,68,16,
WALNUT,7600018A,2783,237,N,929,TOTAL,210,131,66,
WALNUT,7600030A,2784,237,N,1079,POLLING PLACE,152,77,64,
WALNUT,7600030A,2784,237,N,,VBM PORTION,60,33,22,
WALNUT,7600030A,2784,237,N,1079,TOTAL,212,110,86,
WALNUT,7600031A,2785,237,N,1022,POLLING PLACE,140,75,58,
WALNUT,7600031A,2785,237,N,,VBM PORTION,84,48,29,
WALNUT,7600031A,2785,237,N,1022,TOTAL,224,123,87,
WALNUT,7600032A,2786,237,N,1290,POLLING PLACE,166,98,57,
WALNUT,7600032A,2786,237,N,,VBM PORTION,105,69,27,
WALNUT,7600032A,2786,237,N,1290,TOTAL,271,167,84,
WALNUT,7600033A,2787,238,N,875,POLLING PLACE,122,69,38,
