LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MARIO A GUERRA,TONY MENDOZA,
ARTESIA,0400001A,117,277,N,779,POLLING PLACE,162,20,136,
ARTESIA,0400001A,117,277,N,,VBM PORTION,23,10,13,
ARTESIA,0400001A,117,277,N,779,TOTAL,185,30,149,
ARTESIA,0400002A,118,274,N,1116,POLLING PLACE,180,93,79,
ARTESIA,0400002A,118,274,N,,VBM PORTION,137,75,46,
ARTESIA,0400002A,118,274,N,1116,TOTAL,317,168,125,
ARTESIA,0400004A,119,274,N,911,POLLING PLACE,202,75,105,
ARTESIA,0400004A,119,274,N,,VBM PORTION,69,36,30,
ARTESIA,0400004A,119,274,N,911,TOTAL,271,111,135,
ARTESIA,0400006A,120,274,N,988,POLLING PLACE,188,67,102,
ARTESIA,0400006A,120,274,N,,VBM PORTION,63,27,27,
ARTESIA,0400006A,120,274,N,988,TOTAL,251,94,129,
ARTESIA,0400007A,121,274,N,993,POLLING PLACE,188,75,95,
ARTESIA,0400007A,121,274,N,,VBM PORTION,87,34,50,
ARTESIA,0400007A,121,274,N,993,TOTAL,275,109,145,
ARTESIA,0400008A,122,274,N,1005,POLLING PLACE,173,74,85,
ARTESIA,0400008A,122,274,N,,VBM PORTION,95,27,53,
ARTESIA,0400008A,122,274,N,1005,TOTAL,268,101,138,
ARTESIA,0400010C,123,274,N,1027,POLLING PLACE,139,66,59,
ARTESIA,0400010C,123,274,N,,VBM PORTION,109,64,39,
ARTESIA,0400010C,123,274,N,1027,TOTAL,248,130,98,
AVOCADO HEIGHTS,0520003A,6025,245,Y,,POLLING PLACE,,,,
AVOCADO HEIGHTS,0520003A,6025,245,Y,,VBM PORTION,,,,
AVOCADO HEIGHTS,0520003A,6025,245,Y,,TOTAL,,,,
BELLFLOWER,0750006A,208,302,N,825,POLLING PLACE,140,69,65,
BELLFLOWER,0750006A,208,302,N,,VBM PORTION,62,30,26,
BELLFLOWER,0750006A,208,302,N,825,TOTAL,202,99,91,
BELLFLOWER,0750009A,209,301,N,1074,POLLING PLACE,196,84,99,
BELLFLOWER,0750009A,209,301,N,,VBM PORTION,68,41,21,
BELLFLOWER,0750009A,209,301,N,1074,TOTAL,264,125,120,
BELLFLOWER,0750010A,210,301,N,1000,POLLING PLACE,120,40,78,
BELLFLOWER,0750010A,210,301,N,,VBM PORTION,51,19,28,
BELLFLOWER,0750010A,210,301,N,1000,TOTAL,171,59,106,
BELLFLOWER,0750011A,211,292,N,1111,POLLING PLACE,219,112,80,
BELLFLOWER,0750011A,211,292,N,,VBM PORTION,57,32,17,
BELLFLOWER,0750011A,211,292,N,1111,TOTAL,276,144,97,
BELLFLOWER,0750012A,212,284,N,571,POLLING PLACE,62,11,49,
BELLFLOWER,0750012A,212,284,N,,VBM PORTION,23,11,9,
BELLFLOWER,0750012A,212,284,N,571,TOTAL,85,22,58,
BELLFLOWER,0750012D,213,286,N,873,POLLING PLACE,74,15,50,
BELLFLOWER,0750012D,213,286,N,,VBM PORTION,19,12,6,
BELLFLOWER,0750012D,213,286,N,873,TOTAL,93,27,56,
BELLFLOWER,0750013A,214,300,N,140,POLLING PLACE,9,6,3,
BELLFLOWER,0750013A,214,300,N,,VBM PORTION,7,2,5,
BELLFLOWER,0750013A,214,300,N,140,TOTAL,16,8,8,
BELLFLOWER,0750014A,215,292,N,955,POLLING PLACE,134,48,81,
BELLFLOWER,0750014A,215,292,N,,VBM PORTION,46,19,23,
BELLFLOWER,0750014A,215,292,N,955,TOTAL,180,67,104,
BELLFLOWER,0750016A,216,292,N,1146,POLLING PLACE,141,56,82,
BELLFLOWER,0750016A,216,292,N,,VBM PORTION,70,32,31,
BELLFLOWER,0750016A,216,292,N,1146,TOTAL,211,88,113,
BELLFLOWER,0750017B,217,292,N,1153,POLLING PLACE,100,27,66,
BELLFLOWER,0750017B,217,292,N,,VBM PORTION,42,19,19,
BELLFLOWER,0750017B,217,292,N,1153,TOTAL,142,46,85,
BELLFLOWER,0750019A,218,292,N,1077,POLLING PLACE,137,46,83,
BELLFLOWER,0750019A,218,292,N,,VBM PORTION,51,22,25,
BELLFLOWER,0750019A,218,292,N,1077,TOTAL,188,68,108,
BELLFLOWER,0750021A,219,301,N,829,POLLING PLACE,135,50,79,
BELLFLOWER,0750021A,219,301,N,,VBM PORTION,66,23,34,
BELLFLOWER,0750021A,219,301,N,829,TOTAL,201,73,113,
BELLFLOWER,0750022A,220,284,N,1011,POLLING PLACE,204,113,79,
BELLFLOWER,0750022A,220,284,N,,VBM PORTION,66,31,28,
BELLFLOWER,0750022A,220,284,N,1011,TOTAL,270,144,107,
BELLFLOWER,0750024A,221,293,N,1039,POLLING PLACE,167,70,83,
BELLFLOWER,0750024A,221,293,N,,VBM PORTION,54,20,28,
BELLFLOWER,0750024A,221,293,N,1039,TOTAL,221,90,111,
BELLFLOWER,0750025A,222,301,N,565,POLLING PLACE,96,41,52,
BELLFLOWER,0750025A,222,301,N,,VBM PORTION,50,20,25,
BELLFLOWER,0750025A,222,301,N,565,TOTAL,146,61,77,
BELLFLOWER,0750027A,223,284,N,1026,POLLING PLACE,121,33,81,
BELLFLOWER,0750027A,223,284,N,,VBM PORTION,58,29,21,
BELLFLOWER,0750027A,223,284,N,1026,TOTAL,179,62,102,
BELLFLOWER,0750028A,224,292,N,1021,POLLING PLACE,165,65,81,
BELLFLOWER,0750028A,224,292,N,,VBM PORTION,60,28,24,
BELLFLOWER,0750028A,224,292,N,1021,TOTAL,225,93,105,
BELLFLOWER,0750029C,225,285,N,823,POLLING PLACE,98,26,70,
BELLFLOWER,0750029C,225,285,N,,VBM PORTION,31,16,12,
BELLFLOWER,0750029C,225,285,N,823,TOTAL,129,42,82,
BELLFLOWER,0750030A,226,284,N,1060,POLLING PLACE,192,71,103,
BELLFLOWER,0750030A,226,284,N,,VBM PORTION,72,41,30,
BELLFLOWER,0750030A,226,284,N,1060,TOTAL,264,112,133,
BELLFLOWER,0750031C,227,285,N,907,POLLING PLACE,99,33,65,
BELLFLOWER,0750031C,227,285,N,,VBM PORTION,44,16,27,
BELLFLOWER,0750031C,227,285,N,907,TOTAL,143,49,92,
BELLFLOWER,0750032A,228,284,N,827,POLLING PLACE,112,37,72,
BELLFLOWER,0750032A,228,284,N,,VBM PORTION,30,15,14,
BELLFLOWER,0750032A,228,284,N,827,TOTAL,142,52,86,
BELLFLOWER,0750032C,229,284,N,693,POLLING PLACE,100,34,62,
BELLFLOWER,0750032C,229,284,N,,VBM PORTION,37,10,24,
BELLFLOWER,0750032C,229,284,N,693,TOTAL,137,44,86,
BELLFLOWER,0750033A,230,284,N,935,POLLING PLACE,192,101,81,
BELLFLOWER,0750033A,230,284,N,,VBM PORTION,42,26,13,
BELLFLOWER,0750033A,230,284,N,935,TOTAL,234,127,94,
